SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC03a,SPK_SPKC08a
324.9512,238.202325,224.578825,212.55805
325.009425,238.387225,224.588725,212.574825
325.132075,238.458725,224.5992,212.589825
325.26965,238.61935,224.607275,212.642625
325.309675,238.629775,224.6299,212.703725
325.436125,238.687575,224.6424,212.78415
325.709575,238.72165,224.65925,212.812
325.859,238.768325,224.6711,212.819825
326.109425,238.79715,224.7037,212.829525
326.1233,238.8345,224.745575,212.8591
326.14745,238.8738,224.757125,212.87325
326.402175,238.88985,224.77655,212.8856
326.6848,238.92585,224.814375,212.898925
326.94255,238.9487,224.8266,213.03065
327.013125,239.100125,224.959025,213.054825
327.08,239.222175,224.972575,213.05685
327.08425,239.603925,224.9923,213.060425
327.401325,239.643575,225.022725,213.06815
328.0858,239.672925,225.0326,213.0739
328.32165,239.706875,225.05485,213.0801
328.901675,239.8361,225.067325,213.08905
329.156,239.887125,225.107,213.09745
329.725975,240.3151,225.127675,213.1285
329.8356,240.3236,225.139925,213.1457
330.190575,240.593375,225.15225,213.179925
330.29595,240.61955,225.16135,213.19545
330.66485,240.7069,225.1733,213.21405
330.990325,240.775625,225.186575,213.222725
331.30995,240.809025,225.201025,213.22855
331.477925,240.8722,225.21535,213.2473
331.872775,240.914575,225.23655,213.27175
331.90915,240.970975,225.2531,213.3013
332.309425,241.024325,225.35035,213.3242
332.418325,241.1211,225.36695,213.36085
332.72895,241.432975,225.406825,213.3878
334.0592,241.6267,225.43005,213.405175
334.57775,241.70125,225.442075,213.424275
334.791225,241.726425,225.4698,213.44655
334.94205,241.786925,225.516825,213.46575
335.837675,241.8074,225.544825,213.4769
336.065425,241.902325,225.566,213.488725
336.127925,242.1617,225.586775,213.530475
336.131375,242.1709,225.601875,213.551675
336.201375,242.201875,225.619925,213.638075
336.315,242.2231,225.64065,213.649375
336.48655,242.309825,225.699575,213.6556
336.504175,242.337,225.80375,213.6625
336.506075,242.3826,225.8356,213.684025
336.5382,242.516175,225.866625,213.696875
336.975375,242.54105,225.880175,213.709425
337.04795,242.57835,225.89285,213.754375
337.132425,242.63775,225.9272,213.756525
337.61085,242.78965,225.949375,213.773275
337.831225,242.797225,225.98465,213.78795
338.2789,242.866125,226.012725,213.80825
339.1586,242.910125,226.037475,213.832625
339.70575,243.013875,226.107225,213.859025
339.918725,243.263425,226.242725,213.88335
339.968375,243.29295,226.26355,213.909
340.076375,243.30005,226.290375,213.94375
340.085825,243.489075,226.309375,213.947925
340.128525,243.590475,226.32515,213.96545
340.200525,243.700675,226.359125,213.976525
340.752275,243.7449,226.376475,214.002375
340.996,243.8834,226.40185,214.047
341.039975,243.971,226.418225,214.0745
341.132775,244.010625,226.454,214.2293
341.57695,244.02145,226.48555,214.233375
342.060875,244.054975,226.5189,214.2436
342.66515,244.0879,226.552025,214.252125
342.842575,244.1387,226.668575,214.289675
343.04145,244.158925,226.76585,214.3425
343.121875,244.16945,226.793125,214.374925
343.97955,244.2156,226.803275,214.392225
344.174475,244.2419,226.8248,214.406775
344.5978,244.33615,226.83235,214.41365
344.71985,244.4168,226.83875,214.41615
344.77395,244.486425,226.850025,214.420025
345.52065,244.5597,226.86745,214.459225
345.750075,244.57535,226.877425,214.472225
345.95235,244.6124,226.9045,214.507625
345.98495,244.687675,227.0046,214.546525
346.020575,244.75285,227.05415,214.548575
346.182825,244.806175,227.1642,214.5603
346.39365,244.853775,227.207625,214.568375
346.438075,244.87515,227.234725,214.5873
346.500075,244.92515,227.25715,214.595575
347.4067,245.018625,227.2828,214.6085
348.3574,245.05135,227.306,214.616825
348.365575,245.0642,227.34205,214.636075
348.371725,245.193875,227.352725,214.642675
348.697625,245.254625,227.3981,214.6664
348.7282,245.26055,227.42525,214.681225
349.507,245.300325,227.448075,214.692975
349.62005,245.35535,227.46365,214.702025
349.84655,245.398675,227.478875,214.7108
350.07595,245.4105,227.488725,214.7199
350.4609,245.462675,227.64045,214.735
350.7994,245.4743,227.665375,214.764025
351.536825,245.5124,227.685375,214.794525
351.62425,245.580825,227.711375,214.802125
351.6991,245.622725,227.749575,214.84305
351.736725,245.636725,227.7696,214.876175
351.788725,245.72555,227.78235,214.8953
351.80545,245.773025,227.8679,214.951525
351.8275,245.81095,228.147575,215.0006
351.888825,245.962975,228.16095,215.03105
352.150675,246.025425,228.17465,215.059375
352.16185,246.04795,228.189025,215.07925
352.23815,246.108075,228.201575,215.101275
352.3069,246.11865,228.203375,215.138825
352.497175,246.179175,228.21575,215.16755
352.806775,246.325075,228.55195,215.17835
352.95125,246.36695,228.5758,215.238175
353.362,246.400825,228.58775,215.26795
354.129425,246.493475,228.604525,215.287475
354.184825,246.5214,228.628925,215.374175
354.626025,246.6397,228.65975,215.3884
354.647475,246.646525,228.70315,215.39255
354.684325,246.744625,228.71875,215.425575
354.751775,246.8308,228.767225,215.5833
354.89255,246.875825,229.11345,215.61075
354.987125,246.9245,229.132175,215.655675
355.135875,246.9314,229.14535,215.679875
355.32865,246.958725,229.172825,215.694275
355.67725,247.0303,229.1891,215.7304
355.79115,247.220025,229.403425,215.75185
355.90125,247.278375,229.588725,215.790425
356.185625,247.322525,229.6049,215.805125
356.265525,247.38745,229.60665,215.8491
356.53775,247.40455,229.66695,215.863975
356.5904,247.5129,229.978625,215.8958
356.629675,247.522025,229.99805,215.9126
356.66,247.570875,230.0165,215.92345
356.717925,247.672725,230.048475,215.93545
356.727625,247.707275,230.066025,215.945825
356.891,247.848175,230.0948,215.9668
356.930075,247.859625,230.110025,215.982125
357.2088,247.952525,230.181325,216.001075
357.240575,247.96325,230.2209,216.02525
357.5108,247.9729,230.249275,216.047175
357.617625,248.0448,230.271725,216.0551
357.647025,248.08885,230.2873,216.22435
358.067325,248.164825,230.77405,216.25275
358.2585,248.312325,230.79065,216.2672
358.303675,248.379475,230.842,216.275625
358.35,248.405325,231.32605,216.281375
358.460675,248.55855,231.3575,216.290375
358.52345,248.661125,231.377725,216.317
358.5777,248.81525,231.392675,216.331175
358.749375,248.904275,231.409325,216.377675
359.078575,248.913575,231.4168,216.392425
359.134225,249.035575,231.420925,216.469
359.2224,249.127425,231.43225,216.527525
359.26555,249.175025,231.4434,216.542475
359.64665,249.2253,231.475275,216.555075
