SPK_SPKC10a (exc),SPK_SPKC10b (exc),SPK_SPKC11a (inhi),SPK_SPKC13a (exc),SPK_SPKC14b (inhi)
288.431525,265.531425,258.145825,264.511875,257.882125
288.53815,265.55605,258.153075,264.562725,257.916575
288.58275,265.593725,258.174525,264.602625,258.01405
288.608675,265.620375,258.1849,264.63405,258.09725
288.669475,265.643275,258.194825,264.649575,258.117225
288.729525,265.6713,258.20655,264.67465,258.12805
288.78175,265.710525,258.214575,264.6874,258.138525
288.901025,265.747275,258.229575,264.712625,258.161425
289.08885,265.786975,258.247025,264.743475,258.16935
289.158675,265.835875,258.25475,264.78695,258.173375
289.245175,265.869675,258.26165,264.839725,258.18445
289.48355,265.917925,258.266,264.86955,258.1968
289.575425,265.959625,258.2751,264.910525,258.209925
289.704675,266.03745,258.27965,264.928025,258.229
289.8015,266.0791,258.28405,264.9534,258.2412
289.864875,266.154475,258.287925,264.974525,258.25545
290.0545,266.19105,258.291775,264.99275,258.269475
290.101475,266.210375,258.297175,265.01125,258.27855
290.148325,266.237325,258.300275,265.03995,258.284375
290.2689,266.279225,258.304575,265.06795,258.290225
290.3653,266.3123,258.312425,265.090175,258.2968
290.556625,266.3272,258.31885,265.12125,258.302925
290.558325,266.35645,258.323975,265.151825,258.310675
290.566425,266.3848,258.32805,265.1744,258.3173
290.573925,266.407275,258.332125,265.198475,258.322825
290.630725,266.487975,258.337875,265.22385,258.333575
290.923525,266.606725,258.34625,265.28465,258.34255
290.98175,266.648125,258.3518,265.32655,258.34735
291.0238,266.677225,258.35945,265.3733,258.35155
291.082125,266.78785,258.36735,265.409975,258.3565
291.152075,266.903125,258.372,265.4452,258.3615
291.37415,266.933325,258.377475,265.4841,258.3675
291.409175,266.966225,258.3916,265.52915,258.37405
291.435025,267.001225,258.413525,265.581725,258.392
291.53195,267.0246,258.4415,265.628475,258.401425
291.58655,267.027325,258.489925,265.68745,258.415375
291.70565,267.068225,258.516575,265.783275,258.437925
291.833525,267.1673,258.5443,265.834075,258.4699
291.93265,267.23285,258.61675,265.883125,258.4976
292.06215,267.270575,258.7554,265.935175,258.5254
292.134625,267.30535,258.777,266.042775,258.591575
292.34595,267.33245,258.783625,266.1003,258.657125
292.507375,267.35875,258.788,266.142525,258.7283
292.693325,267.3839,258.7928,266.16595,258.7545
292.74635,267.405525,258.7968,266.20165,258.77185
292.8115,267.432925,258.8006,266.22885,258.7816
292.8747,267.452325,258.804975,266.273775,258.793175
292.933775,267.48275,258.8078,266.31605,258.798375
293.299075,267.503925,258.811375,266.34835,258.8048
293.4375,267.516425,258.8154,266.3829,258.816175
293.556975,267.60335,258.8225,266.40765,258.822075
293.673475,267.620325,258.826975,266.439475,258.83
293.71555,267.63125,258.830575,266.504675,258.836925
293.7569,267.65565,258.83445,266.562175,258.8421
294.04695,267.67305,258.8439,266.59985,258.848975
294.0723,267.7446,258.84715,266.631675,258.85515
294.12785,267.785225,258.85265,266.661825,258.86015
294.16555,267.8052,258.85965,266.700175,258.8646
294.254175,267.8264,258.864225,266.7232,258.876
294.318875,267.8541,258.871425,266.749525,258.880125
294.3982,267.8807,258.876975,266.78525,258.88975
294.477075,267.894175,258.88635,266.812225,258.900525
