SPK_SPKC01c,SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC12a
542.698025,547.444025,556.182,544.700225,546.205625
542.715125,547.45745,556.19825,544.717475,546.2838
542.73285,547.471525,556.222725,544.7585,546.3097
542.748725,547.47695,556.268425,544.8036,546.32175
542.759975,547.49035,556.488925,544.816975,546.34705
542.778475,547.5169,556.50575,544.8463,546.369375
542.79075,547.57365,556.5169,544.862875,546.383675
542.8027,547.6077,556.525975,544.89065,546.390375
542.81375,547.6354,556.535875,544.90125,546.39485
542.8191,547.656375,556.5404,544.910375,546.400275
542.8237,547.673125,556.59725,544.9407,546.4036
542.82935,547.692325,556.814575,544.94865,546.409525
542.83435,547.71085,556.83905,544.983975,546.41235
542.839525,547.733025,556.87685,545.000175,546.429925
542.848675,547.763775,556.91595,545.00825,546.530225
542.8657,547.8049,557.006,545.029375,546.5727
542.8705,547.8224,557.01565,545.04605,546.584725
542.876025,547.836225,557.4516,545.0516,546.58945
542.8806,547.851275,557.613325,545.0576,546.604375
542.884925,547.860575,557.717325,545.062275,546.627625
542.888175,547.87275,557.749925,545.0806,546.68515
542.8916,547.884125,557.841725,545.1042,546.692425
542.8962,547.92775,557.927325,545.130675,546.6975
542.900875,547.940425,558.62205,545.146075,546.734725
542.91095,547.950325,558.7248,545.15985,546.764125
542.913625,547.974325,558.755175,545.182225,546.79255
542.917225,547.996125,558.828625,545.223275,546.813975
542.920325,548.023775,558.854425,545.27935,546.8317
542.922825,548.054075,558.8729,545.2935,546.856225
542.93015,548.0658,558.877725,545.324575,546.8751
542.934,548.1085,558.885425,545.3341,546.906275
542.939425,548.126075,558.9548,545.339675,546.967675
542.9508,548.196875,559.011775,545.34235,547.055575
542.954725,548.242325,559.029775,545.353925,547.085975
542.957175,548.273725,559.106575,545.356875,547.110275
542.9629,548.36765,559.195425,545.38515,547.129075
542.9806,548.37275,559.219125,545.39805,547.1598
542.986225,548.37915,559.25615,545.4189,547.184925
543.003,548.41585,559.4666,545.43505,547.248875
543.014475,548.43655,559.558725,545.49095,547.256975
543.0307,548.44725,559.566175,545.531575,547.26615
543.042275,548.489875,559.582,545.546825,547.280325
543.05825,548.57805,559.591025,545.56645,547.29185
543.071525,548.603375,559.737375,545.585475,547.30315
543.0919,548.64605,559.813475,545.6078,547.314275
543.11325,548.667675,559.97435,545.62625,547.34565
543.131625,548.68515,560.13135,545.648,547.3564
543.16205,548.70175,560.1833,545.6794,547.3747
543.18875,548.74155,560.415,545.695,547.384375
543.22255,548.76235,560.448575,545.7075,547.4309
543.241575,548.8046,560.467575,545.7151,547.43565
543.251825,548.878525,560.485875,545.72865,547.491075
543.2663,548.90105,560.555125,545.73325,547.551325
543.275275,548.948875,560.818225,545.740075,547.60285
543.287525,548.9813,560.842675,545.77355,547.6151
543.30575,548.998475,560.882075,545.794075,547.6728
543.331475,549.012525,560.927375,545.809,547.695025
543.34925,549.042875,560.9434,545.881125,547.71705
543.3667,549.06105,560.9709,545.89885,547.7345
543.388,549.121375,560.988125,545.92275,547.776275
543.401925,549.13315,561.19935,545.936375,547.9191
543.42245,549.15055,561.22285,545.949175,547.939725
543.4588,549.20545,561.26345,545.965075,547.949725
543.4727,549.216925,561.293275,545.9749,547.97505
543.5071,549.2345,561.545825,546.000125,547.990675
543.5276,549.2412,561.58365,546.0183,548.01115
543.5503,549.25045,561.593,546.02525,548.02335
543.5733,549.257575,561.7055,546.033525,548.035975
543.59595,549.267425,561.889,546.041675,548.0628
543.613025,549.275475,561.91175,546.047925,548.077225
543.632175,549.28425,561.922225,546.056875,548.0897
543.6514,549.292775,561.946575,546.063725,548.098325
543.67055,549.301775,562.041125,546.09445,548.13445
543.690425,549.33475,562.0863,546.118275,548.16195
543.713675,549.3671,562.186575,546.1285,548.186025
543.74205,549.39605,562.243025,546.1441,548.204875
543.753575,549.406375,562.28345,546.169,548.23235
543.767875,549.426725,562.326775,546.21115,548.250375
543.7834,549.4365,562.633625,546.2277,548.30175
543.7936,549.4405,562.8992,546.244275,548.324025
543.806075,549.462125,563.059325,546.2659,548.356175
543.8177,549.4693,563.10535,546.286875,548.369225
543.851975,549.4758,563.193525,546.31175,548.381675
543.871925,549.507425,563.208575,546.3375,548.389825
543.90115,549.5124,563.21225,546.351775,548.42915
543.922175,549.6127,563.232575,546.36875,548.43595
543.9515,549.61755,563.235925,546.37865,548.490025
543.969775,549.662875,563.2776,546.388575,548.508875
543.986475,549.6875,563.51015,546.39375,548.5414
544.0254,549.7518,563.5511,546.39855,548.574625
544.05395,549.80355,563.5592,546.403875,548.6008
544.086675,549.820225,563.568525,546.408125,548.638675
544.116025,549.843725,563.7375,546.4109,548.656325
544.132075,549.858875,563.75535,546.43085,548.67335
544.153725,549.871825,563.789825,546.4531,548.707075
544.1666,549.88895,563.817325,546.48385,548.725
544.182475,549.91675,563.830275,546.51725,548.7429
544.202,549.950875,563.84635,546.53585,548.76005
544.226625,549.9774,563.8676,546.5489,548.7698
544.2517,549.9936,563.90315,546.574,548.79075
544.280475,550.00605,563.938575,546.5877,548.815125
544.302575,550.00955,563.968475,546.5947,548.873225
544.3249,550.02285,564.0553,546.604175,548.881275
544.34885,550.027675,564.0722,546.6281,548.8949
544.361925,550.063725,564.09035,546.6471,548.90945
544.376875,550.096025,564.19155,546.67015,548.938125
544.390725,550.134825,564.232025,546.707525,548.95915
544.399425,550.17085,564.3434,546.73715,548.966525
544.409675,550.201025,564.35165,546.748925,548.979725
544.42045,550.20755,564.457525,546.7932,548.990775
544.43375,550.2177,564.475725,546.814125,549.008525
544.451825,550.228775,564.529925,546.835,549.040175
544.46355,550.269825,565.072275,546.881375,549.0529
544.4784,550.2766,565.205175,546.9081,549.066175
544.49315,550.323275,565.24525,546.9224,549.09815
544.5131,550.346725,565.254675,546.948675,549.1028
544.53565,550.359025,565.338575,546.976675,549.11305
544.56115,550.371575,565.625175,547.01085,549.21255
544.583675,550.3951,565.64705,547.037325,549.229775
544.5998,550.424575,565.7292,547.05415,549.2424
544.6132,550.555,565.9196,547.0799,549.25665
544.62675,550.566825,565.9317,547.09575,549.3123
544.638825,550.5817,565.94235,547.113625,549.334025
544.658475,550.59205,565.976325,547.1496,549.340675
544.69145,550.6118,566.05985,547.19235,549.3694
544.7167,550.62245,566.1204,547.216075,549.386375
544.7369,550.635625,566.1363,547.241,549.400375
544.7606,550.644675,566.194,547.246875,549.419375
544.780725,550.660025,566.48415,547.263275,549.44955
544.79855,550.726475,566.562775,547.285325,549.45945
544.82045,550.74845,566.621675,547.325525,549.485225
544.834025,550.78905,566.62635,547.352675,549.499125
544.8544,550.801975,566.6433,547.35905,549.515975
544.874875,550.8859,566.679975,547.378925,549.519075
544.896475,550.90015,566.711475,547.386325,549.54
544.9292,550.997725,566.748625,547.392875,549.6343
544.9576,551.0399,566.803775,547.4035,549.640875
544.97105,551.0506,566.868725,547.409775,549.702125
544.980375,551.053675,566.909025,547.42325,549.7197
544.991675,551.056325,566.981825,547.434775,549.79355
545.006875,551.05855,566.996925,547.444375,549.80915
545.02555,551.082875,567.04985,547.451375,549.8297
545.039175,551.0952,567.088175,547.46945,549.8427
545.05075,551.105875,567.255575,547.50195,549.86195
545.0602,551.150225,567.2795,547.527175,549.8798
545.06915,551.251325,567.661175,547.544875,549.92165
545.077825,551.26175,567.706825,547.561875,549.934975
545.0892,551.27955,567.73445,547.58375,549.957175
545.10315,551.2962,567.7439,547.596425,549.963975
545.1142,551.39235,567.7946,547.63225,549.975625
545.129225,551.40765,567.858475,547.665225,549.984025
545.143375,551.463825,567.89765,547.708325,549.995775
545.1558,551.468075,568.015075,547.727325,550.015725
545.174525,551.473475,568.0483,547.746475,550.09
545.186125,551.483575,568.0511,547.7617,550.112525
545.2009,551.487325,568.0542,547.7946,550.13195
545.2239,551.496625,568.066725,547.85735,550.147175
545.234875,551.500575,568.080075,547.871525,550.160075
545.2493,551.506,568.12385,547.878025,550.18025
545.26295,551.57455,568.297025,547.898825,550.186075
545.29275,551.592625,568.4683,547.9203,550.212975
545.311,551.6385,568.520375,547.94135,550.22545
545.338175,551.678325,568.549575,547.95885,550.322875
545.34565,551.69315,568.934125,547.96815,550.334575
545.356575,551.70115,568.986475,548.0117,550.34845
545.370425,551.716,569.015525,548.019575,550.363975
545.3798,551.726,569.0397,548.0686,550.383
545.391575,551.8073,569.091275,548.08425,550.5664
545.403975,551.821375,569.10035,548.099225,550.5787
545.41425,551.863775,569.13045,548.132175,550.62685
545.4227,551.88275,569.38415,548.147375,550.647125
545.430525,551.900375,569.617425,548.196225,550.649725
545.43775,551.9372,569.90045,548.22875,550.68845
545.444625,551.972725,569.966,548.241925,550.741725
545.45855,551.9961,570.007875,548.2584,550.8711
545.46665,552.017475,570.102825,548.279425,550.8862
545.476025,552.03575,570.23255,548.291525,550.91225
545.488625,552.080925,570.361575,548.304175,550.929025
545.496825,552.105575,570.383325,548.3255,550.942
545.5074,552.119525,570.541875,548.36525,550.971825
545.51945,552.131775,570.55815,548.371975,550.9888
545.533225,552.147825,570.569925,548.3828,551.005825
545.547375,552.178425,570.59095,548.388025,551.03875
545.557575,552.1908,570.670175,548.3993,551.052975
545.574225,552.22905,570.69055,548.4098,551.066575
545.58935,552.312175,570.843875,548.436675,551.2272
545.61655,552.34185,570.926875,548.4438,551.24675
545.636175,552.395675,570.9584,548.466275,551.263275
545.657025,552.42125,570.977075,548.5049,551.30035
545.671525,552.471125,570.98935,548.5189,551.339275
545.690825,552.5196,571.00785,548.543825,551.40645
545.703775,552.55325,571.015125,548.602125,551.4203
545.718125,552.59615,571.029325,548.6831,551.44485
545.740325,552.658725,571.032225,548.69555,551.450575
545.7554,552.669725,571.09435,548.711725,551.4562
545.77115,552.6957,571.13465,548.7367,551.46045
545.7915,552.713875,571.16505,548.7601,551.46765
545.80505,552.730675,571.1926,548.771975,551.5658
545.825525,552.7582,571.19865,548.8135,551.586225
545.8457,552.9557,571.209975,548.841825,551.6039
545.86245,552.97385,571.232825,548.870375,551.6251
545.87935,552.9972,571.24605,548.900775,551.642575
545.904125,553.021225,571.26765,548.9093,551.6612
545.926975,553.046975,571.361625,548.933475,551.671525
545.9384,553.061175,571.4273,548.9433,551.6804
545.945275,553.138075,571.5999,548.95715,551.684825
545.95555,553.1629,571.6139,548.9652,551.699325
545.9735,553.196725,571.6472,548.984525,551.7398
545.986,553.2998,571.650575,549.0006,551.7715
546.002275,553.3256,571.654625,549.02235,551.788275
546.0142,553.351075,571.67355,549.034125,551.810775
546.02295,553.389525,571.7015,549.047425,551.835625
546.03035,553.4211,571.77385,549.055225,551.856825
546.035825,553.440275,571.79345,549.09715,551.888075
546.04155,553.45035,571.829325,549.11125,551.8993
546.049825,553.461225,571.881225,549.1187,551.939925
546.05625,553.482825,571.886225,549.143225,551.959825
546.064625,553.53925,571.8892,549.15205,552.0005
546.070625,553.572075,571.964725,549.2067,552.02035
546.1022,553.5842,571.989575,549.246075,552.041675
546.116075,553.599325,572.041925,549.26875,552.0517
546.130825,553.651475,572.2147,549.27935,552.064725
546.139575,553.6705,572.2338,549.298125,552.076825
546.15105,553.7203,572.236625,549.31015,552.088425
546.1681,553.806725,572.2818,549.318075,552.0973
546.182,553.817875,572.316325,549.348,552.10575
546.199725,553.843175,572.358475,549.38,552.1104
546.216475,553.854525,572.37715,549.4042,552.1995
546.231525,553.88235,572.837475,549.420875,552.280725
546.25435,553.92485,572.991775,549.4254,552.287475
546.27215,553.9542,573.151225,549.439675,552.296775
546.296075,554.04635,573.2959,549.4488,552.314975
546.316775,554.0846,573.451025,549.47975,552.326
546.333575,554.12835,573.479375,549.48965,552.33965
546.351575,554.219875,573.493,549.5043,552.3489
546.377325,554.27465,573.504425,549.507675,552.36555
546.40715,554.285425,573.523475,549.51355,552.4484
546.422325,554.298,573.556025,549.516525,552.46365
546.4327,554.358825,573.630775,549.51995,552.477525
546.4507,554.4208,573.71115,549.54275,552.493825
546.46375,554.4515,573.7578,549.5818,552.51115
546.4805,554.473325,573.886975,549.592975,552.5276
546.49205,554.4927,574.0179,549.619175,552.552475
546.502175,554.5137,574.034,549.628125,552.588025
546.51385,554.574775,574.06515,549.63925,552.61205
546.52795,554.629425,574.0732,549.65305,552.630825
546.54275,554.668575,574.108825,549.677925,552.64315
546.555875,554.6914,574.139925,549.7239,552.65465
546.5661,554.697775,574.2081,549.770775,552.66385
546.583825,554.722625,574.36795,549.8342,552.672375
546.59755,554.73115,574.3838,549.92595,552.68785
546.6128,554.745125,574.4209,549.935825,552.698225
546.631125,554.74835,574.468475,549.960725,552.743625
546.64105,554.782675,574.548275,549.966475,552.753675
546.6539,554.847225,574.6417,549.970975,552.7851
546.671,554.9005,574.70335,549.983775,552.795475
546.685825,554.9141,574.832875,549.986825,552.81665
546.698575,554.93335,574.984725,549.994475,552.8553
546.717225,554.97385,575.001425,550.004375,552.88945
546.728625,554.985375,575.014275,550.01935,552.913175
546.742975,555.01785,575.1086,550.0377,552.934725
546.766375,555.02355,575.175425,550.0973,552.95615
546.795825,555.0442,575.19205,550.11965,552.996675
546.8184,555.1075,575.219325,550.147475,553.0332
546.834825,555.1272,575.269525,550.17095,553.052975
546.85925,555.143325,575.29865,550.18385,553.076575
