SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC07c,SPK_SPKC13b,SPK_SPKC13c
25.581575,3657.5679,3696.90965,,,3624.360825
25.6581,3657.7854,3696.941725,,,3624.6592
25.830275,3658.0362,3696.95425,,,3624.890625
25.95095,3658.8183,3696.9808,,,3624.93725
25.9954,3659.51265,3697.015175,,,3625.02075
26.070525,3660.986,3697.0261,,,3625.164175
26.249,3661.9433,3697.0937,,,3625.755625
26.81405,3662.59205,3697.0952,,,3626.68655
26.886475,3663.06735,3697.143775,,,3626.7965
26.9493,3663.4233,3697.160275,,,3627.074675
27.23265,3663.543375,3697.172125,,,3627.1412
27.591525,3663.797775,3697.1875,,,3627.33115
27.831125,3663.950825,3697.207875,,,3627.525025
28.49485,3664.060975,3697.245275,,,3627.629975
28.645075,3665.6177,3699.94825,,,3628.346
28.682875,3666.513525,3700.8616,,,3629.230625
28.71155,3667.345675,3703.7263,,,3630.2694
29.651825,3667.639725,3709.052325,,,3630.746575
29.99955,3667.941725,3709.10685,,,3631.0347
30.3961,3669.276875,3709.15405,,,3631.188175
30.755725,3669.27935,3709.350525,,,3631.336175
31.2617,3669.5567,3710.648225,,,3631.956475
31.555525,3671.13235,3710.850225,,,3632.0731
31.650825,3671.40645,3714.4181,,,3632.42745
31.7868,3671.563375,3714.8256,,,3632.440475
33.00985,3671.9004,3715.309275,,,3632.97875
33.06005,3673.1975,3723.51725,,,3633.0308
33.1167,3673.4696,3723.7266,,,3633.492525
33.163325,3674.5392,3728.170425,,,3633.55555
33.46795,3674.83195,3731.43365,,,3633.8413
33.503475,3675.30935,3731.575275,,,3634.0245
34.055425,3676.045225,3731.623625,,,3634.487175
34.8456,3677.104675,3734.4232,,,3635.029625
35.566675,3677.450775,3737.529575,,,3635.179475
36.16145,3677.8188,3737.874,,,3635.46805
36.545925,3678.30335,3744.693675,,,3635.59775
36.822025,3679.2959,3748.328475,,,3635.8318
38.15225,3679.66735,3748.5945,,,3636.471075
38.378975,3679.8111,3749.43865,,,3636.6694
38.452275,3681.570525,3753.36555,,,3638.933375
38.516725,3681.815725,3754.42625,,,3639.67365
38.670425,3681.8188,3754.844,,,3639.9217
39.213325,3682.0674,3754.858825,,,3640.080225
39.710025,3682.3817,3754.897,,,3640.2616
40.011275,3682.692375,3755.137525,,,3640.4902
40.1533,3682.80095,3760.38025,,,3641.376375
41.018775,3683.182725,3763.593125,,,3641.570375
41.253425,3683.8205,3767.211225,,,3641.873575
41.48695,3685.04045,3772.434925,,,3642.064125
41.574275,3685.5848,3775.987975,,,3642.118925
42.12585,3687.38995,3776.26275,,,3642.443625
