SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC16a
16.325575,5.56325,13.86215,25.35185,16.604025,19.389575
16.409225,5.56675,13.8857,25.38645,16.854225,19.44755
16.55535,5.75815,13.90795,25.3877,16.909275,19.47435
16.5862,5.7959,14.044825,25.41735,16.937875,19.5235
16.690375,5.83715,14.062425,25.4431,16.97425,19.540825
17.0078,5.84515,14.076675,25.557825,17.091525,19.7727
17.037075,5.870625,14.1005,25.669375,17.137225,19.972025
17.399525,5.8756,14.12285,25.8485,17.17425,20.002075
17.56485,5.889375,14.28195,26.0258,17.18025,20.075525
17.996425,5.898275,14.35125,26.1333,17.35645,20.4345
18.00955,5.909225,14.357975,26.14455,17.589825,20.4634
18.031225,5.92025,14.431725,26.16325,17.625575,20.539025
18.033925,5.952075,14.435125,26.179525,17.74805,20.56985
18.211075,6.00825,14.54015,26.197475,18.013875,20.66295
18.376025,6.02495,14.551225,26.481075,18.04635,20.682475
18.45925,6.073425,14.5596,26.801975,18.28915,20.69725
18.58035,6.1422,14.598,26.856275,18.332375,20.7623
18.817425,6.15615,14.6877,27.119575,18.3983,20.88425
18.911375,6.346175,14.764725,27.13375,18.5571,20.9048
19.00445,6.359225,14.910175,27.238025,18.63365,20.986325
19.098775,6.368325,15.137975,27.354525,18.72375,21.1388
19.120875,6.420475,15.206175,27.4363,18.755725,21.180425
19.14755,6.425175,15.292775,27.4466,18.91755,21.2121
19.160125,6.46875,15.3022,27.46055,19.0788,21.38275
19.3229,6.487475,15.4172,27.917525,19.117225,21.4783
19.428625,6.504825,15.482225,28.494175,19.50335,21.532825
19.56705,6.5187,15.5031,28.495875,19.530175,21.6506
19.780675,6.53325,15.593075,28.960975,19.57115,21.740725
19.8491,6.595325,15.612125,28.983925,19.6153,21.7576
19.9304,6.723,15.62975,29.24105,19.76975,22.10485
19.982325,6.768225,15.63195,29.46185,20.04745,22.307525
19.998175,6.78185,15.6745,29.4713,20.105075,22.3795
20.192225,6.830225,15.68875,29.48555,20.189875,22.5026
20.247375,6.84265,15.700675,29.526825,20.23605,22.5134
20.29225,6.853525,15.74935,29.531075,20.313925,22.553
20.8742,6.86135,15.774675,29.86035,20.350025,22.688475
20.90865,6.86575,15.789725,30.30625,20.371825,22.81535
20.919925,6.88355,15.80085,30.442925,20.473025,23.08785
21.027375,6.9042,15.83335,30.793775,20.499325,23.112525
21.09935,6.926525,15.924025,30.830825,20.54735,23.122125
21.190225,6.946675,16.124075,31.002375,20.63635,23.128275
21.21795,7.041525,16.1504,31.100275,20.70875,23.19445
21.2476,7.070225,16.231275,31.1346,20.7846,23.207925
21.265375,7.089925,16.242525,31.4584,20.8151,23.275525
21.361475,7.090975,16.50145,31.53225,20.842075,23.290125
21.37685,7.0942,16.902075,32.2138,20.9079,23.3452
21.38825,7.13155,16.9306,32.2598,20.909075,23.361225
21.436475,7.1842,16.98105,32.279225,20.91535,23.646275
21.437975,7.22635,17.056225,33.411875,21.083625,23.6681
