SPK_SPKC02a (NA),SPK_SPKC05b (NA),SPK_SPKC06a (weak excitation),SPK_SPKC10a (short excitation),SPK_SPKC11a (no effect)
58.45145,120.35785,9.13185,10.241475,13.46835
58.5854,121.205425,9.138025,10.26805,13.50595
58.978575,121.446625,9.156325,10.2916,13.5475
59.09725,121.48225,9.1875,10.3207,13.5966
59.113025,121.625175,9.228975,10.3816,13.62705
59.7872,121.69705,9.274075,10.40725,13.6472
59.9523,121.71975,9.325775,10.4418,13.68815
60.1188,122.119,9.327225,10.45115,13.7636
60.242875,122.289525,9.382075,10.469975,13.913425
60.31485,122.321,9.41785,10.5271,13.945525
60.497425,122.378825,9.45775,10.556175,14.01115
60.562725,122.5869,9.49095,10.660475,14.03375
60.73145,122.67175,9.550075,10.70395,14.2061
61.313025,123.244525,9.653575,10.7234,14.248725
61.4213,123.78995,9.70165,10.75805,14.29925
61.69495,123.819725,9.707075,10.777675,14.39995
61.977375,124.5783,9.724,10.799675,14.4269
62.008175,124.6753,9.757025,10.8341,14.44015
62.223625,124.70255,9.79725,10.857825,14.499875
62.702,125.28685,9.8653,10.90495,14.526
62.727425,125.83835,9.93265,10.9321,14.63845
62.774725,126.054325,10.000125,10.974025,14.72485
62.99315,126.082675,10.0684,11.008325,14.733525
63.009375,126.231375,10.106725,11.036375,14.74805
64.10815,126.446725,10.118575,11.063225,14.7761
64.536125,127.18025,10.1515,11.12725,14.824825
64.58785,127.203625,10.1821,11.18805,14.90455
64.925125,127.2354,10.207125,11.20915,14.96455
65.1338,127.682925,10.2293,11.32555,15.00285
65.257325,127.713,10.279525,11.35745,15.0978
65.27925,128.866875,10.30295,11.395725,15.11025
65.32025,129.214625,10.3381,11.4242,15.1215
65.76245,129.277375,10.386975,11.45775,15.1545
65.819525,129.646925,10.413,11.638775,15.167075
66.9923,129.719975,10.435175,11.65745,15.17455
67.0871,129.73005,10.43635,11.70385,15.186775
67.311125,129.7778,10.4438,11.7675,15.20435
67.33705,129.953075,10.452875,11.799675,15.2426
67.41555,130.27595,10.4703,11.901525,15.290225
67.454025,130.646875,10.48,11.943625,15.35575
67.468275,130.90715,10.52015,11.9838,15.3821
67.583575,130.95545,10.543825,12.013625,15.459775
67.6387,130.970075,10.5684,12.041,15.50325
67.917675,131.037225,10.617375,12.06965,15.545475
68.455225,131.11255,10.642725,12.093375,15.56445
68.743025,131.604225,10.74365,12.126425,15.60105
69.199525,131.816925,10.805075,12.222875,15.6421
69.569925,133.045125,10.844475,12.320825,15.731025
69.64105,134.595125,10.93005,12.342825,15.807425
69.733025,134.654825,10.993575,12.390725,15.892475
69.9163,135.211025,11.00865,12.426575,15.905575
