SPK_SPKC04a (excited),SPK_SPKC04b (excited),SPK_SPKC12a (excited)
10.238775,198.6324,156.878475
10.295125,198.9771,156.887525
10.303025,199.279275,157.273775
10.317825,200.8531,157.369925
10.3334,200.9537,157.4851
10.3971,201.00125,157.5026
10.424375,202.257525,157.566425
10.4391,202.341075,157.69955
10.46625,202.3654,157.946625
10.47495,202.72845,158.419
10.476625,203.892025,158.42615
10.50605,203.903125,158.4768
10.5172,204.155725,159.158825
10.536275,204.230275,159.196175
10.5435,204.531925,159.5232
10.5654,204.7304,159.80265
10.59375,205.0325,160.11075
10.611375,205.0788,160.30365
10.62695,205.108125,160.34635
10.636775,205.208225,160.447525
10.638725,205.82965,160.690375
10.6661,206.04465,160.8121
10.6856,206.178925,161.036575
10.700075,206.2064,161.065625
10.705625,206.337225,161.54445
10.708275,206.5092,161.5627
10.7274,206.523825,161.836875
10.743625,206.8203,161.920775
10.755775,207.7951,163.209875
10.768325,207.873125,163.695375
10.77915,208.1495,163.868375
10.80085,208.336825,164.821
10.85575,208.990625,164.9397
10.869,209.5421,165.110175
10.87365,209.5486,165.201175
10.909575,209.756375,165.51025
10.915525,210.0751,167.255325
10.92395,211.43665,167.312075
10.940275,211.955925,167.508525
10.95145,211.9613,167.585175
10.966425,212.145475,167.683575
10.974775,212.4824,167.7771
10.9997,212.675525,167.8756
11.0151,213.367,168.11315
11.028425,214.42135,168.803075
11.07015,215.064025,168.888625
11.0903,215.242175,168.982875
11.09705,215.3517,169.364325
11.12835,215.80305,169.7902
11.143725,215.936375,170.192275
11.148425,215.9667,170.3826
11.1898,216.11605,170.6665
11.19865,216.587125,170.693325
11.21805,216.7162,170.723125
11.23635,216.72405,170.966825
11.271225,216.89235,170.97575
11.307225,217.1531,171.2688
11.3268,217.759475,171.2726
11.33885,217.992275,171.5256
11.35465,218.0163,172.137175
11.3886,218.4466,172.783475
11.394575,218.844375,172.797075
11.40695,219.1042,173.5297
11.414275,219.218975,174.50765
11.42605,219.419425,174.8221
11.4478,219.590475,175.494975
11.466225,220.378925,175.718875
11.495175,220.44765,175.7319
11.502975,220.4615,176.74235
11.517825,220.623775,176.769775
11.5298,221.58015,176.796375
11.53715,222.154,176.8906
11.5454,222.479775,177.2489
11.575875,224.07825,177.579675
11.62565,224.4917,177.764525
11.6317,224.762025,178.05385
11.657925,225.090325,178.339425
11.6697,225.44915,178.624275
11.677575,225.703075,179.445625
11.686075,225.9278,179.46325
11.7096,226.101425,180.428125
11.71575,226.20415,180.82855
11.7189,226.344125,181.137875
11.740775,226.401525,181.145675
11.763225,226.953775,182.346575
11.767,226.990325,182.36015
11.780825,227.089725,183.905675
11.804675,227.299575,184.09795
11.8109,227.749025,184.2528
11.865475,228.04975,184.395525
11.8858,228.270725,184.5599
11.944,230.1544,184.7643
11.951675,230.166125,185.090875
11.9876,230.2502,185.341025
12.017325,230.2914,186.132825
12.020225,230.33205,186.286025
12.0324,231.372025,186.308
12.052425,231.56575,186.9666
12.059425,232.2036,187.2933
12.0753,232.450675,188.492125
12.08915,232.8483,188.7994
12.11695,232.908025,189.031375
12.1497,233.662575,189.131925
12.16645,233.748025,189.147625
12.194825,233.83215,189.545225
12.204475,234.08195,190.111275
12.22055,234.105675,190.122925
12.235675,234.2463,191.473975
12.263075,234.741325,192.2873
12.277725,235.33315,192.771175
12.293875,235.856725,193.292475
12.308125,236.02485,193.6575
12.3096,236.17255,193.861
12.34385,236.4097,193.936225
12.3578,236.554025,195.11665
12.37625,236.62725,196.502375
12.381525,236.799025,197.653775
12.3924,236.910525,199.568425
12.425,238.123725,199.693875
12.4485,238.558325,200.433975
12.4696,238.808075,200.703025
12.49765,239.05315,200.7136
12.513375,239.270725,202.165425
12.541025,239.311725,202.46465
12.576825,239.40185,202.742325
12.581475,239.62095,203.047675
12.59655,239.95805,203.1883
12.606375,240.74105,203.23445
12.622125,241.68665,203.31575
12.65305,242.1937,203.359525
12.683225,242.197875,204.030325
12.6927,242.422375,204.041775
12.7295,242.648,204.045175
12.735225,243.05205,204.084125
12.752425,243.180875,204.129425
12.763625,243.750125,204.158325
12.782475,243.90015,204.19
12.78855,243.9809,204.22235
12.817475,244.382175,204.282875
12.8637,244.450325,204.29385
12.873225,244.86565,204.31505
12.89615,244.980875,204.3262
12.9603,245.0001,204.3342
12.971825,245.18795,204.351175
12.98645,245.224325,204.396925
13.0349,245.7864,204.436325
13.0416,246.09385,204.46675
13.0572,246.223525,204.5315
13.0879,246.45405,204.8084
13.100475,246.5575,205.007875
13.122375,246.966875,205.518975
13.136175,247.0188,205.901825
13.1745,247.026425,206.24395
13.1894,247.22495,207.023575
13.2211,247.336475,207.026575
13.223625,247.386825,207.94685
13.2337,247.70885,208.311975
13.24875,248.077275,209.98335
13.2737,248.120875,210.89215
13.291325,248.444925,210.90695
13.302425,248.554725,211.160275
13.3144,248.8209,211.450575
13.34585,248.927375,211.4918
13.39655,249.413625,211.987075
13.430425,249.6488,211.990875
13.45065,249.72785,212.34315
13.46605,249.8596,212.36895
13.470725,250.586875,212.66395
13.50005,250.8215,213.151325
13.504075,250.83445,213.497
13.5299,251.116225,214.2564
13.545025,251.3936,214.385225
13.561975,251.511575,214.4276
13.603625,251.727325,215.489625
13.622625,251.857575,215.6137
13.635025,252.22015,215.824025
13.6673,253.0956,215.843275
13.68265,253.848875,215.9609
13.7122,254.060425,215.9721
13.73115,254.223875,216.44485
13.73615,255.50015,216.450775
13.751325,255.7014,216.69645
13.773425,256.49635,217.1723
13.783575,256.7804,217.677325
13.79575,257.4337,217.969575
13.853725,257.558375,218.37095
13.87625,257.6479,218.6817
13.891075,257.8224,219.1572
13.904575,258.117625,219.163575
13.9236,258.145,219.496275
13.961475,258.245725,219.509625
13.975775,258.4583,219.57545
13.997825,258.852025,220.3201
14.052325,258.87255,220.397125
14.0656,259.235525,220.602925
14.078675,259.884075,221.5912
14.09415,259.9651,222.60455
14.1167,260.47735,223.022925
14.127975,260.6423,223.332375
14.13315,261.16195,224.0856
14.15715,261.749475,224.4401
14.1651,262.22915,224.54845
14.196475,262.3416,224.610625
14.2147,262.367875,224.8714
14.2213,262.6809,225.00955
14.235475,262.74285,225.588025
14.244625,263.17035,226.059975
14.251825,263.63295,226.5289
14.265375,263.78335,226.532475
14.275275,263.911575,226.698825
14.2971,264.414825,226.7093
14.32635,264.5448,226.71765
14.334175,264.850025,227.258075
14.35545,264.896425,227.4693
14.39835,265.975475,227.5491
14.403275,266.253675,227.8895
14.428225,266.430975,229.077575
14.4459,267.546675,229.101575
14.45355,268.576825,229.47795
14.4609,268.854025,229.5385
14.4802,268.91225,229.738
14.49055,269.3361,229.909925
14.49715,269.38885,230.48865
14.548625,269.755625,230.569625
14.598075,270.35805,230.930775
14.66315,270.66625,231.764725
14.688975,270.6888,231.793175
14.7126,271.072275,232.0713
14.741925,271.2492,232.40595
14.8067,271.369575,232.687325
14.8257,271.51525,232.73895
14.88055,271.942725,233.01275
14.893975,272.1627,233.51315
14.923225,272.65625,233.520675
14.93725,272.934775,233.879075
14.953325,273.17305,233.88345
14.9652,273.349025,233.9933
15.030925,273.88005,234.5196
15.04765,274.1968,235.3375
15.1067,274.40075,235.437725
15.15815,274.52055,235.588525
15.177425,275.26475,237.034375
15.1945,275.6205,237.08435
15.244675,275.9845,237.3608
15.25565,276.302275,237.37175
15.274975,276.470675,237.4597
15.306575,276.838825,237.521025
15.316325,277.156325,238.42975
15.37445,277.273775,239.353025
15.391025,277.36005,240.307275
15.399075,277.677575,240.473675
15.40065,277.72315,240.63355
15.412575,277.949275,240.90955
15.433,278.095975,241.395075
15.4459,278.409725,242.028225
15.46135,278.415025,242.327275
15.509425,278.481,243.31085
15.5411,278.484025,243.332675
15.617075,278.6304,243.900325
15.745175,279.211375,243.998875
15.7705,279.2453,244.792075
15.791225,279.39105,245.096575
15.8448,280.36825,247.195875
15.873525,281.074075,247.211925
15.909675,281.29425,247.5452
15.9341,281.5405,247.62245
15.94535,282.079375,247.777275
15.954275,282.570375,248.138175
15.956275,282.623325,248.14515
15.9765,282.729325,248.620925
15.979825,284.0324,249.691225
15.9928,284.355975,250.352325
16.001225,284.461,250.70435
16.015775,284.62375,251.6583
16.022525,284.632625,252.116275
16.10075,284.6965,253.63435
16.12625,284.905825,253.664675
16.1341,284.967325,253.91315
16.1774,285.042125,254.002225
16.214475,285.300675,254.653625
16.2471,285.3139,254.9742
16.2565,285.714325,255.3469
16.28965,286.087625,255.6235
16.339775,286.243375,255.668175
16.351075,286.416,255.767925
16.372975,286.572475,256.67205
16.3896,286.5968,256.903925
16.40605,286.72025,256.92235
16.41105,286.8626,257.046425
16.4269,286.960825,257.296025
16.443675,287.25265,258.272825
16.4868,287.2669,258.309775
16.531175,287.55535,258.35085
16.54415,287.6459,258.6192
16.563925,287.65225,258.738225
16.580275,287.70345,259.344225
16.591625,287.800775,260.290825
16.613125,288.175875,260.975425
16.61975,288.231375,260.980675
16.644825,288.239525,261.231875
16.6521,288.41345,261.553925
16.6661,288.55555,261.58975
16.708275,288.8615,262.149
16.733775,289.025725,263.376525
16.737625,289.159075,263.4696
16.76615,289.207975,263.7718
16.771275,289.3126,264.8013
16.7832,289.541625,265.286575
16.8362,290.29815,265.803225
16.8412,290.550275,266.07095
16.85465,290.625925,266.29805
16.8564,290.99245,266.56725
16.86015,291.156575,266.66235
16.911025,291.219625,266.955775
16.9268,291.40915,267.103075
16.967175,291.64335,267.2623
16.983075,292.19185,267.392575
16.986475,292.5641,267.4989
17.027275,292.59265,267.871175
17.06495,293.15115,267.925425
17.076325,293.198325,268.0435
17.091025,293.527725,268.15975
17.096825,293.708925,269.3587
17.1171,295.16365,269.36605
17.132225,295.17415,269.57205
17.1483,295.26565,269.66665
17.161275,295.6239,270.24075
17.1963,295.910975,270.353275
17.2045,296.174275,270.839125
17.22265,296.305675,271.5457
17.242975,296.318775,272.1608
17.250175,296.3301,272.197275
17.2705,296.3413,272.6267
17.2975,296.6988,272.629875
17.33185,296.815325,273.123725
17.343625,296.828675,274.0134
17.354175,296.9082,274.70655
17.35595,297.21675,275.00935
17.374975,297.60905,276.174
