SPK_SPKC03a (late inhi),SPK_SPKC11a (inhi)
351.6599,366.170075
351.66705,366.20795
351.676725,366.260575
351.6882,366.3044
351.70115,366.35905
351.730325,366.41395
351.774175,366.481625
351.78665,366.5367
351.81425,366.567275
351.822575,366.657225
351.829475,366.7143
351.836275,366.776175
351.8492,366.81555
351.8558,366.84775
351.8664,366.9777
351.87815,367.0115
351.88875,367.1429
351.896775,367.2983
351.9221,367.46295
351.944775,367.50805
351.955075,367.593225
351.9655,367.688275
351.97415,367.711775
351.988025,367.777425
352.00185,367.83515
352.014875,367.926875
352.026725,368.009925
352.038875,368.05665
352.053325,368.090925
352.0699,368.136875
352.084875,368.246325
352.098925,368.288125
352.115125,368.358125
352.13555,368.430925
352.149,368.45885
352.156975,368.526025
352.173475,368.5717
352.19575,368.62915
352.2064,368.688525
352.220325,368.724375
352.2462,368.81455
352.253675,368.9149
352.26405,369.00095
352.2778,369.048225
352.286325,369.1763
352.32285,369.345525
352.34105,369.44465
352.3502,369.5199
352.3728,369.7608
352.403975,369.863125
352.4244,369.9062
352.439775,370.04905
352.452475,370.166375
352.4732,370.2265
352.499,370.273825
352.510425,370.33755
352.527025,370.421975
352.5354,370.550275
352.55155,370.6081
352.564475,370.657775
352.5733,370.7151
352.583025,370.783525
352.592425,370.840475
352.6043,370.8918
352.613,370.927825
352.6223,370.9701
352.637975,371.1018
352.679175,371.172775
352.69245,371.35575
352.713575,371.453125
352.729525,371.583875
352.760375,371.67945
352.77195,371.771075
352.792675,371.81795
352.8023,371.890925
352.818375,371.94895
352.82765,372.007575
352.8427,372.0891
352.862275,372.115625
352.876125,372.147225
352.8848,372.17775
352.902825,372.224025
352.9161,372.2582
352.932175,372.311725
352.99015,372.35155
353.008125,372.401
353.022575,372.4439
353.044175,372.467625
353.063475,372.5401
353.092425,372.6143
353.111275,372.654
353.1211,372.71425
353.1324,372.7658
353.143925,372.81315
353.154425,372.854925
353.161025,372.898775
353.170025,372.9544
353.176825,373.077375
353.18635,373.1264
353.195625,373.160225
353.201275,373.2041
353.23415,373.29495
353.26165,373.33495
353.277625,373.382125
353.2851,373.41805
353.29335,373.46765
353.305975,373.526875
353.31375,373.5892
353.323325,373.6369
353.33455,373.673875
353.349925,373.73095
353.363375,373.805625
353.380925,373.85555
353.398875,373.90795
353.418425,373.961425
353.429775,373.9914
353.439125,374.0369
353.446225,374.082475
353.461025,374.12285
353.47125,374.152475
353.50385,374.179825
353.523275,374.21965
353.539675,374.22115
353.55195,374.2609
353.567825,374.30025
353.58265,374.3857
353.608025,374.44945
353.62325,374.485575
353.630225,374.5048
353.643075,374.53035
353.650825,374.576375
353.65805,374.5861
353.6632,374.68275
353.671375,374.72325
353.678325,374.7921
353.6862,374.815625
353.699775,374.836425
353.711375,374.868825
353.719575,374.925275
353.7367,374.9653
353.745425,375.0054
353.759725,375.0475
353.796475,375.117125
353.9054,375.172725
353.982,375.216925
354.04395,375.252975
354.059425,375.280025
354.068525,375.309575
354.0848,375.36115
354.187675,375.38535
354.21225,375.4397
354.228575,375.5243
354.2384,375.65345
354.2465,375.705075
354.259025,375.74735
354.27405,375.778325
354.286725,375.828675
354.2956,375.889125
354.305425,375.919925
354.3113,375.96855
354.324975,376.04745
354.347,376.102375
354.36005,376.166775
354.37225,376.214075
354.390575,376.304475
354.399325,376.335875
354.40335,376.3374
354.4172,376.3609
354.42925,376.466875
354.43495,376.503475
354.441575,376.732625
354.4504,376.824225
354.4546,376.85695
354.4689,376.891375
354.4757,376.936575
354.480725,376.974225
354.486625,377.0026
354.5155,377.044875
354.52455,377.07795
354.529275,377.1252
354.553,377.164775
354.60985,377.210625
354.618575,377.2385
354.627175,377.2906
354.6449,377.332325
354.651375,377.37375
354.671425,377.484575
354.6959,377.5269
354.708575,377.57915
354.7189,377.6364
354.7258,377.712775
354.7351,377.756075
354.74265,377.979375
354.75445,378.045425
354.778725,378.088775
354.794975,378.131325
354.815125,378.212
354.826075,378.244625
354.8341,378.27805
354.844375,378.310475
354.855825,378.3379
354.866325,378.397
354.8777,378.4682
354.8972,378.54465
354.913525,378.608
354.93315,378.660925
354.96075,378.710675
354.968175,378.738725
354.97915,378.766625
354.996975,378.794475
355.0071,378.81785
355.023425,378.84585
355.03055,378.87475
355.0409,378.931425
355.0509,378.96775
355.062325,379.0066
355.0761,379.045075
355.0851,379.089875
355.09425,379.156775
355.10705,379.27935
355.12165,379.362625
355.142475,379.409825
355.156575,379.45935
355.16775,379.50085
355.175925,379.54365
355.194325,379.57925
355.220575,379.62675
355.252875,379.66915
355.262775,379.727075
355.279,379.794275
355.2996,379.8372
355.3328,379.870825
355.349775,379.913475
355.36045,380.040775
355.391025,380.115675
355.40455,380.171775
355.415875,380.2398
355.431575,380.297475
355.4577,380.34545
355.47485,380.3982
355.487875,380.4409
355.4989,380.526625
355.5095,380.58125
355.52415,380.631775
355.53505,380.684425
355.561025,380.75315
355.5713,380.81355
355.584075,380.859375
355.613575,380.95055
355.623425,381.026875
355.6333,381.0719
355.644925,381.113575
355.677275,381.1563
355.6908,381.25445
355.701125,381.323925
355.71925,381.37265
355.73045,381.423375
355.764825,381.546225
355.773,381.6305
355.77955,381.718375
355.7876,381.7751
355.8033,381.829575
355.8098,381.8928
355.826775,381.947775
355.838175,382.0037
355.846025,382.0774
355.85875,382.124025
355.867625,382.173825
355.8781,382.203325
355.8931,382.22215
355.899775,382.2851
355.91015,382.339575
355.9176,382.38315
355.930425,382.384825
355.93555,382.441075
355.945175,382.503125
355.952925,382.62185
355.9609,382.67665
355.972175,382.725025
355.98055,382.7599
355.9898,382.78595
356.005925,382.812725
356.0128,382.8502
356.022625,382.882575
356.028775,382.930325
356.051675,382.992775
356.0678,383.015525
356.082625,383.033025
356.095225,383.071675
356.1042,383.09455
356.114275,383.1713
356.136125,383.208725
356.1429,383.26015
356.1647,383.309725
356.175375,383.3461
356.187225,383.386425
356.212475,383.41785
356.23115,383.464175
356.252925,383.505875
356.26475,383.5384
356.27545,383.5671
356.29945,383.622175
356.311725,383.63465
356.320875,383.684675
356.337375,383.724975
356.351,383.781925
356.3594,383.8176
356.371175,383.856875
356.38035,383.8869
356.393675,383.923325
356.4241,383.9671
356.44575,384.0542
356.47,384.10565
356.48485,384.178325
356.497175,384.258825
356.508525,384.2967
356.521425,384.345875
356.543175,384.402575
356.550475,384.435975
356.56225,384.56625
356.57175,384.63925
356.584225,384.702175
356.596125,384.7454
356.6074,384.795475
356.621575,384.8477
356.6393,384.8807
356.6505,384.9172
356.6912,384.945325
356.710225,384.95475
356.748675,384.988525
356.79545,385.032675
356.825675,385.063725
356.848225,385.192925
356.8641,385.24645
356.88025,385.29015
356.89245,385.342075
356.90675,385.380175
356.91015,385.4318
356.92255,385.483425
356.927875,385.52105
356.94165,385.57155
356.9621,385.62515
357.011675,385.69785
357.04905,385.747475
357.1141,385.810975
357.157875,385.8532
357.16845,385.870925
357.1851,385.929875
357.194875,386.008625
357.215525,386.04305
