SPK_SPKC05a (excited),SPK_SPKC07a (excited),SPK_SPKC08a (inhibited),SPK_SPKC13b (no effect),SPK_SPKC16a (excited)
18.207575,18.816175,15.508925,6.200075,5.974725
18.316325,19.009975,15.62395,6.236675,6.004925
18.577775,19.108525,15.7299,6.3593,6.015575
18.59415,19.145725,15.8397,6.385275,6.050175
18.63195,19.391525,15.89985,6.401225,6.0522
18.671325,19.446575,15.9694,6.411675,6.0556
18.730025,19.55035,16.011575,6.431,6.071525
18.847775,19.6349,16.116275,6.4385,6.10525
18.898975,19.77495,16.162,6.488775,6.143875
18.92385,19.88975,16.292125,6.51045,6.197
18.97,20.08735,16.35875,6.570625,6.234525
19.0795,20.152075,16.422925,6.645025,6.274175
19.638025,20.303175,16.466075,6.72475,6.27915
19.729175,20.3445,16.534425,6.728475,6.301625
19.82865,20.380425,16.6146,6.75485,6.3821
19.916825,20.4152,16.687075,6.75605,6.390675
20.034325,20.4534,16.739225,6.7706,6.395875
20.1524,20.501525,16.791025,6.7953,6.4317
20.5716,20.6564,16.833975,6.81495,6.436575
20.582675,20.736675,17.0097,6.8389,6.476775
20.648825,20.8233,17.0814,6.869075,6.687475
20.6774,20.850025,17.108125,6.88805,6.711275
20.7335,20.908525,17.165025,6.920875,6.717575
20.81615,21.087575,17.337975,6.987225,6.7252
20.90805,21.2905,17.383625,7.022875,6.74055
20.943175,21.7674,17.419625,7.0442,6.7457
21.0284,22.07075,17.495075,7.09125,6.792925
21.2882,22.112575,17.630725,7.121575,6.80995
21.337525,22.271075,17.668075,7.15095,6.849775
21.6909,22.344075,17.73825,7.18635,6.917
21.774525,22.380925,17.824925,7.225925,6.93655
21.9032,22.407725,17.979075,7.245575,6.959075
22.0984,22.694025,18.0356,7.27525,7.1506
22.1691,22.72225,18.089825,7.3168,7.184575
22.23685,22.82565,18.171175,7.329,7.2873
22.322475,22.87985,18.23195,7.419375,7.295475
22.392725,22.911125,18.389725,7.47185,7.3022
22.86895,22.94615,18.44835,7.558925,7.31575
22.890025,22.948475,18.507825,7.58,7.330325
22.915725,22.99825,18.602425,7.62335,7.342225
22.94545,23.0568,18.654575,7.6496,7.353375
23.004775,23.196025,18.9786,7.6855,7.36555
23.096625,23.2491,19.138575,7.7025,7.413275
