SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC11a,SPK_SPKC14a,SPK_SPKC15a
241.094375,210.093575,249.3516,,,231.71355
241.39205,210.12285,249.362175,,,231.820675
241.4147,210.151,249.43405,,,231.8544
241.450275,210.184775,249.7278,,,231.87475
241.585925,210.212325,249.772275,,,231.912425
241.633475,210.2551,249.81655,,,232.001025
241.681275,210.282575,250.172425,,,232.1432
241.762325,210.3053,250.194375,,,232.1751
242.170775,210.332275,250.21615,,,232.221375
242.207575,210.381525,250.254025,,,232.37475
242.2495,210.42,250.27195,,,232.429675
242.7109,210.4559,250.38945,,,232.59825
242.763425,210.485375,250.596725,,,232.61875
243.137725,210.51025,250.61385,,,232.62365
243.46785,210.549725,250.734775,,,232.662325
243.54735,210.5882,251.320225,,,232.704525
243.571575,210.6218,251.378675,,,232.7198
243.709525,210.66005,251.392,,,232.974975
243.744175,210.6957,251.4115,,,233.081
243.779825,210.731225,251.44635,,,233.084325
243.8056,210.7602,251.508825,,,233.135775
243.844025,210.78445,251.7879,,,233.173225
243.8598,210.8255,251.7968,,,233.196525
243.8774,210.8544,251.8315,,,233.200975
243.917375,210.898275,252.1635,,,233.2635
243.99625,210.918175,252.170425,,,233.377575
244.068,210.94175,252.20095,,,233.580175
244.114125,210.96485,252.214475,,,233.582625
244.31205,210.980175,252.2222,,,233.58565
244.352575,211.01445,252.230925,,,233.5892
244.3871,211.043775,252.491925,,,233.65305
244.537175,211.047175,252.5037,,,233.745025
244.5665,211.08245,252.5215,,,233.795975
244.6164,211.1192,252.830025,,,233.843675
244.659725,211.188425,252.8532,,,233.847525
245.093325,211.227875,252.86455,,,234.0283
245.1413,211.246825,252.91955,,,234.103325
245.50435,211.280525,252.991825,,,234.1678
245.5342,211.343575,253.242425,,,234.33145
245.608125,211.36965,253.30245,,,234.39015
245.68645,211.413675,253.55335,,,234.395225
245.877275,211.4396,253.722625,,,234.54415
245.974775,211.47585,254.02495,,,234.676025
246.965825,211.541775,254.722525,,,234.679025
247.0046,211.5759,254.75565,,,234.82925
247.111625,211.628475,255.238275,,,235.115
247.1274,211.659125,255.744125,,,235.118425
247.216875,211.700325,256.14355,,,235.159925
247.282225,211.72755,256.198225,,,235.174675
247.58335,211.75,256.556475,,,235.182325
247.616075,211.7881,256.6434,,,235.18525
247.630925,211.817025,256.910625,,,235.274575
247.659,211.849125,257.327425,,,235.297575
247.74665,211.884725,257.73815,,,235.3923
248.206,211.91985,258.15395,,,235.507225
248.22855,211.93735,258.679875,,,235.5468
248.23655,211.958375,258.771,,,235.549725
248.27335,211.988925,259.10775,,,235.602975
248.369125,212.020675,259.403825,,,235.64805
248.4126,212.04705,259.674425,,,235.66425
248.510075,212.053975,259.697525,,,235.71725
249.2718,212.091175,260.0605,,,235.88575
249.907725,212.11905,260.4077,,,236.06305
249.942775,212.15225,260.4428,,,236.065975
250.29805,212.17665,260.578125,,,236.0703
250.3628,212.215275,260.811725,,,236.1279
250.459775,212.262,260.824375,,,236.15745
250.498375,212.283125,261.1791,,,236.280125
250.7669,212.308875,261.35555,,,236.456775
250.8419,212.341075,261.914425,,,236.635375
250.852875,212.3647,262.24985,,,236.676375
250.871825,212.399875,262.292675,,,236.67875
250.93085,212.4309,262.5978,,,236.680925
250.962025,212.4909,262.6147,,,236.776575
251.3928,212.5113,262.878225,,,236.80245
251.412075,212.5537,262.929925,,,236.805825
251.4347,212.605375,263.250225,,,237.093675
251.59585,212.6411,263.69585,,,237.09785
251.6212,212.66385,263.980725,,,237.1034
251.65845,212.6928,264.045675,,,237.1447
251.7197,212.74405,264.317875,,,237.210075
251.78675,212.785425,264.4891,,,237.24425
251.8134,212.820275,264.6077,,,237.31955
251.86555,212.8692,264.907,,,237.511275
252.2328,212.891525,265.17675,,,237.5136
252.34595,212.921375,265.194725,,,237.601575
252.995175,212.9369,265.743325,,,237.6469
253.5793,212.94395,266.14465,,,237.758
254.00735,212.99115,266.240425,,,237.824175
254.0169,213.023275,266.28055,,,237.8276
254.052525,213.052375,266.330075,,,237.839875
254.43005,213.102275,266.584725,,,237.866775
254.459225,213.165575,266.874825,,,237.896575
254.500075,213.20135,267.21135,,,237.9674
254.5282,213.235475,267.2458,,,237.9715
254.712025,213.2856,267.71815,,,238.01385
254.723025,213.318975,267.7342,,,238.18855
254.765775,213.34585,267.8753,,,238.250875
254.79985,213.373,268.145725,,,238.402525
254.818975,213.398025,268.180175,,,238.441875
254.879025,213.42605,268.6477,,,238.4557
254.90335,213.453775,268.700525,,,238.49055
255.22185,213.47145,268.892375,,,238.4964
255.24325,213.5059,269.0072,,,238.587075
255.25775,213.56655,269.397275,,,238.61925
255.2738,213.58555,269.4852,,,238.64975
255.3315,213.6106,269.50905,,,238.66595
255.63785,213.6252,269.58345,,,238.712575
255.673525,213.64585,269.591025,,,238.7187
255.695975,213.675875,269.63975,,,238.89045
255.74465,213.71,269.897725,,,238.98635
255.789425,213.737075,269.929425,,,239.020725
255.84065,213.767025,269.97645,,,239.024
256.179975,213.806325,270.015525,,,239.0957
256.197225,213.825675,270.04715,,,239.179125
256.2286,213.853275,270.305125,,,239.181675
256.32935,213.88035,270.708975,,,239.23475
256.519175,213.91515,270.76405,,,239.535675
256.661025,213.94505,270.822475,,,239.58985
256.695575,213.96855,270.840575,,,239.6183
257.07985,214.0061,271.81635,,,239.646825
