SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC13a
736.043025,856.43955,732.828325,726.52395,714.729725
736.220775,857.533375,732.92285,726.584925,714.789375
736.426875,858.75095,733.16585,726.659525,714.82235
736.58325,859.85765,733.25795,726.699675,714.864875
736.823325,861.15495,733.469025,726.802925,714.8924
737.163225,862.673325,733.571925,726.949125,714.937125
737.19505,863.359575,734.128125,727.174925,714.9762
737.3264,864.131475,734.446325,727.34915,715.003275
737.4062,865.078875,734.709675,727.59085,715.051425
737.5287,866.150175,734.964825,727.87705,715.084475
737.6473,867.218075,735.28415,728.006325,715.12585
737.707275,868.633075,735.4766,728.211975,715.15665
737.865175,869.56245,735.562975,728.34715,715.18205
737.92055,870.2634,735.681275,728.441475,715.23525
738.2024,871.758225,735.958575,728.507475,715.259925
738.351175,874.976975,736.56145,728.6099,715.297125
738.485025,875.742275,736.664025,728.7686,715.329175
738.822625,876.34835,736.8952,728.876425,715.37865
738.9239,876.762,737.38875,728.9189,715.472925
739.013,877.193975,737.49965,729.019175,715.52455
739.099325,878.430125,737.546525,729.1364,715.555275
739.219425,878.9588,737.7514,729.248125,715.611675
739.383875,880.521475,738.058,729.31855,715.659
739.4439,881.921225,738.25705,729.47945,715.70925
739.634975,883.2942,739.252425,729.64095,715.806
740.0728,884.413525,739.848275,729.931875,715.9209
740.179175,885.6659,740.0106,730.18255,715.94865
740.410375,886.894925,740.0907,730.507825,715.969975
740.54145,887.91525,740.32665,730.51535,716.044625
740.618,891.16385,740.36145,730.67875,716.077
740.7137,892.0765,740.5421,730.7847,716.116775
740.85155,893.229825,740.632575,730.87825,716.146875
741.0715,894.0568,740.742225,730.958925,716.1992
741.112925,895.577175,740.98145,731.122525,716.27385
741.31505,896.345575,741.154875,731.3814,716.324575
741.4272,898.667275,741.7022,731.595825,716.348475
741.531,899.61815,741.915075,731.752575,716.42685
741.605775,900.49,742.2672,731.899375,716.474775
741.691975,902.35405,742.5016,732.078225,716.530325
741.825425,902.677475,742.5468,732.65045,716.568425
741.952025,903.6821,742.757475,732.79805,716.60955
742.084625,905.38725,742.7679,732.998275,716.655625
742.2843,906.79965,743.0049,733.117375,716.807675
742.383175,907.8249,743.433075,733.35255,716.919175
742.46625,908.536325,743.534225,733.479425,716.997875
742.5837,910.94885,743.759375,733.531475,717.092875
742.6638,911.406625,743.82015,733.639075,717.1675
742.744625,912.195925,744.200775,733.7385,717.2332
