SPK_SPKC12a,SPK_SPKC13b
517.93845,539.899925
517.946575,539.911475
517.954225,539.92215
517.963425,539.934575
517.965475,539.96005
517.974975,539.98425
517.981925,540.017925
517.98685,540.06645
517.9889,540.078425
518.00205,540.110025
518.00545,540.122425
518.011175,540.1511
518.017975,540.217175
518.02705,540.2852
518.039475,540.305725
518.05155,540.3207
518.066475,540.357575
518.076625,540.368125
518.094625,540.3711
518.111825,540.3828
518.13515,540.441225
518.147625,540.4681
518.15025,540.4715
518.16775,540.496675
518.17575,540.500425
518.1958,540.530725
518.205225,540.54745
518.210025,540.554925
518.2157,540.607875
518.2214,540.61815
518.22655,540.655025
518.232275,540.691175
518.2386,540.711775
518.250075,540.73055
518.256025,540.7392
518.268825,540.769425
518.27615,540.770875
518.28065,540.798025
518.284925,540.807325
518.303125,540.814625
518.3149,540.86415
518.326975,540.88285
518.339775,540.898175
518.350775,540.9129
518.364625,540.93585
518.373275,540.95235
518.382975,541.1092
518.39815,541.17515
518.406325,541.277075
518.4383,541.2912
518.457925,541.319275
518.480675,541.3276
518.492375,541.349875
518.506275,541.377025
518.51655,541.738375
518.530175,541.794725
518.543125,541.8375
518.55385,541.8591
518.5704,542.015425
518.588475,542.0232
518.5993,542.050025
518.619475,542.137175
518.638975,542.14205
518.65925,542.147975
518.670375,542.166325
518.7054,542.3223
518.729075,542.324275
518.7425,542.4182
518.786075,542.432025
518.80335,542.451975
518.85075,542.47815
518.86935,542.5492
518.89035,542.5652
518.908025,542.6855
518.927125,542.846125
518.94125,542.85775
518.9694,543.00935
518.997725,543.03465
519.017325,543.1403
519.032725,543.282275
519.047675,543.3498
519.08755,543.366525
519.1032,543.440525
519.12,543.504525
519.1382,543.873225
519.15825,543.940475
519.190725,544.037
519.204775,544.0637
519.212875,544.144125
519.231625,544.15615
519.248825,544.217225
519.25785,544.22095
519.27535,544.278
519.293175,544.321275
519.314125,544.3878
519.34425,544.479475
519.361375,544.523825
519.388925,544.558775
519.418025,544.55985
519.438625,544.691225
519.4545,544.824625
519.475175,544.8576
519.4957,544.871875
519.511975,544.907725
519.531525,545.136075
519.54295,545.20545
519.561325,545.231525
519.5713,545.2709
519.583925,545.3359
519.589025,545.34365
519.60415,545.34715
519.609,545.34865
519.613525,545.353275
519.618075,545.3577
519.6224,545.3739
519.6261,545.380175
519.631,545.417375
519.634975,545.570175
519.640425,545.65995
519.645325,545.718125
519.658525,545.74865
519.6635,545.874575
519.6714,545.8862
519.67695,545.96995
519.6937,546.02905
519.701475,546.11495
519.713025,546.1964
519.731525,546.20755
519.73745,546.228125
519.749425,546.317925
519.766025,546.37905
519.795325,546.4061
519.804075,546.41415
519.814025,546.421625
519.82575,546.43235
519.84185,546.4417
519.855975,546.4455
519.862675,546.461375
519.87125,546.4839
519.911175,546.51685
519.9379,546.5193
519.9504,546.553375
519.9639,546.73455
519.981275,546.75695
519.9949,546.7752
520.0263,546.796125
520.0358,546.8915
520.05095,546.91225
520.071125,546.957
520.079925,546.9661
520.1001,547.009925
520.12015,547.08315
520.1349,547.154325
520.14815,547.17175
520.1626,547.266275
520.182175,547.5669
520.196825,547.578075
520.213075,547.58675
520.2313,547.649125
520.2525,547.689
520.29135,547.695725
520.318575,547.7119
520.321275,547.792425
520.333175,547.794375
520.376075,547.85865
520.401275,547.887025
520.417925,547.950475
520.42905,547.9751
520.4499,547.99505
520.465475,548.0222
520.48405,548.045925
520.512325,548.07895
520.532975,548.1497
520.5476,548.239625
520.567625,548.34405
520.6234,548.36415
520.63805,548.4049
520.66065,548.41875
520.671875,548.481725
520.6842,548.4912
520.69995,548.506425
520.711725,548.517225
520.7227,548.626825
520.7377,548.63635
520.758275,548.660575
520.7687,548.7443
520.785425,548.833025
520.802375,548.964975
520.818675,548.970825
520.822475,549.00205
520.833125,549.008675
520.8491,549.041075
520.88645,549.13955
520.903375,549.231275
520.915625,549.39995
520.9336,549.412325
520.951275,549.447025
520.96295,549.736025
520.99295,549.7474
521.0098,549.796825
521.0404,549.860175
521.05545,549.876425
521.07615,549.955875
521.091225,549.986875
521.102825,550.033125
521.11885,550.057875
521.133875,550.080225
521.149525,550.086475
521.19205,550.1805
521.2108,550.2301
521.2201,550.25475
521.228325,550.34455
521.2394,550.375175
521.264475,550.389775
521.285125,550.437475
521.30765,550.5648
521.32235,550.6366
521.333525,550.665
521.34315,550.74715
521.352875,550.769475
521.3656,550.793975
521.378875,550.805175
521.3847,550.809975
521.39355,550.8547
521.403,550.89525
521.417625,550.9341
521.426525,550.968825
521.4352,551.0504
521.45675,551.0551
521.466425,551.104775
521.47455,551.1404
521.4846,551.145925
521.491625,551.162275
521.500225,551.19525
521.507225,551.1971
521.515625,551.221775
521.5226,551.2258
521.528225,551.26825
521.538475,551.362475
521.554825,551.3708
521.564525,551.446725
521.57105,551.494575
521.57475,551.505025
521.5843,551.558
521.59005,551.600275
521.59965,551.641775
521.608775,551.66335
521.625725,551.684025
521.6321,551.736925
521.639475,551.743875
521.655425,551.7775
521.6612,551.793275
521.673625,551.8107
521.677875,551.862125
521.682,551.879075
521.692225,551.89145
521.6984,551.952175
521.709575,552.0154
521.71745,552.091225
521.732325,552.106175
521.7402,552.11895
521.750175,552.134825
521.76305,552.15025
521.770675,552.1897
521.7781,552.20355
521.784975,552.21415
521.79135,552.219875
521.7982,552.2602
521.805675,552.263375
521.811525,552.294025
521.816925,552.3155
521.823325,552.3202
521.82765,552.332375
521.8371,552.3873
521.84355,552.389875
521.847725,552.410025
521.85245,552.414825
521.8618,552.42975
521.86825,552.488725
521.873,552.523125
521.882225,552.541275
521.8903,552.582425
521.898875,552.603775
521.906375,552.6149
521.9137,552.62445
521.923125,552.655825
521.941025,552.719475
521.947475,552.801575
521.958675,552.823
521.96075,552.881975
521.973575,552.906725
521.983075,552.934425
521.99145,553.0037
521.998925,553.027175
522.023525,553.038025
522.027275,553.050275
522.030675,553.07625
522.035825,553.09815
522.0454,553.19825
522.049625,553.20855
522.0532,553.24205
522.057275,553.271525
522.065825,553.289825
522.069975,553.323375
522.07365,553.335
522.076625,553.338475
522.0807,553.3625
522.083775,553.4366
522.088875,553.453275
522.093875,553.470125
522.100925,553.480025
522.106875,553.498
522.111625,553.5109
522.1196,553.526225
522.13535,553.56545
522.1421,553.57545
522.152775,553.583425
522.160475,553.72675
522.1665,553.764275
522.17535,553.801525
522.1817,553.802725
522.18665,553.8377
522.193375,553.8519
522.200475,553.874025
522.21955,553.8795
522.2292,553.903
522.244725,553.903975
522.254325,553.92105
522.266675,553.93085
522.278125,553.960325
522.291675,553.97735
522.3018,553.983475
522.309275,554.013975
522.323675,554.028675
522.32875,554.030225
522.335225,554.0575
522.34095,554.074825
522.348475,554.0791
522.354825,554.10755
522.3611,554.11355
522.3713,554.1332
522.3933,554.18315
522.4019,554.21755
522.409525,554.263875
522.4151,554.29715
522.420825,554.329325
522.437825,554.343425
522.44215,554.37695
522.4475,554.40415
522.455375,554.464075
522.4756,554.476625
522.485025,554.50375
522.490975,554.5187
522.4959,554.536275
522.50105,554.554175
522.504625,554.5845
522.5086,554.59615
522.52905,554.601625
522.53435,554.62905
522.540875,554.672625
522.546475,554.6772
522.5523,554.6815
522.562025,554.686475
522.5699,554.687775
522.580425,554.6977
522.594175,554.698825
522.603125,554.711125
522.6191,554.718075
522.643725,554.7262
522.6667,554.736725
522.678925,554.79525
522.697925,554.805975
522.709,554.868525
522.721925,554.873125
522.73565,554.904775
522.74545,554.914725
522.75515,554.948375
522.76045,554.956575
522.7685,554.968625
522.791825,554.996875
522.801675,555.0084
522.814775,555.018775
522.82535,555.056875
522.8373,555.103175
522.84435,555.11135
522.857125,555.12005
522.864725,555.127275
522.87615,555.1582
522.88345,555.18535
522.8925,555.18825
522.8994,555.196175
522.916175,555.203725
522.926475,555.208625
522.9351,555.217475
522.94355,555.219825
522.95645,555.2379
522.967625,555.276875
522.97955,555.3244
522.9939,555.371325
523.0035,555.383575
523.0111,555.39595
523.0139,555.44495
523.024525,555.509425
523.0397,555.548675
523.0495,555.5676
523.065325,555.5804
523.0951,555.59595
523.1032,555.61295
523.107025,555.655
523.1218,555.70945
523.14115,555.737
523.159975,555.74665
523.17635,555.7935
523.19355,555.813175
523.2336,555.887875
523.2483,555.904075
523.263925,555.9415
523.27935,555.98105
523.318725,555.99705
523.335975,556.040675
523.380275,556.053875
523.399225,556.0991
523.4172,556.112375
523.436975,556.126225
523.47085,556.1409
523.497275,556.1428
523.549425,556.157175
523.562375,556.161075
523.584225,556.169625
523.602175,556.222775
523.631475,556.2253
523.673925,556.23215
523.692725,556.29325
523.703625,556.2943
523.73425,556.3098
523.74785,556.376975
523.760475,556.38455
523.778125,556.392225
523.789325,556.446625
523.803025,556.4567
523.818475,556.50455
523.836075,556.519275
523.85325,556.576075
523.87385,556.76965
