SPK_SPKC03a (no response),SPK_SPKC06a (no response),SPK_SPKC12a (no response)
37.729075,33.965925,25.853075
37.843275,34.107425,25.897425
38.0361,34.28035,25.946125
38.0682,34.414925,26.04215
38.229325,34.49165,26.069925
38.2983,34.6765,26.144
38.33885,34.727725,26.2511
38.459725,34.776575,26.430125
38.623975,34.8377,26.5131
38.692925,34.9276,26.543025
38.7055,34.97705,26.573425
38.766675,35.032575,26.8153
38.90205,35.1205,26.83635
39.1189,35.161325,26.9298
39.201275,35.241925,26.936675
39.42325,35.482275,27.067725
39.549075,35.524175,27.169525
39.5974,35.538625,27.180125
39.7892,35.565375,27.28585
39.923625,35.651125,27.3228
39.941925,35.7016,27.347725
40.102025,35.769025,27.749
40.2719,35.83985,27.82985
40.30625,35.948625,28.046475
40.310675,36.112675,28.0589
40.38835,36.14995,28.076825
40.5965,36.2934,28.086325
40.620825,36.328025,28.102275
40.730725,36.3746,28.113525
40.750875,36.4248,28.12655
40.817675,36.494,28.29175
40.909025,36.5704,28.35795
40.9993,36.599925,28.480525
41.112975,36.651375,28.539025
41.34205,36.7087,28.55375
41.497425,36.792825,28.578275
41.5105,36.86985,28.629
41.570025,36.892925,28.831225
41.682325,36.96115,28.9356
41.8316,37.037925,28.9575
42.063325,37.103775,29.006175
42.16565,37.253625,29.04535
42.167325,37.285575,29.058125
42.199925,37.45425,29.0955
42.252075,37.487625,29.136375
42.29665,37.525825,29.233375
42.392725,37.552425,29.410175
42.57745,37.590975,29.45755
42.58825,37.71315,29.4884
42.601175,37.7808,29.62245
42.661825,37.836925,29.7242
42.81375,37.864875,29.84835
43.053225,38.026925,29.90475
43.082575,38.06785,29.964825
43.223375,38.15195,29.985525
43.3389,38.176425,30.215775
43.461125,38.2303,30.2791
43.565025,38.374575,30.329275
43.7351,38.55035,30.35515
43.761375,38.59895,30.386
43.948375,38.6704,30.429
43.9509,38.71195,30.4834
44.042175,38.764025,30.53745
44.21125,38.98915,30.6408
44.226925,39.380625,30.692875
44.238725,39.4434,30.7513
