SPK_SPKC01a (no effect),SPK_SPKC05a (inhibited),SPK_SPKC08a (inhibited),SPK_SPKC09a (no effect),SPK_SPKC12a (excited),SPK_SPKC13a (excited)
10.964175,7.285825,2.96445,5.81355,45.3485,4.431325
10.96925,7.3144,2.97945,5.832825,46.6804,4.449075
10.9766,7.347875,2.991025,5.84855,46.97,4.462225
10.99205,7.4271,2.9992,5.855775,47.3938,4.464375
11.033325,7.537075,3.012275,5.878725,48.142525,4.48575
11.070475,7.55505,3.02215,5.9499,48.15005,4.519375
11.095025,7.574525,3.030225,6.0356,48.167375,4.532375
11.113575,7.598175,3.039175,6.117075,48.201875,4.551825
11.116775,7.712875,3.053125,6.183525,48.2735,4.5679
11.132025,7.72965,3.074775,6.2935,48.378425,4.59195
11.16825,7.755175,3.101225,6.335775,48.400675,4.611575
11.18725,7.789825,3.12355,6.352525,48.469475,4.62865
11.23215,7.88835,3.140925,6.394975,48.5189,4.6437
11.268625,8.001525,3.18535,6.4041,48.66085,4.660575
11.348925,8.084175,3.2064,6.4716,49.113175,4.68685
11.38745,8.15765,3.22785,6.49205,49.520375,4.6998
11.4228,8.183125,3.2446,6.496575,49.72575,4.712175
11.4804,8.2034,3.255825,6.5219,49.826725,4.72455
11.5113,8.23175,3.2701,6.59265,50.0918,4.73505
11.5259,8.268075,3.2778,6.631475,50.169025,4.74965
11.565425,8.324625,3.28895,6.75255,50.188975,4.76585
11.609725,8.357475,3.299375,6.831675,50.494525,4.778675
11.6923,8.4919,3.318875,6.841625,50.7937,4.7917
11.74125,8.51585,3.3294,6.863175,50.919975,4.80255
11.824375,8.54045,3.33555,6.903175,51.001325,4.8171
11.887775,8.560225,3.3431,6.91255,51.088975,4.855525
11.9782,8.718575,3.354775,6.927975,51.133375,4.869575
12.014875,8.81665,3.369975,6.990275,51.356525,4.889075
12.0346,8.848675,3.399725,7.08275,51.41435,4.9027
12.05025,8.94345,3.421875,7.102725,51.470025,4.927675
12.0824,8.97355,3.45285,7.19395,51.573925,4.940975
12.11305,8.981875,3.479125,7.227675,51.828475,4.95545
12.120875,9.0533,3.50155,7.265575,51.845375,4.969325
12.155025,9.081725,3.533775,7.2995,52.057475,4.9796
12.15665,9.11315,3.56495,7.3365,52.513175,4.98255
12.1829,9.148625,3.5894,7.35145,52.773375,4.994575
12.235975,9.238425,3.6555,7.39165,52.8139,5.010975
12.2704,9.243125,3.68525,7.43515,52.9221,5.031725
12.295175,9.262,3.69855,7.48975,53.083775,5.05165
12.311825,9.279475,3.707625,7.516775,53.28825,5.0655
12.384175,9.32595,3.71465,7.554325,53.349875,5.084975
12.441875,9.37025,3.7206,7.5997,53.491775,5.116925
12.475925,9.3925,3.7291,7.6911,53.777375,5.137275
12.573225,9.488175,3.74835,7.718625,53.799125,5.154475
12.714375,9.508725,3.75115,7.7376,54.3122,5.1986
12.7411,9.52505,3.757575,7.75675,55.16855,5.407875
12.944075,9.54915,3.763175,7.7701,55.23295,5.46115
13.040175,9.642075,3.778625,7.8407,55.238325,5.4768
13.0524,9.725625,3.787275,7.87295,55.92005,5.507775
13.304975,9.811675,3.795825,7.902975,57.44285,5.528375
13.31565,9.831725,3.802075,7.984875,57.72395,5.5474
