SPK_SPKC09a (no response),SPK_SPKC10a (inhi),SPK_SPKC13b (inhi),SPK_SPKC14a (no response),SPK_SPKC15a (inhi)
122.71025,121.8637,123.1146,108.15335,126.903725
122.7947,121.9812,123.266275,108.1736,127.016
122.807075,122.014975,123.363725,108.1902,127.03275
122.84615,122.037925,123.424575,108.209,127.237475
122.9109,122.06745,123.480375,108.21975,127.428025
122.995225,122.10605,123.64115,108.268725,127.594625
123.058675,122.1167,123.651325,108.29305,127.6216
123.110575,122.144025,123.663675,108.340275,127.63205
123.19115,122.15735,123.701225,108.366075,127.90845
123.288825,122.198575,123.71525,108.38235,127.9496
123.39055,122.489475,123.754275,108.40225,128.33795
123.4979,122.645875,123.7752,108.435875,128.398725
123.5393,122.682825,123.78395,108.449075,128.450975
123.619025,122.763775,123.8213,108.453225,128.524625
123.643475,122.76855,123.893125,108.5036,128.772875
123.6535,122.7704,123.92025,108.52535,128.85285
123.750025,122.790025,124.004975,108.542825,129.143025
123.879,122.8392,124.0478,108.567325,129.241475
123.908575,122.9828,124.05415,108.59895,129.2695
123.98325,123.074475,124.2997,108.64395,129.5135
124.197575,123.367975,124.432175,108.667675,129.599025
124.43075,123.54385,124.52065,108.696825,129.815
124.464175,123.673675,124.649325,108.706775,129.850725
124.5346,123.73365,124.6919,108.711825,129.8751
124.560825,123.799425,124.718075,108.737425,129.9151
124.64605,124.03515,124.75165,108.75095,129.960375
124.728275,124.143,124.8188,108.76785,129.98165
124.741175,124.243625,124.835325,108.815975,130.053
124.7682,124.3024,124.927625,108.838425,130.241225
124.967325,124.30435,124.962175,108.8666,130.297225
125.106525,124.353425,124.9772,108.89145,130.328775
125.120225,124.363875,125.1692,108.9019,130.61955
125.1803,124.383575,125.18185,108.95975,130.643625
125.26955,124.398275,125.1878,109.00535,130.69965
125.38725,124.401925,125.33135,109.02205,130.734175
125.523825,124.425425,125.516525,109.05075,130.79385
125.570075,124.4384,125.620525,109.087425,131.0732
125.676525,124.499625,125.63955,109.113475,131.123225
125.688575,124.72325,125.7245,109.130675,131.1686
125.83275,124.83215,125.774175,109.149475,131.1949
125.903725,124.940875,125.81955,109.152075,131.2356
125.943175,125.033225,125.83195,109.170925,131.253725
126.07355,125.087825,125.8867,109.1988,131.27605
126.137075,125.1155,125.963375,109.2165,131.3903
126.271925,125.122825,126.08965,109.239225,131.486425
126.282275,125.29125,126.191475,109.257325,131.521025
126.3527,125.310025,126.4318,109.278675,131.56835
126.447875,125.55125,126.5524,109.28585,131.597825
126.4958,125.57655,126.5875,109.322575,131.62735
126.543675,125.59575,126.594125,109.351125,131.856925
126.600575,125.59715,126.61835,109.369475,131.920725
126.837875,125.64305,126.684575,109.397325,131.993475
126.94515,125.676675,126.708675,109.402325,132.026
127.053475,125.7873,126.798,109.439225,132.05175
127.1286,125.86995,126.93565,109.4908,132.113275
127.192575,126.048025,127.19385,109.52415,132.19645
127.230125,126.139225,127.205,109.546,132.201675
127.327925,126.163075,127.21765,109.60305,132.22145
127.3657,126.1752,127.2406,109.6522,132.2407
127.3796,126.186725,127.25665,109.6707,132.245425
127.406275,126.199275,127.275125,109.69085,132.36805
127.439825,126.218275,127.283225,109.7108,132.4025
127.48065,126.244875,127.311525,109.731275,132.43585
127.4989,126.254575,127.329975,109.73405,132.51225
127.52575,126.258525,127.4045,109.73805,132.7645
127.6666,126.290525,127.495275,109.74995,132.8434
127.827375,126.3203,127.598975,109.783125,132.896025
127.87155,126.456325,127.6127,109.787575,132.93145
127.928875,126.502925,127.7739,109.80845,133.02415
127.97725,126.52165,127.7971,109.8209,133.0735
128.11755,126.664875,127.843425,109.82435,133.134825
128.229275,126.769375,127.899775,109.8277,133.332475
128.312375,126.820375,127.9633,109.851325,133.365975
128.479525,126.829825,128.084725,109.8752,133.4065
128.538825,126.95195,128.210775,109.900875,133.457975
128.577475,126.99635,128.246,109.91305,133.6216
128.61165,127.0267,128.261975,109.928075,133.64915
128.6833,127.038525,128.350425,109.9678,133.6708
128.739775,127.07005,128.390875,110.0014,133.7062
128.8003,127.0876,128.409425,110.014925,133.8072
