SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC15a,SPK_SPKC16b
3879.214675,3805.72595,3809.83675,3807.2183
3879.369425,3805.747025,3809.92525,3807.2561
3879.398925,3805.770925,3809.954625,3807.295725
3879.43275,3805.797725,3809.9871,3807.34775
3879.502725,3805.834875,3810.009575,3807.388925
3879.7787,3805.8641,3810.018275,3807.430725
3879.8882,3805.882325,3810.046575,3807.4663
3880.4215,3805.89455,3810.0703,3807.490575
3880.592075,3805.903125,3810.0923,3807.505925
3880.614475,3805.9216,3810.20065,3807.564925
3881.30115,3805.9326,3810.2263,3807.5941
3881.588275,3805.9522,3810.300975,3807.62345
3881.97905,3805.9636,3810.330625,3807.703075
3882.28105,3805.98405,3810.35745,3807.741725
3882.29885,3806.0219,3810.386025,3807.786525
3882.4222,3806.038325,3810.503425,3807.830525
3882.732625,3806.0492,3810.559125,3807.92075
3882.740675,3806.059125,3810.6472,3807.96385
3883.179425,3806.070725,3810.694075,3808.01655
3883.583075,3806.09125,3810.7099,3808.135175
3883.842125,3806.107025,3810.737525,3808.178825
3884.359825,3806.122775,3810.773425,3808.21355
3884.377075,3806.13625,3810.826275,3808.2287
3884.388625,3806.152975,3810.8502,3808.259925
3885.1218,3806.16295,3810.898175,3808.2891
3886.85865,3806.1861,3810.920125,3808.318325
3886.90915,3806.1968,3810.9476,3808.367675
3887.48235,3806.233125,3810.97585,3808.41035
3887.779825,3806.24875,3811.006575,3808.493425
3887.8667,3806.26775,3811.02395,3808.5427
3888.25485,3806.2802,3811.0352,3808.666825
3888.5722,3806.2945,3811.09995,3808.71765
3888.5808,3806.30985,3811.17475,3808.8158
3889.330725,3806.323675,3811.201825,3808.919975
3889.5197,3806.34175,3811.2462,3808.980725
3889.596625,3806.35435,3811.285575,3809.0093
3890.7835,3806.379025,3811.3882,3809.068975
3890.804875,3806.422025,3811.41435,3809.11965
3891.26875,3806.46055,3811.4359,3809.169475
3892.383725,3806.508325,3811.5504,3809.227775
3892.5815,3806.5341,3811.57725,3809.2721
3892.610475,3806.60265,3811.6068,3809.32115
3892.8036,3806.616375,3811.65215,3809.3766
3892.886775,3806.647025,3811.686825,3809.43665
3892.9316,3806.659475,3811.7493,3809.465675
