SPK_SPKC03a (no effect),SPK_SPKC12a (no effect)
233.50565,17.096
233.752225,17.10945
233.839825,17.125
233.94985,17.13985
234.076075,17.15545
234.58875,17.16945
234.653375,17.185925
234.7608,17.2015
235.311075,17.2183
235.540625,17.2329
236.2764,17.2435
236.510075,17.251875
236.825375,17.269325
236.945675,17.280775
237.558425,17.296825
237.715325,17.3087
237.75105,17.321975
237.8836,17.33815
237.910475,17.367325
238.328875,17.37905
238.365475,17.388675
238.615,17.4057
238.659525,17.425775
239.599475,17.442375
239.6516,17.46555
239.812125,17.489325
239.957375,17.512575
240.350575,17.543325
240.37695,17.565
240.4192,17.597225
241.050475,17.6184
242.029025,17.63355
242.216875,17.66275
242.6996,17.6765
242.821275,17.69895
242.9035,17.71875
243.0228,17.742225
243.754525,17.769625
244.3857,17.797275
245.142075,17.82205
245.28275,17.851725
245.42565,17.899925
246.22325,17.934325
246.50035,17.9633
246.6691,17.987475
246.9742,18.0015
247.021075,18.01855
247.05505,18.03105
247.5417,18.04785
247.5816,18.0672
247.88035,18.088375
247.969825,18.11005
249.016025,18.1273
249.080025,18.152175
249.234275,18.17735
249.401325,18.20395
249.432125,18.219175
249.5798,18.2452
249.64755,18.260075
249.778075,18.2842
250.025975,18.30695
250.246175,18.32405
250.4255,18.36115
250.5957,18.399525
251.20015,18.43405
251.464675,18.4694
251.557625,18.515575
252.2836,18.554975
252.4065,18.59035
252.50325,18.6199
252.730175,18.642575
253.2523,18.6714
253.290975,18.7082
253.5801,18.746725
253.797975,18.788725
253.89455,18.8471
253.9273,18.896975
254.302225,18.960525
254.473775,19.003225
254.598775,19.023275
254.9257,19.058775
255.0904,19.0863
255.3625,19.1014
255.70855,19.1205
256.03565,19.139325
256.106,19.16235
256.218,19.189625
256.301125,19.2164
256.549425,19.32795
256.613675,19.347475
257.175375,19.355075
257.691525,19.3677
257.887525,19.397175
258.0485,19.4128
258.09025,19.4292
258.219,19.439275
258.35,19.456725
258.478825,19.4743
258.560625,19.4922
258.694775,19.502775
258.777875,19.51455
258.853,19.52815
259.036525,19.539225
259.09755,19.553
260.1351,19.559175
260.2308,19.565875
261.6215,19.575075
261.905625,19.592175
262.06565,19.6032
262.099975,19.61805
262.425725,19.639175
262.44485,19.662275
262.48915,19.6818
262.5014,19.699725
262.9261,19.713225
263.1259,19.73285
263.35195,19.746225
263.622875,19.7616
263.664775,19.774325
263.8231,19.800775
263.86935,19.81955
264.0226,19.846625
264.321675,19.878575
264.6554,19.9027
264.91055,19.9164
265.231225,19.932725
265.389225,19.94895
265.5012,19.9657
265.640675,19.981025
265.685475,19.998475
265.765275,20.01035
265.98255,20.03735
266.050675,20.062625
266.138125,20.08765
266.385225,20.112025
266.572525,20.134275
266.997575,20.151375
267.5335,20.1755
267.573975,20.203725
267.621225,20.235825
267.7364,20.278275
268.04155,20.3105
268.093675,20.347075
268.241625,20.364525
268.601925,20.389875
268.704075,20.413975
268.92575,20.443825
268.986525,20.465975
269.034475,20.492075
269.153325,20.5244
269.202025,20.5572
270.0185,20.578975
270.7718,20.596875
270.936675,20.620575
271.3044,20.645325
271.421625,20.663325
271.613175,20.679325
271.66485,20.69025
271.998775,20.7008
272.2891,20.71195
272.51795,20.721
272.590575,20.7297
272.83475,20.7419
272.940325,20.7494
273.316975,20.758825
273.457275,20.770875
273.630175,20.778875
273.658725,20.791925
273.964825,20.799325
274.094275,20.815775
274.318625,20.857625
274.431125,20.8696
274.5767,20.88245
274.778125,20.890675
274.809325,20.9066
275.01905,20.9201
275.1226,20.931525
275.6052,20.947025
275.65145,20.9573
276.526425,20.9656
276.8178,20.976525
277.05955,20.9878
277.18125,20.999425
277.2401,21.011125
277.269625,21.022875
277.272425,21.071625
277.982025,21.087225
278.38705,21.1105
278.4433,21.1318
278.593175,21.15005
278.68515,21.1703
278.7485,21.187525
279.143325,21.2077
279.375775,21.2263
279.721575,21.241125
279.76205,21.25505
279.877925,21.26935
280.548475,21.271225
280.8372,21.282475
280.8385,21.300525
280.89995,21.311075
281.092975,21.32355
281.133225,21.333575
281.497,21.3511
281.5629,21.364125
281.8442,21.37835
281.956025,21.3935
282.03485,21.411425
282.089025,21.422525
282.4562,21.439825
282.4778,21.460175
282.5148,21.479925
282.537275,21.497175
282.66305,21.51405
282.828425,21.526825
283.223,21.53775
283.2858,21.55085
283.42185,21.5602
283.4802,21.57385
283.5317,21.58875
283.659875,21.617125
283.69775,21.640225
283.75805,21.65645
283.87595,21.665175
284.230825,21.672125
284.334175,21.685075
284.42365,21.698675
284.593325,21.710475
284.82445,21.726275
284.86075,21.739
285.1661,21.754275
285.4645,21.764925
286.97465,21.78125
287.01925,21.80885
287.41465,21.820625
287.607775,21.830125
287.67515,21.839025
287.812,21.85145
288.336,21.86755
288.383925,21.883875
288.395825,21.896575
288.839325,21.906375
289.11295,21.91795
289.238675,21.93575
289.286775,21.948275
289.29875,21.96245
289.43295,21.979625
289.60745,22.001975
289.726575,22.026275
289.747625,22.047125
290.130675,22.076875
290.337125,22.0981
290.49995,22.1262
290.579075,22.146725
290.82985,22.189575
290.980575,22.2179
291.547675,22.2482
291.614725,22.28065
291.683575,22.31365
291.81805,22.3704
292.023375,22.434525
292.222325,22.486575
292.7381,22.507825
292.8387,22.530375
293.188125,22.548025
293.25005,22.57005
293.561975,22.591525
294.1807,22.622125
294.329375,22.648825
294.360525,22.678775
294.6157,22.7274
295.18445,22.75215
295.3002,22.77065
296.252275,22.790425
296.265,22.81135
296.356875,22.83435
296.427225,22.8717
296.58345,22.9001
296.740175,22.9293
296.7875,22.959125
296.842225,22.9876
297.0156,23.0135
297.288475,23.0414
297.447325,23.064375
297.655875,23.0906
298.2224,23.12595
298.37,23.17715
298.454175,23.213775
298.72475,23.240175
298.7406,23.26385
298.78615,23.292225
299.52715,23.317075
299.615825,23.343575
299.927125,23.36395
300.987075,23.3854
301.096275,23.4052
301.1166,23.43955
301.130575,23.460875
301.452975,23.4841
301.695825,23.507925
301.9089,23.525225
302.17855,23.540775
302.322775,23.55935
303.294875,23.57695
303.368975,23.586475
303.706275,23.5912
303.7582,23.60445
303.99095,23.633425
304.065325,23.649325
304.5138,23.660725
304.521575,23.669275
304.5359,23.68395
304.598675,23.69605
304.71835,23.708225
304.84965,23.722175
305.4208,23.736875
305.937225,23.749625
306.0711,23.758975
306.3164,23.769225
306.32685,23.783675
306.338525,23.7943
306.43175,23.802575
306.603675,23.8126
307.036375,23.821375
307.2741,23.8306
307.337375,23.841425
308.0209,23.8514
308.07045,23.864075
308.577525,23.893325
308.63775,23.910925
308.68085,23.926075
308.77805,23.942575
308.7961,23.9611
308.883275,23.976475
308.8843,23.991525
309.02375,24.017175
309.073475,24.035075
309.139725,24.05585
309.35775,24.070675
309.486975,24.087025
309.5643,24.101825
309.644225,24.117625
309.758475,24.135725
309.8197,24.153075
310.1698,24.1789
310.290575,24.19585
310.8735,24.221825
310.92725,24.247625
310.98475,24.266025
311.694325,24.308275
311.831375,24.356425
312.08335,24.39145
312.124725,24.4156
312.176075,24.4315
312.2997,24.45915
312.950925,24.474575
313.662475,24.4929
314.12135,24.5149
314.16905,24.536525
314.44565,24.55735
314.923425,24.5855
315.00215,24.606125
315.681225,24.630025
315.75145,24.6577
315.913925,24.684625
315.959025,24.708225
316.12635,24.7284
316.652525,24.7507
317.23655,24.78355
317.522375,24.805275
317.768925,24.835525
317.944375,24.857825
318.980725,24.88245
319.050875,24.923575
319.139125,24.9482
319.89605,24.98515
320.48425,25.025075
320.682025,25.0631
320.821575,25.08755
,25.1215
,25.1375
,25.154425
,25.164725
,25.167075
,25.181875
,25.198025
,25.209275
,25.219275
,25.235925
,25.253975
,25.26775
,25.286325
,25.3018
,25.313225
,25.3214
,25.3301
,25.33695
,25.34355
,25.348625
,25.353525
,25.365625
,25.372475
,25.38015
,25.38825
,25.407875
,25.416325
,25.447425
,25.457175
,25.46955
,25.4812
,25.489425
,25.49135
,25.5003
,25.515875
,25.53155
,25.54745
,25.56605
,25.57985
,25.597075
,25.611825
,25.628025
,25.647675
,25.662925
