SPK_SPKC04a (no effect),SPK_SPKC05a (excited),SPK_SPKC06a (no effect),SPK_SPKC08a (NA)
19.0567,49.761075,62.7904,26.16625
19.074075,49.9948,62.904225,26.181725
19.1175,50.214,62.95345,26.233425
19.1359,50.3479,63.04475,26.2591
19.193975,50.46985,63.172625,26.311025
19.208475,50.98905,63.343725,26.372
19.2309,51.00955,63.4099,26.412275
19.287625,51.043375,63.444575,26.458975
19.3242,51.09375,63.494,26.52655
19.352125,51.1506,63.596575,26.5841
19.35885,51.23775,63.61935,26.62715
19.4049,51.28445,63.69565,26.710925
19.44165,51.3563,63.9032,26.778225
19.458975,51.412575,64.327525,26.8068
19.5258,51.58755,64.4532,26.86135
19.567375,51.668425,64.483025,26.8832
19.606775,52.204475,64.622325,26.9293
19.648675,52.251875,64.9424,26.95805
19.67835,52.3496,66.7401,26.998575
19.739925,53.462825,67.335,27.02685
19.79455,53.576475,67.4718,27.0741
19.815825,53.650275,67.9881,27.2221
19.8563,53.963875,68.00365,27.24115
19.908075,54.38425,68.134675,27.254775
19.922725,54.72805,68.2258,27.3453
19.9527,54.939125,70.266225,27.3797
20.0058,55.2609,70.479575,27.44745
20.0467,55.9846,70.649275,27.499875
20.0871,56.0953,70.957925,27.596075
20.1516,56.128975,71.15085,27.716725
20.20035,56.4812,71.949675,27.780075
20.234125,56.838975,72.36475,28.030925
20.27375,57.3117,72.5678,28.103375
20.277,57.634725,72.62095,28.24135
20.29965,57.690025,72.750225,28.40235
20.31315,57.8646,73.5172,28.4858
20.34875,57.934025,73.912275,28.6056
20.379075,57.962025,73.964575,28.7338
20.425525,58.45495,74.010575,28.8769
20.524775,58.48245,74.309475,28.902725
20.567775,58.51065,74.40165,28.9246
20.58355,58.5427,74.45185,29.023775
20.61965,58.58275,74.82335,29.15975
20.69265,58.812,75.64755,29.234325
20.76115,58.963925,75.8779,29.4909
20.778125,59.047375,76.274175,29.5962
20.825325,59.275025,76.33395,29.683125
20.870475,59.71815,76.420825,29.7732
20.9117,59.961175,76.576175,29.99605
20.92565,60.210325,76.651525,30.309575
20.959725,60.479025,76.86365,30.427925
20.99635,60.541025,76.9786,30.47595
21.029325,60.728475,77.118175,30.5526
21.0406,60.8178,77.225175,30.773825
