SPK_SPKC01a (NA),SPK_SPKC04a (inhibited),SPK_SPKC08b (excitation + inhibition),SPK_SPKC11a (inhibited),SPK_SPKC11b (inhibited),SPK_SPKC13a (NA)
8.3134,16.4103,5.08205,54.627975,49.189375,14.4587
8.3254,16.58105,5.117575,61.57015,49.486425,14.526575
8.348225,16.5969,5.131925,61.664675,49.64295,14.574275
8.3647,16.621525,5.162175,61.699025,50.528325,14.6496
8.392175,16.63345,5.1914,61.721775,50.6339,14.709125
8.435525,16.92335,5.226525,62.1525,50.74365,14.82635
8.631575,16.956975,5.232425,62.386825,50.78285,14.874275
8.647775,17.019725,5.2441,69.70465,50.988625,14.939575
8.962225,17.04055,5.308775,71.77135,51.712625,15.177925
9.124675,17.0802,5.34425,71.81485,51.845225,15.2457
9.175025,17.253225,5.381025,72.35895,51.891625,15.315775
9.567075,17.5371,5.423025,72.3732,51.920675,15.41545
9.715625,17.6627,5.482175,74.424875,52.262225,15.474825
10.002125,17.82055,5.515325,74.43255,52.5981,15.527975
10.0361,17.928375,5.530425,74.516075,52.672125,15.588875
10.0448,18.027475,5.559825,74.868075,52.752425,15.68135
10.0523,18.06445,5.60775,75.21685,52.874575,15.811225
10.059475,18.149,5.62905,75.272425,52.9604,15.854575
10.2223,18.169575,5.646025,75.387675,53.02485,15.8992
10.248525,18.269775,5.660825,75.406425,53.039175,15.94255
10.285275,18.3168,5.688175,75.46105,53.0461,16.024
10.29635,18.524475,5.708075,75.498425,53.0523,16.11615
10.305975,18.704,5.742675,75.661775,53.224575,16.122375
10.57815,18.8976,5.792275,75.68745,53.355325,16.20365
10.6205,18.97075,5.806125,76.030475,53.385825,16.352125
10.99715,19.0249,5.858675,76.49995,53.615175,16.441425
11.140325,19.048925,5.8627,76.92495,53.907125,16.500025
11.151275,19.0844,5.934875,77.323675,53.943125,16.6689
11.170725,19.1222,5.95525,77.40615,54.4301,16.744675
11.1855,19.133825,5.97355,78.091075,54.6124,16.840275
11.20235,19.204575,6.002925,78.139075,54.746825,16.887175
11.206425,19.257625,6.04305,78.61525,54.98145,17.0021
11.245975,19.3456,6.091475,78.685825,54.99885,17.077625
11.36125,19.392825,6.144725,78.70345,55.2894,17.286925
11.383875,19.4947,6.1702,78.7253,55.315775,17.35755
11.7352,19.56465,6.175175,79.0219,55.7212,17.42535
11.7578,19.5891,6.201375,79.123325,55.854275,17.48805
11.779225,19.741575,6.241,79.174575,56.26835,17.5412
11.832775,19.849225,6.26285,79.192225,56.359,17.618025
11.913625,19.866875,6.277475,79.533275,56.660175,17.7426
12.230125,19.895525,6.293325,79.5579,57.0176,17.8687
12.23945,19.957325,6.379875,80.232275,57.263025,17.952125
12.25235,20.046475,6.492,80.275275,57.5981,18.020475
12.261375,20.158975,6.50795,80.5311,57.690975,18.14475
12.2684,20.2422,6.5252,80.542425,57.75755,18.21405
12.27315,20.507175,6.54115,82.472975,57.8867,18.268775
12.276825,20.5818,6.566175,82.633075,58.4977,18.28055
12.28385,20.71315,6.625125,82.674575,58.5952,18.35225
12.28845,20.785025,6.6452,82.680825,58.674775,18.79975
12.293625,20.818725,6.682975,83.2433,58.714675,18.8652
12.298625,20.9419,6.72675,83.89045,58.8184,18.90455
12.30345,21.04995,6.737075,84.143375,59.017375,18.944975
12.307175,21.175325,6.74975,84.14735,59.105175,19.1652
12.316925,21.239375,6.77275,84.15455,59.139275,19.25195
12.32325,21.2867,6.80315,84.160475,59.35405,19.32595
12.519,21.329875,6.8446,87.26355,59.469925,19.46495
12.54845,21.3861,6.9814,87.356725,59.530625,19.5332
12.568775,21.40425,7.0009,87.4458,59.552725,19.570325
12.62045,21.540875,7.00945,87.45825,59.6685,19.635475
12.837475,21.611775,7.0275,87.49145,59.822775,19.779425
12.855125,21.63075,7.06345,87.585925,59.952825,19.850825
12.85915,21.802075,7.0655,87.594225,60.04085,19.920875
12.870875,21.88415,7.0986,91.53235,60.0968,20.0316
12.874525,21.92685,7.169,92.562,60.2021,20.1019
12.881075,21.99605,7.2756,92.57635,60.68165,20.12085
12.884525,22.031625,7.287575,94.73975,60.78795,20.26315
12.893125,22.1151,7.299825,94.7677,61.000425,20.381225
12.90165,22.349125,7.35215,94.788575,61.157525,20.453775
12.904675,22.42135,7.421175,94.851875,61.356525,20.558525
12.924525,22.752725,7.430475,95.307125,61.72545,20.6069
12.9275,22.77865,7.44275,97.45785,61.820875,20.684075
12.929275,22.984975,7.453975,97.4872,61.914475,20.74535
12.948,23.0728,7.49045,97.735625,61.946125,20.758225
13.16975,23.0842,7.54145,97.843225,61.9721,20.84145
13.181025,23.1845,7.563625,97.853375,62.50695,20.9136
13.190825,23.261175,7.582,98.1423,62.5697,20.973725
13.204,23.319025,7.592875,98.259,62.87185,21.10535
13.247125,23.40395,7.61255,98.737975,62.9196,21.2354
13.29105,23.4396,7.628375,99.304625,62.945275,21.35205
13.45135,23.5031,7.643875,99.761275,62.988825,21.4334
13.48255,23.526875,7.679675,101.48085,63.08205,21.528475
13.508875,23.56455,7.692575,101.5322,63.15875,21.5637
13.512875,23.66175,7.72095,101.597975,63.395675,21.59935
13.5197,23.707525,7.78235,102.56165,63.43935,21.67295
13.524225,23.850475,7.8364,102.66395,63.963975,21.775925
13.530525,23.875575,7.878725,102.783075,64.064425,21.93035
13.535925,23.90595,7.8829,103.0025,64.208475,21.982575
13.538925,24.0274,7.90035,103.1372,64.307225,22.0076
13.546025,24.0649,7.982375,103.435975,64.36135,22.09905
13.55295,24.206125,8.0286,103.45525,64.50825,22.15985
13.56015,24.343475,8.041225,103.48315,64.991175,22.202025
13.57655,24.3668,8.054025,103.880825,65.4841,22.28325
13.5825,24.4549,8.0792,103.9273,66.23845,22.371275
13.586375,24.502075,8.196325,103.9505,66.54525,22.414375
13.589075,24.5663,8.247475,103.9707,66.675525,22.49755
13.598575,24.627375,8.326325,104.006225,66.728525,22.647475
13.60715,24.66695,8.34325,104.021275,66.79825,22.8673
13.6238,24.7057,8.37205,104.043025,66.856725,23.008675
13.8353,24.957975,8.389725,104.441,67.1598,23.06045
13.8664,24.984575,8.40665,104.53855,67.19075,23.20255
13.876725,24.996475,8.4176,104.580725,67.477775,23.391625
13.88195,25.139525,8.4568,104.97545,67.54755,23.4656
13.88515,25.2415,8.47125,104.990025,67.69165,23.527625
13.892425,25.281875,8.517075,105.009525,67.948425,23.597075
13.897625,25.352775,8.5332,105.7517,68.0328,23.6976
13.912875,25.45735,8.572475,105.856775,68.120775,23.829325
13.91545,25.54345,8.618175,105.8823,68.15835,23.953775
13.9193,25.6429,8.678275,106.407975,68.317875,24.055525
13.920975,25.772325,8.685525,107.142375,68.357725,24.12155
13.935425,25.938575,8.74325,107.649175,68.56085,24.197525
13.938,25.9653,8.78995,107.65455,68.992925,24.24575
13.940125,25.97355,8.798,107.69435,69.16365,24.413725
13.9444,26.166975,8.8079,107.72415,69.65395,24.486525
13.9471,26.191475,8.900875,108.385275,69.70925,24.555625
13.951975,26.2942,8.930825,108.401225,69.827225,24.6415
13.9567,26.30965,8.95515,108.590775,70.228175,24.713975
13.964925,26.452025,8.961275,108.831375,70.583425,24.77975
13.97425,26.466425,9.001425,108.942875,70.665775,24.93405
13.992575,26.5774,9.0136,108.952175,70.858475,25.019125
14.00775,26.6132,9.034825,109.094625,71.0955,25.049775
14.01465,26.63285,9.0633,109.110775,71.2547,25.1131
14.2079,26.64735,9.096375,109.15245,71.32555,25.1905
14.225375,26.7339,9.222125,109.167825,71.34965,25.340825
14.242225,26.817025,9.260725,109.2295,71.60065,25.39425
14.2599,26.842125,9.269525,109.802225,71.9493,25.4927
14.27255,26.8545,9.276775,110.441925,72.315725,25.629775
14.284875,26.88385,9.2844,110.453175,72.35695,25.677175
14.288725,26.894275,9.290575,110.6417,72.568,25.73645
14.29735,27.23545,9.31215,110.853075,72.62305,25.833725
14.31255,27.257925,9.348375,111.24225,72.826475,25.858375
14.3955,27.28865,9.36515,111.3026,72.99005,25.8764
14.4219,27.3109,9.3896,111.377425,73.0375,25.90735
14.457125,27.323725,9.42945,111.750075,73.202475,25.932325
14.480625,27.340275,9.441975,112.2559,73.993375,25.956875
14.493625,27.440775,9.54295,112.290975,74.5443,26.004025
14.5048,27.490125,9.554925,112.310525,74.715775,26.0251
14.51585,27.508625,9.599675,112.31455,74.828525,26.0349
14.7718,27.521725,9.6125,112.339475,74.865975,26.050725
14.781275,27.660675,9.641575,112.353325,75.58235,26.086075
14.8016,27.794575,9.665025,112.36975,75.694925,26.114825
14.803475,27.804325,9.772475,112.409925,75.94795,26.20715
14.8116,27.92705,9.787375,112.7602,76.003625,26.2409
14.833525,27.955875,9.79005,112.868275,76.158275,26.318025
14.844275,28.03875,9.842575,113.094025,76.50825,26.401925
14.854225,28.193925,9.854225,113.679875,76.6273,26.423025
14.90335,28.267575,9.912525,113.70145,76.95565,26.535975
14.909675,28.385425,9.981925,113.927675,76.972775,26.630875
14.9598,28.4161,10.042425,114.069275,77.023575,26.74275
15.109275,28.48505,10.064775,114.133575,77.184275,26.7445
15.131225,28.55985,10.11555,114.1979,77.389175,26.907525
15.2074,28.58495,10.125375,114.2134,77.484875,26.96785
15.501175,28.6445,10.144875,114.24055,77.606975,27.09245
15.529675,28.74295,10.208575,114.309175,77.669975,27.19355
15.541125,29.126775,10.236725,114.65085,78.013575,27.304425
15.5699,29.188,10.23965,114.666475,78.117525,27.370225
15.58685,29.2231,10.2515,114.696475,78.156625,27.5341
15.592725,29.30105,10.2849,114.7105,78.36855,27.558725
15.59635,29.4095,10.304675,114.78155,78.893075,27.606375
