SPK_SPKC01a (NA),SPK_SPKC06a (weak excitation),SPK_SPKC09a (excited),SPK_SPKC10a (no effect),SPK_SPKC12b (short inhibition),SPK_SPKC13a (excited)
65.8549,141.7545,12.174775,197.373675,12.558475,4.082925
66.059175,142.042525,12.2195,201.070675,12.6426,4.09135
66.228975,142.3148,12.540175,203.414075,12.656925,4.114025
66.5512,143.36435,12.572625,204.94175,12.681175,4.123925
66.64175,144.046175,12.6191,205.591625,12.716425,4.153625
66.9183,144.84485,12.6651,206.5731,12.7731,4.1651
67.111975,145.361075,12.6852,207.554175,12.794475,4.17225
67.12405,146.4136,12.70235,210.43085,12.90045,4.18785
67.655675,147.17715,12.719475,212.67685,12.945875,4.19615
68.139525,147.3847,12.75015,212.7982,13.013425,4.2172
68.8591,147.51385,13.122425,212.926025,13.10795,4.260625
68.982425,147.89705,13.183075,213.37825,13.161225,4.29835
69.23775,147.933275,13.21375,215.788775,13.1978,4.36055
70.3134,148.693975,13.2617,216.54085,13.224775,4.458475
71.470875,149.8117,13.36975,216.8129,13.301975,4.497825
71.53385,151.27535,13.4459,217.505925,13.338025,4.585525
71.62165,152.10225,13.461575,218.54625,13.376475,4.591375
71.65275,153.251025,13.481875,219.375425,13.40905,4.6016
71.9434,153.80835,13.50695,221.3958,13.470625,4.62585
72.0539,153.833725,13.5291,221.9053,13.539975,4.63085
72.4301,154.364725,13.561175,224.539675,13.605675,4.65675
73.208925,154.889275,13.7036,225.5526,13.6633,4.667125
73.94015,155.02275,13.9886,228.35595,13.703725,4.676275
74.334275,155.512025,14.05245,229.6209,13.801825,4.684675
74.69315,155.7593,14.28075,230.70215,13.80865,4.704525
75.854775,156.41125,14.3258,231.137675,13.848375,4.717025
76.40785,156.449,14.33395,232.579475,13.8689,4.7316
77.2582,156.571225,14.34565,234.30255,13.91235,4.742775
77.3828,157.432625,14.3512,234.69815,13.94185,4.760375
79.2428,157.4635,14.3762,235.1081,13.955575,4.785975
79.393925,157.585825,14.39185,235.67815,13.9843,4.805325
79.53765,158.445625,14.403375,236.0162,14.03935,4.8205
81.006625,159.08675,14.51665,237.041875,14.226675,4.844525
81.83225,159.498925,14.55335,238.078625,14.328375,4.911725
81.8671,159.654325,14.6056,238.31025,14.350975,4.992525
81.901175,160.4357,14.681875,239.611325,14.371775,5.009225
82.58015,160.493325,14.7733,240.011425,14.390625,5.0189
83.1262,162.34405,14.852325,241.12595,14.458175,5.05165
84.4539,162.4266,14.889425,243.74485,14.473825,5.082725
87.94605,162.880125,14.8969,243.9685,14.5604,5.11565
88.510525,163.0015,14.93395,244.711425,14.708225,5.143175
88.8897,163.743975,14.965325,245.455375,14.8285,5.19405
92.965425,163.75575,15.101725,245.49475,14.83895,5.209275
95.16435,164.607,15.1207,247.81785,14.9883,5.246325
97.06675,165.218075,15.2222,249.7997,15.06185,5.2556
97.58355,165.476975,15.458175,249.97245,15.2216,5.269425
97.772525,166.809125,15.571425,250.39935,15.243725,5.293325
98.654875,167.281225,15.61835,250.4251,15.273525,5.30495
98.75065,169.248625,15.7027,250.80775,15.31175,5.318325
98.8146,169.299975,15.762475,251.37675,15.34725,5.33355
99.317425,170.125925,15.78565,252.135825,15.45705,5.3507
99.38105,170.994525,15.99795,252.308925,15.61405,5.3814
99.4705,171.394725,16.0674,253.115825,15.724,5.4007
100.453575,174.504525,16.136675,,15.7637,5.422175
105.215975,175.22855,16.145,,15.912425,5.448075
106.256575,175.848725,16.163125,,15.95395,5.519925
108.02425,175.93925,16.186275,,16.03385,5.55675
111.4841,178.01275,16.231375,,16.084825,5.570425
111.720725,178.650475,16.3875,,16.103125,5.589675
111.996925,180.478125,16.44445,,16.1627,5.5953
115.7093,180.6514,16.557475,,16.287075,5.6153
115.75385,181.069,16.623875,,16.4286,5.629925
116.62465,181.07585,16.64485,,16.52075,5.64245
116.750175,181.1914,16.688925,,16.578425,5.662075
118.688,181.5902,16.795825,,16.615025,5.671225
119.047975,181.702825,16.9715,,16.6579,5.68055
119.091775,182.3284,17.205525,,16.6758,5.683475
119.093625,186.904,17.383775,,16.687175,5.702725
119.597225,187.49545,17.432025,,16.815275,5.71875
119.806675,187.572975,17.481175,,16.919,5.728425
120.44775,188.100975,17.50405,,16.97905,5.730925
120.7919,189.4251,17.53275,,17.0685,5.747975
121.1293,190.0784,17.56855,,17.092225,5.759
121.80325,190.561875,17.584325,,17.121025,5.77135
125.9349,191.3149,17.62785,,17.1384,5.7867
126.159825,191.6864,18.048875,,17.393425,5.808025
126.972575,192.2475,18.069275,,17.46015,5.82545
127.8211,192.6182,18.22395,,17.487925,5.8432
