SPK_SPKC01a (inhi),SPK_SPKC05a (inhi),SPK_SPKC07a (exc),SPK_SPKC13a (inhi)
300.084475,240.764925,264.617,248.739575
300.604325,240.842175,264.68025,248.81895
301.4813,240.90635,264.812525,249.200475
302.08525,241.04495,265.3385,249.69865
302.39265,241.098,265.894225,249.8389
303.14545,241.34045,266.09525,250.18745
303.156425,241.400675,267.122425,250.3442
303.3729,241.4843,267.181175,250.854925
303.61605,241.559175,267.2834,251.788475
303.726,241.696175,268.387575,251.877875
303.910825,242.141425,270.4101,251.9938
303.998875,242.2884,270.573,252.191075
304.2067,242.567175,270.95155,252.361925
304.3599,242.653775,272.055225,252.52555
304.69805,242.820475,272.16035,252.58155
304.955875,242.973325,272.374425,252.656725
305.07155,243.06415,272.59805,252.784475
305.12815,243.125525,273.13195,253.268175
305.95105,243.1635,273.613425,253.498225
306.3932,243.277275,273.867675,253.938725
306.601125,243.433925,274.0465,254.1334
306.9908,243.4954,274.267625,254.3983
307.134,243.5433,274.4159,254.43695
307.218625,243.808325,274.42945,255.319425
307.8032,243.945175,274.494975,255.70095
308.2835,243.998475,274.5291,255.795475
308.7267,244.064825,274.589825,255.940775
309.54315,244.2492,274.668925,256.0084
310.42165,244.3817,274.703275,256.632425
311.006475,244.449825,274.71175,256.71955
311.43735,244.507225,274.7247,256.8638
311.507075,244.60115,274.77005,256.932975
311.74375,244.6649,274.8105,256.98565
311.79655,244.814575,274.852225,257.134625
313.18745,244.893675,274.91505,257.171375
313.561275,244.962825,275.005325,257.34115
314.700325,245.0804,275.155125,257.42085
315.306675,245.12255,275.235475,257.4738
316.281975,245.272825,275.28585,257.625675
316.9345,245.361075,275.3365,257.76645
317.132225,245.44135,275.441275,258.2714
317.52765,245.5127,275.489225,258.34815
317.68745,245.557925,275.504775,258.4472
318.8364,245.623025,275.5871,258.5746
318.864675,245.701325,275.72065,258.649075
320.223175,245.780625,275.8014,258.79385
320.782075,245.906125,275.843975,258.8732
321.595175,245.989325,275.86765,259.196225
321.8941,246.077975,275.91335,259.3942
322.106575,246.134425,275.92565,259.470425
322.1482,246.199325,275.9867,259.537025
322.4378,246.24865,276.0439,259.820425
322.730825,246.38635,276.049325,260.34625
323.270075,246.77395,276.11995,260.5097
323.3298,246.968875,276.17715,260.554525
323.346575,247.063125,276.21485,260.8799
323.425275,247.111675,276.2786,260.927125
323.775625,247.3623,276.3425,261.176175
324.023775,247.42445,276.3779,261.354825
324.207375,247.477175,276.4085,261.5874
324.8876,247.599325,276.5169,261.86405
325.4469,247.658375,276.528375,262.004075
325.459025,247.8387,276.54175,262.0633
325.912025,247.89775,276.649125,262.343925
326.181275,248.018875,276.8318,262.419125
326.3603,248.181025,276.9393,262.477475
327.8638,248.24215,276.961325,262.8073
327.89645,248.41745,277.052675,263.0889
328.4193,248.5347,277.138325,263.173425
329.778675,248.597375,277.194575,263.2323
330.041875,248.9672,277.237825,263.567075
330.1209,249.2005,277.240475,263.630875
330.133625,249.33965,277.321425,263.6983
330.16225,249.601925,277.499825,263.854375
330.2671,249.8389,277.598025,263.921775
330.40045,250.047,277.751225,264.0581
330.7444,250.18745,277.827275,264.51135
330.8558,250.2691,277.9403,264.60475
331.0651,250.3442,278.066275,264.717225
331.237675,250.76695,278.403725,264.88745
331.291925,250.854925,278.476675,265.093375
331.410375,250.969075,278.533075,265.16235
331.52215,251.03375,278.59215,265.24175
331.664525,251.10365,278.596175,265.305675
331.7829,251.180375,278.6365,265.6549
332.12785,251.307825,278.678875,265.68315
332.135125,251.647725,278.773825,265.815175
332.26885,251.877875,278.92985,265.874425
332.289275,252.525575,278.976275,266.06515
332.417575,252.5816,279.062025,266.1198
332.489625,252.656775,279.138,266.17035
332.51015,252.723825,279.20915,266.5947
332.533225,252.7845,279.3077,266.683625
333.20385,253.217025,279.4349,266.895475
333.65585,253.2682,279.629625,267.033175
333.709525,253.498275,279.675075,267.072325
333.785775,253.62835,279.768425,267.10925
334.2006,253.694225,279.8158,267.141875
334.651525,253.749325,279.8377,267.246525
334.706125,253.938725,279.925875,267.28995
336.268425,254.133425,280.0297,267.704
337.0289,254.32995,280.117275,267.7473
337.860325,254.43695,280.176825,267.798975
338.243775,254.593225,280.32845,267.965575
339.56675,254.803025,280.475275,268.0486
340.67045,254.906025,280.516725,268.179925
340.84455,254.968825,280.664075,268.2248
341.439175,255.098325,280.68495,268.26935
341.745275,255.145575,280.79475,268.449825
342.08135,255.220875,280.8598,268.514475
342.899575,255.40225,280.9029,268.730225
344.35555,255.700925,281.12165,268.934775
345.301125,255.9408,281.199125,269.022175
345.3418,256.008425,281.274325,269.067775
345.3462,256.21555,281.344375,269.23245
345.769625,256.863825,281.421575,269.5284
345.86045,256.933,281.435675,269.759525
345.967625,256.9857,281.456225,269.800575
346.32785,257.1346,281.485075,269.87715
350.179925,257.171375,281.531975,270.022925
352.146825,257.2793,281.622825,270.089325
352.2257,257.341175,281.9375,270.1992
352.427575,257.420875,281.97,270.259575
352.488375,257.473825,282.134325,270.463625
352.6689,257.7665,282.2679,270.67275
353.434325,258.34815,282.29335,270.772525
353.502175,258.447225,282.598225,270.8309
354.0307,258.6491,282.910375,270.9553
354.557925,258.732225,282.937075,271.246325
354.570975,258.793875,283.204825,271.323775
354.944725,259.05095,283.253375,271.39145
355.5501,259.394225,283.493775,271.83915
355.94065,259.470425,283.520125,271.890025
355.996075,259.53705,283.546075,271.944225
356.00445,259.745875,283.55255,272.144875
356.23485,259.820425,283.5591,272.176075
356.5545,259.904475,283.5852,272.303125
357.164625,259.9957,283.65315,272.525
357.207225,260.166725,283.67675,272.713
357.25795,260.253925,283.86145,272.987425
357.437925,260.55455,283.9007,273.124075
357.82215,260.79755,283.9355,273.3599
357.85645,261.1235,283.939325,273.444025
357.98,261.176225,283.981125,273.961325
358.5056,261.4337,284.01685,274.0411
359.145125,261.5874,284.039525,274.24545
359.203125,261.797175,284.285275,274.3188
360.154725,261.9376,284.3296,274.342575
360.33145,262.004075,284.356875,274.400525
360.40605,262.0633,284.3846,274.4221
360.6227,262.148875,284.418925,274.5227
360.737725,262.41915,284.476125,274.640675
360.7621,262.477475,284.659875,274.656475
360.87475,262.546975,284.680625,274.674575
360.91205,262.626575,284.722925,274.77835
