SPK_SPKC02a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC08a,SPK_SPKC08b,SPK_SPKC13a
309.23335,308.139625,308.83245,308.24565,324.8275,320.749425
309.252625,308.1488,308.8413,308.2566,324.8891,320.758825
309.266925,308.161675,308.87015,308.297825,324.945925,320.811625
309.289,308.1856,308.8853,308.314925,325.091375,320.865825
309.312675,308.204775,308.9033,308.33545,325.24475,320.9542
309.3279,308.23315,308.918325,308.386925,325.584625,321.088325
309.347625,308.2532,308.9296,308.4189,325.640725,321.141025
309.3673,308.2679,308.95995,308.44105,326.06355,321.2145
309.39265,308.28925,308.979525,308.472925,327.603925,321.280625
309.42545,308.31115,309.005575,308.564675,327.696625,321.39675
309.441475,308.3286,309.07785,308.578275,327.739025,321.43135
309.458875,308.3532,309.11375,308.593,328.011525,321.536325
309.4754,308.3831,309.141975,308.613575,328.0641,321.55425
309.48345,308.429525,309.179025,308.6206,328.11895,321.60035
309.5208,308.4695,309.19255,308.633225,328.46975,321.632825
309.5373,308.506675,309.20665,308.6451,328.5176,321.68035
309.548125,308.53735,309.22055,308.65585,328.52545,321.77265
309.5747,308.567125,309.238075,308.67385,328.757125,321.810025
309.602,308.583225,309.24555,308.75065,328.785075,321.84635
309.620125,308.592875,309.26625,308.77715,328.798875,321.894575
309.6365,308.603675,309.28225,308.822825,328.850325,322.02985
309.652475,308.613125,309.314825,308.843375,328.947975,322.0825
309.67105,308.624675,309.34315,308.8599,328.9776,322.140275
309.683525,308.63605,309.36725,308.87685,329.027875,322.329775
309.7013,308.644125,309.385975,308.89115,329.11835,322.3886
309.717975,308.658725,309.4016,308.909125,329.17115,322.48795
309.734,308.6735,309.428375,308.9352,329.247325,322.5444
309.747375,308.6909,309.437625,308.945925,329.5923,322.57425
309.780075,308.708875,309.448275,308.956975,330.057,322.62485
309.798125,308.734175,309.48115,308.9717,330.12885,322.6539
309.8229,308.76295,309.4983,308.988725,330.453675,322.664425
309.842525,308.782525,309.510925,309.00305,331.1785,322.681
309.86945,308.8077,309.534975,309.010575,331.183,322.7182
309.886375,308.82675,309.55,309.04995,331.213,322.740075
309.910825,308.848125,309.5711,309.069125,331.27345,322.80215
309.940175,308.865,309.60045,309.10455,331.28215,322.866725
309.94785,308.8757,309.66735,309.13925,331.364775,322.893725
309.968425,308.8887,309.6749,309.178275,331.77005,322.91055
309.978075,308.902975,309.68305,309.21435,331.88215,322.9344
309.991575,308.913225,309.69715,309.226675,331.906325,322.952725
309.999825,308.92605,309.70405,309.234825,332.057925,322.960275
310.011325,308.935825,309.7104,309.24635,332.184625,322.987375
310.0259,308.964575,309.7208,309.25055,332.4362,323.0428
310.0379,308.9817,309.730425,309.25615,332.47905,323.0823
310.050325,308.995025,309.74395,309.26075,332.487025,323.112575
310.079775,309.01005,309.766275,309.269975,332.5655,323.18865
310.131075,309.03495,309.78215,309.296225,332.5704,323.205925
310.154975,309.060275,309.80575,309.3137,332.633625,323.24405
310.1886,309.083875,309.833475,309.3242,332.653675,323.271775
310.206325,309.116725,309.844075,309.333675,332.6814,323.29955
310.229925,309.1583,309.865875,309.3413,332.6989,323.356425
310.24175,309.19365,309.8834,309.352875,332.8091,323.39455
310.258625,309.2256,309.90555,309.39935,332.8161,323.426
310.275025,309.2406,309.92225,309.41555,332.854325,323.454
310.288725,309.250775,309.93905,309.42855,332.9605,323.50995
310.30445,309.270475,309.946,309.437075,332.96705,323.52455
310.3312,309.286275,309.96105,309.44625,332.9925,323.668125
310.3517,309.301575,309.971825,309.452425,333.0068,323.71955
310.373125,309.31535,309.988475,309.459825,333.018325,323.76185
310.3963,309.339,310.00235,309.47785,333.0542,323.82925
310.409775,309.3638,310.014675,309.492975,333.177,323.887775
310.436775,309.374175,310.03235,309.500775,333.2242,323.926075
310.45495,309.38305,310.043775,309.5146,333.314725,323.935125
310.5071,309.414475,310.089025,309.52465,333.33825,323.974725
310.531825,309.4267,310.1069,309.54615,333.369,323.9777
310.56825,309.441175,310.1164,309.55305,333.381075,323.99345
310.5919,309.45675,310.136075,309.583275,333.51145,324.013975
310.620125,309.47355,310.1696,309.60345,333.518275,324.097175
