SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC11a
20.42925,13.58255,36.572025,11.00415,66.2712,30.343125,5.744075
20.494375,13.617625,36.630525,11.0283,66.602925,30.58105,5.751675
20.914275,13.621825,36.799475,11.059475,66.7024,30.853075,5.766975
20.997,13.665725,36.901725,11.1698,67.6621,31.0068,5.773
21.127675,13.672575,36.982375,11.178975,67.764,31.0341,5.778375
21.376875,13.730675,37.049325,11.216375,67.867,31.35145,5.807325
21.7111,13.763775,37.056725,11.25285,68.0032,31.93605,5.8313
21.801625,13.81675,37.760075,11.3714,68.39975,32.0165,5.84115
22.07095,13.8411,38.101025,11.3884,69.0122,32.141025,5.867525
22.1386,14.0736,38.21425,11.395725,69.354275,32.1638,5.869
22.352425,14.1657,38.2739,11.4653,69.536575,32.3669,5.96445
22.45525,14.24775,38.40105,11.650475,70.76615,32.729875,5.966025
22.531,14.302775,38.69855,11.709725,71.117725,33.0939,6.046325
22.807075,14.35315,38.885925,11.760525,71.169625,33.153325,6.29305
22.921775,14.365425,38.906625,11.817025,71.616175,33.155675,6.318625
23.1778,14.3948,38.936325,11.842725,71.661025,33.19805,6.333025
23.271475,14.451725,38.963525,11.8518,71.9781,33.359075,6.344475
23.3591,14.495625,39.028175,11.860325,72.479375,33.393025,6.35385
23.803025,14.540225,39.058275,11.95525,72.741575,33.7628,6.378725
24.118275,14.5697,39.19605,12.0691,73.167225,33.8545,6.3916
24.389,14.673075,40.909175,12.15035,73.96965,34.370275,6.404725
24.484825,14.915275,41.030375,12.184125,73.9923,34.3859,6.4071
24.549425,15.0386,41.29455,12.260425,74.457625,34.3925,6.41315
24.668775,15.060075,41.3814,12.278275,76.359475,34.4146,6.4166
24.7086,15.08035,41.519475,12.45545,77.388775,34.486075,6.428525
24.8401,15.332025,41.5656,12.51575,77.765425,34.497875,6.4299
25.0011,15.4151,41.719025,12.5429,77.856125,34.744075,6.441525
25.12105,15.470775,41.86755,12.593675,78.20845,34.783975,6.456225
25.269575,15.50325,42.06295,12.5963,78.33475,35.2582,6.465925
25.381,15.57165,42.294975,12.65815,78.405475,35.275575,6.474125
25.519375,15.622625,42.6308,12.676825,78.629675,36.3472,6.475725
