SPK_SPKC02a (inhibited),SPK_SPKC05a (inhibited)
10.332475,43.579125
10.34515,43.674575
10.356775,43.849
10.363725,43.95025
10.397675,44.3478
10.406175,44.605025
10.417125,44.6775
10.507075,44.6862
10.522025,45.1611
10.543425,45.315275
10.55215,45.367225
10.55945,45.5114
10.57305,45.592925
10.584375,45.619475
10.595275,45.77255
10.62305,46.21195
10.6371,46.28655
10.667225,46.3483
10.693725,46.377525
10.697975,46.418175
10.711425,46.4255
10.718125,46.488575
10.7321,47.017275
10.751525,47.039475
10.762725,47.091875
10.774575,47.489225
10.7871,47.618975
10.7976,47.693225
10.834075,47.709875
10.84275,47.8463
10.8529,48.153425
10.877275,48.305425
10.897475,48.4112
10.905,48.447025
10.916275,48.465175
10.922475,48.54565
10.950125,48.596175
10.9667,48.647875
10.9829,48.685625
10.992775,48.698525
11.00375,48.840325
11.00905,49.2862
11.0209,49.3766
11.036,49.399975
11.05495,49.5542
11.066675,49.640425
11.0694,49.6735
11.089925,49.768
11.095525,49.818975
11.10555,49.87165
11.1124,49.980225
11.1193,50.004075
11.13505,50.11985
11.1503,50.12915
11.1859,50.250575
11.202425,50.376925
11.21825,50.4421
11.228775,50.782775
11.2305,50.81585
11.23775,50.86065
11.258775,50.863475
11.26505,50.9393
11.274525,50.979175
11.291,51.00535
11.2973,51.0427
11.30665,51.08815
11.316925,51.170975
11.3289,51.224125
11.345075,51.429975
11.34925,51.627275
11.363775,51.91005
11.379325,52.0058
11.38945,52.01405
11.438,52.052525
11.453825,52.40325
11.475475,52.444275
11.5007,52.513575
11.517625,52.635025
11.5255,52.7881
11.563675,52.871025
11.575475,52.9272
11.5984,52.93645
11.603775,52.9474
11.6261,53.063825
11.6554,53.095775
11.6722,53.111575
11.6889,53.238
11.700425,53.3739
11.7058,53.466725
11.72345,53.549575
11.727275,53.660275
11.754,53.698075
11.767025,53.78575
11.771825,53.861775
11.7956,53.936875
11.798675,53.982675
11.818875,54.118525
11.842,54.187775
11.85265,54.215075
11.87315,54.301925
11.897025,54.352675
11.911625,54.58875
11.93755,54.6356
11.976125,54.741175
12.052625,54.829025
12.061825,54.8939
12.070175,55.011975
12.104625,55.1076
12.11895,55.192675
