SPK_SPKC08a (no opto-tagging),SPK_SPKC10a (inhi),SPK_SPKC11a (exc),SPK_SPKC12a (no response),SPK_SPKC12b (exc),SPK_SPKC14a (short inhi)
63.259825,3.681875,4.34695,68.55075,5.84075,3.46915
63.464825,3.6987,4.367875,68.992125,5.874725,3.47935
63.607525,3.70465,4.41535,69.540675,6.021675,3.4892
63.79665,3.718575,4.4325,69.570175,6.045875,3.4952
63.978075,3.743425,4.4492,70.008725,6.067625,3.50135
63.98935,3.75275,4.4751,70.363125,6.07945,3.50715
64.35415,3.78115,4.503475,70.6633,6.08915,3.51265
64.742975,3.80045,4.58005,71.129575,6.10675,3.5189
65.20475,3.82785,4.590875,71.84085,6.121975,3.525225
65.288325,3.8523,4.603975,72.234025,6.144,3.53485
65.307575,3.863825,4.624975,72.4917,6.17,3.5397
65.347475,3.87975,4.638925,72.6118,6.201325,3.54575
65.396125,3.890075,4.6607,72.82935,6.26145,3.593325
65.87145,3.9021,4.681575,73.2764,6.293,3.59745
66.1856,3.9086,4.703,73.615625,6.313725,3.6075
66.7044,3.91465,4.72965,73.6367,6.325475,3.616225
66.7066,3.92075,4.744925,73.6631,6.34095,3.624925
67.168675,3.9274,4.76615,73.749475,6.349775,3.633325
67.181525,3.931525,4.78005,74.013,6.35785,3.641775
67.51165,3.937925,4.79965,74.59895,6.367525,3.6487
68.210975,3.94395,4.8218,74.758625,6.376425,3.6571
68.22855,3.951375,4.84225,74.7909,6.39205,3.660725
68.709275,3.957575,4.86215,75.2993,6.4,3.672875
68.7954,3.962325,4.882275,75.46915,6.41025,3.67915
68.874525,3.9688,4.901075,75.71875,6.42315,3.681775
69.148225,3.9744,4.91995,76.013375,6.434825,3.6873
69.177225,3.98095,4.932825,76.420525,6.4514,3.716275
70.108025,3.9903,4.9561,77.363225,6.469875,3.73755
70.697225,3.997,4.9705,77.45845,6.491925,3.7478
70.854125,4.007775,4.980625,77.95205,6.51475,3.762975
70.862225,4.023275,4.988725,77.9901,6.53885,3.787625
70.9225,4.0442,4.9898,78.086925,6.554375,3.800775
71.326525,4.080525,5.003375,78.165575,6.57495,3.820425
71.393775,4.10425,5.0208,78.72475,6.60175,3.83885
71.542425,4.1301,5.0225,79.7308,6.64785,3.8576
72.09685,4.157775,5.0542,79.75055,6.662525,3.881225
