SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC12a,SPK_SPKC12b
642.59075,637.4773,636.3608,646.19035
642.6238,637.51045,636.413325,646.222575
642.71135,637.554275,636.43395,646.2836
642.772,637.574275,636.4565,646.319175
643.132025,637.58205,636.4878,646.347525
643.1413,637.59405,636.510825,646.360375
643.15375,637.608725,636.53705,646.442725
643.23135,637.624775,636.538575,646.519575
643.2737,637.645025,636.54915,646.614725
643.3979,637.660575,636.56805,646.696625
643.470775,637.678275,636.59705,646.70635
643.511125,637.688075,636.620125,646.764575
643.541875,637.70825,636.64175,647.095675
643.546625,637.723075,636.658975,647.13205
643.580825,637.7331,636.66455,647.204675
643.6012,637.7623,636.69,647.259425
643.993125,637.828675,636.71855,647.488925
644.054825,637.870025,636.719775,647.501675
644.12135,637.8743,636.75945,647.5847
644.2164,637.8993,636.86715,647.6455
644.240525,637.907975,636.898,647.6623
644.25185,637.95865,636.92275,647.74805
644.26205,637.969575,636.965275,648.0249
644.274325,637.987325,636.9834,648.0471
644.66135,638.03935,637.007775,648.094325
644.676325,638.053675,637.0388,648.21545
644.6896,638.0937,637.058975,648.2896
644.7673,638.1283,637.1458,648.3096
644.948675,638.180375,637.18835,648.326075
644.9666,638.248425,637.216075,648.34315
644.97815,638.284125,637.2303,648.36185
644.98275,638.30895,637.26375,648.408025
645.019775,638.330025,637.2697,648.453625
645.246875,638.35365,637.3147,648.473425
645.295025,638.365425,637.4199,648.4833
645.3158,638.422125,637.423325,648.516625
645.35225,638.48855,637.449775,648.71495
645.37845,638.5661,637.47465,648.80715
645.572625,638.589275,637.5248,648.825775
645.6354,638.638975,637.533975,648.83855
645.6494,638.648875,637.54435,648.87565
645.6734,638.65635,637.56265,648.89625
645.7826,638.6663,637.6021,648.9084
645.830875,638.67385,637.631275,648.95635
645.85235,638.676775,637.6574,649.076825
645.874925,638.686425,637.688525,649.10855
645.90505,638.700425,637.705525,649.12205
646.150425,638.71325,637.748875,649.17335
646.16765,638.737775,637.77085,649.29635
646.184975,638.78825,637.802875,649.44795
646.211925,638.88925,637.835325,649.50445
646.2288,638.940125,637.90165,649.51425
646.2766,638.96565,637.9158,649.5271
646.591275,638.995725,637.9285,649.557825
646.613675,639.01445,637.9569,649.574575
646.62565,639.0611,637.967225,649.69605
646.66465,639.0937,638.062325,649.777925
646.6718,639.127625,638.0697,649.8408
646.677125,639.432875,638.172425,649.959075
646.69365,639.5823,638.219375,650.0015
646.83165,639.759875,638.264125,650.01615
646.97485,639.817075,638.270625,650.028825
647.0886,639.832725,638.3478,650.082325
647.093875,639.86775,638.353225,650.130025
647.11575,640.114075,638.3726,650.15075
647.158075,640.185975,638.406025,650.16035
647.49565,640.2108,638.410875,650.17015
647.512425,640.25435,638.484675,650.180025
647.52475,640.3347,638.562225,650.2117
647.5619,640.399475,638.6192,650.2757
647.6058,640.45865,638.6665,650.3001
647.7306,640.51695,638.674525,650.323975
647.9721,640.547375,638.682025,650.34745
647.982,640.575875,638.7072,650.3543
647.9913,640.67995,638.722775,650.38305
647.995175,640.7138,638.7244,650.41915
648.092825,640.85685,638.743775,650.4242
648.324775,640.91945,638.856625,650.434775
648.339875,641.151325,638.867075,650.4472
648.3569,641.299675,638.8807,650.496925
648.377,642.01435,638.9265,650.574475
648.498875,642.03995,638.977625,650.5925
648.520375,642.043975,639.008925,650.614
648.572825,642.070275,639.05165,650.7428
648.8964,642.122975,639.07295,650.956125
648.919925,642.15005,639.08455,651.014625
648.945325,642.2565,639.09405,651.046525
648.9634,642.386375,639.133975,651.064925
648.97415,642.444175,639.1756,651.108975
648.98435,642.445675,639.199675,651.1161
648.9977,642.481775,639.227525,651.15785
649.004925,642.5462,639.248875,651.17065
649.07955,642.570625,639.36805,651.176925
649.1575,642.605775,639.406425,651.215475
649.32075,642.80305,639.4512,651.2202
649.563175,642.85785,639.46155,651.265725
649.57335,642.973575,639.4654,651.2825
649.585175,643.1828,639.639175,651.3113
649.600725,643.200325,639.734,651.359
649.607575,643.340475,639.8161,651.37075
649.617425,643.4465,639.830475,651.3955
649.6395,643.45785,639.833125,651.424875
649.653175,643.479425,639.838775,651.432275
649.66955,643.4874,639.8671,651.4647
649.678525,643.526475,639.876275,651.540325
649.716875,643.557725,639.899125,651.5625
650.005275,643.867325,639.967675,651.568325
650.01305,643.9652,639.998425,651.5825
650.026,643.97,640.055975,651.641325
650.04515,643.97815,640.15295,651.690125
650.0666,643.9863,640.20105,651.77195
650.081625,644.00615,640.2287,651.789925
650.155025,644.22415,640.24305,651.853225
650.184875,644.312625,640.298425,651.8862
650.421975,644.668925,640.3272,651.9383
650.4569,644.7099,640.379025,652.076575
650.46065,645.0044,640.4207,652.0828
650.4741,645.208025,640.434125,652.162125
650.479375,645.259775,640.46055,652.182125
650.493325,645.269375,640.46295,652.3494
650.507175,645.4623,640.467725,652.38045
650.534075,645.516975,640.49735,652.385525
650.5443,645.53865,640.512575,652.6732
650.558025,645.542575,640.57355,652.680625
650.634525,645.5888,640.629325,652.694875
650.88335,645.621375,640.747575,652.8506
650.9501,645.919425,640.954375,652.937875
650.978025,646.092725,641.043125,652.961825
650.99675,646.1761,641.0696,653.121375
651.00815,646.2873,641.172425,653.189525
651.027925,646.604375,641.2404,653.222775
651.044825,646.6347,641.3084,653.23315
651.0737,646.642875,641.33065,653.272725
651.11695,646.6534,641.33325,653.369775
651.160675,646.7131,641.343625,653.373575
651.176125,646.748675,641.3544,653.400975
651.208975,647.103075,641.457625,653.628525
651.328125,647.38555,641.497975,653.702675
651.35035,647.5792,641.5017,653.819475
651.368825,647.612575,641.555175,653.8632
651.592625,647.634975,641.624625,653.942525
651.8612,647.64575,641.635925,654.210075
651.877675,648.009425,641.64355,654.249175
652.041825,648.052275,641.691325,654.25785
652.07165,648.42695,641.742275,654.26415
652.172975,648.484825,641.7574,654.27765
652.187325,648.5075,641.8249,654.2898
