SPK_SPKC01a (no response),SPK_SPKC15a (no response)
,372.576075
,372.702475
,372.920775
,372.9989
,373.107725
,373.20435
,373.2676
,373.296225
,373.366375
,373.43805
,373.51215
,373.5998
,373.6781
,373.727425
,373.9111
,374.045525
,374.141775
,374.241575
,374.3712
,374.456875
,374.548325
,374.577875
,374.682675
,374.8447
,375.0406
,375.1269
,375.292175
,375.3969
,375.481875
,375.5689
,375.613525
,375.69075
,375.801225
,375.911975
,376.0333
,376.0743
,376.25745
,376.349875
,376.465275
,376.56035
,376.70175
,376.82405
,376.946675
,377.02025
,377.090975
,377.192175
,377.3813
,377.63635
,377.712675
,377.806725
,377.9392
,377.99535
,378.113675
,378.177525
,378.35935
,378.466425
,378.6035
,378.89535
,378.946125
,379.036
,379.1233
,379.19965
,379.436475
,379.5845
,379.660125
,379.76195
,379.81525
,379.983525
,380.217325
,380.254575
,380.3286
,380.394325
,380.4896
,380.532
,380.628775
,380.74655
,380.836825
,380.9889
,381.02885
,381.108725
,381.187875
,381.26855
,381.311975
,381.419525
,381.4621
,381.535475
,381.71245
,381.7502
,381.8621
,381.95755
,382.0277
,382.1184
,382.7151
,382.800675
,382.962975
,383.0295
,383.14695
,383.241625
,383.35385
,383.43665
,383.5235
,383.587875
,383.675025
,383.74545
,383.84035
,383.948575
,384.04645
,384.11815
,384.163725
,384.3606
,384.4264
,384.4972
,384.6707
,384.8008
,384.844675
,384.94305
,385.012625
,385.0943
,385.1425
,385.226825
,385.293475
,385.336425
,385.390375
,385.48465
,385.564975
,385.775725
,385.865925
,385.9668
,386.042725
,386.0978
,386.2507
,386.3073
,386.373375
,386.52135
,386.577725
,386.70525
,386.763025
,386.8398
,386.935275
,386.985575
,387.0306
,387.197275
,387.309725
,387.3716
,387.45595
,387.552275
,387.59945
,387.641275
,387.727
,387.8134
,387.918225
,387.98205
,388.08585
,388.13855
,388.22135
,388.285625
,388.374225
,388.51575
,388.584225
,388.7381
,388.83175
,388.88515
,388.946925
,389.04065
,389.241275
,389.36145
,389.416275
,389.5632
,389.684125
,389.740725
,389.83625
,389.914425
,389.9705
,390.076075
,390.13045
,390.19825
,390.313975
,390.38585
,390.456825
,390.508175
,390.565925
,390.586875
,390.680075
,390.786875
,390.8626
,390.89725
,390.951
,391.0027
,391.0664
,391.1228
,391.2266
,391.3532
,391.420325
,391.499825
,391.5571
,391.633825
,391.70925
,391.9208
,392.073375
,392.181725
,392.2715
,392.412675
,392.5716
,392.6369
,392.711575
,392.869225
,392.93725
,393.04475
,393.243125
,393.3256
,393.496125
,393.74065
,394.13345
,394.48815
,395.099125
,395.440475
,395.536325
,395.705
,395.830725
,396.142325
,396.30345
,396.3797
,396.4678
,396.537725
,396.672
,396.793225
,396.885475
,397.1134
,397.246875
,397.42795
,397.62265
,397.65995
,397.731325
,397.85835
,397.886125
,397.937975
,398.1775
,398.243825
,398.331725
,398.391525
,398.464575
,398.566675
,398.60045
,398.6792
,398.7321
,398.7959
,398.832975
,398.86965
,398.9641
,399.037925
,399.137275
,399.202125
,399.273425
,399.32015
,399.358225
,399.3847
,399.420375
,399.477325
,399.643175
,399.724425
,399.774625
,399.87975
,400.032975
,400.09895
,400.211725
,400.2835
,400.332325
,400.405725
,400.474475
,400.521525
,400.57975
,400.63425
,400.670425
,400.75385
,400.8279
,400.8763
,400.935375
,400.993825
,401.056925
,401.224325
,401.2932
,401.350725
,401.417275
,401.489625
,401.5381
,401.58095
,401.651175
,401.69635
,401.7438
,401.79465
,401.928725
,402.001725
,402.080925
,402.20135
,402.306
,402.35015
,402.4675
,402.564025
,402.721575
,402.783375
,402.877325
,402.944
,402.9939
,403.073525
,403.1202
,403.20165
,403.278625
,403.353125
,403.389925
,403.441275
,403.49985
,403.547475
,403.6687
,403.72885
,403.805675
,403.8645
,403.92245
,403.988175
,404.039225
,404.124175
,404.178075
,404.264925
,404.374825
,404.45475
,404.536225
,404.64685
,404.733775
,404.8139
,404.95405
,405.08795
,405.4617
,405.529675
,405.5774
,405.674
,405.7457
,405.808525
,405.887025
,406.0569
,406.2736
,406.36155
,406.45345
,406.52165
,406.654375
,406.827525
,406.955975
,407.130375
,407.263625
,407.56585
,407.657275
,407.7422
,408.0536
,408.1959
,408.234625
,408.784425
,409.2797
,409.44205
,409.544775
,409.631525
,409.7216
,409.7895
,413.06085
,413.19085
,413.739925
,413.79955
,413.905725
,413.941575
,414.0842
,414.143875
,414.226925
,414.289
,414.50195
,414.59785
,414.968775
,415.19105
,415.234725
,415.4395
,415.49945
,415.58195
,415.67385
,415.7571
,415.85825
,415.901025
,415.960275
,416.0646
,416.113325
,416.23595
,416.321925
,416.413775
,416.45445
,416.5453
,416.665725
,416.82755
,416.9033
,416.994025
,417.2099
,417.2945
,417.461225
,417.6753
,417.7621
,418.668375
,418.894425
,419.016425
,419.106875
,419.257475
,419.339875
,419.390525
,419.4607
,419.581275
,419.6648
,419.733925
,419.794275
,419.910575
,419.984075
,420.0163
,420.087175
,420.159375
,420.245925
,420.3192
,420.374325
,420.419875
,420.48655
,420.62745
,420.6986
,420.776525
,420.9167
,421.0425
,421.0977
,421.1956
,421.25685
,421.510225
,421.583475
,421.7153
,421.762575
,421.85915
,421.93455
,422.007525
,422.14465
,422.236825
,422.279325
,422.353525
,422.429
,422.54515
,423.6449
,423.849525
,423.921925
,423.99395
,424.0445
,425.788
,426.604125
,426.988325
,427.1266
,427.38385
,427.439875
,427.491825
,427.7283
,427.84035
,428.038275
,428.11405
,428.17465
,428.253525
,428.44045
,428.541275
,428.6621
,428.72935
,428.7709
,428.8182
,429.1576
,429.272925
,429.43335
,429.5063
,429.5972
,429.65105
,429.770575
,429.84425
,429.887875
,429.939875
,429.9702
,430.0118
,430.12675
,430.2199
,430.303025
,430.429375
,430.523775
,430.629025
,430.733775
,430.7803
,430.87015
,431.00505
,431.10765
,431.2342
,431.295175
,431.37995
,431.43635
,431.5988
,431.63245
,431.6908
,431.809475
,431.886675
,431.9435
,431.9982
,432.06575
,432.133375
,432.2844
,432.37475
,432.407575
,432.47085
,432.5259
,432.643275
,432.696825
,432.759425
,432.847875
,432.9057
,432.961875
,433.044325
,433.145275
,433.2252
,433.296775
,433.357925
,433.4218
,433.509325
,433.571375
,433.636125
,433.719875
,433.808325
,433.856575
,433.9472
,434.065025
,434.14735
,434.22765
,434.538575
,434.608675
,434.7015
,434.74515
,434.791725
,434.85675
,434.91385
,434.956125
,435.0271
,435.116575
,435.219225
,435.280475
,435.36455
,435.466825
,435.53415
,435.629775
,435.7604
,435.8267
,435.877675
,435.946275
,436.040575
,436.169275
,436.329825
,436.4302
,436.4996
,436.575775
,436.65155
,436.733275
,436.81575
,436.9315
,436.978675
,437.025725
,437.0616
,437.133675
,437.208
,437.268
,437.37005
,437.4205
,437.568825
,437.63915
,437.712575
,437.7879
,437.853325
,437.93365
,438.0078
,438.050125
,438.091275
,438.156475
,438.2076
,438.267375
,438.32825
,438.3714
,438.42275
,438.4948
,438.555275
,438.61815
,438.7317
,438.8184
,438.965975
,439.03475
,439.101975
,439.16245
,439.254
,439.35845
,439.426725
,439.483975
,439.570025
,439.656775
,439.775575
,439.849375
,439.933725
,439.9891
,440.03375
,440.0892
,440.22535
,440.279725
,440.34135
,440.4118
,440.5256
,440.63585
,440.703525
,440.7591
,440.8015
,440.8425
,440.9107
,440.9902
,441.0674
,441.108625
,441.17585
,441.22565
,441.360975
,441.429725
,441.531775
,441.611375
,441.679575
,441.73885
,441.7841
,441.875275
,441.9758
,442.01875
,442.106425
,442.1704
,442.221875
,442.273475
,442.346025
,442.394925
,442.426225
,442.496975
,442.55945
,442.615975
,442.675125
,442.728975
,442.806575
,442.88955
,442.937325
,443.0247
,443.085325
,443.145
,443.270125
,443.33365
,443.43595
