SPK_SPKC02a (no response),SPK_SPKC07a (exc/inh)
233.141675,237.229275
233.232525,237.254075
233.2922,237.318875
233.3649,237.4421
233.4456,237.487475
233.5646,238.0409
233.679375,238.064525
233.824275,238.137525
233.979,238.185775
234.05735,238.346275
234.172075,238.358325
234.21135,238.677225
234.299725,238.702325
234.480075,238.7384
234.580125,238.756625
234.694675,238.767625
234.789825,238.8924
234.858575,239.2049
234.95835,239.362225
235.012375,239.38925
235.078775,239.442925
235.188925,239.461775
235.239125,239.4994
235.346775,239.6132
235.43185,239.87055
235.5224,239.875475
235.59475,239.9498
235.693725,240.11115
235.772675,240.14295
235.924,240.206575
235.981425,240.218075
236.06985,240.24595
236.14905,240.377325
236.2385,240.8082
236.344275,240.885225
236.472775,240.91415
236.546475,240.96065
236.64215,241.00485
236.702825,241.06795
236.802475,241.117
236.9356,241.3215
237.006725,241.38655
237.084125,241.6333
237.21405,241.6453
237.315325,241.6612
237.45985,241.6734
237.6099,241.778
237.689825,241.93705
237.836625,242.160425
237.932525,242.635975
238.052275,242.8845
238.167725,242.905675
238.257825,243.02745
238.350925,243.313025
238.44595,243.419
238.55075,244.05865
238.63385,244.115075
238.7144,244.744075
238.8076,245.268325
238.893925,245.283475
239.06935,245.3659
239.183225,245.3784
239.298125,245.524075
239.37795,245.559725
239.523625,245.5809
239.60165,245.7731
239.646725,246.51235
239.719025,246.577675
239.79175,246.598575
239.8732,246.7365
239.943825,247.18325
240.0841,247.306675
240.23015,247.329875
240.36185,247.342075
240.498725,247.4129
240.6261,247.428975
240.76935,247.447375
240.8746,247.616125
240.936725,247.813225
240.99825,247.869075
241.128875,247.888575
241.20115,247.900575
241.2552,247.9065
241.335175,248.1195
241.3976,248.3894
241.4832,248.596225
241.5656,249.13665
241.72085,249.1404
241.796475,249.16825
241.917375,249.296475
241.984175,249.419875
242.059625,249.499375
242.2074,250.0492
242.27305,250.454825
242.382825,250.760825
242.4865,251.133225
242.5695,251.16645
242.642775,251.223525
242.735,251.2714
242.849225,251.404275
242.972375,251.4143
243.073425,251.431225
243.17265,251.45025
243.281575,251.4601
243.379075,251.469375
243.448375,251.492025
243.5591,252.343125
243.600625,252.923425
243.721725,252.966175
243.803275,252.98015
243.872775,253.37475
243.93875,253.403175
243.991675,253.416175
244.13505,253.43395
244.270525,253.4452
244.328925,253.46085
244.419525,253.5163
244.52425,253.5641
244.573975,253.710425
244.65715,253.73415
244.747525,254.10695
244.813325,254.277325
244.890525,254.45685
245.009625,254.48005
245.1346,254.842175
245.212875,254.872925
