SPK_SPKC04a (no effect),SPK_SPKC08a (excited)
26.9946,25.02265
27.013625,25.065975
27.0191,25.11375
27.146975,25.16205
27.1963,25.230025
27.231725,25.233425
27.2509,25.314375
27.2694,25.43465
27.303675,25.48245
27.33485,25.51215
27.39625,25.549425
27.450375,25.608525
27.471475,25.624325
27.4956,25.64255
27.506675,25.682125
27.546725,25.706025
27.58145,25.722425
27.62245,25.8131
27.761425,25.8407
27.7913,25.89345
27.873,25.934
27.916225,25.996175
27.96955,26.061
28.11075,26.155925
28.1356,26.18355
28.1597,26.27115
28.178525,26.301275
28.214725,26.332575
28.251225,26.368075
28.254475,26.41625
28.298625,26.452225
28.327075,26.481825
28.517925,26.49475
28.564775,26.4981
28.599325,26.520675
28.7134,26.552475
28.762075,26.57575
28.867575,26.6161
28.904175,26.65585
28.964175,26.796375
29.046875,26.872625
29.08555,26.914475
29.1266,26.9202
29.202875,27.0048
29.236075,27.057875
29.287675,27.1374
29.391825,27.152925
29.4035,27.200625
29.456175,27.215025
29.46625,27.249975
29.48765,27.276975
29.52725,27.29675
29.544075,27.344125
29.66465,27.37425
29.6877,27.3959
29.6983,27.417825
29.71685,27.4401
29.7617,27.47615
29.8415,27.528975
29.876625,27.59205
29.893725,27.72335
29.91415,27.760075
29.929525,27.8259
29.95885,27.84315
30.08865,27.8616
30.116625,27.900125
30.13655,27.91855
30.13885,27.96975
30.215475,28.0038
30.239625,28.036425
30.3353,28.1743
30.3892,28.269975
30.616275,28.29845
30.660275,28.342575
30.68025,28.3588
30.73445,28.4314
30.758975,28.48315
30.76435,28.53615
31.108375,28.586975
31.162575,28.645225
31.397275,28.69145
31.49745,28.7432
31.5695,28.86145
31.6131,28.91175
31.7217,28.952525
31.899775,28.9821
31.920375,29.07325
31.94305,29.17745
32.008125,29.2359
32.07335,29.31225
32.079325,29.37505
32.091325,29.389275
32.09585,29.4169
32.286825,29.60245
32.328875,29.6816
32.4095,29.72045
32.452,29.75525
32.4755,29.83135
32.842575,29.88075
32.9736,29.89255
33.017075,29.9133
33.0407,29.986025
33.11335,30.0257
33.13505,30.0753
33.198125,30.09615
33.212375,30.12325
33.3033,30.17705
33.40215,30.2902
33.4694,30.33415
33.792825,30.3773
33.834575,30.3982
33.99005,30.4136
34.0268,30.4728
34.071825,30.58065
34.093125,30.625625
34.2464,30.64895
34.254425,30.6966
34.26905,30.7775
34.337375,30.8264
34.4442,30.91255
34.5518,30.97955
