SPK_SPKC01a (inhi),SPK_SPKC02a (maybe inhi),SPK_SPKC02b (inhi),SPK_SPKC06a (inhi),SPK_SPKC13a (inhi),SPK_SPKC13b (exc),SPK_SPKC16a (no opto-tagging)
212.935775,204.7232,202.558325,202.559175,202.26995,216.1751,209.208125
212.97515,204.7496,202.57455,202.565725,202.2781,216.3798,209.258925
213.091625,204.800975,202.590275,202.584,202.282825,216.563125,209.430675
213.11075,204.818125,202.599475,202.59365,202.29115,216.6531,209.447275
213.235275,204.843325,202.6066,202.6032,202.295725,216.736975,209.58845
213.31865,204.85205,202.61305,202.616225,202.301225,216.80935,209.647125
213.6908,204.853325,202.6333,202.63415,202.30495,217.0223,209.6839
213.696725,204.8823,202.640575,202.643275,202.31,217.056975,209.749225
214.14255,204.92485,202.64625,202.650525,202.315575,217.11035,209.774675
214.251225,204.941675,202.662575,202.657575,202.3212,217.13565,209.8305
214.32535,204.970675,202.6707,202.66325,202.33175,217.393125,209.8763
214.3793,204.9775,202.6803,202.673725,202.340125,217.4067,209.892825
214.510425,205.0272,202.695075,202.69455,202.3466,217.61425,209.921675
214.62495,205.031525,202.70265,202.70305,202.355675,217.66595,209.956425
214.81475,205.0505,202.71325,202.733025,202.358825,217.734325,210.011525
214.8264,205.0772,202.719,202.74635,202.364275,217.79945,210.0666
214.89095,205.080575,202.749725,202.77,202.36855,217.907725,210.12055
215.04725,205.110225,202.762375,202.797125,202.374675,217.964175,210.137975
215.117825,205.143125,202.76985,202.813,202.3791,218.05035,210.19295
215.166975,205.17925,202.778525,202.828075,202.3841,218.148675,210.21695
215.586175,205.3303,202.786275,202.842275,202.388425,218.210075,210.251225
215.587275,205.336125,202.8107,202.849475,202.393325,218.283325,210.259525
215.641275,205.3536,202.8201,202.86735,202.397825,218.3304,210.271275
215.64595,205.367675,202.826175,202.885625,202.402,218.495925,210.30895
215.6977,205.447525,202.834425,202.91045,202.406025,218.562675,210.332925
215.714075,205.4597,202.846975,202.9204,202.4123,218.59585,210.354625
215.742,205.525075,202.8548,202.924925,202.415875,218.694025,210.4223
215.78695,205.6578,202.884325,202.962625,202.422575,218.7671,210.53105
215.802875,205.70665,202.923525,202.971775,202.429175,218.8699,210.5953
215.8074,205.724725,202.936725,202.979,202.4342,219.081275,210.6297
215.8459,205.749075,202.9669,202.9874,202.458725,219.231,210.63545
215.910575,205.761675,202.97695,203.005225,202.4654,219.247275,210.6634
215.923725,205.787675,202.982725,203.02065,202.47305,219.7656,210.73145
215.989625,205.8267,202.989625,203.03735,202.47885,219.856875,210.8875
216.014225,205.8324,202.9991,203.045575,202.48555,219.9482,210.895475
216.01995,205.912225,203.009125,203.050775,202.4928,220.018475,210.919425
216.06615,205.9317,203.014175,203.060875,202.4984,220.0834,210.96835
216.090375,205.950375,203.02175,203.06645,202.5087,220.102925,211.094025
216.0995,205.956575,203.0324,203.0722,202.516475,220.1171,211.131925
216.107125,205.9809,203.0473,203.083975,202.52255,220.3313,211.17605
216.1219,206.0673,203.056325,203.089,202.532175,220.433275,211.185175
216.208475,206.14285,203.06625,203.097675,202.54345,220.460275,211.2056
216.2448,206.1505,203.0749,203.1045,202.549525,220.5871,211.230475
216.36645,206.151675,203.083,203.11015,202.55815,220.683775,211.253425
216.40555,206.193425,203.094275,203.1247,202.566225,220.712325,211.345125
216.50365,206.20165,203.101075,203.13195,202.57385,220.735975,211.386175
216.575225,206.249325,203.125775,203.139525,202.580775,221.033275,211.445275
216.74645,206.404875,203.1322,203.151725,202.5919,221.079625,211.472275
217.10155,206.51555,203.135475,203.16105,202.59985,221.090175,211.53385
217.3405,206.6026,203.14665,203.167975,202.61915,221.117725,211.606625
217.369675,206.65845,203.15665,203.17595,202.6282,221.183925,211.693675
217.5223,206.670675,203.168475,203.18515,202.6356,221.2217,211.76005
217.5591,206.713125,203.20025,203.19785,202.642025,221.254075,211.778775
217.56435,206.780325,203.21075,203.204925,202.647975,221.32945,211.90215
217.668425,206.838575,203.222375,203.217325,202.655,221.3515,212.07275
217.78605,206.934775,203.24835,203.22695,202.66335,221.4523,212.117325
217.829425,206.968125,203.25415,203.237725,202.672325,221.523325,212.286925
217.8554,207.067775,203.263975,203.25175,202.67915,221.5875,212.302725
218.0157,207.0768,203.272575,203.272375,202.68525,221.6214,212.316225
218.359425,207.09125,203.2996,203.280825,202.6928,221.6977,212.3208
218.3901,207.10055,203.3141,203.2845,202.698925,221.709625,212.333625
218.66245,207.10695,203.3374,203.30185,202.7178,221.825575,212.4513
218.681,207.11515,203.3533,203.31085,202.726225,221.886675,212.49885
219.09655,207.1283,203.3611,203.322625,202.7371,221.922525,212.533425
219.12665,207.1365,203.376275,203.33525,202.746625,222.001525,212.593
219.31865,207.143925,203.3843,203.343225,202.755725,222.1661,212.602675
219.47005,207.176375,203.391575,203.370025,202.76455,222.217225,212.6892
219.829575,207.2233,203.397175,203.391675,202.780525,222.256,212.75375
219.9257,207.239175,203.404525,203.400225,202.789525,222.315775,212.8055
220.01445,207.300625,203.411375,203.410575,202.801325,222.347725,212.839475
220.06635,207.3095,203.42445,203.416625,202.8293,222.38865,212.914275
220.09525,207.3394,203.44295,203.42385,202.84195,222.404225,212.958775
220.2045,207.358375,203.4527,203.4317,202.8523,222.4642,212.9643
220.231925,207.4338,203.461325,203.45185,202.864675,222.517925,213.00875
220.31185,207.456675,203.4704,203.460675,202.87205,222.6731,213.047
220.32975,207.47425,203.479025,203.468225,202.881575,222.687225,213.10645
220.345275,207.487475,203.486575,203.487725,202.892325,222.7076,213.116075
220.374975,207.51135,203.4925,203.509375,202.9018,222.7558,213.133725
220.478,207.5304,203.500325,203.531075,202.912775,222.766125,213.165075
220.605725,207.531825,203.507275,203.540825,202.9205,222.81235,213.363775
220.676975,207.558725,203.515325,203.55105,202.93425,222.996775,213.39565
220.7098,207.60705,203.5326,203.5596,202.9477,223.006225,213.45405
220.749,207.6142,203.54435,203.576475,202.9608,223.0305,213.482425
