SPK_SPKC01a (excited),SPK_SPKC04a (inhibited),SPK_SPKC09b (excited),SPK_SPKC10b (excitation + inhibition),SPK_SPKC11a (inhibited),SPK_SPKC11b (excited),SPK_SPKC12a (excited),SPK_SPKC13a (excited),SPK_SPKC14a (excited),SPK_SPKC15a (NA),SPK_SPKC16a (excited)
2.6294,1.180025,6.4227,4.829675,6.030775,33.843825,4.818275,17.20515,48.35925,16.750175,15.5154
2.668325,1.1902,6.4714,4.8511,6.073975,34.109125,4.830975,17.23135,48.67375,17.16045,15.596175
2.710625,1.208725,6.5112,4.867525,6.087225,34.2049,4.8353,17.4164,48.860875,17.220225,15.68735
2.74675,1.220525,6.807525,4.8947,6.114175,34.26405,4.8564,17.518175,48.903025,17.266025,15.802475
2.772075,1.2377,6.827025,4.916125,6.147675,34.389125,4.89595,17.652875,49.260325,17.2942,16.203375
2.796725,1.2529,6.852025,4.94095,6.169175,34.41775,4.91595,18.085025,50.231075,17.325725,16.4501
2.827125,1.262475,6.976225,4.964,6.222175,34.420825,4.940175,18.653425,50.75915,17.511475,16.481975
2.847775,1.278075,7.021925,4.992575,6.269525,34.431125,5.172425,18.86045,51.307675,17.584775,16.528575
2.8794,1.3012,7.0765,5.029025,6.296525,34.502425,5.203075,19.803275,53.4445,17.662075,16.8443
2.8984,1.314325,7.721875,5.4917,6.30735,34.51375,5.24345,20.02675,53.4694,17.716175,16.964825
2.9347,1.326975,7.8662,5.556875,6.3741,34.5541,5.345075,20.105525,53.656525,17.826875,17.237475
2.962325,1.3351,7.882425,5.5733,6.414925,34.57885,5.40795,20.17475,54.90495,18.16815,17.254075
2.98205,1.34465,7.9292,5.588525,6.504275,34.74125,5.428475,20.207725,55.16785,18.316725,17.419675
3.0084,1.358475,7.965125,5.60655,6.568125,34.81165,5.460475,20.612325,55.19955,18.388125,17.504425
3.033,1.370075,7.98465,5.63295,6.637575,34.8371,5.489475,20.707175,56.371375,18.425725,17.619325
3.05605,1.386575,8.033225,5.648325,6.697825,34.898775,5.5233,20.98945,56.39875,18.60935,17.66235
3.084575,1.4037,8.079925,5.66715,6.75505,35.011875,5.557875,21.020725,56.57095,18.6864,17.79855
3.13045,1.418375,8.122075,5.6865,6.85495,35.06725,5.5807,21.901325,57.5583,18.807975,17.868525
3.1789,1.426575,8.138475,5.7014,6.89235,35.122075,5.59405,21.955075,57.722375,18.86165,18.168175
3.214075,1.444175,8.15115,5.724,6.923975,35.16965,5.642425,22.4196,57.995325,18.91735,18.18085
3.244475,1.457225,8.165625,5.744875,6.944325,35.18055,5.6889,22.727275,58.474225,19.103325,18.290275
3.2654,1.47215,8.179125,5.785275,7.007625,35.19355,5.707875,22.897525,58.51555,19.1659,18.368625
3.2964,1.48385,8.19105,5.932175,7.0594,35.238275,5.7661,23.09555,58.6896,19.214,18.428375
3.3263,1.4958,8.2053,6.08295,7.13935,35.325475,5.78065,23.12915,58.7051,19.281475,18.567525
3.348975,1.509175,8.2185,6.15375,7.165025,35.361075,5.82235,23.30115,58.7374,19.3507,18.698875
3.363625,1.519925,8.233275,6.2986,7.18565,35.551025,5.862275,23.417075,59.292175,19.746925,18.74385
3.3884,1.52905,8.2472,6.3136,7.26185,35.61435,5.913625,23.71665,59.50885,19.79015,18.882825
3.4156,1.549375,8.263075,6.32235,7.26335,35.637075,5.954175,23.84925,59.712125,19.820825,18.91745
3.4473,1.565725,8.282625,6.3452,7.34275,35.657725,5.9931,23.98545,60.115625,19.868675,19.0997
3.47255,1.582075,8.2957,6.3702,7.361425,35.6786,6.030775,24.394325,60.38855,19.9894,19.372975
3.496975,1.5935,8.3142,6.381325,7.4052,35.70435,6.07395,24.5388,60.5425,20.06355,19.857425
3.522425,1.616975,8.37385,6.40715,7.55555,35.8063,6.087225,24.58985,60.665825,20.253025,19.93905
3.550975,1.630875,8.57985,6.422675,7.6318,35.835625,6.11415,24.6556,61.5878,20.339125,20.063725
3.579125,1.6462,8.618025,6.448875,7.6558,35.854175,6.14765,24.69335,61.706875,20.384475,20.13155
3.613,1.657,8.6918,6.471375,7.685775,35.8838,6.16915,24.986825,61.82745,20.441375,20.66795
3.640275,1.677325,8.73805,6.511175,7.705225,35.910475,6.222175,25.076725,62.302875,20.52315,20.74555
3.665725,1.693475,8.8292,6.774425,7.780925,35.9316,6.2695,25.090925,63.2395,20.563725,20.80445
3.70225,1.71315,8.8701,6.8075,7.84435,35.955725,6.2965,25.222975,63.6599,20.5808,20.94605
3.720775,1.7422,9.11065,6.826975,7.851075,35.97365,6.307325,25.45645,64.21285,20.612275,21.12875
3.753275,1.753475,9.122675,6.852,7.870425,36.0724,6.37015,25.793275,64.26065,20.67095,21.313575
3.7861,1.769775,9.1704,6.874625,7.938825,36.10745,6.423825,25.88125,64.785525,20.722625,21.461675
3.82685,1.783025,9.18985,6.9762,7.97875,36.170425,6.50425,25.898625,64.940775,20.81475,21.544975
3.873175,1.822025,9.206775,7.021875,8.0309,36.294975,6.5681,26.0484,65.400175,20.860125,21.636925
3.9027,1.835725,9.2315,7.07645,8.0679,36.34805,6.63755,26.063325,66.61215,20.90975,21.683775
3.930025,1.861775,9.298325,7.721825,8.1831,36.369125,6.66375,26.418725,68.91745,20.93945,21.738975
3.947475,1.87235,9.37805,7.8824,8.21545,36.406525,6.6978,26.457725,70.303925,20.978975,21.7872
3.968675,1.885725,9.7206,7.92915,8.240125,36.435,6.755025,26.469425,70.476625,21.027025,21.8368
3.990525,1.896275,9.786175,7.965075,8.261425,36.45905,6.766175,26.8849,71.2197,21.060025,21.91695
4.0089,1.919925,9.87365,7.984625,8.287475,36.59535,6.80265,26.89325,75.111325,21.09215,21.93055
4.0393,1.92725,10.109625,8.0332,8.339525,36.640575,6.854925,26.960825,75.666225,21.128575,22.084425
4.0682,1.9445,10.14015,8.053325,8.3752,36.689175,6.892325,26.9934,76.9116,21.226375,22.13
4.0887,1.96175,10.188925,8.079875,8.401225,36.724825,6.9003,27.1286,77.3834,21.26495,22.22535
4.16505,1.971825,10.207725,8.1119,8.462925,36.83015,6.92395,27.40925,77.8157,21.388825,22.40525
4.216825,1.9842,10.2307,8.122025,8.491675,36.875325,6.9443,27.487025,77.845525,21.450475,23.1446
4.257725,2.002,10.28405,8.138425,8.523325,36.89455,6.976325,27.901975,79.29515,21.522225,23.18405
4.28125,2.01385,10.31065,8.151125,8.565625,36.922425,7.0076,27.9255,81.024675,21.582875,23.30555
4.3484,2.035375,10.414075,8.1656,8.600625,36.925525,7.0594,27.953625,82.361725,21.609325,23.3557
4.363825,2.04365,10.492875,8.1791,8.641325,37.006925,7.139325,28.204725,82.981675,21.675,23.547325
4.39815,2.0537,10.5201,8.191025,8.6671,37.084525,7.185625,28.2661,83.035,21.714375,23.7724
4.437175,2.062075,10.884575,8.205275,8.702275,37.10045,7.2633,28.295025,85.036175,21.787175,23.8122
4.477475,2.081525,10.9173,8.2185,8.718425,37.12155,7.342725,28.3185,85.2525,21.81755,24.02635
4.507775,2.0962,11.188925,8.23325,8.736875,37.157275,7.405175,28.568125,85.2719,21.909275,24.304875
4.5356,2.107225,11.20665,8.247175,8.751925,37.19245,7.55555,28.577725,85.6994,21.955025,24.527675
4.57175,2.120325,11.23555,8.26305,8.822725,37.242975,7.655775,28.7183,87.1086,21.99095,24.68575
4.606525,2.13895,11.2608,8.2826,8.852725,37.289125,7.685775,28.75325,88.548375,22.04875,24.73665
4.64715,2.146425,11.291425,8.295675,8.895425,37.330875,7.7052,29.23325,89.078125,22.094025,24.8206
4.6722,2.15685,11.309325,8.31415,8.913475,37.428625,7.7809,29.634925,89.312675,22.1514,24.8997
