SPK_SPKC04a (NA),SPK_SPKC08a (excited),SPK_SPKC12a (inhibited)
89.81135,30.903175,10.0302
89.919725,30.9348,10.04035
90.17025,30.9623,10.05065
90.692375,31.04015,10.07015
90.83795,31.112075,10.13635
90.8693,31.1254,10.1445
90.9103,31.15475,10.150825
91.24345,31.15825,10.17255
91.68945,31.216925,10.197625
92.708,31.254875,10.231525
92.8004,31.257,10.273375
93.12645,31.3054,10.29905
93.2341,31.3556,10.30935
93.541,31.3826,10.354875
93.603875,31.510725,10.387175
93.772025,31.540975,10.40525
93.8456,31.56565,10.43125
93.952975,31.81255,10.4517
94.108325,31.84085,10.464275
94.20985,31.904825,10.4924
94.31725,31.907775,10.503925
94.355225,31.9161,10.531825
94.46405,31.950975,10.544025
94.6473,32.000475,10.560425
94.669525,32.03065,10.574475
94.9523,32.052675,10.589375
95.670725,32.08425,10.599125
95.78575,32.0913,10.61205
95.8612,32.12215,10.643475
96.210625,32.161675,10.658875
96.2295,32.166225,10.66225
96.40415,32.20905,10.6814
96.612425,32.2214,10.68475
96.696525,32.289,10.710325
96.9128,32.3552,10.74065
97.6406,32.399575,10.770125
97.64755,32.407725,10.784
97.94895,32.4694,10.824525
98.013575,32.5443,10.8471
98.254575,32.5512,10.8483
98.460975,32.7536,10.856075
98.538575,32.768325,10.87395
98.648225,32.94365,10.894175
98.670075,33.155025,10.906025
98.716875,33.206175,10.910825
98.874875,33.3433,10.926525
98.974625,33.40515,10.93235
99.054325,33.486325,10.97135
99.0921,33.513075,10.977125
99.59305,33.5291,10.98975
99.6443,33.74945,11.005775
99.7043,33.7687,11.016525
99.87125,33.8871,11.033225
100.00175,33.946,11.081725
100.026825,34.077675,11.09675
100.158275,34.07885,11.10385
100.439375,34.154475,11.111925
100.48115,34.245175,11.118475
100.54435,34.2752,11.1355
100.72615,34.38615,11.161825
100.74395,34.411325,11.16415
100.763675,34.4659,11.1777
100.918775,34.5674,11.209625
100.938325,34.6019,11.232625
100.945375,34.6554,11.245125
101.153,34.668875,11.258525
101.308375,34.69485,11.273075
101.3161,34.818725,11.304875
101.34035,34.91855,11.3276
101.35885,34.9575,11.35035
101.397225,34.97775,11.376225
101.4176,34.98355,11.387275
101.470325,35.0041,11.397975
101.4824,35.135925,11.413525
101.516325,35.253225,11.428225
101.5928,35.296075,11.4351
101.60065,35.306625,11.439925
