SPK_SPKC03a (inhibited),SPK_SPKC10a (inhibited),SPK_SPKC10b (inhibited),SPK_SPKC11a (short inhibition),SPK_SPKC11c (NA),SPK_SPKC12a (NA),SPK_SPKC13a (NA),SPK_SPKC16a (NA)
52.9945,52.734575,4.87465,35.8177,4.25655,29.52975,16.570325,63.607125
52.9969,52.839225,4.8784,35.8281,4.268775,29.55685,16.597825,63.637825
53.178275,53.0919,4.884125,35.8466,4.28135,29.614975,16.702175,63.66085
53.297775,53.487975,4.931675,35.880575,4.3045,29.6322,16.7392,63.67865
53.3031,53.7859,4.943225,35.9417,4.3142,29.693825,16.753975,63.696875
53.3595,53.875975,4.9659,35.975875,4.350575,29.70725,16.783025,63.721325
53.3695,54.10875,4.98055,36.01245,4.365775,29.76925,16.8069,63.746675
53.386275,54.14095,4.995825,36.03325,4.392425,29.81595,16.859325,63.76795
53.395975,54.18075,5.01395,36.0642,4.416075,29.858475,16.875775,63.79515
53.615725,54.54745,5.0258,36.105125,4.425125,29.90935,16.929025,64.476325
53.6292,54.59595,5.038175,36.4377,4.437125,29.9863,16.97805,64.745375
53.6782,54.615425,5.04805,36.4662,4.4464,30.065775,16.996875,64.770175
53.68075,54.702625,5.0615,36.528275,4.464675,30.093825,17.046225,64.919625
54.022875,55.078375,5.071775,36.628125,4.483025,30.120525,17.12275,64.945375
54.063725,55.1409,5.1016,36.6758,4.50285,30.146025,17.164225,64.962875
54.228875,55.219525,5.1114,36.74205,4.514975,30.46355,17.209125,64.9957
54.23785,55.96825,5.124575,36.755275,4.5263,30.5167,17.22285,65.0083
54.489625,56.091525,5.13385,36.798175,4.53515,30.550625,17.2524,65.029425
54.49325,56.143775,5.15905,36.808625,4.561275,30.5786,17.27875,65.0829
54.5594,56.477775,5.180775,36.892375,4.58105,30.634475,17.2917,65.935575
55.352375,56.560225,5.1901,36.906475,4.603375,30.73965,17.331575,66.49035
55.35675,56.6214,5.199125,36.941075,4.61355,30.84475,17.3862,66.601275
55.782175,57.2103,5.209425,37.0319,4.62015,30.8939,17.40595,66.6805
55.819375,57.2176,5.223125,37.054275,4.62515,31.013,17.449675,66.7046
55.8973,57.370675,5.250125,37.10695,4.634525,31.101125,17.46075,66.74435
56.000725,57.3746,5.253975,37.15145,4.645375,31.428725,17.482925,66.77535
56.00715,57.54505,5.297075,37.268125,4.663375,31.444,17.551975,67.213875
56.044075,57.667675,5.30105,37.33295,4.67395,31.46555,17.622325,67.267675
56.049425,57.922675,5.3173,37.367775,4.6896,31.52765,17.726625,67.298825
56.14355,58.09205,5.32935,37.413575,4.699275,31.62745,17.779175,67.37495
56.228075,58.1796,5.35005,37.52865,4.715175,31.73095,17.83495,67.513975
56.5029,58.2507,5.366675,37.6266,4.73085,31.78315,17.864175,68.087975
56.507125,58.5152,5.3698,37.658525,4.7443,31.8877,17.877125,68.125425
56.532525,58.54955,5.37185,37.996975,4.759775,32.006275,17.89285,68.156925
56.73285,58.8078,5.382725,38.02635,4.770225,32.1671,17.9076,68.219325
56.7527,59.508325,5.387425,38.0358,4.793,32.300125,17.935875,68.272575
56.78035,59.5148,5.409525,38.1877,4.80595,32.37895,17.9487,68.298225
56.78215,59.7799,5.435475,38.2337,4.8232,32.44305,17.989025,68.339025
