SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC06a,SPK_SPKC08a,SPK_SPKC10a
23.9584,56.2408,4.813575,7.0078,4.8083
24.0557,56.2719,4.8201,7.02075,4.816675
24.115375,56.4862,4.831425,7.032825,4.825025
24.40205,56.85845,4.84155,7.08285,4.83875
24.54145,56.895725,4.84965,7.091275,4.84805
24.76585,57.1095,4.85755,7.13405,4.85805
24.80555,57.343275,4.8658,7.146775,4.867175
24.964325,57.476475,4.8722,7.193925,4.894675
25.006375,57.554,4.88515,7.2206,4.896825
25.012125,57.59815,4.896625,7.2573,4.9112
25.1486,57.693175,4.908575,7.2949,4.925825
25.175725,57.774875,4.923275,7.31195,4.942975
25.2767,58.26525,4.95465,7.35515,4.96135
25.38225,58.757025,4.986275,7.37525,4.9928
25.399725,58.911125,5.037125,7.4341,5.0166
25.580425,59.02985,5.0574,7.44795,5.047
25.663275,59.103075,5.07925,7.469975,5.065525
25.73875,59.228,5.111725,7.48045,5.0826
26.14955,59.3498,5.130425,7.494175,5.1314
26.158175,59.360375,5.16465,7.5098,5.153925
26.213475,59.780725,5.1779,7.53365,5.17315
26.319375,60.09225,5.19185,7.547475,5.198575
26.5383,60.336125,5.20345,7.605375,5.2095
26.67555,60.572825,5.218175,7.684925,5.2337
26.686625,60.8093,5.228425,7.714625,5.2396
26.8571,60.8639,5.23845,7.730625,5.249575
27.180375,61.104625,5.247475,7.74285,5.2566
27.197675,61.157075,5.2567,7.75725,5.26405
27.33515,61.304825,5.266825,7.771775,5.278925
27.389,61.348225,5.272325,7.785925,5.297125
27.39875,62.0713,5.285225,7.801,5.303525
27.480825,62.08415,5.30325,7.892525,5.3191
27.505,62.147525,5.313925,7.9049,5.3304
27.555325,62.232425,5.325,7.922125,5.34665
27.5665,62.286575,5.337675,7.940675,5.3634
27.734425,62.298925,5.35065,7.965325,5.3843
27.7556,62.583325,5.363075,7.981225,5.405675
27.8232,63.57885,5.3876,8.0028,5.446475
27.831575,63.72365,5.41325,8.023625,5.4808
28.11105,63.8473,5.440575,8.05785,5.496175
28.154275,64.074725,5.47745,8.0716,5.52035
28.233025,64.08815,5.53195,8.08435,5.53055
28.2453,64.29295,5.5603,8.115675,5.5482
28.554425,64.57815,5.57205,8.166,5.562575
28.563475,64.85465,5.58135,8.1844,5.580375
28.70435,64.9352,5.59075,8.248,5.589275
28.81985,65.019975,5.59975,8.275525,5.606375
28.854875,65.026975,5.61375,8.29095,5.634325
28.96075,65.053025,5.62435,8.369175,5.647675
29.070325,65.096825,5.63515,8.387775,5.6611
29.097875,65.167625,5.660025,8.3998,5.676725
29.12775,65.189125,5.6949,8.409475,5.696025
29.14525,65.42075,5.72505,8.6124,5.71825
29.239225,65.5851,5.747075,8.63165,5.731575
29.308,65.8187,5.77895,8.664075,5.759175
29.482925,66.222625,5.8252,8.678225,5.7891
29.498925,66.580525,5.8433,8.69825,5.814225
29.745325,66.731025,5.852125,8.713225,5.847125
30.34985,66.77935,5.860325,8.7242,5.863925
