SPK_SPKC02a (short excitation),SPK_SPKC05a (no effect),SPK_SPKC07a (no effect),SPK_SPKC09a (no effect),SPK_SPKC11a (no effect),SPK_SPKC11b (no effect)
42.599025,217.933825,43.042525,265.6331,5.474075,76.7088
42.811,220.514125,43.091575,265.661,5.500825,77.14665
43.198225,221.26645,43.23355,265.689025,5.50555,77.77905
43.644975,221.928825,43.602675,266.108125,5.5199,78.098525
43.8964,222.32715,43.6366,266.13,5.5437,79.13895
44.02645,223.29685,44.442475,267.01135,5.549075,80.59805
44.147275,223.30325,44.50185,267.0525,5.566425,80.611575
44.3667,225.11745,44.595675,268.026525,5.572,80.68165
44.60275,225.438825,44.829275,269.049225,5.5916,81.170475
44.626825,225.777225,45.66745,269.480725,5.598525,81.399025
44.6421,225.881825,45.901825,270.567,5.60815,82.148625
44.7718,227.898925,46.085775,271.20115,5.6381,82.881775
45.064225,228.081525,46.3813,273.0117,5.6523,83.545025
45.2307,228.2671,46.56545,273.8295,5.661975,84.9151
45.558225,228.577025,46.6145,274.479175,5.7,85.165825
46.057175,229.511925,46.70255,274.667225,5.72385,85.5029
46.45815,229.56555,47.05105,274.681575,5.75365,87.22495
46.52285,229.701775,47.35085,275.1216,5.8155,88.1187
46.531825,230.011625,47.487325,275.1366,5.9066,89.379125
46.81565,231.013975,47.6015,275.39755,5.939825,89.78545
47.038375,231.043125,47.643175,275.642625,5.9629,91.366925
47.380625,231.571075,47.6859,275.771225,6.0033,92.292275
47.6435,232.655275,47.730025,277.4748,6.008825,92.7109
47.6673,234.4491,47.773725,279.997025,6.02345,93.1092
47.71525,234.484425,47.804825,281.07375,6.037925,93.60535
47.7304,234.5449,47.827225,281.22765,6.0564,93.9998
47.745725,235.10165,48.04525,281.534225,6.07965,94.35665
47.90165,235.191825,48.3292,281.5606,6.10745,96.9057
48.283875,235.9665,48.386825,281.96615,6.12595,97.012175
48.303025,236.496675,48.6544,282.154325,6.165875,97.28605
48.717675,239.004125,48.789,282.48275,6.196675,97.702825
48.756125,239.043675,48.925325,282.578225,6.236075,97.89465
48.772775,239.965925,49.187975,283.0501,6.329975,98.97465
49.320025,240.7024,49.2125,283.0972,6.36475,100.763475
49.356325,240.752275,49.709375,283.1419,6.40635,103.25735
49.4424,240.963375,49.839475,283.679925,6.492675,104.06755
49.63245,242.250475,50.391125,284.179925,6.51775,104.4595
49.7855,242.3107,50.76295,284.78275,6.566725,105.4308
49.833,242.339525,50.8024,285.0161,6.602475,106.034625
49.8563,242.3564,50.995925,285.263225,6.62375,106.568475
50.087275,244.1997,51.753375,287.963925,6.671125,106.734
50.230275,244.4828,51.98525,288.0662,6.691925,107.140475
