SPK_SPKC06a (no effect),SPK_SPKC09a (excited),SPK_SPKC11a (no effect),SPK_SPKC11b (excited),SPK_SPKC13a (no effect),SPK_SPKC14a (no effect),SPK_SPKC15a (excited)
22.969825,23.327525,10.30385,8.1252,9.064025,4.4036,20.38495
23.0818,23.448325,10.321525,8.16295,9.103225,4.42835,20.467025
23.2521,23.4985,10.496375,8.1904,9.122225,4.44855,20.50855
23.263125,23.5158,10.598625,8.250375,9.26955,4.466575,20.92205
23.314575,23.600975,10.6209,8.2736,9.3545,4.47965,20.967125
23.3443,23.732975,10.637275,8.3558,9.396975,4.493625,21.016125
23.402125,23.749,10.7609,8.379575,9.440275,4.536425,21.02535
23.485325,23.76475,10.852825,8.423425,9.4463,4.55755,21.581025
23.548475,23.88475,10.879975,8.448,9.504575,4.57465,21.82065
23.68415,24.11505,10.91475,8.471075,9.5559,4.595725,22.556425
23.7431,24.173275,10.998875,8.48355,9.5933,4.613925,22.78625
23.790675,24.19635,11.027125,8.57005,9.616075,4.6395,23.133875
23.901975,24.223,11.092275,8.6448,9.77285,4.6526,23.160375
24.0566,24.244225,11.1338,8.662,9.8343,4.66745,23.172775
24.128075,24.26615,11.202225,8.70925,9.87745,4.67875,23.32465
24.37395,24.34495,11.212175,8.7717,9.994425,4.69795,23.4415
24.579175,24.360075,11.2452,8.796725,10.0596,4.706825,23.615475
24.60725,24.50215,11.25915,8.999475,10.1077,4.709975,23.965975
24.61045,24.5219,11.27445,9.06245,10.1185,4.720225,24.08045
24.6838,24.6461,11.279725,9.065425,10.17875,4.76175,24.22665
24.739425,24.68155,11.340275,9.07895,10.2049,4.8749,24.439125
24.789725,24.71045,11.359875,9.087725,10.24005,4.91935,24.463175
24.9109,24.89025,11.376575,9.112425,10.24865,4.938825,24.5262
25.011675,24.914575,11.425125,9.124525,10.252225,4.96785,24.5377
25.12895,25.005225,11.464875,9.184675,10.2866,5.001725,24.54255
25.2025,25.028,11.63395,9.261475,10.389625,5.00925,24.58255
25.36225,25.213525,11.878075,9.388675,10.41465,5.05055,24.77565
25.58135,25.2857,11.88715,9.39735,10.53075,5.08205,24.860775
25.634375,25.31565,11.8936,9.440125,10.598675,5.1458,24.975825
25.71495,25.357875,11.93495,9.44765,10.618275,5.1982,25.34385
25.752675,25.464975,11.95605,9.456,10.6564,5.244975,25.510725
25.768925,25.661175,11.975725,9.55105,10.713675,5.28435,25.58295
25.7911,25.694075,12.1156,9.587875,10.79965,5.336,25.666275
25.8428,25.706,12.16375,9.637575,10.853075,5.364,25.852
25.873525,25.784725,12.240225,9.674025,10.9923,5.3732,25.973375
26.0197,25.8141,12.409325,9.719475,11.03745,5.382525,26.051375
26.0905,25.90935,12.460025,9.80495,11.082375,5.411075,26.16325
26.3217,26.008525,12.540775,9.8379,11.096925,5.4463,26.4689
26.400625,26.187575,12.62585,9.844125,11.177625,5.4612,26.54375
26.4844,26.19955,12.6752,9.981125,11.2241,5.47155,26.567525
26.596275,26.220425,12.69955,10.008225,11.303875,5.49225,26.707125
26.720125,26.25655,12.721375,10.056,11.46615,5.547875,26.777225
26.81715,26.348175,12.79075,10.1047,11.6188,5.577625,26.999525
26.84315,26.4051,12.808675,10.125125,11.62455,5.71645,27.127625
26.9245,26.421175,12.8265,10.162725,11.625975,5.7618,27.130375
27.036175,26.500575,12.901775,10.1819,11.871475,5.7708,27.1601
27.1107,26.5361,12.92825,10.209125,11.8781,5.777925,27.2036
27.219625,26.63375,12.9935,10.23315,11.88525,5.784425,27.21315
27.491025,26.69365,13.06435,10.31345,11.909475,5.7956,27.222425
27.54625,26.794975,13.098725,10.322575,11.91345,5.807225,27.359625
27.5916,26.93655,13.251625,10.4286,11.9299,5.82075,27.4004
27.6251,26.995375,13.26375,10.484725,11.94875,5.826475,27.4245
27.718425,27.00775,13.2879,10.5552,11.974625,5.854825,27.4526
27.79875,27.1047,13.3238,10.61415,12.029325,5.9093,27.499275
27.8497,27.21435,13.351675,10.65675,12.087675,5.996125,27.6507
27.98295,27.239775,13.4034,10.696025,12.1315,6.018675,27.66045
28.028025,27.28105,13.4607,10.712475,12.143075,6.03225,27.848325
28.172325,27.371625,13.475225,10.7331,12.182375,6.03965,28.271125
28.2218,27.6048,13.670175,10.736125,12.214525,6.0478,29.0863
28.258225,27.7311,13.743725,10.73815,12.283025,6.0679,29.31565
28.346625,27.88905,13.76565,10.762125,12.2876,6.0852,29.44145
28.4355,27.917475,13.782375,10.771175,12.37375,6.09855,29.5401
28.4981,27.937225,13.881875,10.841775,12.40355,6.112725,29.69905
28.50595,27.9783,13.985025,10.8689,12.426,6.134,29.82095
28.7313,28.004175,14.0132,10.89335,12.4504,6.1598,29.844225
28.775425,28.02365,14.03395,10.906975,12.66175,6.176725,29.93665
28.979425,28.060075,14.059975,10.925525,12.701625,6.215225,30.39315
29.5526,28.076025,14.076375,10.97195,12.7511,6.229525,30.41275
29.80975,28.091975,14.154825,10.98415,12.85755,6.250475,30.5665
29.99545,28.227825,14.19125,10.99095,12.875525,6.276,31.31495
30.089875,28.303,14.23675,11.056375,13.043025,6.2934,31.70745
30.139775,28.5077,14.2941,11.192225,13.074525,6.304,32.218025
30.1816,28.616425,14.376675,11.21715,13.101825,6.324975,32.347125
30.26135,28.7711,14.404025,11.26955,13.112725,6.336075,32.645425
30.288575,28.81385,14.46255,11.3438,13.1204,6.346175,32.80365
30.67075,28.82845,14.577025,11.35475,13.134875,6.34895,32.8305
30.883325,28.857475,14.59935,11.898625,13.161625,6.351875,32.896775
31.04225,28.919725,14.649,11.91785,13.196275,6.3635,32.91205
31.3999,29.077675,14.663525,11.972575,13.21805,6.37755,32.9444
31.52035,29.0982,14.678325,12.0656,13.240575,6.4146,33.008925
31.5778,29.394075,14.7173,12.107675,13.267775,6.43945,33.022275
31.6475,29.4227,14.81245,12.2149,13.311675,6.446475,33.055575
31.733025,29.442825,15.026925,12.25795,13.336925,6.4592,33.05755
31.825425,29.459975,15.130875,12.44075,13.346975,6.46675,33.059375
31.947825,29.471225,15.14425,12.5062,13.3496,6.500325,33.111975
32.041725,29.4833,15.15945,12.536925,13.362225,6.509975,33.17895
32.12595,29.502925,15.233725,12.5902,13.373825,6.5319,33.181575
32.219,29.525425,15.389575,12.64005,13.4142,6.542025,33.2148
32.414375,29.626975,15.399975,12.701825,13.430475,6.5662,33.2732
32.54345,29.644525,15.4032,12.755375,13.46365,6.573025,33.358075
32.60615,29.6802,15.41315,12.76145,13.52415,6.583625,33.389225
32.809425,29.705125,15.459075,12.8433,13.584375,6.587725,33.615275
32.977775,29.72885,15.47735,12.8586,13.625375,6.606425,33.64445
33.01635,29.802225,15.4911,12.868425,13.637825,6.62165,33.77075
33.08105,29.820825,15.579975,12.89715,13.650975,6.62715,34.035925
33.231025,29.862775,15.63015,12.920725,13.970825,6.635325,34.07645
33.2752,29.94295,15.75035,12.924275,13.972575,6.65645,34.38095
33.350825,29.950875,15.835475,12.9587,14.022275,6.6648,34.4086
33.4214,30.124825,15.896775,12.980525,14.028425,6.68575,34.41595
33.6176,30.186525,15.984325,13.0149,14.035025,6.6954,34.45585
33.701325,30.21795,16.024275,13.03805,14.05575,6.721925,34.477575
33.994225,30.2521,16.05125,13.0588,14.137575,6.7463,34.669975
34.039425,30.26335,16.067075,13.0958,14.1591,6.779875,34.7656
34.119175,30.30525,16.080925,13.149875,14.177925,6.817275,34.792925
34.326675,30.488,16.086975,13.209,14.201875,6.83245,34.813725
34.439775,30.512325,16.111175,13.32145,14.2639,6.846075,34.921525
34.519525,30.582375,16.137925,13.352825,14.28715,6.86055,34.966725
34.554925,30.759775,16.16,13.3977,14.31445,6.87065,34.99075
34.5701,30.782675,16.188525,13.4653,14.386675,6.903925,34.997875
34.595575,30.796825,16.2136,13.501675,14.42735,6.9126,35.027925
34.6203,30.810925,16.229225,13.539775,14.55965,6.919575,35.032175
34.7472,30.837525,16.237975,13.5624,14.568775,6.92615,35.04055
34.8735,30.927825,16.275525,13.612425,14.589675,6.935925,35.264025
34.935675,31.0315,16.2896,13.6324,14.669625,6.9465,35.594525
35.1029,31.123775,16.32565,13.7708,14.767875,6.971375,35.985075
35.401575,31.257675,16.366575,13.8347,14.769975,6.998225,36.01395
35.8545,31.28865,16.3961,14.0294,14.7795,7.019775,36.166025
35.8684,31.317975,16.41785,14.038425,14.802825,7.039825,36.23105
37.956625,31.4614,16.4203,14.1214,14.826375,7.076575,36.402475
38.069425,31.465125,16.457575,14.178025,14.83825,7.09905,36.542575
38.217525,31.53165,16.51005,14.1864,14.8444,7.140525,36.545225
38.68025,31.5611,16.5759,14.2132,15.02185,7.150325,36.7558
38.81035,31.589775,16.7052,14.263875,15.042375,7.1579,36.770375
38.951525,31.67595,16.7357,14.300025,15.056025,7.1905,36.780275
39.1071,31.7008,16.776625,14.388575,15.0624,7.211175,36.82665
39.24865,31.84705,17.0273,14.51675,15.112925,7.253225,36.8396
39.472425,31.868575,17.05735,14.56655,15.1783,7.28105,37.0661
39.54145,31.915025,17.07365,14.601175,15.200375,7.30795,37.327325
39.606775,31.945625,17.082675,14.801825,15.23375,7.325125,37.712175
39.624525,31.9586,17.100975,14.824975,15.24985,7.351775,38.024125
39.639925,32.128425,17.110875,14.9441,15.281125,7.378025,38.2023
39.6712,32.16445,17.116375,15.03265,15.313675,7.3991,38.27085
39.736025,32.320625,17.1257,15.041225,15.35305,7.411825,38.53265
39.89395,32.346875,17.129125,15.065775,15.3665,7.438525,38.6981
40.011025,32.3932,17.17345,15.110775,15.3759,7.4486,38.860775
40.2282,32.4419,17.19495,15.12825,15.381675,7.4629,38.89855
40.2783,32.53675,17.343125,15.163,15.4245,7.470875,39.1927
40.35595,32.5388,17.3732,15.2035,15.4263,7.48685,39.23035
40.447025,32.579,17.383475,15.21235,15.5089,7.503075,39.2481
40.624775,32.603075,17.402525,15.28095,15.5568,7.51515,39.393625
40.777625,32.64985,17.42165,15.282625,15.608225,7.54085,39.4318
40.853825,32.7108,17.49475,15.3351,15.679275,7.596625,39.501925
40.90435,32.738325,17.54745,15.417775,15.73525,7.66775,39.526325
40.9635,32.7699,17.577575,15.495125,15.933325,7.69325,39.582925
41.01265,32.8218,17.6098,15.647125,15.94995,7.724425,39.753325
41.27235,32.8847,17.634725,15.6787,15.95905,7.75535,40.014225
41.3518,32.913825,17.65185,15.70015,15.989225,7.78525,40.13345
41.47685,32.936025,17.65795,15.731625,16.01085,7.820725,40.1695
41.555,32.973675,17.723625,15.7702,16.109,7.8895,40.4182
41.649,32.99375,17.823425,15.79185,16.165925,7.91845,40.44795
41.81265,33.00375,17.858225,15.8887,16.1849,7.950825,40.458225
41.849925,33.0488,17.88065,15.954625,16.238075,7.97455,40.463225
41.92165,33.094225,17.893925,15.9701,16.298625,7.999125,40.732
42.028325,33.1117,17.92525,16.010725,16.345825,8.024825,40.89845
42.116025,33.131375,17.9936,16.10665,16.454825,8.04535,41.29655
42.2107,33.240225,18.043,16.186,16.471125,8.067675,41.45225
42.298925,33.263275,18.072375,16.20395,16.576325,8.090775,41.60145
42.386275,33.2771,18.110175,16.26095,16.6423,8.113175,41.627275
42.459325,33.3301,18.240025,16.356575,16.7642,8.1299,41.736075
42.61925,33.40235,18.254725,16.42855,16.78275,8.1489,41.763275
42.6204,33.41935,18.280975,16.482125,16.802425,8.168925,41.88025
42.643,33.43635,18.337,16.490825,16.855475,8.182925,41.936125
42.6558,33.590275,18.368125,16.5652,16.884875,8.190025,41.955725
42.72115,33.691175,18.44375,16.660025,17.02845,8.194175,41.981325
42.829025,33.75165,18.5588,16.6808,17.05505,8.19725,42.0311
42.920425,33.8222,18.57535,16.7079,17.0876,8.20105,42.1333
43.06755,33.8385,18.591325,16.728325,17.101025,8.204225,42.144025
43.148225,33.874475,18.615325,16.844675,17.10645,8.243675,42.219725
