SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC08a,SPK_SPKC13a,SPK_SPKC13b
505.48155,506.320975,507.0138,,503.265425,
505.535825,506.34815,507.092325,,503.30055,
505.639275,506.43,507.2841,,503.369775,
505.790025,506.453775,507.329875,,503.3863,
505.852775,506.475,507.4218,,503.42005,
505.854375,506.564725,507.44905,,503.508825,
506.021725,506.593425,507.573175,,503.525225,
506.100025,506.75445,507.625425,,503.574375,
506.13635,506.821875,507.681025,,503.5955,
506.16995,506.853375,507.71505,,503.61255,
506.310725,506.866375,507.760925,,503.63985,
506.43755,506.933475,507.7887,,503.67205,
506.679925,506.959475,507.8191,,503.687675,
506.80085,506.977775,507.8657,,503.717525,
506.8491,506.993025,507.89305,,503.74605,
506.97765,507.130525,507.928275,,503.790725,
506.99565,507.17075,507.953475,,503.8413,
507.01565,507.2215,507.989425,,503.911,
507.036825,507.3279,508.0169,,503.940875,
507.09245,507.407975,508.07685,,503.96585,
507.1361,507.52445,508.103075,,503.97955,
507.163,507.56545,508.13585,,504.014325,
507.27365,507.6045,508.181525,,504.045075,
507.312375,507.64835,508.216075,,504.0737,
507.315225,507.67095,508.249175,,504.0864,
507.35755,507.75115,508.29215,,504.1017,
507.4205,507.7778,508.326275,,504.1496,
507.462425,507.78615,508.37705,,504.1681,
507.546475,507.936075,508.4021,,504.1898,
507.56465,508.061175,508.4304,,504.22185,
507.5804,508.342725,508.4543,,504.252775,
507.65555,508.371575,508.4961,,504.321325,
507.8002,508.41845,508.51585,,504.336925,
507.8238,508.583675,508.5409,,504.3618,
507.845175,508.75635,508.558525,,504.3962,
507.87585,508.823225,508.58425,,504.421075,
507.911525,508.833775,508.606475,,504.427625,
507.93535,508.865975,508.668975,,504.4605,
507.967425,508.9007,508.688,,504.472475,
508.147075,509.1097,508.746325,,504.50505,
508.17295,509.13945,508.774675,,504.519525,
508.17395,509.183525,508.8267,,504.53535,
508.210275,509.28335,508.864625,,504.558375,
508.244075,509.342325,508.891825,,504.566175,
508.293325,509.40415,508.915575,,504.582425,
508.376775,509.564825,508.9474,,504.6036,
508.42505,509.6027,508.975,,504.617925,
508.531625,509.647375,509.013275,,504.6217,
508.564775,509.745875,509.052075,,504.65435,
508.6422,509.795,509.09185,,504.685225,
508.68295,509.82225,509.1225,,504.710925,
508.70495,509.838825,509.158425,,504.746925,
508.73865,509.8621,509.1942,,504.81545,
508.810475,509.901375,509.280525,,504.849875,
508.9893,509.972475,509.32235,,504.876075,
509.028925,510.023475,509.35245,,504.8984,
509.0758,510.20875,509.39355,,504.944175,
509.11305,510.2494,509.43025,,504.968375,
509.18355,510.29615,509.47295,,504.9895,
509.19615,510.428025,509.530225,,505.01265,
509.222425,510.45355,509.605975,,505.033475,
509.27745,510.480075,509.649,,505.05745,
509.3105,510.498075,509.70135,,505.0815,
509.357525,510.606725,509.746025,,505.094975,
509.412375,510.7063,509.797575,,505.105675,
509.4888,510.779225,509.84585,,505.123875,
509.577475,510.8122,509.878775,,505.13115,
509.6013,510.887425,509.92105,,505.147275,
509.668575,510.9211,509.95755,,505.1932,
509.69575,510.958875,510.02615,,505.23015,
509.702125,511.028675,510.081175,,505.260675,
509.742375,511.061525,510.146475,,505.308875,
509.78255,511.115525,510.204975,,505.35775,
509.819975,511.14895,510.293025,,505.40305,
509.8347,511.298975,510.334875,,505.43885,
509.855725,511.338325,510.376075,,505.4728,
509.882225,511.367775,510.4306,,505.481825,
509.9825,511.3964,510.47095,,505.50835,
510.021,511.454475,510.513925,,505.511325,
510.05165,511.486525,510.571225,,505.52955,
510.062475,511.5381,510.626725,,505.5399,
510.163475,511.586825,510.702475,,505.5794,
510.196875,511.608075,510.73145,,505.618425,
