SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC07a,SPK_SPKC09b,SPK_SPKC10a,SPK_SPKC15a
3826.070075,3922.415225,3889.721775,3880.273475,3944.17185,3824.307425
3826.297975,3922.99245,3890.05305,3880.312125,3944.47095,3824.421575
3826.42415,3923.1058,3890.57645,3882.115475,3946.935925,3824.69895
3826.508725,3923.349575,3891.270675,3882.824025,3947.262775,3825.288225
3826.9313,3924.140975,3891.616425,3882.92605,3947.35595,3825.40255
3826.999725,3924.326425,3894.208975,3883.3137,3948.676525,3825.7209
3827.20175,3924.58215,3894.239325,3884.484975,3950.673025,3825.836575
3827.22765,3925.011925,3894.76675,3884.8915,3950.92345,3825.997575
3827.283875,3925.653325,3894.796525,3886.0531,3951.26125,3826.123725
3827.678625,3926.6132,3895.1914,3886.681675,3951.903425,3826.171425
3827.768925,3926.804325,3895.8538,3886.704225,3951.97615,3826.83785
3827.8072,3928.937175,3896.92705,3886.79705,3952.17505,3828.348525
3827.933675,3929.6821,3897.3375,3887.24155,3954.420375,3829.154025
3827.959575,3929.838875,3897.9011,3891.487575,3955.21525,3829.53365
3828.310325,3931.89125,3898.265025,3892.363425,3955.22435,3830.407275
3828.4498,3939.445175,3898.669675,3892.591175,3956.10615,3830.849525
3828.635125,3940.61845,3899.3914,3892.9972,3956.223475,3830.941175
3828.746525,3940.954375,3899.5384,3893.394725,3956.6239,3831.05595
3828.826875,3941.48085,3899.90725,3894.205,3956.92705,3833.22635
3829.010025,3942.864525,3900.650825,3894.568575,3959.924325,3833.412375
3829.213025,3943.33635,3900.677375,3895.2465,3960.1239,3833.47195
3829.231775,3943.417425,3900.9766,3895.301875,3962.262925,3833.5695
3829.4063,3943.56745,3901.7493,3896.274425,3962.6963,3833.7446
3829.996875,3943.56865,3901.9853,3896.578375,3962.9706,3833.84075
3830.09305,3945.082075,3903.375175,3897.15095,3963.1551,3834.2545
3830.199725,3947.3657,3903.54565,3897.421875,3963.874075,3834.454
3830.328075,3947.4289,3904.2298,3897.90305,3968.431825,3834.983625
3830.648,3947.78785,3905.0933,3898.6699,3971.01865,3835.328425
3830.76475,3948.5144,3907.95785,3898.901075,3973.732225,3835.636775
3830.8524,3948.8684,3909.102825,3899.201475,3974.2749,3836.195375
3830.9494,3950.34905,3909.49065,3899.67435,3976.5966,3837.0531
3831.000525,3950.535325,3909.747175,3900.011025,3976.88915,3837.691025
3831.193675,3951.178375,3910.0021,3901.428,3978.238,3838.460975
3831.41115,3952.511975,3910.6706,3901.752775,3978.5705,3838.6103
3831.850975,3953.17875,3910.8489,3902.311,3978.914075,3838.7609
3831.8638,3953.32455,3911.00565,3902.563775,3979.355125,3838.936675
3832.1431,3953.97835,3911.177475,3902.750675,3979.520225,3839.6477
3832.265025,3954.555475,3911.4278,3903.64395,3979.568175,3840.307925
3832.6896,3955.939625,3912.365425,3903.770475,3979.6281,3840.4389
3832.899025,3955.964675,3913.718925,3904.741325,3979.8524,3840.71465
3832.935825,3959.207975,3914.2453,3904.8888,3980.854675,3841.00615
3833.024075,3959.334775,3914.453175,3905.4693,3981.039475,3841.31905
3833.318625,3959.725975,3915.1223,3905.60985,3981.768325,3842.018625
3833.342175,3959.886625,3915.1556,3905.7626,3981.79485,3843.865225
3833.685125,3960.0208,3915.948675,3906.0374,3981.965375,3843.968675
3833.73935,3960.278625,3916.117,3906.799125,3982.483225,3844.442
3833.833975,3960.353975,3917.028125,3907.07835,3982.6017,3845.85285
3833.930575,3961.370975,3917.425675,3907.127575,3983.0087,3846.518525
3833.987225,3961.49575,3918.21775,3907.3804,3983.12405,3846.5562
3834.132875,3961.681725,3918.86375,3907.43705,3983.793475,3846.762825
3834.28855,3961.85455,3919.664375,3908.47695,3983.815275,3846.8439
3834.4022,3962.266475,3920.343275,3908.5647,3983.9884,3847.3242
3834.543625,3963.616325,3922.9935,3908.827625,3984.75495,3847.772675
3834.74125,3964.041725,3923.429925,3909.152175,3984.97565,3847.822525
3834.799975,3965.57225,3924.806125,3910.235575,3985.36255,3847.87795
3834.967725,3966.547675,3925.76005,3910.59245,3985.503575,3848.101125
3835.224325,3966.9691,3925.8028,3910.973125,3985.64515,3848.13335
3835.35205,3967.1894,3926.098125,3911.0349,3986.095175,3848.2126
3835.384775,3967.3212,3926.4986,3911.060925,3986.15915,3848.24305
3835.455825,3967.348675,3927.550975,3911.21095,3986.227575,3848.2835
3835.6583,3967.694725,3928.02705,3911.337825,3986.402125,3848.343425
3835.806575,3968.022675,3928.0579,3911.688375,3986.4803,3848.4573
3835.9038,3968.310625,3928.2615,3911.860725,3987.259425,3848.47305
3836.409625,3969.164625,3929.1749,3911.94365,3987.4524,3848.578325
3836.57415,3969.803,3930.473075,3913.028125,3987.92665,3848.697925
3836.8738,3970.66105,3932.00545,3913.5063,3988.2977,3848.77855
3836.93725,3971.1252,3932.289975,3913.9927,3988.5393,3848.98765
3837.04225,3971.298975,3932.43305,3914.082575,3988.660025,3849.100125
3837.256275,3971.7288,3932.906625,3914.16475,3989.71425,3849.130025
3837.586725,3972.58755,3933.703925,3914.72915,3990.04235,3849.1511
3837.79425,3972.872275,3934.08615,3914.84005,3990.34155,3849.1539
3837.884275,3973.26065,3934.100225,3915.206975,3990.58045,3849.439275
3837.981225,3973.363675,3935.013175,3915.4788,3991.0435,3849.515675
3838.464575,3973.959775,3935.053475,3915.5965,3991.2735,3849.588425
3838.649,3973.967,3935.446625,3916.368575,3991.8634,3849.62045
3838.68555,3974.54755,3935.811325,3916.4623,3992.564,3849.746725
3838.760725,3975.881225,3937.352425,3916.903325,3992.9141,3849.96305
3838.8527,3975.9028,3937.547875,3917.018,3993.307375,3850.1262
3839.1557,3976.38755,3938.7294,3917.7726,3994.407725,3850.260675
3839.2573,3976.49765,3940.0695,3917.989525,3996.8651,3850.3403
3839.490225,3977.040975,3941.1846,3919.666225,3997.057425,3850.60285
3839.606575,3977.16545,3941.859175,3919.9759,3997.366475,3850.67575
3839.633575,3977.376975,3942.51205,3920.559325,3997.3923,3850.850675
3839.728975,3977.519825,3944.154125,3921.819525,3997.95465,3850.9739
3839.927875,3980.357225,3946.182975,3922.50345,3998.162375,3851.1111
3840.010325,3980.959525,3946.489325,3922.727025,3998.413125,3851.22815
3840.089025,3981.69085,3947.0062,3923.452475,3998.7289,3851.32835
3840.1413,3982.34715,3947.3343,3923.672775,3998.88875,3851.38665
3840.270575,3983.188725,3947.70195,3924.84385,3999.011475,3851.4936
3840.3442,3985.335775,3947.985425,3925.739525,,3851.610825
3840.496625,3986.67035,3948.785125,3926.50475,,3851.718725
