SPK_SPKC04b,SPK_SPKC11a
418.1924,441.70595
418.199375,441.851
418.2082,441.8674
418.2191,441.947775
418.2289,441.97225
418.2494,441.9985
418.257375,442.16835
418.281575,442.257725
418.298975,442.2614
418.3049,442.39775
418.4013,442.42735
418.4298,442.484725
418.4711,442.571125
418.49025,442.618825
418.507775,442.664175
418.56215,442.879975
418.5833,442.899725
418.601075,442.9083
418.62115,443.00825
418.662075,443.010275
418.6791,443.0131
418.70875,443.0186
418.721275,443.05135
418.740275,443.131
418.793525,443.1594
418.80555,443.203275
418.834525,443.341175
418.868025,443.621225
418.88415,443.622475
419.04525,443.6361
419.326125,443.665825
419.89955,443.672225
419.98965,443.710375
420.003725,443.73055
420.042025,443.8415
420.077025,443.8976
420.122875,444.031675
420.13515,444.211
420.15265,444.614025
420.173725,444.748275
420.23945,444.751325
420.29445,444.794225
420.330125,444.7965
420.360375,444.801875
420.381425,444.811
420.420675,444.84595
420.456325,444.91685
420.49495,444.92555
420.521325,444.937175
420.57135,444.94525
420.585975,444.946325
420.620075,445.07755
420.636525,445.078825
420.65175,445.089325
420.666725,445.1243
420.6761,445.21805
420.7072,445.26665
420.7383,445.5113
420.74975,445.54785
420.7655,445.857
420.79215,445.911825
420.815575,446.151525
420.8435,446.2234
420.8566,446.299375
420.8751,446.33615
420.92195,446.400475
420.938625,446.426075
420.952075,446.4502
420.97145,446.4588
420.98145,446.468525
421.026375,446.4742
421.049,446.479675
421.086725,446.594425
421.1202,446.641325
421.1369,446.68535
421.155525,446.7637
421.178775,446.8177
421.187925,446.921525
421.196325,447.029325
421.218875,447.052175
421.24295,447.119675
421.270075,447.20425
421.3056,447.3394
421.34185,447.34855
421.36445,447.391425
421.37485,447.40975
421.399325,447.4282
421.422875,447.599025
421.443625,447.651825
421.47445,447.75335
421.5052,447.8804
421.536875,448.219175
421.555375,448.2773
421.576,448.446525
421.59775,448.520225
421.615425,448.628325
421.635225,448.65835
421.650525,448.685225
421.66585,448.732475
421.6804,448.7573
421.69735,448.792775
421.713125,449.2357
421.722275,449.26285
421.73475,449.280625
421.744475,449.606125
421.7564,449.80025
421.7986,449.914275
421.80915,450.013175
421.8275,450.042775
421.842275,450.058
421.8597,450.129775
421.877,450.201275
421.8934,450.374575
421.915725,450.38195
421.930475,450.57685
421.94485,450.6051
421.964225,450.766925
421.979375,450.850475
421.9913,450.875775
422.0101,450.89175
422.025025,450.91195
422.042125,450.92765
422.056975,450.937975
422.0816,450.9519
422.0908,450.992275
422.110275,451.0173
422.12625,451.057725
422.148975,451.25615
422.1774,451.32775
422.194125,451.411475
422.21385,451.418225
422.2302,451.500725
422.243975,451.808125
422.260375,451.820975
422.271825,451.9278
422.28635,452.18345
422.30305,452.20155
422.329275,452.287925
422.34715,452.51565
422.371425,452.568725
422.38835,452.656025
422.404825,452.7653
422.4197,452.818075
422.43055,452.85835
422.4647,452.874875
422.485775,452.877525
422.505825,452.913525
422.539875,452.9279
422.558225,452.949525
422.60915,452.95595
422.630575,452.97145
422.6444,452.9912
422.663175,453.050875
422.677675,453.11045
422.695575,453.216925
422.71185,453.4739
422.726725,453.515025
422.74235,453.7455
422.75885,453.804275
422.790175,453.8301
422.812025,453.967675
422.83085,454.1597
422.84615,454.2852
422.86405,454.442175
422.87495,454.53355
422.893625,454.549275
422.9183,454.753675
422.937725,454.882225
422.963825,454.9384
422.99195,454.949775
423.01,455.04915
423.0211,455.140125
423.034375,455.233575
423.0513,455.29405
423.0725,455.32705
423.113425,455.379975
423.16245,455.409575
423.2016,455.764325
423.23725,455.90685
423.25555,456.072
423.31755,456.08215
423.330125,456.19065
423.3442,456.2119
423.358175,456.709775
423.375125,456.855925
423.399475,457.040725
423.4374,457.081025
423.459225,457.13685
423.483175,457.195725
423.5005,457.237725
423.512125,457.243925
423.530975,457.24725
423.544425,457.252375
423.56395,457.320775
423.5822,457.4078
423.598875,457.608325
423.607925,457.7217
423.6268,457.796325
423.636675,458.047025
423.6554,458.055825
423.666775,458.060025
423.69355,458.0658
423.716475,458.07255
423.736025,458.09295
423.772,458.1282
423.796825,458.199
423.833325,458.25815
423.86035,458.39135
423.93125,458.418925
423.962225,458.434275
423.987975,458.56415
424.007925,458.62475
424.035875,458.698125
424.057275,458.715925
424.07275,458.77005
424.092525,458.81235
424.11125,458.82435
424.12275,458.933675
424.1344,458.95025
424.14805,458.98955
424.16235,459.015825
424.181825,459.123675
424.193175,459.20875
424.20395,459.262325
424.2259,459.263875
424.23995,459.27095
424.254725,459.410275
424.26305,459.5329
424.277775,459.539475
424.3002,459.5497
424.3209,459.625525
424.34755,459.799825
424.380925,460.199325
424.402325,460.21435
424.4329,460.44865
424.45435,460.468975
424.4767,460.52575
424.493125,460.634525
424.533325,460.6443
424.564125,460.694325
424.580225,460.812075
424.605325,460.8571
424.63295,460.862975
424.64705,460.8823
424.663125,460.927625
424.675725,460.946475
424.69065,460.9916
424.705475,461.233775
424.7211,461.28195
424.731925,461.352225
424.7418,461.532825
424.759325,461.69615
424.774775,461.731275
424.800775,461.806875
424.815075,461.84625
424.839775,462.209225
424.884675,462.229575
424.915,462.281675
424.9432,462.71445
424.971525,462.786025
425.0414,462.805925
425.066675,462.8754
425.0973,462.915
425.121575,463.133975
425.17145,463.278725
425.21385,463.35675
425.233475,463.4126
425.269425,463.751025
425.29285,463.869625
425.319425,463.883225
425.334675,463.990575
425.351325,464.0085
425.37985,464.066075
425.424325,464.069375
425.471175,464.12905
425.544175,464.140725
425.580775,464.2412
425.605675,464.4057
425.627725,464.482075
425.653175,464.498025
425.6794,464.651125
425.7004,464.7147
425.72745,464.789375
425.760125,464.898475
425.774675,464.94675
425.79525,464.97865
