SPK_SPKC05a (exc),SPK_SPKC15a (no response)
656.115875,743.081475
656.1344,743.147725
656.165475,743.194175
656.178775,743.257925
656.18135,743.312475
656.239775,743.372225
656.2442,743.436425
656.45455,743.559625
656.577825,743.5768
656.78755,743.6225
656.940325,743.6614
657.051925,743.683075
657.13365,743.7379
657.1458,743.8391
657.336075,743.918275
657.3446,744.002325
657.482425,744.04895
658.153125,744.2773
658.262475,744.448925
658.371225,744.541825
658.49645,744.714625
658.560175,744.9697
658.6158,745.248425
658.701925,745.558325
658.77385,745.619975
658.8446,745.671225
659.0441,745.7332
659.0857,746.01015
659.118925,746.07515
659.163075,747.67805
659.2789,747.8175
659.3327,747.961575
659.593,748.01235
659.638825,748.176075
659.725775,748.2325
659.733675,748.49925
659.840025,748.584675
660.285175,748.659975
660.519775,748.682875
660.58685,748.7181
660.647675,748.768975
660.719425,748.840975
660.8984,748.85755
660.970225,748.88825
661.035875,749.00165
661.0836,749.027
661.110225,749.092025
661.124,749.2719
661.16885,749.31655
661.221875,749.326275
661.36285,749.34345
661.676575,749.3688
661.739925,749.3868
661.971875,749.465525
662.0568,749.51635
662.1482,749.6448
662.2189,749.7703
662.366425,749.8134
662.527175,749.8799
662.64635,749.934725
662.680875,750.114325
662.724825,750.441075
662.81555,750.59675
663.194475,750.701225
663.3224,750.835025
663.386325,750.864875
663.41355,751.0632
663.58495,751.125
663.6702,751.1714
663.7167,751.2082
663.870425,751.310925
664.097775,751.40085
664.355325,751.566
664.488025,751.61395
664.69715,751.702175
664.7785,751.72235
664.883775,751.83045
664.967675,751.970725
665.041575,752.034525
665.0988,752.239275
665.160325,752.5957
665.2867,752.66265
665.420375,752.701825
665.561525,752.747475
665.712525,752.939225
666.31595,752.969825
666.50045,753.052525
666.569625,753.116175
666.705775,753.16685
666.826125,753.362675
666.905675,753.429
667.105275,753.650775
667.22515,753.6766
667.2917,753.731525
667.29755,753.80245
667.58455,753.9347
667.61675,754.169
667.85645,754.265475
668.01055,754.4012
668.08985,754.4813
668.197725,754.529725
668.2812,754.5924
668.4387,754.664825
668.4788,754.8095
668.536075,754.91225
668.574075,754.979925
668.582125,755.096975
668.58485,755.23535
668.61465,755.29545
668.633575,755.52695
668.692825,755.71185
668.791,755.8262
668.944075,756.017475
669.068575,756.070775
669.07625,756.163325
669.198525,756.4283
669.30515,756.520975
669.3875,756.645325
669.6569,757.14755
669.751,757.231725
669.8123,757.51815
669.842025,757.90575
669.864925,757.974575
669.8813,758.062025
669.9083,758.295
