SPK_SPKC04a (artef),SPK_SPKC12b (exc)
439.311375,517.877525
439.359075,518.75655
439.3929,518.939225
439.44315,519.08195
439.559475,520.246825
439.724925,520.88205
439.7963,521.09425
439.92235,521.44565
440.0238,521.8242
440.287775,521.91805
440.375725,522.0797
440.479325,522.236125
440.53655,522.401775
440.601025,522.539525
440.64535,522.82205
440.6961,523.164825
440.73725,523.799075
440.777925,524.14245
440.8447,524.281075
440.888775,524.413325
440.91815,524.6413
440.9777,524.724225
441.0378,524.80765
441.076125,525.023375
441.081275,525.478125
441.1572,525.69105
441.209,525.772275
441.260875,526.22665
441.354075,526.4173
441.391675,526.906875
441.4623,527.425925
441.54305,527.59355
441.6124,527.761825
441.8083,528.015175
441.871175,528.083025
441.926475,528.534825
441.988425,528.570375
442.03135,528.913825
442.08705,529.1318
442.132925,529.695825
442.2023,530.906925
442.2427,531.060375
442.303,531.233925
442.3357,531.613925
442.38625,532.1355
442.4681,532.289275
442.5149,532.414325
442.589375,532.749425
442.678925,532.878225
442.73125,532.944325
442.849225,533.253225
442.8885,533.364825
442.9539,533.83915
443.01565,533.869475
443.0503,534.319825
443.1387,534.402425
443.173925,534.4366
443.209625,534.7283
443.23965,535.399275
443.29535,535.622125
443.356,535.668625
443.45865,535.73945
443.508525,535.840025
443.55715,535.856625
443.617525,536.220725
443.66865,536.497775
443.71625,536.958725
443.804575,537.251725
443.862775,537.507525
443.901975,537.656275
443.946425,538.45165
444.004275,538.936475
444.037325,538.988075
444.078625,540.635225
444.151875,541.002675
444.19765,541.86295
444.264925,543.2089
444.315375,543.759575
444.357125,543.839925
444.449975,543.985825
444.49455,544.028875
444.562175,544.6375
444.67085,544.663725
444.7381,544.70305
444.78325,544.86785
444.814725,545.2821
444.88195,545.358425
444.921775,545.6231
444.9891,546.0044
445.01735,546.856475
445.058975,547.290425
445.0872,547.9136
445.137275,548.037625
445.18755,548.22625
445.27425,548.51335
445.32395,551.178075
445.386825,551.300475
445.447225,551.709425
445.489575,552.082175
445.567575,552.179225
445.6147,552.29645
445.65825,553.57355
445.70025,554.17615
445.75225,554.946675
445.791775,555.5302
445.8744,555.786125
445.908875,556.2513
445.95065,556.412375
445.995125,556.576075
446.060925,556.877975
446.119275,557.02285
446.15635,557.230375
446.185025,557.8037
446.27825,558.3961
446.308725,558.8352
446.35505,558.94695
446.443575,559.090875
446.48735,559.12785
446.523525,559.7955
446.592375,560.326075
446.63075,560.34315
446.74015,561.13595
446.7772,561.4104
446.845675,562.16145
446.901575,562.304325
446.95395,562.38615
447.02765,562.693275
447.08755,562.74495
447.136975,563.260525
447.20655,563.43725
447.315025,564.468025
447.354225,564.632075
447.426175,564.812025
447.460925,565.25175
447.500225,566.089425
447.52435,566.2968
447.6154,566.406625
447.669625,566.446075
447.704225,566.858825
447.765925,567.130525
447.815175,567.33255
447.9103,569.648675
448.01455,570.71325
448.089725,571.108075
448.1877,571.138
448.2732,571.828375
448.36875,571.878775
448.436425,572.0679
448.5009,572.2895
448.55245,572.3406
448.61825,573.008925
448.653675,573.526775
448.72405,574.333325
448.76205,574.456825
448.8046,574.7506
448.850025,574.9203
448.8828,575.0357
448.921775,575.296275
448.978825,575.321725
449.023175,575.769825
449.08435,576.56065
449.14115,576.973925
449.2196,577.3447
449.263,577.42435
449.3022,577.831725
449.345425,578.4459
449.435525,578.6481
449.467775,578.695825
449.51295,579.077275
449.558775,579.3263
449.6194,579.347325
449.649775,579.356925
449.70225,579.48565
449.728925,580.225025
449.8372,580.299575
449.883875,580.5514
449.9313,580.606175
449.954325,581.1525
450.0211,581.248025
450.089275,581.443775
450.147475,581.529775
450.184675,581.681525
450.243075,581.780375
450.284825,582.0973
450.328525,582.358
450.3746,582.459675
450.43765,582.681175
450.511925,582.80135
450.5554,582.94825
450.602275,583.16335
450.6456,583.3203
450.675075,583.458725
450.71895,584.085425
450.747625,584.0962
450.815075,584.430925
450.863525,584.536625
450.99425,585.1226
452.05415,585.3739
452.808025,585.6697
452.86845,585.760675
453.341275,586.1488
454.106325,586.3192
454.49555,586.3388
454.5321,586.38875
455.128875,586.658025
455.24045,586.711725
455.36765,586.847225
455.66055,587.24865
455.82515,587.4225
455.900825,587.6168
456.0308,587.682175
456.390075,588.012075
456.61005,588.222875
456.6904,588.36475
456.731425,589.371725
456.765475,589.50985
456.82625,589.59605
457.494,589.757475
458.070225,590.303575
458.2232,590.510725
458.31695,590.649875
458.630425,590.735925
458.78095,590.7816
458.91335,591.2562
458.9943,591.53415
459.105575,591.632125
459.28745,591.9325
459.500725,591.972125
459.7475,592.060225
459.9595,592.353225
460.073,592.6661
460.116425,592.7785
460.14345,593.18875
460.232,593.658625
460.247625,593.9527
460.27725,594.046625
460.3881,594.28795
460.4948,594.662125
460.7324,594.8106
460.774575,595.011725
460.776125,595.703325
460.807175,595.843925
460.933625,595.909825
461.08015,596.01985
461.231775,596.169625
461.276375,596.525325
461.7068,596.551775
461.86825,596.750075
462.0036,596.94415
462.127825,597.08355
462.219125,597.165725
462.743125,597.268175
462.981175,597.35225
463.521475,597.730675
463.78655,597.828125
463.92515,597.939925
464.012625,598.678325
464.122325,599.590475
464.172,599.725775
464.261225,599.884175
464.3612,
464.457375,
464.5333,
464.6302,
464.68285,
464.72295,
464.78255,
464.855325,
464.915125,
464.951825,
464.9938,
465.08545,
465.136825,
465.17595,
465.23955,
465.3151,
465.3598,
465.451975,
465.4951,
465.55895,
465.6135,
465.65455,
465.7054,
465.7948,
465.952625,
466.066,
466.1073,
466.14005,
466.199875,
466.247925,
466.308325,
466.370375,
466.441025,
466.4884,
466.538925,
466.610525,
466.663175,
466.734775,
466.793,
466.861675,
466.91235,
466.96445,
467.04915,
467.073575,
467.1337,
467.173125,
467.223425,
467.279175,
467.323025,
467.377875,
467.409375,
467.488425,
467.58445,
467.64345,
467.6681,
467.7274,
467.763525,
467.8189,
467.85295,
467.8983,
467.948,
467.984075,
468.026325,
468.05155,
468.084925,
468.1458,
468.1832,
468.233125,
468.316825,
468.34085,
468.39835,
468.424325,
468.4823,
468.548375,
468.609075,
468.693725,
468.7458,
468.8028,
468.848525,
468.8845,
468.923475,
468.984325,
469.093175,
469.147825,
469.184875,
469.2216,
469.249,
469.33045,
469.390125,
469.434825,
469.487275,
469.524325,
469.5624,
469.651275,
469.709825,
469.741775,
469.775,
469.862825,
469.906,
469.92435,
470.016175,
470.081075,
470.16405,
470.202825,
470.30065,
470.3592,
470.44925,
470.49895,
470.552325,
470.652075,
470.762,
470.78925,
470.8454,
470.89055,
470.939025,
471.01785,
471.062975,
471.154875,
471.195625,
471.29275,
471.33615,
471.3873,
471.419825,
471.4872,
471.555125,
471.652925,
471.71915,
471.789725,
471.88345,
471.92535,
472.15185,
472.186675,
472.2431,
472.29505,
472.363525,
472.422025,
472.473925,
472.520875,
472.702825,
472.775775,
472.910225,
472.99385,
