SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC06b,SPK_SPKC10b,SPK_SPKC11a,SPK_SPKC16a
424.6716,423.6471,429.834375,420.283325,461.87445,413.36315,404.733075
424.743475,423.6762,430.208825,420.34015,461.992,413.375,404.7395
424.804575,423.7875,430.3267,420.391075,462.229575,413.42715,404.7521
424.84115,423.862175,430.431375,420.44035,462.497525,413.486,404.7726
424.9312,423.903175,430.48855,420.495225,462.88915,413.590275,404.792175
424.9889,423.980625,431.05745,420.549175,463.298325,413.597425,404.8025
425.062925,424.0526,431.267,420.610125,463.54855,413.73945,404.813275
425.152475,424.104875,431.465525,420.743075,463.636025,413.749,404.83945
425.19195,424.479925,431.6555,420.814275,463.769475,413.7782,404.850475
425.2659,424.550675,431.683125,420.871225,463.8368,413.79925,404.86215
425.304525,424.6279,431.716275,420.93235,463.852975,413.918625,404.87175
425.329025,424.67165,431.72285,421.01205,463.905525,414.08675,404.881225
425.361525,424.743525,431.8402,421.082275,463.974225,414.09565,404.903725
425.387275,424.8046,432.09975,421.127425,464.01135,414.18,404.916075
425.4736,424.8412,432.11655,421.1546,464.20235,414.2112,404.924975
425.5779,424.93125,432.189025,421.214825,464.64245,414.247575,404.935425
425.638325,424.9889,432.292675,421.2504,464.703475,414.312175,404.943925
425.674575,425.1526,432.402275,421.324825,464.84935,414.3165,404.94945
425.711825,425.192075,432.46715,421.395275,464.90945,414.74905,404.9593
425.749275,425.265925,432.48645,421.472675,465.043525,414.76225,404.97855
425.781925,425.30455,432.708525,421.5345,465.10985,414.82805,404.98475
425.817125,425.32905,432.821275,421.60085,465.20495,414.95175,404.992325
425.8722,425.36155,432.82925,421.6966,465.288125,415.006775,405.031375
425.940025,425.3873,432.885675,421.785175,465.605475,415.0382,405.039625
425.994325,425.396325,432.92275,421.877225,465.747875,415.0829,405.056825
426.082875,425.473625,433.3558,421.9382,466.029175,415.174075,405.064475
426.2295,425.57795,433.531575,421.9972,466.075475,415.2385,405.0708
426.327625,425.608975,433.571425,422.068025,466.382475,415.3304,405.086375
426.39265,425.6747,433.60955,422.129375,466.47165,415.35895,405.095625
426.577075,425.711825,433.64405,422.173875,466.481075,415.43695,405.126875
426.6194,425.7493,433.65735,422.27205,466.4925,415.504925,405.145575
426.710525,425.8172,433.791975,422.418275,466.64275,415.545875,405.1566
426.768675,425.8722,433.9163,422.501575,466.707825,415.632625,405.165725
426.90055,425.940075,434.019375,422.534725,466.81255,415.6396,405.176825
427.027875,425.9944,434.05075,422.5854,467.00175,415.66555,405.1894
427.083875,426.0829,434.155275,422.66425,467.0307,415.720725,405.2101
427.1499,426.2295,434.21065,422.755025,467.23125,415.826525,405.2195
427.1931,426.327725,434.2544,422.88055,467.394725,415.871325,405.224975
427.23995,426.392725,434.442425,423.02935,467.59755,415.989125,405.25015
427.300875,426.5771,434.5353,423.111775,467.6859,416.13525,405.253675
427.441225,426.768725,434.548,423.1648,468.009025,416.3407,405.27835
427.602675,426.900575,434.6599,423.3002,468.085925,416.3942,405.288375
427.643075,427.028,434.6888,423.361675,468.100775,416.434375,405.307025
427.7048,427.08395,435.095825,423.4535,468.201375,416.473875,405.3255
427.748525,427.15,435.2595,423.54135,468.314725,416.49205,405.341625
427.8528,427.1745,435.359575,423.642625,468.3636,416.62765,405.35015
427.89805,427.193125,435.426325,423.7218,468.457625,416.707925,405.363275
428.029475,427.239975,435.45835,423.8482,468.495175,416.771625,405.368725
428.0993,427.300925,435.749375,423.914025,468.55215,416.8001,405.388
428.1653,427.602725,436.241375,424.0557,468.718025,416.87085,405.400025
428.204225,427.6431,436.2776,424.12835,468.813825,416.91815,405.42785
428.272675,427.7049,436.399475,424.148225,468.8414,416.943575,405.434675
428.320875,427.74855,436.484375,424.26915,468.87145,417.02855,405.45355
428.42795,427.85295,436.58695,424.3833,468.92115,417.070675,405.475275
428.47355,427.898075,436.636025,424.54935,468.982075,417.13055,405.48395
428.514875,428.0295,436.821525,424.6211,469.428775,417.183125,405.49465
428.559325,428.09935,436.9449,424.71865,469.688625,417.22125,405.5199
428.602225,428.165325,437.05815,424.85725,469.7333,417.302125,405.5414
428.669,428.204375,437.115075,424.95845,469.886725,417.496675,405.5477
428.73085,428.2727,437.2339,425.064775,470.11955,417.5545,405.56295
428.86275,428.3209,437.272425,425.132875,470.46285,417.581725,405.574875
428.954,428.42795,437.3375,425.296075,470.8425,417.612825,405.590125
429.052175,428.473625,437.45665,425.380375,471.01475,417.77115,405.5924
429.554125,428.514925,437.4877,425.48015,471.224575,417.81475,405.611475
