SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC02a,SPK_SPKC03a,SPK_SPKC04a,SPK_SPKC05b,SPK_SPKC06a,SPK_SPKC06b,SPK_SPKC06c,SPK_SPKC08a,SPK_SPKC08b,SPK_SPKC09c,SPK_SPKC11b,SPK_SPKC11c,SPK_SPKC02c
74.951275,7.53445,49.570325,24.466375,3.235,38.13065,2.441725,2.618825,4.51805,16.889325,6.14295,10.5033,7.615525,14.7039,4.258075
75.301925,7.651025,50.586,24.71955,3.288075,38.4882,2.451125,2.639375,4.526175,16.936225,6.174225,10.793075,7.667075,14.722725,4.268575
75.696375,7.749225,50.66555,24.81325,3.29685,38.56435,2.4766,2.654275,4.557175,17.06175,6.1969,10.888225,7.714275,14.8345,4.302875
75.8861,7.815225,50.8268,24.90945,3.38225,38.83025,2.481875,2.6705,4.5808,17.291725,6.246625,10.962925,7.729125,14.859525,4.3254
76.180625,7.8958,51.0176,25.437175,3.407325,39.346225,2.506425,2.695575,4.627,17.74555,6.2723,11.16975,7.756375,14.980275,4.345375
76.374025,8.0522,51.10295,25.46785,3.4404,40.1227,2.523475,2.7029,4.648475,17.982175,6.33985,11.2111,7.80115,15.0467,4.39565
79.5095,8.2175,51.327875,25.53045,3.4924,41.2665,2.53615,2.72465,4.653925,18.07415,6.38535,11.24735,7.8706,15.141525,4.42585
79.623875,8.48855,51.3864,25.585775,3.518375,42.4727,2.552825,2.736425,4.6641,18.308175,6.432125,11.278775,7.92025,15.21115,4.433875
80.10455,8.531775,51.406125,25.7969,3.565675,42.5968,2.570275,2.7561,4.68845,18.340175,6.486325,11.34365,7.985,15.2315,4.50545
80.23515,8.67735,52.45695,25.865875,3.583025,43.378375,2.589675,2.787,4.739925,18.67555,6.54275,11.370625,8.03805,15.433225,4.615525
80.997575,8.851475,52.6157,25.925025,3.601425,44.137975,2.593025,2.79255,4.748375,18.7147,6.5923,11.4327,8.08425,15.48475,4.6351
81.10425,8.990325,52.975025,26.2384,3.621575,44.478925,2.603675,2.80335,4.7708,18.76905,6.69295,11.4635,8.144975,15.671225,4.639525
82.758975,9.04185,53.0956,26.433125,3.6476,44.6916,2.66425,2.8283,4.818875,18.979175,6.75205,11.504275,8.218375,15.782875,4.66495
83.180425,9.084625,53.350975,26.455025,3.662275,45.109325,2.676375,2.84795,4.834225,19.182625,6.774575,11.53685,8.236275,15.80315,4.707275
84.244925,9.13695,54.031425,26.93005,3.70215,45.385975,2.687625,2.860975,4.8516,19.30665,6.7937,11.64695,8.286625,15.909325,4.7278
84.65355,9.252025,54.097775,27.01525,3.72505,45.662725,2.704525,2.88355,4.861875,19.443425,6.816775,11.6935,8.29155,16.04725,4.770925
84.677875,9.308925,54.31605,27.26715,3.745325,45.672625,2.7194,2.90275,4.8698,19.663,6.849275,11.76805,8.318,16.087925,4.787225
84.681775,9.360325,55.2175,27.357675,3.757175,45.747375,2.728775,2.96295,4.880675,19.740175,6.8863,11.8809,8.3742,16.11585,4.82265
84.685275,9.45485,55.451175,27.702425,3.87685,46.711125,2.7488,3.0019,4.9152,19.7749,7.047825,11.987775,8.428125,16.169975,4.8557
84.68995,9.49245,56.28975,27.830675,3.970675,46.8205,2.84225,3.015175,4.92415,19.8054,7.138675,12.018325,8.44955,16.320425,4.867875
84.707425,9.512975,57.33425,28.383075,3.983225,47.416125,2.857975,3.036225,4.940175,20.1468,7.1714,12.180875,8.497775,16.456825,4.8835
85.158575,9.584275,57.3996,28.79145,4.036725,47.651675,2.869675,3.05435,4.946875,20.297075,7.23135,12.23055,8.55345,16.471925,4.896125
85.6078,9.6959,57.6515,29.00465,4.06645,48.013275,2.876075,3.071825,4.974625,20.325925,7.488775,12.356375,8.585025,16.569,4.9043
86.03755,9.823875,57.79155,29.13625,4.098125,48.240875,2.894925,3.09125,5.08885,20.362675,7.51035,12.486175,8.633825,16.627925,5.121925
86.73455,9.858525,60.06805,29.210875,4.12275,48.5814,2.9553,3.1026,5.12035,20.480375,7.59695,12.515525,8.80085,16.651625,5.342175
87.572675,9.8914,60.784125,29.389475,4.177675,48.763725,2.97215,3.11725,5.230775,20.605025,7.623575,12.564475,8.84005,17.009975,5.450375
87.67355,9.954325,61.7287,29.417575,4.193925,49.1383,2.9972,3.1292,5.243075,20.63285,7.66295,12.626175,8.878925,17.34235,5.453175
87.7262,9.991275,61.987,29.9575,4.28725,49.22615,3.0117,3.134725,5.2815,21.07805,7.6875,12.710875,8.89565,17.495975,5.483725
88.033375,10.056675,62.063675,30.08625,4.3838,49.5195,3.0337,3.15015,5.323725,21.4414,7.7303,12.732725,8.9157,17.56245,5.491025
88.43115,10.104,62.2805,30.2059,4.41905,50.67455,3.047075,3.1533,5.330925,21.52055,7.7664,12.80065,8.919425,17.581425,5.5209
88.4874,10.120075,62.563625,30.611225,4.429875,50.899525,3.086925,3.168575,5.348925,21.872725,7.798275,12.854175,8.981425,17.658725,5.534275
88.619475,10.170275,62.586925,30.7143,4.5831,51.059625,3.120625,3.190625,5.359425,22.011675,7.819025,12.896525,8.98925,17.772525,5.5482
88.695425,10.181275,62.7891,30.74345,4.640375,51.189025,3.182725,3.2139,5.376775,22.16145,7.8744,12.98035,9.04545,17.897675,5.56655
88.7654,10.194625,63.124975,30.772125,4.68665,51.7551,3.198875,3.23655,5.595025,22.206175,7.92765,13.234175,9.047525,17.9435,5.582275
89.35225,10.2565,63.985125,30.95315,4.699925,51.883275,3.226275,3.26105,5.65585,22.229225,8.005725,13.319075,9.076125,18.2583,5.61115
89.44545,10.2785,64.083225,30.97165,4.82325,52.120075,3.240575,3.291125,5.752,22.3804,8.043125,13.423275,9.21125,18.259775,5.658175
89.560575,10.297625,64.44335,31.46145,4.898975,52.68235,3.271,3.31905,5.860275,22.429775,8.151225,13.4488,9.2443,18.32425,5.7159
90.49235,10.31955,64.6721,31.8072,4.918175,52.904725,3.281175,3.332875,5.90265,22.521175,8.26165,13.529175,9.2717,18.379075,5.841025
90.56885,10.3759,65.14875,31.898875,4.98455,53.492525,3.2965,3.354775,5.937925,22.69255,8.296125,13.563575,9.2933,18.55025,5.959
90.927875,10.408625,65.228475,32.0036,5.010125,53.78485,3.43515,3.3682,6.013225,22.9158,8.343325,13.627975,9.323325,18.83495,6.0197
90.993775,10.5244,65.745975,32.055675,5.018625,54.626825,3.476675,3.424275,6.071925,22.9812,8.3821,13.6591,9.355975,18.9607,6.052375
91.072125,10.652375,66.5258,32.147325,5.03375,54.931925,3.50015,3.45205,6.090075,23.019825,8.477925,13.69675,9.3794,19.162275,6.0791
91.187,10.657725,66.972775,32.175775,5.04955,55.037225,3.514575,3.47055,6.1048,23.053875,8.507625,13.7874,9.563,19.277975,6.12725
91.2065,10.70265,67.104325,32.2704,5.081375,55.278325,3.5564,3.48955,6.130475,23.091225,8.541675,13.91385,9.584175,19.41055,6.162825
91.26655,10.852875,67.131975,32.436475,5.106025,55.926075,3.57335,3.543425,6.16585,23.251675,8.570525,13.980625,9.63555,19.478175,6.182275
91.446325,10.993425,67.5761,32.555275,5.118875,56.133225,3.587375,3.56395,6.268175,23.451,8.596575,14.0072,9.6711,19.615425,6.202625
92.6641,11.014325,68.238225,32.78835,5.158875,56.87425,3.595275,3.5795,6.3369,23.558125,8.720875,14.09305,9.706725,19.673775,6.2725
