SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC09a,SPK_SPKC09b,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC10c,SPK_SPKC15a
223.861975,225.581175,211.84875,206.22415,233.55155,215.097025,204.673375,218.8572
223.89515,225.5948,211.88545,206.2394,233.55315,215.126125,204.691525,218.988425
223.93585,225.621975,211.895225,206.257775,233.5852,215.155725,204.7126,218.99825
223.967375,225.6336,211.9582,206.28615,233.68815,215.19885,204.7283,219.037625
224.06705,225.66075,212.030525,206.314875,233.70185,215.230025,204.754,219.2075
224.21755,225.71265,212.052225,206.3357,233.71445,215.234625,204.77685,219.24635
224.23365,225.765875,212.063075,206.358275,233.841025,215.302775,204.78745,219.4796
224.24515,225.8009,212.11385,206.38745,234.05815,215.342825,204.7977,219.72395
224.266875,225.835125,212.17975,206.4368,234.248325,215.354625,204.8042,219.7597
224.309825,226.0072,212.21525,206.478825,234.31085,215.563325,204.808525,219.7673
224.52235,226.1442,212.2521,206.51495,234.318225,215.8253,204.815975,219.7753
224.8,226.156975,212.312775,206.552825,234.511225,215.893025,204.82355,219.7918
224.84015,226.1708,212.3535,206.585275,234.5334,215.8984,204.841325,219.82295
224.890975,226.198025,212.397,206.596675,234.5465,216.0396,204.850325,219.882625
225.183025,226.229025,212.494825,206.61705,234.765125,216.489325,204.872725,219.9208
225.2612,226.269325,212.506575,206.628075,234.79915,216.64575,204.88555,220.02895
225.762625,226.283,212.584675,206.635375,234.80075,216.820725,204.89495,220.04875
225.862225,226.30135,212.6103,206.6489,234.818175,216.850675,204.9032,220.06005
225.93415,226.3912,212.631925,206.6577,234.8339,216.9473,204.916625,220.354325
226.12935,226.44045,212.647725,206.683425,234.881475,216.9622,204.922525,220.364425
226.157825,226.51785,212.725675,206.6951,234.9907,217.0714,204.941775,220.38085
226.185525,226.53495,212.748625,206.7097,235.06,217.114275,204.96715,220.396075
226.238825,226.5836,212.783875,206.722775,235.0978,217.158975,204.98995,220.42535
226.2547,226.599575,212.8046,206.732575,235.142825,217.2537,204.999175,220.44025
226.30015,226.728175,212.84405,206.755375,235.148575,217.371775,205.00695,220.50205
226.30155,226.9962,212.866975,206.767925,235.155975,217.48795,205.10215,220.5141
226.414875,227.0104,212.87295,206.7885,235.584225,217.8799,205.115625,220.553775
226.57445,227.029175,212.914525,206.8145,235.61465,217.894775,205.14035,220.5725
226.624225,227.064925,212.9257,206.841425,235.76665,218.119225,205.1524,220.7304
226.7591,227.2179,213.001475,206.882475,235.7689,218.171175,205.17585,220.8409
226.83115,227.271225,213.086425,206.907375,235.91035,218.192975,205.24865,220.959775
227.1094,227.496875,213.137625,206.942325,236.019375,218.2325,205.260525,220.96775
227.11335,228.190625,213.145675,206.974475,236.130075,218.337,205.273675,220.98765
227.4749,228.241425,213.1657,206.99305,236.15015,218.346725,205.285825,221.03605
227.565325,228.46055,213.1761,207.015375,236.15785,218.36375,205.320575,221.03835
227.674325,228.572575,213.259375,207.037325,236.169625,218.390425,205.329825,221.076175
227.9266,228.66125,213.439375,207.0589,236.174075,218.407675,205.33345,221.1406
227.9654,228.809075,213.4473,207.079975,236.304775,218.6608,205.3407,221.222225
228.148875,229.7848,213.459275,207.092625,236.487975,218.6933,205.352825,221.480025
228.175075,229.8128,213.4628,207.122425,236.4975,218.7455,205.360875,221.495
228.25135,229.830275,213.49445,207.132775,236.6602,218.840325,205.3655,221.534625
228.39425,230.649225,213.50975,207.1503,236.843925,218.92935,205.368875,221.60075
228.43925,231.103675,213.517125,207.161325,236.92915,219.0132,205.3734,221.627325
228.440525,231.3292,213.518375,207.16985,236.9343,219.087,205.397475,221.6769
228.5306,231.343475,213.56125,207.178,236.959725,219.12405,205.4107,221.70355
