SPK_SPKC02a (no effect),SPK_SPKC08a (inhibited),SPK_SPKC09a (inhibited),SPK_SPKC13a (inhibited)
58.03425,96.59945,9.1895,6.585275
58.1039,96.68155,9.318575,6.63245
58.414425,97.546375,9.392975,6.64435
58.41685,97.86535,9.42565,6.698675
58.5013,97.884325,9.470575,6.7265
58.54555,98.277425,9.50215,6.7393
58.87005,98.373175,9.55765,6.753125
59.13375,98.652275,9.586025,6.809525
59.136825,98.7541,9.620025,6.811875
59.304275,98.927175,9.642325,6.820975
59.3578,99.314625,9.660275,6.8447
59.4823,99.711925,9.679475,6.851775
59.570625,99.8127,9.703625,6.86845
60.54245,99.823825,9.72465,6.881675
61.0443,100.157075,9.763275,6.919775
63.24475,100.175275,9.7751,6.9283
63.2661,100.217,9.7835,6.9592
63.56075,100.6086,9.7994,6.97685
65.353,100.888775,9.848425,6.989725
65.45595,101.229275,9.894425,6.9998
65.485575,101.401725,9.928625,7.012475
65.638925,101.457675,9.963675,7.0327
65.6778,101.72175,9.980575,7.044275
65.895125,101.784175,10.020125,7.060025
66.02875,102.85765,10.042675,7.073575
66.193425,103.941525,10.061675,7.10815
66.389275,104.124075,10.119925,7.13025
66.8696,104.1844,10.1322,7.158975
67.68055,104.6695,10.163,7.18075
67.85565,105.87645,10.180775,7.208025
67.938225,106.079,10.19435,7.218375
68.031125,106.13495,10.214075,7.238875
68.0511,106.24645,10.24915,7.271875
68.085875,106.5365,10.264175,7.281675
68.097175,106.73,10.30865,7.30035
68.25845,106.7391,10.336825,7.314025
68.347025,106.974525,10.378725,7.346175
68.467425,107.373525,10.42975,7.3686
68.48635,107.642775,10.447425,7.379275
68.674025,107.851875,10.4675,7.398025
68.81565,107.95345,10.4802,7.4071
68.8692,108.342725,10.496625,7.446725
68.896175,108.59045,10.509125,7.453225
69.088475,108.908625,10.5295,7.4747
70.519875,109.23805,10.536,7.53575
71.607775,109.60125,10.5516,7.546075
72.17275,109.813875,10.564625,7.60125
74.4168,110.42935,10.575875,7.608225
74.54575,110.809325,10.583975,7.6586
