SPK_SPKC02a (inhi),SPK_SPKC09a (no opto-tagging),SPK_SPKC10a (no opto-tagging)
54.5395,57.6917,15.696
54.608075,57.77805,15.75055
54.84365,57.9596,15.7846
54.991325,58.025625,15.817175
55.122875,58.101375,16.070175
55.8142,58.199375,16.141975
56.560675,58.41515,16.366275
56.897175,58.7155,16.39545
57.152975,58.81575,16.456225
57.245875,58.8679,16.468025
57.303075,59.117425,16.5193
57.4095,59.21605,16.639925
57.666725,59.612725,16.6712
57.778,59.75005,16.727525
57.86595,59.8486,16.75345
57.959575,61.14125,16.76675
58.025575,61.346375,16.79415
58.10135,61.92935,16.8279
58.16175,62.081475,16.865975
58.199375,62.338875,16.89465
58.297825,62.8796,16.952225
58.4151,63.056075,16.9847
58.51245,63.10425,17.04235
58.71545,63.4456,17.05315
58.815725,63.628425,17.07695
58.867875,64.708075,17.09715
59.006525,64.842275,17.175575
59.117375,65.1611,17.243275
59.216025,65.45625,17.265925
59.345675,65.896925,17.3889
59.6127,66.38315,17.4001
59.75,66.677825,17.4104
59.84855,67.024125,17.440525
59.9379,67.150875,17.46645
60.471275,67.67895,17.51215
60.970475,67.786225,17.55385
61.239225,67.92395,17.62245
61.810775,68.16595,17.6557
61.929325,68.765525,17.674725
61.985075,69.224825,17.697525
62.08145,69.783775,17.720475
62.33885,70.094125,17.733275
62.3783,70.20225,17.751225
62.61825,70.370575,17.7748
62.815125,70.542325,17.797375
62.879575,70.6056,17.8394
62.9768,71.03995,17.863425
63.05605,71.707325,17.969825
63.104225,71.8692,18.05835
63.445575,72.004025,18.142
63.522325,72.14375,18.17425
63.6284,72.19655,18.197975
64.407425,72.47695,18.22515
64.70805,72.58105,18.2474
64.842225,72.949825,18.25815
65.16105,73.3158,18.266475
65.4562,73.507625,18.279525
66.383125,73.7483,18.2979
66.6778,73.8752,18.3226
66.822375,73.939925,18.37875
67.0241,74.106475,18.434225
67.15085,74.40485,18.474625
67.39475,74.5016,18.524225
67.6789,74.5463,18.5566
67.870575,74.563925,18.576775
67.9723,74.597875,18.62405
68.165925,74.672375,18.738425
68.7655,74.6985,18.77825
69.2248,74.773625,18.827475
69.3216,74.8281,18.8995
69.49115,74.855,18.938775
69.656325,74.889275,18.965875
69.783725,74.902625,18.9912
69.914475,74.912925,19.01155
70.0941,74.9289,19.022075
70.202225,74.955325,19.047175
70.2438,75.480025,19.0647
70.37055,76.225075,19.09305
70.3984,76.3821,19.12585
70.542275,76.84305,19.154525
70.605575,77.1195,19.221075
71.0399,77.32685,19.25415
71.176075,77.370025,19.362025
71.26575,77.445075,19.39815
71.421575,77.54605,19.494
71.628025,77.663175,19.54155
71.7073,77.7917,19.575425
71.781075,77.97435,19.6164
71.9233,78.10815,19.6811
72.004,78.2022,19.83195
72.143725,78.2202,19.876275
72.1965,78.498125,19.930425
72.3055,78.51845,19.96205
72.476925,78.605025,20.013875
72.581025,78.67955,20.068075
72.823075,78.894725,20.1322
72.949775,78.98925,20.261
73.041075,79.141675,20.280175
73.17075,79.345225,20.302025
73.315775,79.419,20.320925
73.42385,79.510775,20.374175
73.507575,79.540075,20.511925
73.74825,79.61505,20.534825
73.875175,79.972075,20.6689
73.960325,80.174025,20.7215
74.106425,80.224425,20.89495
74.50155,80.45185,20.928675
74.546275,80.570375,20.94795
74.5639,80.624275,20.961675
74.59785,80.6847,20.982925
74.6116,80.76095,20.9916
74.62065,80.8381,21.009875
74.6367,80.87135,21.046475
74.65385,80.955475,21.058975
74.67235,80.981025,21.080525
74.698475,81.2341,21.093625
74.773575,81.387775,21.116125
74.809825,81.422975,21.12815
74.82805,81.441525,21.145925
74.838175,81.55635,21.17905
74.854975,81.717625,21.195875
74.87155,81.773475,21.2258
74.889225,81.928625,21.2395
74.9026,82.0732,21.267675
74.9129,82.10075,21.2922
74.92885,82.13215,21.565375
74.955275,82.214425,21.635375
74.99175,82.279175,21.68185
75.267425,82.34265,21.707525
75.319325,82.437875,21.720075
75.479975,82.514275,21.74415
76.382075,82.6298,21.760075
76.51335,82.694075,21.822175
76.587125,82.75465,21.958175
76.843,82.949925,22.022475
77.025525,82.98065,22.0288
77.11945,83.20255,22.0555
77.243375,83.248575,22.240925
77.3268,83.299475,22.36815
77.37,83.31775,22.3895
77.398875,83.3899,22.4294
77.445025,83.50435,22.462075
77.546025,83.5401,22.484225
77.66315,83.573075,22.4907
77.781225,83.6423,22.50165
77.88425,83.65345,22.521475
77.974325,83.847675,22.544125
78.113475,83.9356,22.5582
78.202175,83.956975,22.6108
78.26935,84.015575,22.655075
78.344875,84.064775,22.84455
78.518425,84.0834,23.035075
78.605025,84.1268,23.088175
78.6299,84.2066,23.117975
78.6489,84.26575,23.1405
78.66605,84.335925,23.152925
78.67955,84.342475,23.1846
78.75075,84.393425,23.19965
78.8947,84.4655,23.274325
78.989225,84.5363,23.439175
79.14165,84.5796,23.51155
79.345175,84.6689,23.70215
79.404425,84.71905,23.718625
79.540025,84.8442,23.76865
79.615025,84.945025,23.821925
79.695375,85.04435,23.955975
79.735775,85.10705,24.091825
79.868525,85.190475,24.117925
79.97205,85.2154,24.15105
80.124975,85.58875,24.165375
80.174,85.6189,24.197975
80.224375,85.6851,24.210025
80.261925,85.7151,24.21685
80.32465,85.741925,24.267775
80.3859,85.844875,24.3274
80.4268,85.858125,24.342425
80.451825,85.92535,24.392775
80.50365,86.119425,24.412375
80.57035,86.695675,24.456025
80.62425,86.760025,24.486725
80.684675,86.800525,24.5213
80.760925,86.884375,24.5493
80.83805,87.041975,24.5935
80.849325,87.044425,24.613075
80.85605,87.301725,24.649075
80.871325,87.3406,24.67745
80.981,87.381775,24.910575
81.07245,87.608375,25.0407
81.234075,87.663075,25.117675
81.387725,87.8201,25.22315
81.4415,87.87605,25.28205
81.50945,87.928175,25.304925
81.5563,88.09785,25.544125
81.77345,88.154125,25.6749
81.928575,88.46115,25.70835
82.073175,88.60715,25.7734
82.1321,88.704125,25.7938
82.214375,88.783375,25.828575
82.27915,88.820625,25.905075
82.342625,88.9443,25.9561
82.459575,89.062975,26.2225
82.52985,89.265275,26.309675
82.6298,89.3604,26.3542
82.69405,89.6427,26.380375
82.81225,89.65985,26.45575
82.9499,89.7567,26.4826
82.9806,89.7898,26.50085
83.044475,89.997825,26.5629
83.1084,90.0694,26.64395
83.202525,90.320325,26.69765
83.251525,90.6945,26.72715
83.2927,90.773025,26.79995
83.38985,91.122175,26.8344
83.4175,91.6431,26.91695
83.504325,91.73975,26.987825
83.57305,91.863275,27.032475
83.653425,92.308625,27.19855
83.720725,92.3826,27.400625
83.77915,92.52775,27.469725
83.847625,92.561,27.540525
83.956975,92.8465,27.6003
84.0228,93.42685,27.653725
84.083375,93.566325,27.8912
84.126775,93.588075,27.9252
84.206575,93.737575,28.0614
84.26575,93.913325,28.12945
84.335875,93.946925,28.1609
84.3934,94.122325,28.178975
84.465475,94.231175,28.222575
84.579575,94.309775,28.358325
84.66885,94.503,28.37205
84.719,94.623825,28.403175
84.807725,94.829325,28.424825
84.8881,94.89575,28.44875
84.945,95.01705,28.49955
85.044325,95.386575,28.5169
85.107,95.44595,28.5302
85.156025,95.66575,28.560125
85.1917,95.735875,28.57535
85.21535,95.90095,28.583825
85.268625,96.275575,28.601675
85.33285,96.733,29.07395
85.392825,96.92805,29.182425
85.514225,97.0591,29.2047
85.588725,97.088675,29.4276
85.62035,97.260725,29.597275
85.6444,97.4853,29.616425
85.685075,97.55355,29.7063
85.71505,97.598475,29.7349
85.741875,97.647375,29.805775
85.7672,97.857575,29.886325
85.796325,97.907275,29.91335
85.815575,97.991975,30.1884
85.84485,98.144775,30.29375
85.8811,98.2232,30.39765
85.911575,98.8749,30.426125
85.925325,99.737675,30.47235
85.955825,100.2207,30.524025
85.986325,100.908675,30.5524
86.009775,101.2468,30.585325
86.033125,101.4587,30.627275
86.07205,102.025075,30.63245
86.1194,102.0756,30.67505
86.167675,102.229125,30.74895
86.202525,102.6726,30.8536
86.2517,102.9553,30.913475
86.304575,103.106975,30.9302
86.3695,103.322525,30.9411
86.4501,103.7972,30.964675
86.482625,103.8693,30.993425
86.539925,104.33435,31.022725
86.597375,104.898225,31.0483
86.649975,104.904925,31.1187
86.69565,105.12725,31.12525
86.759975,105.7305,31.149125
86.800475,105.9499,31.3593
86.884325,106.721325,31.445275
86.962575,106.85495,31.537925
87.041925,107.360625,31.57945
87.087175,107.433375,31.6051
87.11775,107.5784,31.6226
87.157125,107.647225,31.680325
87.184075,107.738275,31.7209
87.221975,107.850525,31.802475
87.24195,108.090125,31.825325
87.26915,108.0968,31.894425
87.301675,108.336625,31.94035
87.3406,108.50715,31.964325
87.380775,108.633025,32.016275
87.4171,108.8273,32.044
87.445075,109.03715,32.077075
87.491,109.08825,32.188475
87.5452,109.1473,32.2744
87.608325,109.279175,32.32345
87.663,109.5006,32.340875
87.734325,109.8007,32.407875
87.77735,109.88445,32.431725
87.82005,109.984475,32.4616
87.876,110.126425,32.500175
87.92815,110.236025,32.513625
87.982025,111.264275,32.522825
88.0136,111.3689,32.617925
88.097825,111.414075,32.65385
88.130175,111.507225,32.68405
88.1541,111.746225,32.707275
88.213375,111.7973,32.757325
88.28425,111.8736,32.78995
88.3343,111.926825,32.88165
88.4214,112.025075,32.9251
88.461125,112.889575,32.929975
88.524725,112.963175,32.978325
88.55405,113.1048,33.01555
88.6071,113.16575,33.066775
88.6657,113.366075,33.095525
88.704075,113.406475,33.117725
88.749425,113.767525,33.327375
88.78335,114.0415,33.47815
88.8206,114.114075,33.66965
88.8526,114.538025,33.8499
88.8971,114.551025,33.87975
88.94425,114.606075,33.94925
89.012825,115.186475,33.98485
89.04675,115.442,34.048725
89.062925,115.583325,34.0738
89.08255,115.815425,34.0939
89.109325,115.978625,34.1441
89.151725,116.043775,34.1846
89.1945,116.339425,34.493125
89.26525,116.559275,34.885825
89.312625,116.7379,34.9368
89.36035,117.020075,34.961225
89.416575,117.2294,35.010275
89.467625,117.351175,35.069175
89.551925,118.091025,35.111175
89.64265,118.5648,35.392075
89.70845,118.59835,35.419
89.756675,119.1548,35.452625
89.789775,119.2164,35.4903
89.857975,119.564575,35.494175
89.890075,119.9076,35.537275
89.935675,120.04075,35.581725
89.9978,120.133225,35.64055
90.069375,120.279625,35.677025
90.1494,120.328825,35.727075
90.212825,120.826825,35.747875
90.320275,121.27575,35.78425
90.4112,121.43245,35.83925
90.46585,121.80055,35.89885
90.60125,123.074875,35.934025
90.69445,123.596125,35.969825
90.772975,123.80625,36.0029
90.811925,124.15715,36.052125
90.8616,124.29515,36.0859
91.0005,124.95565,36.14525
91.067325,124.9969,36.17145
91.12215,125.005325,36.219725
91.242975,125.7973,36.2378
91.367775,126.06145,36.25905
91.42605,126.08955,36.2769
91.482125,126.159625,36.301475
91.5576,126.4903,36.332475
91.643075,126.760425,36.39255
91.739725,126.940575,36.416625
91.863225,126.95785,36.496875
91.957275,127.137325,36.5355
92.192025,127.4251,36.558575
92.258,128.37785,36.597275
92.308575,128.944825,36.6588
92.382575,129.01,36.702125
92.479725,129.983075,36.730475
92.5277,130.242375,36.756025
92.56095,130.852,36.78125
92.6144,131.442,36.8163
92.717025,131.778,36.854575
92.7707,133.11245,36.87255
92.846475,133.67895,36.928725
92.8956,134.1062,36.9592
93.12935,134.2634,36.9909
93.2424,134.3305,37.0487
93.329175,135.21755,37.0692
93.426825,135.386275,37.09635
93.493375,135.3919,37.12335
93.5663,135.56245,37.129875
93.599675,135.9089,37.15685
93.664375,135.9281,37.175425
93.7013,136.1331,37.2043
93.736925,136.96485,37.213925
93.7586,137.29575,37.235875
93.8081,137.620825,37.264625
93.837275,137.981,37.287025
93.8605,138.005575,37.309225
93.88735,138.1397,37.3647
93.913275,138.247475,37.3836
93.946875,138.532875,37.42475
93.97425,138.60195,37.4408
94.004975,138.78795,37.460525
94.07315,139.0257,37.488775
94.122275,139.3192,37.5481
94.186125,140.190575,37.616675
94.2115,140.2976,37.8943
94.23115,140.3969,37.953
94.2675,140.892225,38.01535
94.30975,143.58015,38.098225
94.351675,143.688675,38.1243
94.3875,143.76035,38.15645
94.4314,144.006575,38.274625
94.502975,145.6427,38.458475
94.56215,145.948225,38.5189
94.6238,146.5358,38.56565
94.6769,147.484775,38.675425
94.6946,147.5688,38.6845
94.720575,147.69685,39.05975
94.764175,147.744625,39.123025
94.8293,147.98365,39.22855
94.871875,148.08515,39.246175
94.895725,148.934425,39.266725
94.940225,149.389225,39.304775
95.017025,149.766175,39.327475
95.07895,150.14295,39.454425
95.16995,150.18305,39.4792
95.221,150.53825,39.51515
95.246675,150.955875,39.55245
95.2859,151.1819,39.580175
95.3281,151.598575,39.6011
95.38655,151.890675,39.640925
95.445925,152.80895,39.6649
95.5547,152.937225,39.688625
95.591075,153.0644,39.713425
95.6657,153.3954,39.75315
95.735825,154.1855,39.774575
95.9009,154.817,39.8074
95.963875,156.64275,39.83625
96.0608,157.115675,39.8666
96.27555,157.18475,39.89125
96.316025,158.069275,39.910275
96.442125,159.6592,39.926675
96.5352,159.814425,39.9419
96.64095,159.9325,39.993025
96.732975,160.102,40.034525
96.928025,160.87515,40.052525
96.9961,161.1835,40.0979
97.046775,163.137825,40.111625
97.088625,165.1788,40.142775
97.115475,165.992575,40.1675
97.2215,166.670075,40.191825
97.2607,166.7581,40.2249
97.367225,167.108525,40.252775
97.43625,167.528475,40.271025
97.485275,168.482125,40.3048
97.5153,169.0093,40.334675
97.5535,170.600725,40.514925
97.59845,171.35025,40.5415
97.64735,172.359375,40.569625
97.7324,173.246125,40.6527
97.855975,173.688825,40.671075
97.907225,173.73555,40.700525
97.99195,173.8119,40.7592
98.035175,174.37,40.7795
98.100725,175.27685,40.809625
98.14475,176.5899,40.85805
