SPK_SPKC02a (inhibited),SPK_SPKC04b (excited),SPK_SPKC07a (excited),SPK_SPKC11a (inhibited)
37.154675,31.9877,116.841925,16.9958
37.197075,32.0353,116.9889,17.055725
37.23445,32.07975,117.31795,17.08125
37.260675,32.15555,117.365675,17.096575
37.331175,32.189575,118.41555,17.113375
37.394825,32.248875,118.711275,17.1376
37.47555,32.304775,118.8836,17.217675
37.526075,32.387825,121.59275,17.23845
37.547475,32.42395,121.86325,17.257725
37.802425,32.489525,121.8906,17.2812
37.821225,32.562575,122.530025,17.307175
37.864275,32.56835,122.8487,17.32655
37.906225,32.61825,123.942125,17.349475
37.954775,32.678075,124.21145,17.369975
38.186425,32.719575,124.384675,17.3756
38.2163,32.742075,124.6991,17.396925
38.270825,32.777675,125.08835,17.4177
38.327125,32.787225,125.216375,17.441525
38.3904,32.8402,125.28055,17.4628
38.447625,32.964525,125.5689,17.488475
38.5025,33.03385,125.65955,17.510425
38.588925,33.11785,126.049725,17.532625
38.699775,33.236725,126.13955,17.551375
38.804425,33.2997,126.3818,17.619925
38.890975,33.45165,126.52215,17.648675
39.139975,33.521175,126.85705,17.6546
39.196725,33.574025,126.9229,17.6697
39.2886,33.625575,127.30775,17.722325
39.424125,33.7462,127.389475,17.75285
39.4619,33.7979,127.637925,17.7791
39.540925,33.971325,128.00045,17.79595
39.58055,34.003525,128.2974,17.84255
39.63875,34.036875,128.5988,17.864225
39.7106,34.0844,128.800025,17.87195
39.77915,34.231775,128.988275,17.8837
39.83445,34.42555,129.09465,17.903575
39.860325,34.427825,129.605975,17.947675
39.91425,34.51525,132.47035,17.972725
39.9836,34.56655,135.15065,17.9755
40.113875,34.63165,136.196875,17.994025
40.185825,34.729275,136.358425,18.023475
40.25675,34.74035,136.411,18.042325
40.327475,34.7881,136.55535,18.06325
40.396175,34.92335,136.641025,18.08315
40.423675,35.02115,137.22055,18.09055
40.460375,35.045825,137.5217,18.103175
40.54055,35.082675,137.921425,18.125375
40.6422,35.162775,138.47735,18.14615
40.787625,35.2805,139.008,18.16885
40.845575,35.328575,139.595925,18.190575
40.899275,35.376575,139.874775,18.211075
40.97465,35.4843,139.947275,18.2292
41.06655,35.525275,140.22145,18.24825
41.177725,35.566225,140.539875,18.257525
41.238775,35.567925,140.861975,18.26585
41.32135,35.5965,141.038425,18.288
41.551275,35.62305,141.193625,18.3157
41.60845,35.73085,142.0424,18.32455
41.68455,35.780725,142.284075,18.343125
41.8171,35.79695,142.3329,18.406375
41.854775,35.81875,142.4272,18.424525
41.8948,35.90715,142.8194,18.43195
41.921775,35.95265,142.9239,18.437375
42.156925,35.9908,143.10355,18.457325
42.216675,36.0126,143.595725,18.47135
42.309375,36.05845,143.71705,18.487725
42.42735,36.120975,143.89585,18.50055
42.450075,36.13315,144.067075,18.545
42.481675,36.17315,144.1786,18.57935
42.535075,36.179375,144.24985,18.601625
42.610725,36.235475,144.534275,18.64365
42.709425,36.285025,145.2585,18.661325
42.753175,36.3518,145.37855,18.66505
42.8091,36.432725,145.41175,18.712375
42.854225,36.665625,145.738375,18.73155
42.8961,36.72585,145.947325,18.753775
42.91605,36.73065,146.01475,18.772475
43.06675,36.787625,146.298375,18.79445
43.1528,36.8149,146.3497,18.820325
43.181425,36.8588,146.6419,18.838925
43.2417,36.929925,146.7952,18.867
43.320175,36.9629,146.888975,18.895125
43.348275,36.984475,147.034675,18.906975
43.412225,37.103425,147.328425,18.92815
43.489825,37.266825,147.621725,18.942575
43.599025,37.368125,147.790275,18.982325
43.694625,37.394075,147.84745,18.99995
43.797825,37.452575,147.968075,19.0184
43.90525,37.5095,148.015225,19.038925
43.975075,37.5523,148.108925,19.05775
44.06245,37.666125,148.36525,19.082575
44.122325,37.78095,148.779775,19.107675
44.24505,37.805075,149.820625,19.1498
44.290075,37.8237,149.900775,19.170125
44.3614,37.873525,150.2525,19.207875
44.4862,37.915375,150.354975,19.229625
44.819775,37.982225,150.5826,19.231525
44.865425,38.01615,150.72055,19.245425
44.90235,38.1378,150.999675,19.261725
44.97385,38.1694,151.292175,19.2747
45.102525,38.215625,151.407075,19.290175
45.228325,38.239125,151.429575,19.31435
45.291425,38.324775,151.635375,19.333725
45.3782,38.398125,151.826575,19.35965
45.430325,38.5802,152.06715,19.373275
45.5891,38.65495,152.268225,19.392175
45.76545,38.7268,152.532725,19.44015
45.82555,38.80595,152.68035,19.476375
45.879975,38.9286,153.113825,19.506075
45.9604,38.98935,153.58565,19.5201
46.077275,39.0405,153.78235,19.5379
46.11795,39.11585,154.16765,19.54395
46.22715,39.207725,154.459575,19.5639
46.31995,39.241425,154.9717,19.584825
46.40905,39.300275,155.7289,19.618875
46.465325,39.3876,157.183375,19.629175
46.516975,39.455075,157.6016,19.660625
46.6135,39.4878,157.93465,19.684275
46.68625,39.517125,158.36625,19.7105
46.758875,39.540025,158.659625,19.726475
46.768825,39.58645,158.6994,19.7359
46.859125,39.634475,158.82795,19.743275
46.9783,39.75235,158.9368,19.77275
47.052275,39.79315,159.282075,19.7984
47.12975,39.90915,159.529,19.872425
47.1676,39.919975,159.71525,19.8974
47.2049,39.964925,159.896425,19.946225
47.29745,40.044125,159.98215,19.9698
47.411875,40.089575,160.136275,19.990675
47.4622,40.196,160.30055,20.0112
47.4921,40.20565,160.835525,20.031325
47.543375,40.23015,161.0142,20.0423
47.549625,40.2542,161.152775,20.08395
47.56125,40.298225,161.345475,20.099175
47.60005,40.345975,161.576425,20.1089
47.612225,40.396525,161.67405,20.136225
47.642975,40.544675,162.0831,20.199975
47.666875,40.66255,162.14855,20.215225
47.687625,40.665175,162.19635,20.2317
47.717975,40.71015,163.238925,20.2362
47.723325,40.752,163.614675,20.260225
47.7757,40.82665,163.941375,20.2636
47.777025,40.8645,164.1887,20.27265
47.795175,40.889875,164.407225,20.291775
47.838325,40.922625,164.4985,20.3317
47.84475,41.0256,164.808425,20.352575
47.89005,41.057675,165.03165,20.3724
47.93045,41.166025,165.424775,20.38995
48.110675,41.19225,165.96255,20.405625
48.111875,41.28035,166.1365,20.410725
48.144,41.380575,166.1993,20.431775
48.3129,41.44175,166.316225,20.4796
48.395275,41.50155,166.395575,20.501225
48.416775,41.54465,166.48485,20.528725
48.49665,41.651925,166.843475,20.561875
48.52335,41.70505,167.319725,20.58325
48.562275,41.763375,167.636675,20.626875
48.610275,41.88465,168.1387,20.65715
48.735525,41.913675,168.55855,20.7068
48.781825,41.9188,169.483875,20.761525
48.841275,41.967575,169.6501,20.7866
48.887275,42.032325,169.849525,20.8082
48.989775,42.134025,169.91805,20.8336
49.029275,42.138925,170.50495,20.86345
49.1197,42.1912,170.709325,20.87855
49.2158,42.262325,170.7689,20.901325
49.288125,42.352325,171.117225,20.932575
49.31985,42.3603,171.225775,20.96615
49.408925,42.382125,172.289675,20.98505
49.4672,42.411925,173.1697,21.01665
49.47855,42.458325,173.747075,21.04205
49.547925,42.522925,174.170075,21.073025
49.6028,42.532325,174.6293,21.1204
49.60415,42.622175,175.577125,21.1372
49.612125,42.67275,177.14705,21.15805
49.648925,42.78615,177.38105,21.1638
49.65835,42.9186,177.66125,21.184825
49.71705,43.021025,177.7317,21.203575
49.7611,43.11255,177.797225,21.225275
49.7907,43.282925,177.94775,21.22865
49.793475,43.356375,179.082525,21.251475
49.8504,43.364175,179.282175,21.274275
49.920075,43.377825,179.410225,21.285125
49.932275,43.407075,179.6019,21.311575
49.9744,43.41615,179.633075,21.338425
50.028975,43.5038,179.726925,21.3585
