SPK_SPKC06a (NA),SPK_SPKC08a (NA),SPK_SPKC13a (excited),SPK_SPKC13b (excited),SPK_SPKC16a (NA)
,,6.931075,128.3435,200.170875
,,6.957325,128.602425,200.396075
,,6.97755,128.6223,200.483625
,,7.008025,128.940125,200.5225
,,7.038225,130.113825,200.917525
,,7.06755,130.23255,200.9398
,,7.10725,131.146525,201.88615
,,7.145275,131.32955,201.9324
,,7.1831,131.753825,202.252725
,,7.21505,132.812275,203.038275
,,7.2427,133.74265,203.114175
,,7.276775,133.858175,204.2616
,,7.300275,133.979725,204.3582
,,7.3266,134.012,204.621525
,,7.34915,134.41465,205.2366
,,7.369725,134.539725,205.541125
,,7.386825,134.675675,206.416725
,,7.420475,134.94735,
,,7.454425,134.953675,
,,7.5052,135.230275,
,,7.53405,135.85965,
,,7.597475,137.248725,
,,7.61185,137.293925,
,,7.628775,137.428325,
,,7.6461,137.701725,
,,7.666575,138.2074,
,,7.7096,138.318775,
,,7.7322,139.0882,
,,7.758,139.162475,
,,7.778575,139.52095,
,,7.803175,139.83465,
,,7.833775,140.201375,
,,7.85915,140.718475,
,,7.881225,140.744375,
,,7.9192,141.169125,
,,7.96465,141.50455,
,,8.0009,141.883925,
,,8.04655,142.0655,
,,8.08205,142.1745,
,,8.101025,142.97845,
,,8.110975,143.02285,
,,8.12495,143.123025,
,,8.1439,143.172875,
,,8.158225,143.37525,
,,8.17485,143.6745,
,,8.19425,143.793875,
,,8.240675,144.185925,
,,8.26435,145.62,
,,8.291075,145.904875,
,,8.326325,146.264475,
,,8.350775,146.454175,
,,8.374725,147.168475,
,,8.4113,147.455275,
,,8.440875,147.72695,
,,8.481475,148.84495,
,,8.5119,149.299575,
,,8.54445,149.3938,
,,8.585325,149.95325,
,,8.6074,150.21065,
,,8.6285,150.287475,
,,8.658,150.511175,
,,8.68965,150.889375,
,,8.701725,151.29495,
,,8.740875,152.259725,
,,8.763025,152.37915,
,,8.7944,152.735575,
,,8.8221,153.386,
,,8.8569,153.79575,
,,8.88735,154.218375,
,,8.915575,154.38245,
,,8.95045,154.6635,
,,8.982575,155.0471,
,,9.02195,155.10085,
,,9.076725,156.01435,
,,9.095875,156.141825,
,,9.110025,157.454675,
,,9.128075,158.214175,
,,9.1631,158.991675,
,,9.196325,159.240725,
,,9.227625,159.69825,
,,9.247475,159.82365,
,,9.30405,160.15035,
,,9.314,160.267775,
,,9.33915,160.645275,
,,9.37465,160.892925,
,,9.4021,161.1725,
,,9.430525,161.63835,
,,9.4606,161.653375,
,,9.474425,162.41605,
,,9.51945,162.483925,
,,9.5273,162.707275,
,,9.548575,163.070625,
,,9.589325,163.2176,
,,9.646475,163.226825,
,,9.680025,163.388825,
,,9.704275,163.54425,
,,9.735775,164.365225,
,,9.776075,164.500225,
,,9.8119,164.661225,
,,9.846675,165.157925,
,,9.873525,165.1837,
,,9.90315,165.56425,
,,9.9224,166.593375,
,,9.93545,167.171025,
,,9.956225,167.2119,
,,9.97505,167.6695,
,,10.04765,168.3135,
,,10.0691,168.552775,
,,10.0955,169.402325,
,,10.12185,169.45615,
,,10.144775,169.883575,
,,10.17025,169.91015,
,,10.2026,169.99435,
,,10.2377,170.02945,
,,10.275925,170.8696,
,,10.3034,171.399825,
,,10.340875,171.56685,
,,10.384525,171.7324,
,,10.4056,172.198,
,,10.422525,172.7391,
,,10.4342,172.936,
,,10.442625,172.99455,
,,10.454975,173.82005,
,,10.465775,174.144775,
,,10.49225,174.3255,
,,10.515,174.95485,
,,10.55265,175.23455,
,,10.572375,175.407375,
,,10.606625,175.7632,
,,10.6344,176.147675,
