SPK_SPKC02b,SPK_SPKC02c,SPK_SPKC09a
215.587725,214.979825,203.8615
215.5962,215.09055,203.906125
215.60575,215.1236,203.915925
215.618025,215.3483,203.932025
215.631575,215.44685,203.953975
215.649775,215.47655,203.963225
215.6604,215.48485,203.975625
215.6788,215.497575,203.98205
215.684125,215.504275,203.993125
215.717425,215.5245,204.004375
215.730925,215.569925,204.01075
215.748325,215.579,204.02155
215.758175,215.5838,204.03265
215.77405,215.61095,204.037875
215.7842,215.67415,204.044175
215.7935,215.6931,204.05095
215.8132,215.738125,204.0572
215.8391,215.76735,204.0668
215.85935,215.94805,204.073025
215.880875,216.050475,204.080225
215.909275,216.076775,204.090175
215.93435,216.1213,204.09845
215.973525,216.1325,204.13555
215.9993,216.172675,204.158275
216.091975,216.195375,204.190725
216.109175,216.39335,204.28375
216.13915,216.42295,204.338375
216.1462,216.46595,204.342325
216.153,216.4905,204.346775
216.159175,216.502175,204.35205
216.179125,216.512875,204.35785
216.184375,216.540775,204.368475
216.202025,216.760375,204.372675
216.219025,216.76895,204.378425
216.239525,216.80035,204.38495
216.27315,216.8356,204.3938
216.28955,216.84475,204.405225
216.3066,216.85055,204.418475
216.316875,216.884325,204.444025
216.344125,216.918675,204.4576
216.402225,216.9244,204.463825
216.408425,216.93205,204.4712
216.41925,216.96605,204.48385
216.4304,216.9818,204.493325
216.437775,217.041825,204.502825
216.447575,217.04955,204.516625
216.45625,217.08005,204.554675
216.47165,217.151575,204.563425
216.47995,217.269025,204.570025
216.57795,217.2994,204.590775
216.650525,217.324125,204.603025
216.68105,217.603225,204.6215
216.70525,217.64455,204.66155
216.731975,217.653025,204.77565
216.775775,217.7433,204.789325
216.785125,217.8099,204.796725
216.79095,217.916125,204.80335
216.796125,217.9628,204.8082
216.804725,218.00885,204.81415
216.809475,218.028425,204.8206
216.81335,218.0811,204.824875
216.817075,218.112475,204.8303
216.8214,218.1426,204.844075
216.82625,218.2722,204.852175
216.830825,218.2957,204.86685
216.840375,218.312625,204.879475
216.855325,218.421475,204.889525
216.8605,218.4308,204.899125
216.868825,218.4418,204.911325
216.875275,218.453525,204.9307
216.902,218.460225,204.9465
216.907275,218.487375,204.9553
216.913025,218.554325,204.9662
216.93905,218.57865,204.974625
216.948,218.60895,204.981325
216.953925,218.710475,205.00105
216.9611,218.737425,205.0072
216.97155,218.7963,205.015475
216.97615,218.832325,205.023
216.992125,218.9725,205.030975
216.99815,219.001775,205.04495
217.01275,219.035075,205.054075
217.020075,219.0468,205.0608
217.027525,219.11225,205.069775
217.034,219.197625,205.0771
217.05535,219.215925,205.08575
217.06305,219.24205,205.093325
217.0706,219.3164,205.10255
217.08925,219.3627,205.113725
217.10015,219.394175,205.12165
217.10865,219.42455,205.133575
217.126125,219.464225,205.154125
217.1372,219.503275,205.1645
217.19385,219.5329,205.1782
217.35145,219.5662,205.18565
217.625975,219.6346,205.20455
217.634575,219.643375,205.2185
217.66435,219.673425,205.230425
217.674625,219.757125,205.2447
217.685875,219.77135,205.253375
217.712925,219.818025,205.2653
217.887775,219.846075,205.27965
217.973375,219.9508,205.302725
217.992825,220.031275,205.406925
218.04515,220.07545,205.41755
218.054225,220.08535,205.43205
218.0616,220.09575,205.44255
218.072375,220.1027,205.448625
218.0905,220.113275,205.459075
218.12415,220.13445,205.463375
218.18755,220.385225,205.4701
218.28595,220.396075,205.477775
218.305175,220.475725,205.49565
218.315625,220.5093,205.5066
218.3192,220.52895,205.518175
218.323,220.5444,205.534175
218.327925,220.549175,205.543
218.33845,220.582525,205.5617
218.348275,220.59085,205.578425
218.368675,220.6036,205.5895
218.393225,220.690275,205.5995
218.447825,220.7237,205.609525
218.4682,220.760175,205.6181
218.47705,220.8979,205.622775
218.50885,221.040425,205.628725
218.52495,221.047475,205.639475
218.53505,221.057375,205.64995
218.59465,221.06325,205.658025
218.617575,221.0806,205.66965
218.6238,221.110375,205.676725
218.6295,221.223525,205.6834
218.65545,221.398675,205.7028
218.697325,221.441075,205.7142
218.725075,221.482,205.725525
218.746825,221.514,205.736475
218.758175,221.52645,205.745425
218.775375,221.53645,205.762175
218.808325,221.555175,205.76895
218.81915,221.562,205.7763
218.846875,221.571175,205.787075
218.8597,221.59995,205.796025
218.87155,221.62925,205.808125
218.892375,221.6765,205.816425
218.9884,221.814825,205.82665
219.012325,221.8472,205.8349
219.01795,221.854825,205.85155
219.022425,221.883775,205.85875
219.029475,221.904575,205.86635
219.05905,221.916375,205.8756
219.148025,221.920875,205.887325
219.174375,221.927475,205.89735
219.187825,221.93575,205.905675
219.2073,221.9423,205.91675
219.225325,221.949225,205.925925
219.25295,221.990675,205.9375
219.272925,222.05085,205.947225
219.341975,222.0771,205.955375
219.372725,222.100525,205.9654
219.379125,222.185925,205.97855
219.38515,222.2231,205.995875
219.40195,222.294725,206.011725
219.408625,222.302425,206.023925
219.41745,222.308725,206.043
219.434475,222.3228,206.054675
219.48095,222.3308,206.070025
219.494175,222.3703,206.079025
219.51525,222.376825,206.0898
219.6081,222.38415,206.103
219.621125,222.39665,206.1151
219.65265,222.58625,206.121125
219.661225,222.635075,206.1444
219.6845,222.652275,206.156125
219.704925,222.667575,206.1753
219.722925,222.671775,206.189375
219.736825,222.684,206.213725
219.782375,222.696675,206.2456
219.793375,222.6998,206.2982
219.8025,222.74035,206.364925
219.880875,222.744675,206.384425
220.053675,222.75305,206.38995
220.0672,222.7893,206.395625
220.126325,222.81,206.399325
220.14885,222.858425,206.403625
220.17275,223.0929,206.40795
220.192075,223.09785,206.412275
220.223025,223.113625,206.416425
220.378675,223.13495,206.422075
220.39885,223.167375,206.4278
220.401325,223.24185,206.4327
220.40735,223.2534,206.439125
220.41285,223.295975,206.44665
220.415675,223.46635,206.45505
220.4191,223.56325,206.4944
220.4285,223.5666,206.5179
220.434625,223.606175,206.534675
220.461825,223.624575,206.6756
220.4691,223.631775,206.683325
220.501875,223.646475,206.69195
220.52225,223.68105,206.69685
220.53585,223.76065,206.7009
220.5542,223.894025,206.704725
220.561075,223.910375,206.708775
220.565125,223.916825,206.7141
220.568575,223.933625,206.724125
220.57195,223.9378,206.7336
