SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC09a,SPK_SPKC12b,SPK_SPKC13c,SPK_SPKC14a,SPK_SPKC16a
69.5099,129.311175,40.831725,22.15925,31.12485,7.11095,5.571125
69.51555,129.32735,40.915225,22.638925,31.17485,7.12695,5.59
69.536325,129.339425,41.052725,22.8122,31.199325,7.145575,5.63455
69.8317,130.437875,41.1777,22.87805,31.21945,7.162,5.69515
70.00525,131.05815,41.361375,22.913925,31.225475,7.1726,5.742225
70.013775,131.221375,41.9213,24.81275,31.245025,7.186175,5.81545
71.6747,132.028325,42.012725,25.335175,31.27405,7.237875,5.879575
71.691975,132.034675,42.0735,25.588525,31.3224,7.281975,5.912925
72.37655,133.783525,42.63675,25.66875,31.419525,7.4535,5.936775
72.4476,133.811,43.8442,25.678275,31.44735,7.477825,5.956425
72.673225,133.872725,43.8956,25.68745,31.68675,7.501925,5.99155
73.099825,134.130825,44.245725,25.71455,31.703225,7.52835,6.036125
73.131625,134.516475,44.27715,25.7494,31.7248,7.533725,6.0629
73.40415,134.54655,45.197875,25.796825,31.75835,7.59445,6.096075
73.900625,134.83335,45.6847,26.1009,31.797,8.00995,6.229225
75.095425,135.589325,46.015325,26.1235,31.82095,8.046825,6.248625
75.110775,142.501325,46.1043,26.1564,32.162625,8.117125,6.2787
75.7313,142.5971,46.2377,26.169075,32.21255,8.1449,6.303
76.934175,142.6145,46.2867,26.181575,32.2665,8.2725,6.311875
77.826975,142.76895,46.293575,26.191175,32.305775,8.309975,6.33015
80.303275,143.251425,46.352225,26.209575,32.33515,8.331125,6.36035
80.51485,143.258025,46.37655,26.2355,32.579875,8.337475,6.384475
80.882075,143.278875,46.420975,26.24995,32.6429,8.35205,6.402625
80.89935,144.0696,46.473125,26.270675,32.80305,8.358975,6.4212
81.158425,144.102,46.805425,26.3075,32.83625,8.402,6.4367
82.223725,144.122325,46.8328,26.67595,32.892825,8.6278,6.457425
82.297925,144.2546,46.87655,26.6935,32.939425,8.8007,6.46785
83.33635,144.488825,46.949925,26.72975,33.16115,8.817775,6.480925
83.422025,145.59955,47.019875,26.78515,33.169975,8.82765,6.5578
83.430325,146.13505,47.422575,26.819275,33.19075,8.84035,6.6748
83.4897,146.632675,48.468825,26.837475,33.357325,8.865075,6.703475
83.8511,146.6545,50.409625,27.242775,33.3898,9.049,6.731225
84.0579,147.065225,51.3019,27.2538,33.678475,9.103225,6.7422
84.50725,147.9019,51.672025,28.135375,33.709125,9.2042,6.7828
84.517175,148.299175,51.71455,31.23875,33.7327,9.217525,6.795725
84.632225,148.302025,52.18605,32.57985,34.2667,9.22835,6.810325
85.2934,148.33395,52.2171,33.75985,34.27085,9.241525,6.832325
85.314025,148.34365,53.2759,34.94285,34.6505,9.260675,6.8676
85.553225,148.420925,53.3161,35.281125,35.437525,9.287475,7.075625
