SPK_SPKC02a,SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC11a
22.458825,11.601925,33.015325,45.19805
22.5775,11.636375,33.202125,45.309125
22.693925,11.644,33.323975,45.340325
22.719175,11.735225,33.57235,45.478725
22.780075,11.74745,33.78715,45.4966
22.8446,11.779675,34.162775,45.498775
22.904625,11.819775,34.266325,45.52565
22.9645,11.85745,34.332925,45.681125
23.0068,11.9724,34.3854,45.834575
23.034325,12.004925,34.41525,46.0031
23.059375,12.0166,34.602025,46.193225
23.0989,12.03435,34.696825,46.262175
23.142275,12.085375,34.907825,46.307425
23.29165,12.1189,35.206625,46.366575
23.3547,12.13885,35.221625,46.417025
23.3748,12.16645,35.23435,46.450525
23.40925,12.187125,35.261925,46.4663
23.458875,12.2324,35.396125,46.569525
23.488325,12.25135,35.540675,46.57625
23.543525,12.28445,35.57205,46.81095
23.59535,12.310625,35.57925,46.8338
23.6652,12.3294,35.614475,46.8489
23.7022,12.342975,35.65755,47.01155
23.7268,12.35705,35.72195,47.29975
23.773925,12.373075,35.75485,47.346225
23.8021,12.4186,36.135,47.4134
23.8705,12.4479,36.229725,47.486425
23.93105,12.4883,36.2452,47.878275
23.98405,12.50015,36.6191,48.2201
24.14015,12.51525,36.665275,48.26745
24.173325,12.55995,36.8897,48.28745
24.2006,12.58435,37.0846,48.347625
24.242875,12.5961,37.236475,48.611725
24.274675,12.617575,37.2713,48.640225
24.346075,12.6864,37.30315,48.77795
24.3775,12.6985,37.382325,48.80155
24.41965,12.7805,37.498325,48.957325
24.449225,12.7982,37.50735,48.9791
24.5018,12.8171,37.627225,49.226425
24.5534,12.832375,37.755175,49.51285
24.677,12.883075,37.79925,49.64175
24.712875,12.90155,37.820625,49.81025
24.746925,12.9216,37.834425,49.9691
24.77505,12.98815,37.88825,50.264975
24.8053,13.001425,38.095175,50.30985
24.827,13.0094,38.201325,50.3337
24.8603,13.017925,38.60265,50.86725
24.93475,13.049125,38.642425,50.9714
25.073225,13.0993,38.748925,51.07095
25.096475,13.1667,38.8088,51.140675
25.1343,13.188,38.84035,51.149125
25.17995,13.195325,38.869725,51.2822
25.198375,13.207,38.886175,51.306925
25.220775,13.243525,38.925825,51.594475
25.350125,13.262825,38.946725,52.009275
25.41415,13.3635,39.206975,52.067275
25.449475,13.4054,39.23155,52.114575
25.47155,13.418125,39.495075,52.257575
25.49925,13.481675,39.506525,52.2745
25.517125,13.49275,39.594025,52.29845
25.557825,13.513875,39.683425,52.355775
25.592625,13.556275,39.909275,52.4997
25.6348,13.5842,39.99835,52.5303
25.69975,13.592,40.096575,52.593825
25.743575,13.6016,40.249625,52.631725
25.764325,13.63875,40.382625,52.79945
25.824525,13.6588,40.56475,52.82935
25.852475,13.666975,40.595175,52.87275
25.8803,13.68895,40.61445,52.984075
25.9013,13.698175,40.658475,53.1134
25.925675,13.7058,40.69415,53.247525
26.0039,13.76785,40.76955,53.261375
26.108075,13.810775,40.84225,53.282175
26.17815,13.82635,40.887575,53.441925
26.2063,13.841775,41.10565,53.573025
26.23325,13.9438,41.1391,53.648025
26.27375,13.95225,41.187925,53.83925
26.309575,13.96335,41.210725,53.9624
26.3449,13.972575,41.26675,54.2462
26.389675,13.9846,41.423475,54.287275
26.4618,14.00305,41.427575,54.323025
26.549025,14.0224,41.508625,54.4045
26.590125,14.032525,41.5488,54.417375
26.614875,14.041075,41.82635,54.564325
26.635175,14.0635,41.86095,54.78835
26.655675,14.141075,42.0124,54.82195
26.680225,14.153275,42.22825,55.180825
26.70665,14.188325,42.241725,55.206975
26.772,14.332025,42.612775,55.219925
26.79945,14.3537,42.666675,55.26155
26.821625,14.369325,42.68795,55.277125
26.86465,14.44115,42.713925,55.38435
26.890175,14.478575,42.952175,55.498425
26.92065,14.531075,43.04445,55.617875
26.947375,14.547875,43.14105,55.66465
26.994575,14.560375,43.192925,55.8434
27.038025,14.569725,43.205725,55.94655
27.08335,14.604275,43.222775,56.167625
27.141725,14.697675,43.2358,56.20885
27.2027,14.725225,43.308675,56.223125
27.238325,14.752575,43.3449,56.24435
27.27,14.76735,43.3617,56.4866
27.31055,14.7929,43.438625,56.801225
27.348875,14.837825,43.448625,56.94115
27.3789,14.8489,43.633975,57.141175
27.41065,14.900875,43.694525,57.286125
27.432925,14.9286,43.7113,57.6404
27.45345,14.95555,43.71865,57.68605
27.52815,15.00385,43.852975,57.791875
27.563625,15.0381,43.99555,57.97275
27.643125,15.078175,44.010625,58.353325
27.71425,15.1056,44.2105,58.382775
27.754075,15.1221,44.335075,58.412725
27.78905,15.134575,44.4442,58.433875
27.927125,15.177575,44.46965,59.0999
27.972775,15.187525,44.61205,59.18235
28.014675,15.200125,44.62655,59.2453
28.04415,15.2211,44.6423,59.282925
28.086075,15.24075,44.65235,59.3235
28.116975,15.334425,44.79415,59.346725
28.161075,15.38815,44.812225,59.408525
28.2099,15.4019,44.86305,59.509575
28.275475,15.4327,44.885875,59.792625
28.336575,15.48205,45.003675,59.964475
28.3708,15.49755,45.023625,60.159
28.4119,15.5324,45.03415,60.1895
28.445975,15.6084,45.07235,60.197475
28.484875,15.625825,45.10795,60.236775
28.5158,15.646075,45.154225,60.25355
28.5499,15.652125,45.26705,60.279975
28.60315,15.7027,45.281975,60.3084
28.6444,15.7435,45.413025,60.422725
28.69075,15.76965,45.65425,60.527775
28.752575,15.798275,45.760425,60.6451
28.80965,15.814975,45.928175,60.813525
28.9219,15.8317,46.30615,60.894575
28.954975,15.85445,46.3358,61.09885
28.983625,15.898575,46.368375,61.110925
29.015825,15.910525,46.45595,61.129925
29.0779,15.9197,46.6172,61.264175
29.121725,15.92825,46.833225,61.357375
29.277825,15.937225,47.0627,61.49655
29.34385,15.94865,47.09685,61.587825
29.3728,15.961325,47.261125,61.6521
29.400825,15.974025,47.312675,61.80175
29.4705,15.997075,47.451925,61.8128
29.5367,16.013175,47.5057,61.83335
29.58255,16.06025,47.5629,62.115525
29.6013,16.092675,47.60815,62.24375
29.62145,16.124,47.661325,62.37315
29.6432,16.2237,47.69205,62.37955
29.672625,16.2339,47.721125,62.3814
29.70735,16.3413,47.8919,62.610375
29.73235,16.366425,48.0236,62.617875
29.76585,16.468425,48.06395,62.847325
29.8468,16.5018,48.14535,62.866075
29.9328,16.58915,48.2167,63.05925
29.9891,16.6306,48.252675,63.097825
30.029175,16.641225,48.27985,63.22385
30.10715,16.648075,48.294925,63.271725
30.13905,16.65555,48.30805,63.68305
30.1718,16.663425,48.467275,63.749675
30.210975,16.733775,48.526675,63.820825
30.251725,16.851725,48.5772,63.82935
30.305375,16.90285,48.636675,64.098825
30.377725,16.9372,48.725175,64.313325
30.423225,16.97365,48.777425,64.40505
30.4538,16.98185,48.7896,64.5282
30.491975,17.047175,48.81295,64.5482
