SPK_SPKC01a (no response),SPK_SPKC05a (exc/inh),SPK_SPKC06a (no response),SPK_SPKC07a (no response),SPK_SPKC11a (no opto-tagging)
1121.73885,1133.8567,1146.465725,1196.521075,1125.3797
1121.7471,1133.868125,1146.7218,1197.034025,1125.398125
1121.762375,1133.977275,1146.887775,1197.447075,1125.427775
1121.791125,1134.0007,1147.040875,1199.393575,1125.63755
1122.163175,1134.0764,1147.156725,1200.585625,1125.67155
1122.2004,1134.105775,1147.454,1200.824275,1125.7302
1122.217175,1134.13075,1147.502275,1200.916475,1125.959375
1122.222925,1134.235925,1147.60955,1200.970225,1126.087
1122.2311,1134.274075,1147.664325,1201.539325,1126.15585
1122.2455,1134.490875,1147.712775,1201.675775,1126.201825
1122.25975,1134.4995,1147.81255,1201.8431,1126.32235
1122.291525,1134.686225,1148.0411,1201.845275,1126.4465
1122.296375,1134.749975,1148.100175,1201.973375,1126.475625
1122.3436,1134.88275,1148.110275,1202.035275,1126.607325
1122.3834,1134.9316,1148.1261,1202.095075,1126.649725
1122.422325,1134.999,1148.1507,1202.322875,1126.7291
1122.454275,1135.2821,1148.628125,1202.406675,1127.09565
1122.497325,1135.40475,1148.685325,1202.498775,1127.4798
1122.56575,1135.4556,1148.743225,1205.104375,1127.5012
1122.586975,1135.668925,1149.0033,1205.8374,1127.5966
1122.610025,1135.948175,1149.218125,1205.86425,1127.638525
1122.616575,1136.035875,1149.24915,1205.9987,1127.660775
1122.623875,1136.0585,1150.328925,1206.6228,1127.714075
1122.6556,1136.105675,1150.364825,1207.1706,1127.778875
1122.6653,1136.232625,1150.82795,1208.278725,1127.8972
1122.671475,1136.26105,1150.90315,1209.041575,1127.95835
1122.68355,1136.32885,1151.04575,1209.51795,1128.020775
1122.69395,1136.473675,1151.32505,1209.678925,1128.316125
1122.703425,1136.528475,1152.49505,1210.6237,1128.402025
1122.710075,1136.620575,1152.561375,1212.318125,1128.487425
1122.7189,1136.736075,1152.6682,1213.195375,1128.552275
1122.72575,1136.7701,1153.0861,1213.742725,1128.593725
1122.7629,1136.827025,1153.102225,1213.925725,1128.692175
1122.77465,1136.912975,1153.148825,1213.9423,1128.715575
1122.796775,1136.947325,1153.23815,1214.40335,1128.73355
1122.81095,1137.05475,1153.538975,1215.4566,1128.841075
1122.840425,1137.0957,1153.566125,1216.477325,1128.87065
1122.91875,1137.187175,1153.625025,1216.611125,1128.8765
1122.982975,1137.310175,1153.64865,1217.232625,1129.041675
1122.99605,1137.35335,1153.659825,1218.891075,1129.0801
1123.045375,1137.5576,1153.67545,1218.946575,1129.17285
1123.070125,1137.563175,1153.69595,1218.963375,1129.21125
1123.083525,1137.581975,1153.716925,1219.332325,1129.596475
1123.105175,1137.859925,1153.752375,1219.642325,1129.6573
1123.3627,1137.900675,1153.936375,1219.736875,1130.012675
1123.394675,1137.98915,1154.242825,1220.104925,1130.098075
1123.4197,1138.016225,1154.318775,1220.166375,1130.168925
1123.431,1138.103,1154.363075,1220.2529,1130.24615
1123.436775,1138.170925,1154.38915,1220.363525,1130.304
1123.912075,1138.204725,1154.47465,1221.0442,1130.361025
1123.940225,1138.266625,1154.65935,1221.101075,1130.429875
1123.945225,1138.440975,1154.76105,1221.35045,1130.4808
1123.978475,1138.752875,1154.8619,1221.874025,1130.7904
1124.3874,1138.7687,1154.924075,1222.8554,1130.9717
1124.3952,1138.83275,1154.966775,1223.132175,1131.104675
1124.42665,1138.89505,1154.997475,1224.4405,1131.173775
1124.43235,1139.093425,1155.0516,1225.214925,1131.19645
1124.516775,1139.2528,1155.07815,1225.489025,1131.598175
1124.524475,1139.297,1155.2585,1230.2822,1131.633225
1124.5469,1139.3516,1155.41465,1230.834275,1131.665825
1124.6301,1139.380625,1155.5236,1231.6377,1131.8099
1124.812975,1139.563375,1155.586525,1232.8851,1131.848675
1124.943,1139.61425,1155.639575,1233.35825,1131.90815
1127.073,1139.6986,1155.7073,1233.7003,1131.952575
1127.09565,1139.729325,1155.758225,1235.9384,1131.98875
1127.224675,1139.77885,1155.795925,1238.1581,1132.20285
1127.377225,1139.889975,1155.84615,1239.24805,1132.31155
1127.3989,1140.0006,1155.900575,1241.605625,1132.3852
1127.686875,1140.08695,1156.426375,1242.212775,1132.403275
1127.778875,1140.110325,1156.693075,1243.624725,1132.484075
1127.85425,1140.2202,1156.927025,1244.392,1132.928225
1127.95345,1140.243925,1156.9742,1244.6575,1133.151275
1128.001225,1140.50875,1157.09675,1244.753425,1133.189325
1128.1046,1140.611,1157.2438,1246.84885,1133.215825
1128.11465,1140.65095,1157.284675,1250.157325,1133.302925
1128.20775,1140.664175,1157.32065,1250.2119,1133.338325
1128.2438,1140.72205,1157.3913,1251.479475,1133.525475
1128.421825,1140.938575,1157.44205,1252.4166,1133.5584
1128.4691,1141.015725,1157.663275,1252.7005,1133.62475
1128.5235,1141.048225,1157.709375,1253.85905,1133.731075
1128.5499,1141.088575,1157.74495,1255.0414,1133.868525
1128.630525,1141.160875,1157.806475,1256.652225,1133.89535
1128.699175,1141.1776,1157.953775,1257.711975,1133.98005
1128.709475,1141.38165,1158.014475,1262.800225,1134.049625
1128.78415,1141.4438,1158.08415,1263.032725,1134.14375
1128.863275,1141.5207,1158.267425,1263.4914,1134.198075
1128.87715,1141.664275,1158.340875,1263.711775,1134.2349
1128.90415,1141.69455,1158.424,1264.1235,1134.27795
1128.95635,1141.762625,1158.675425,1264.8305,1134.33575
1128.9672,1141.83865,1158.952425,1266.7206,1134.3772
1128.9794,1141.869025,1158.966,1270.65005,1134.4078
1128.994625,1141.933425,1159.720325,1273.5317,1134.4691
1129.01435,1141.979125,1160.162125,1273.712975,1134.60445
1129.038625,1141.996475,1160.609625,1273.97005,1134.65335
1129.0458,1142.049025,1160.674225,1274.064775,1134.763675
1129.0693,1142.08665,1160.998125,1274.086275,1134.87485
1129.09315,1142.150125,1161.205225,1274.1774,1134.913625
1129.119075,1142.31015,1161.23655,1274.785,1135.01
1129.1501,1142.34635,1161.282375,1275.845525,1135.3293
1129.182075,1142.369175,1161.5019,1276.75105,1135.478775
1129.1949,1142.518175,1161.591625,1276.7661,1135.512675
1129.224,1142.8607,1161.658975,1279.61635,1135.702925
1129.2763,1142.8939,1161.69395,1279.675525,1135.737425
1129.2924,1143.010275,1161.728775,1280.0735,1135.80435
1129.3009,1143.0423,1161.782875,1280.4426,1135.840675
1129.317575,1143.13265,1161.8677,1281.740575,1135.868825
1129.3337,1143.18115,1162.0569,1282.7711,1135.968825
1129.343625,1143.284125,1162.124275,1283.87315,1136.10335
1129.356775,1143.43945,1162.157025,1284.04705,1136.19065
1129.368275,1143.600075,1162.540775,1284.71305,1136.221
1129.381075,1143.83915,1162.59935,1285.399475,1136.412575
1129.417675,1144.0414,1162.645825,1286.58025,1136.583125
1129.460975,1144.084675,1162.70605,1287.113,1136.91025
1129.470125,1144.239375,1162.77325,1287.962025,1136.918725
1129.515425,1144.564925,1162.82085,1289.573125,1136.94835
1129.61755,1144.6455,1162.839375,1290.22285,1136.989475
1129.634125,1144.743025,1162.87815,1291.83295,1137.037325
1129.661625,1144.85885,1162.910075,1292.55195,1137.251775
1129.67535,1144.969075,1163.301725,1292.7598,1137.2573
1129.718275,1145.1163,1163.49415,1298.49605,1137.28485
1129.748225,1145.147125,1163.5271,1298.7803,1137.495275
1129.756975,1145.251025,1163.599575,1298.895,1137.515925
1129.80855,1145.375475,1163.67025,1299.2262,1137.587925
1129.81295,1145.44515,1163.769175,1299.294775,1137.618775
1129.857575,1145.51815,1163.793675,1299.4979,1137.657975
1129.870275,1145.8704,1163.83615,1299.765525,1137.68545
1129.881325,1145.89655,1163.930675,1299.92415,1137.70805
1129.892775,1146.00615,1163.976075,,1137.853375
1129.902475,1146.03725,1164.153,,1137.888325
1129.92335,1146.149775,1164.218075,,1137.9293
1129.9403,1146.25355,1164.379325,,1138.002325
1129.9701,1146.4187,1164.40145,,1138.043025
1130.002775,1146.42965,1164.421,,1138.079225
1130.019875,1146.7244,1164.447525,,1138.17415
1130.030825,1146.76955,1164.50365,,1138.20145
1130.050275,1146.87635,1164.5492,,1138.22365
1130.08325,1146.997925,1164.62125,,1138.34315
1130.11295,1147.244175,1164.709675,,1138.52285
1130.130625,1147.434875,1164.7576,,1138.617625
1130.14575,1147.799525,1164.834025,,1138.837225
1130.164225,1147.937175,1164.8889,,1138.934625
1130.178675,1147.990225,1165.0233,,1138.980025
1130.20275,1148.08355,1165.100175,,1138.988375
1130.229225,1148.1254,1165.18095,,1139.07585
1130.256375,1148.23645,1165.239625,,1139.117675
1130.270825,1148.423525,1165.2734,,1139.135775
1130.3155,1148.489475,1165.42275,,1139.185625
