SPK_SPKC01a (inhibited),SPK_SPKC03a (excitation + inhibition),SPK_SPKC04a (excited),SPK_SPKC04b (inhibited),SPK_SPKC08a (inhibition + excitation),SPK_SPKC09a (excitation + inhibition),SPK_SPKC09b (no effect),SPK_SPKC12a (weak inhibition),SPK_SPKC16a (excited),SPK_SPKC16b (excited)
2.174825,16.8429,63.702225,9.15125,39.797225,10.879275,2.791625,5.3411,170.325575,5.309825
2.32325,16.85125,64.052775,9.339125,39.86265,10.89135,2.830925,5.345075,170.431575,5.31395
2.372725,16.941425,64.440475,9.359875,39.941475,11.003725,2.860875,5.471875,171.40235,5.371575
2.4035,16.943575,64.590975,9.54505,40.234475,11.017225,2.90975,5.730175,174.421325,5.374925
2.486075,17.060375,64.933225,9.6302,40.27665,11.13505,2.943775,5.8123,174.49255,5.4267
2.52715,17.07635,65.25875,9.74535,40.49935,11.42695,3.004075,5.831925,176.805475,5.4306
2.560575,17.2669,65.508375,9.8045,40.5591,11.517525,3.030525,5.942075,178.04855,5.466475
2.657275,18.09655,65.868175,9.82465,41.04435,12.09485,3.087875,6.0258,180.834875,5.5051
2.68935,18.1856,65.92135,9.8332,41.199975,12.23655,3.123275,6.05285,181.41745,5.658375
2.735825,18.2747,65.932625,9.90925,42.678625,12.399275,3.13105,6.1217,182.1862,5.752625
2.738025,18.316825,66.197425,9.9338,43.351375,12.599725,3.1718,6.243375,184.321675,5.8049
2.816575,18.98065,66.441275,9.981825,44.198625,12.7188,3.25425,6.318125,184.437325,5.9409
2.893725,19.032325,66.4527,9.997425,44.257975,12.78035,3.261225,6.325,186.163325,5.9511
2.896225,19.440625,66.770775,10.013825,45.041425,12.855925,3.296075,6.419975,186.51895,5.9533
2.926325,19.679675,67.13185,10.148575,45.492875,12.88055,3.343025,6.490025,195.27955,6.0036
2.971175,19.72865,67.685625,10.17345,46.01215,12.88205,3.378125,6.54185,203.208175,6.0806
3.032,20.09195,69.159625,10.189,46.01975,13.1124,3.409425,6.705475,204.9449,6.09615
3.047175,20.2867,71.893625,10.294425,46.188525,13.187575,3.458275,6.71825,208.75255,6.138925
3.054,20.300675,72.5593,10.38385,46.2944,13.210525,3.47335,6.759875,212.56145,6.185175
3.08805,20.673525,73.3439,10.441825,46.56885,13.285625,3.50895,6.790275,212.963975,6.232775
3.1107,20.7821,73.756075,10.486575,46.93175,13.44195,3.543625,6.855075,216.21905,6.243575
3.14005,20.829675,75.205375,10.622725,47.39305,13.44655,3.575225,6.86695,217.790675,6.36045
3.187225,21.37125,75.766375,10.636975,47.635475,13.549075,3.583425,6.9522,224.722975,6.421475
3.2198,21.839325,76.0323,10.655025,48.008575,13.57625,3.61715,7.0007,228.455175,6.666625
3.2443,21.934,76.13035,10.699125,48.04185,13.70085,3.647375,7.01185,237.23875,6.7364
3.267425,21.941325,77.868575,10.7462,48.0484,13.763975,3.676425,7.09045,238.00675,6.750125
3.293375,22.334575,82.414175,10.824475,48.09445,13.81655,3.7232,7.092,246.2671,6.7526
3.298,22.6016,82.498125,10.922125,48.67035,13.9521,3.726425,7.1906,249.511875,6.958225
3.367675,23.039975,82.724225,10.94295,49.3054,13.979375,3.762625,7.3102,250.456825,7.000725
3.379925,23.1683,84.721475,10.97535,49.599325,14.142775,3.79495,7.364925,253.798275,7.064575
3.4057,23.4265,85.10775,10.988125,49.7814,14.1574,3.848275,7.4358,253.835675,7.204
3.4464,23.94805,86.946875,11.01705,49.85435,14.203575,3.88885,7.465675,254.551475,7.3397
3.4526,24.344425,87.24595,11.04,50.68985,14.239775,3.906875,7.4803,254.872125,7.362125
3.505475,24.445525,87.623375,11.13785,50.78315,14.2576,3.93265,7.5406,254.929775,7.381025
3.562625,24.476225,87.909725,11.1532,51.668825,14.312325,3.9464,7.648975,258.944875,7.508325
3.565125,24.563425,88.49735,11.20575,52.5582,14.440825,3.965025,7.711325,259.57875,7.664675
3.588175,24.5983,89.42675,11.23905,52.670975,14.575725,3.991825,7.7896,261.1451,7.78485
3.617825,24.643425,90.9794,11.27655,53.408825,14.900875,4.027025,7.82095,263.33205,7.860025
3.635075,24.686375,93.646275,11.32555,54.4456,14.905625,4.057075,7.9451,263.96075,7.916675
3.65715,24.69405,95.3186,11.469925,54.9771,14.9974,4.08005,8.0033,272.60725,8.0254
3.6741,25.14995,95.3234,11.50785,55.286525,15.20255,4.169475,8.0818,275.75375,8.131075
3.6873,26.0882,95.63105,11.5366,55.4389,15.29705,4.198375,8.11615,277.597375,8.267925
3.708525,27.112825,97.115575,11.599225,55.45685,15.5001,4.228825,8.215775,283.476175,8.324625
3.74065,27.3084,98.99305,11.623,55.4941,15.5142,4.2891,8.41165,285.772725,8.352475
3.7625,27.35235,99.758125,11.6424,56.162375,15.531875,4.3125,8.4686,286.820425,8.384525
3.776825,27.839725,100.386025,11.644775,56.461475,15.547925,4.3565,8.518475,289.0876,8.402875
3.794175,27.904025,100.4863,11.691375,56.655525,15.684375,4.413175,8.55505,289.214025,8.415475
3.812175,28.69655,100.865075,11.79905,56.882925,15.74345,4.445925,8.57985,297.314325,8.435475
3.8294,29.234425,100.9184,11.88915,57.556875,15.8136,4.48555,8.631025,299.44705,8.453175
3.859775,29.351375,101.100775,11.92605,57.882725,15.832575,4.508575,8.6908,302.2057,8.464975
3.8653,30.597725,102.23725,12.046675,57.9174,15.85125,4.5407,8.724,310.721125,8.531925
3.89855,30.918675,103.405,12.067275,58.23225,15.881275,4.580725,8.7893,312.4419,8.536275
3.9109,31.088025,103.856325,12.13355,58.300175,15.949525,4.6176,8.9874,315.2121,8.628975
3.959375,31.331425,104.4223,12.153625,58.376525,16.02445,4.6224,9.026675,322.501625,8.642
3.985125,31.9924,105.00355,12.169425,59.2891,16.04375,4.65935,9.1093,322.560675,8.6558
4.002175,32.40185,105.236525,12.27425,59.324725,16.087175,4.73815,9.13645,322.571825,8.691925
4.0054,32.9587,105.71275,12.42455,59.702925,16.246,4.759175,9.175775,325.136025,8.753225
4.0201,33.031775,106.925525,12.64645,59.8169,16.503275,4.8297,9.2235,336.954125,8.8758
4.042525,33.48105,106.977275,12.7175,59.9787,16.532625,4.836475,9.261975,343.547725,8.980375
4.0447,33.978875,107.640875,12.800275,59.9894,16.537325,4.862975,9.59335,346.312025,9.017825
4.089,34.302925,108.06175,12.85575,60.1457,16.699475,4.864925,9.6236,349.31105,9.054225
4.150925,34.70885,108.474225,12.880375,60.51225,16.721575,4.8873,9.7241,349.59935,9.077925
4.21365,34.9834,108.607325,12.9182,60.9893,16.7321,4.889275,9.7674,350.009975,9.10615
4.26345,35.728275,108.630675,13.020975,61.07585,16.7887,4.918025,9.7863,351.1109,9.116175
4.292575,35.79535,108.840725,13.051475,61.8924,16.873975,4.9612,9.80465,362.188675,9.128375
