SPK_SPKC09a,SPK_SPKC10c,SPK_SPKC11a,SPK_SPKC13a
95.98835,97.1584,25.942725,4.79785
96.06595,97.41,26.1725,4.809675
96.395475,97.8595,26.242725,4.83785
96.489725,98.335525,26.251525,4.8474
96.55355,98.4924,26.343925,4.859525
96.964725,98.538725,26.437125,4.874025
97.0643,98.860975,26.661475,4.892875
97.32565,99.1119,26.709675,4.9077
97.554925,99.318225,26.7929,4.919025
97.90195,99.8683,26.976575,4.92585
97.915725,100.09885,26.987675,4.945275
97.96355,100.113475,27.026875,4.95085
98.2647,100.456825,27.14895,4.9563
98.6358,100.52995,27.182275,4.9668
99.116425,100.815225,27.237125,4.973625
99.270625,101.375475,27.261125,4.986
99.47985,101.514625,27.375525,4.99475
99.608725,101.800425,27.413975,5.027225
99.976675,102.5388,27.434625,5.048075
99.990525,103.1363,27.49485,5.078975
100.169025,103.28965,27.49925,5.375825
100.285575,103.708775,27.569775,5.38625
100.41875,103.802575,27.654175,5.3986
100.59455,104.06515,27.7096,5.41015
101.29035,104.41885,27.7529,5.419325
101.73765,104.681125,27.85425,5.4289
102.144275,104.832525,28.009725,5.4366
102.1548,105.115125,28.0648,5.446475
102.728175,105.698925,28.165025,5.4543
102.929025,105.725075,28.198925,5.46155
103.06915,105.9772,28.22415,5.4691
103.2299,106.658375,28.26175,5.47585
103.895975,106.717925,28.506475,5.48205
104.356375,107.061775,28.5131,5.4986
104.497475,107.3704,28.522225,5.52535
104.63085,107.462125,28.588725,5.5604
105.359225,107.4969,28.713,5.571275
105.971275,107.65535,28.766025,5.588575
106.359575,107.71515,28.784,5.5974
106.39075,108.363975,28.97535,5.608475
106.455,108.481825,29.036925,5.6173
106.491775,108.564775,29.0601,5.626125
106.74685,109.12065,29.106275,5.637275
106.768625,109.3937,29.18315,5.6393
106.809875,109.53405,29.5122,5.6459
107.19405,109.59285,29.693075,5.6634
107.269275,109.76495,29.70855,5.893575
107.29205,110.304775,29.730375,5.907625
107.335025,110.72765,29.7575,5.932275
107.787175,111.08335,29.815275,5.943
108.0423,111.349,29.95695,5.949575
108.26875,111.3645,30.070675,5.963
108.396625,111.403075,30.1939,5.97305
109.12065,111.516025,30.22255,5.982975
109.355875,112.11945,30.2742,5.990325
109.4233,112.16775,30.416775,6.0084
109.6229,112.3691,30.46095,6.021
111.01005,112.670475,30.602725,6.03265
112.283025,113.8025,30.64955,6.041675
112.3121,113.85035,30.790325,6.052375
112.65765,114.30565,30.8465,6.061175
113.841875,114.34095,30.87105,6.079875
113.930525,114.86455,30.90705,6.17195
114.256725,115.00285,30.95885,6.258225
114.9406,115.047175,30.984825,6.36965
115.02595,115.301175,31.057025,6.39725
115.234375,115.637925,31.068375,6.412525
115.8351,116.01775,31.08075,6.424125
115.8618,116.143975,31.113125,6.441775
115.8764,116.5594,31.16445,6.46435
116.27755,116.672825,31.388725,6.476025
116.4938,116.85245,31.41235,6.512875
116.60765,117.12795,31.44155,6.69925
117.197575,117.2429,31.463775,6.749925
117.51545,117.282825,31.5565,6.813475
117.71105,117.4711,31.5746,6.8364
117.986025,117.626225,31.655,6.855125
118.5793,117.67045,31.676575,6.86755
119.17415,117.8232,31.705175,6.87895
119.569475,117.843625,31.732,6.887175
120.154625,117.9977,31.755375,6.90735
120.351425,118.0776,31.789375,6.952275
120.436875,118.1543,31.854925,6.9656
120.8083,118.236775,31.903175,7.041975
120.903525,119.188975,31.9527,7.10905
121.43335,119.232175,31.977,7.1873
121.669625,119.2976,32.007175,7.215375
121.8676,120.038075,32.022175,7.235725
121.886175,120.996375,32.089425,7.26065
121.999,121.47155,32.1307,7.269325
122.471275,121.488925,32.159475,7.287925
122.4951,121.74075,32.206325,7.300775
123.247825,121.7993,32.29445,7.3119
123.3006,122.12635,32.3391,7.32425
123.812325,123.06525,32.353125,7.336075
123.92755,123.20295,32.36865,7.3482
123.991075,123.711825,32.4684,7.363275
124.1606,123.819025,32.60215,7.3745
124.1867,124.062525,32.6464,7.4067
124.316925,124.190975,32.67195,7.4379
124.322975,124.77765,32.69705,7.451975
124.335175,125.316925,32.730675,7.4668
124.4523,125.4364,32.797075,7.478275
124.6392,125.5435,32.81755,7.486925
124.732725,125.690875,32.90725,7.4982
125.115575,125.740375,32.951625,7.5074
125.228,125.780525,33.011425,7.5142
125.308925,125.819225,33.0354,7.52595
125.81925,125.8704,33.061075,7.537975
126.185725,126.230625,33.075325,7.556725
126.2296,126.2455,33.153925,7.576325
126.249225,126.36115,33.171925,7.5855
126.754325,126.379375,33.2007,7.60075
126.828475,126.86645,33.2103,7.613625
126.86275,127.19915,33.531425,7.618775
126.86955,127.653175,33.604175,7.628075
127.057025,127.89725,33.7105,7.643475
127.274525,127.973975,33.7341,7.6666
127.383225,128.51615,33.91245,7.687025
128.1555,128.846575,33.9431,7.7106
128.2602,129.55635,33.961875,7.80265
129.283225,129.585975,34.214575,7.8476
129.900425,129.76825,34.245775,7.862575
130.305525,129.80175,34.3744,7.87435
130.655125,130.04605,34.4222,7.88295
130.8868,130.14295,34.4908,7.895225
131.20025,130.19925,34.51475,7.9026
131.21815,130.298925,34.524725,7.91145
131.221975,130.391075,34.547,7.91805
131.89345,130.5663,34.618475,7.927875
132.07005,130.600275,34.7785,7.9682
132.569025,130.6378,34.804125,7.9842
132.711525,130.9038,34.9737,7.9908
133.093075,131.2923,35.179575,8.003375
133.2567,131.3418,35.189525,8.02285
133.47925,131.5323,35.250025,8.037775
133.809025,131.927125,35.25875,8.081625
134.0608,132.254825,35.281975,8.099025
134.11605,132.3462,35.34695,8.1412
134.233875,133.87095,35.37195,8.165525
134.402525,134.028675,35.383475,8.17325
134.556375,134.595725,35.440825,8.1814
134.996425,134.6227,35.474125,8.191625
135.04125,134.771975,35.4915,8.2004
135.284125,135.252975,35.548,8.220625
135.369825,135.346725,35.5758,8.23175
135.607625,135.4099,35.608875,8.242325
135.632,135.5081,35.63445,8.274225
136.0428,135.903575,35.70855,8.287375
136.224975,135.946375,35.72385,8.300675
136.432725,136.1595,35.740725,8.3114
136.5136,136.490075,35.759775,8.328275
136.561375,136.77225,35.7714,8.335625
136.82665,137.170625,35.77935,8.3409
136.872325,137.21225,35.84485,8.349225
136.936875,137.319375,35.863275,8.3561
137.561575,137.878925,35.91095,8.3646
138.0241,138.2227,35.947075,8.390075
138.094,138.334425,35.982675,8.400375
138.302125,138.33545,36.00925,8.41855
138.665475,138.43405,36.07895,8.4257
139.59645,138.549575,36.091075,8.43475
140.438175,138.7301,36.142775,8.452925
140.77285,138.876775,36.164075,8.473775
140.956475,139.2414,36.278575,8.481625
141.799775,139.559,36.28915,8.500675
141.991925,139.570025,36.296425,8.508425
142.31095,139.887,36.31875,8.520975
142.527925,139.977175,36.362375,8.529675
142.8921,140.0829,36.37565,8.53935
143.318,140.458875,36.422775,8.553875
143.40795,140.7253,36.4479,8.563725
143.87115,140.82995,36.47865,8.57625
143.8823,141.87405,36.497575,8.59085
144.160175,142.08615,36.5078,8.61585
144.9787,142.12945,36.5305,8.629975
145.180675,142.371525,36.55025,8.64495
145.880375,142.633625,36.5519,8.659175
146.135875,142.703025,36.568225,8.67795
146.262975,142.79995,36.585525,8.716
147.203425,142.82725,36.616675,8.72745
147.709275,143.343625,36.7153,8.75025
148.004475,144.06425,36.741775,8.759175
148.14505,144.574275,36.763475,8.7717
148.228475,144.731975,36.80425,8.7881
149.482875,144.8275,36.850225,8.803325
149.520575,145.125,36.900325,8.8257
149.656075,145.5186,36.9585,8.843625
149.84165,145.573175,36.983075,8.855225
149.8611,146.67805,37.027275,8.8644
,146.976575,37.034,8.8712
,147.82525,37.054575,8.8781
,147.90805,37.0689,8.891625
,148.032975,37.0752,8.89645
,148.291525,37.0825,8.924125
,148.739425,37.100025,8.934
,148.9646,37.16595,8.9646
,149.1656,37.27575,8.987025
,149.233575,37.4961,9.01365
,149.290675,37.523625,9.029475
,149.368325,37.5386,9.04935
,149.834975,37.549825,9.081375
,149.944475,37.559325,9.097975
,149.96685,37.576375,9.10275
,,37.593825,9.10805
,,37.6033,9.1126
,,37.64925,9.120325
,,37.77995,9.1247
,,37.804,9.127525
,,37.809175,9.13245
,,37.816875,9.13775
,,37.8283,9.141325
,,37.8488,9.14605
,,37.8858,9.15665
,,37.897,9.177475
,,37.9155,9.184025
,,37.96125,9.188825
,,38.05585,9.2119
,,38.07145,9.219675
,,38.169175,9.230425
,,38.18875,9.23825
,,38.21185,9.244675
,,38.251275,9.2582
,,38.273325,9.267075
,,38.326675,9.2987
,,38.349025,9.31155
,,38.382675,9.3292
,,38.40175,9.34305
,,38.42255,9.363
,,38.474025,9.37455
,,38.515675,9.385625
,,38.55645,9.416675
,,38.566325,9.433475
,,38.604225,9.4435
,,38.625825,9.478825
,,38.721525,9.491475
,,38.74595,9.50815
,,38.76795,9.53745
,,38.79555,9.552725
,,38.82675,9.560325
,,38.8358,9.5706
,,38.8845,9.57555
,,38.949375,9.581525
,,38.9571,9.5919
,,39.0171,9.615775
,,39.053975,9.6342
,,39.092825,9.657525
,,39.114425,9.699725
,,39.130275,9.713825
,,39.15545,9.7263
,,39.199125,9.749425
,,39.223875,9.75885
,,39.27735,9.76975
,,39.318025,9.792525
,,39.347875,9.814375
,,39.369225,9.824225
,,39.407675,9.84655
,,39.414725,9.86075
,,39.482625,9.877425
,,39.5092,9.891275
,,39.5272,9.91095
,,39.608825,9.93705
,,39.624875,9.95455
,,39.635,9.9783
,,39.651175,10.011925
,,39.699175,10.0241
,,39.72625,10.04245
,,39.80895,10.0614
,,39.842975,10.077975
,,39.871325,10.0857
,,39.901475,10.095025
,,39.979025,10.102775
,,40.0027,10.1196
,,40.0158,10.129925
,,40.025375,10.13755
,,40.103825,10.158875
,,40.119025,10.184
,,40.132925,10.219075
,,40.1493,10.241175
,,40.24485,10.2664
,,40.28155,10.285525
,,40.30415,10.3419
,,40.326975,10.361175
,,40.449775,10.385575
,,40.47395,10.43005
,,40.5465,10.61875
,,40.656,10.630575
,,40.676175,10.641925
,,40.700375,10.65355
,,40.711425,10.66245
,,40.764675,10.6732
,,40.7733,10.682025
,,40.779325,10.6938
,,40.80395,10.702675
,,40.8105,10.71205
,,40.841975,10.718675
,,40.850175,10.72725
,,40.8835,10.76675
,,40.934775,10.79335
,,40.976625,10.8172
,,41.05285,10.844775
,,41.108525,10.866025
,,41.1369,10.893525
,,41.255875,10.921725
,,41.2761,10.9347
,,41.362275,10.947975
,,41.402675,10.97835
,,41.4713,11.015575
,,41.5064,11.2461
,,41.5262,11.263725
,,41.5375,11.275725
,,41.55865,11.285625
,,41.579,11.319575
,,41.629475,11.383125
,,41.6491,11.41735
,,41.717525,11.44195
,,41.81185,11.4495
,,41.851175,11.456
,,41.891425,11.464075
,,41.947475,11.55005
,,41.973575,11.762225
,,41.99495,11.91925
,,42.055475,11.948175
,,42.06615,11.968625
,,42.08055,11.9804
,,42.114925,11.9872
,,42.169375,12.000575
,,42.181375,12.014975
,,42.271225,12.031425
,,42.3062,12.0419
,,42.346725,12.048925
,,42.37925,12.071675
,,42.3957,12.1016
,,42.426875,12.11335
,,42.4597,12.139225
,,42.485025,12.20535
,,42.51895,12.2351
,,42.533775,12.36175
,,42.55845,12.601225
,,42.571325,12.609875
,,42.62855,12.63375
,,42.654925,12.641125
,,42.678,12.649375
,,42.696375,12.660975
,,42.703875,12.673225
,,42.726975,12.68615
,,42.772675,12.697925
,,42.795125,12.707325
,,42.90625,12.7242
,,42.94225,12.736725
,,42.967,12.747225
,,43.0092,12.75535
,,43.034925,12.78425
,,43.0603,12.793725
,,43.097375,12.80865
,,43.203175,12.8261
,,43.21605,12.841875
,,43.24235,12.860575
,,43.2621,12.8938
,,43.279375,13.147225
,,43.291125,13.16315
,,43.306675,13.192875
,,43.39865,13.204925
,,43.42305,13.23255
,,43.45835,13.25055
,,43.476375,13.2695
,,43.492775,13.289475
,,43.523775,13.3118
,,43.5571,13.3294
,,43.568475,13.3527
,,43.60635,13.630975
,,43.615175,13.64585
,,43.629625,13.6601
,,43.640275,13.674425
