SPK_SPKC04a (exc/inhi),SPK_SPKC07a (inhi)
23.56085,192.234125
23.57235,192.3212
23.5805,193.011
23.590175,193.0692
23.597075,193.193975
23.605525,193.2419
23.636325,193.45185
23.650925,193.542975
23.665225,194.0588
23.6813,194.331225
23.69265,194.435925
23.707425,194.598725
23.72895,194.67575
23.740025,194.829
23.74755,194.874875
23.75645,195.00045
23.76445,195.717325
23.777425,195.76835
23.78495,195.939075
23.8095,196.183775
23.81925,196.282775
23.828075,196.341325
23.838725,196.4218
23.850525,196.4736
23.867575,196.53385
23.881475,196.563325
23.908175,196.666425
23.925875,196.7135
23.9421,196.98695
23.959475,197.041275
23.978025,197.136575
23.990925,197.45915
24.006125,197.594425
24.0197,197.681175
24.0428,197.833525
24.062175,198.030775
24.099375,198.134325
24.118425,198.324925
24.154325,198.42785
24.19875,198.59935
24.2225,198.631925
24.23555,198.71305
24.249575,198.9256
24.2631,199.0743
24.270325,199.207875
24.27965,199.3537
24.28765,199.413575
24.29335,199.459425
24.3027,199.6364
24.31335,199.6974
24.319575,199.85335
24.327025,
24.335525,
24.34785,
24.361925,
24.366375,
24.3776,
24.3904,
24.4026,
24.4132,
24.41825,
24.429175,
24.44005,
24.4473,
24.45685,
24.46545,
24.477975,
24.490025,
24.500525,
24.50705,
24.513,
24.521525,
24.533725,
24.553875,
24.567375,
24.58315,
24.609,
24.636725,
24.661525,
24.683275,
24.696475,
24.709275,
24.72355,
24.74065,
24.763525,
24.78485,
24.815825,
24.84775,
24.8813,
24.921375,
24.963975,
24.994625,
25.064375,
25.089925,
25.10465,
25.121675,
25.134025,
25.1526,
25.18395,
25.2153,
25.244225,
25.27935,
25.301025,
25.373775,
25.428375,
25.445525,
25.46645,
25.48365,
25.515575,
25.5393,
25.570425,
25.593825,
25.623275,
25.651475,
25.680675,
25.704125,
25.753675,
25.783175,
25.81465,
25.875025,
25.90695,
25.938375,
25.973425,
25.99505,
26.020475,
26.053675,
26.080725,
26.121525,
26.1743,
26.203675,
26.2294,
26.277575,
26.328275,
26.35835,
26.401325,
26.420075,
26.44415,
26.4671,
26.50385,
26.550225,
26.5823,
26.61185,
26.68005,
26.698,
26.7201,
26.735775,
26.743475,
26.756075,
26.7798,
26.796125,
26.80975,
26.8213,
26.830825,
26.847075,
26.8583,
26.8654,
26.8741,
26.8849,
26.893125,
26.903975,
26.9154,
26.92505,
26.93665,
26.9551,
26.9675,
26.9761,
26.995475,
27.01275,
27.025375,
27.036775,
27.050125,
27.06155,
27.07315,
27.0827,
27.094475,
27.107675,
27.126525,
27.1445,
27.161925,
27.183,
27.2022,
27.226825,
27.2495,
27.26515,
27.276925,
27.29525,
27.313125,
27.332825,
27.343025,
27.354725,
27.385325,
27.411725,
27.43305,
27.467025,
27.48315,
27.4977,
27.522425,
27.54235,
27.570575,
27.5929,
27.6263,
27.659575,
27.697625,
27.82735,
27.849475,
27.8776,
27.920375,
27.9333,
27.94355,
27.96735,
27.98875,
28.01655,
28.047375,
28.08585,
28.14115,
28.200225,
28.247,
28.268175,
28.3035,
28.32685,
28.364825,
28.4081,
28.46955,
28.5248,
28.551075,
28.56595,
28.5846,
28.59735,
28.614675,
28.62875,
28.64505,
28.6576,
28.6743,
28.708175,
28.736575,
28.75995,
28.7805,
28.83495,
28.901225,
28.953575,
28.9876,
29.1259,
29.142,
29.172475,
29.199475,
29.260175,
29.28765,
29.31245,
29.346625,
29.42185,
29.50015,
29.51955,
29.533475,
29.544625,
29.58445,
29.7261,
29.74985,
29.75775,
29.768125,
29.781825,
29.7957,
29.8042,
29.808725,
29.816575,
29.82665,
29.8399,
29.85665,
29.874025,
29.901625,
29.941875,
29.967525,
29.997975,
30.0347,
30.063925,
30.11365,
30.131675,
30.165075,
30.190725,
30.219975,
30.2485,
30.2742,
30.307725,
30.3319,
30.3647,
30.414875,
30.4446,
30.46835,
30.553225,
30.577075,
30.59935,
30.62075,
30.65755,
30.682925,
30.70585,
30.727775,
30.771375,
30.858575,
30.930425,
30.956225,
30.993725,
31.0208,
31.06115,
31.08335,
31.125875,
31.33095,
31.3664,
31.38635,
31.414825,
31.4655,
31.4981,
31.541125,
31.611275,
31.7014,
31.737125,
31.77455,
31.817075,
31.85815,
31.9852,
32.0053,
32.023,
32.0389,
32.0894,
32.12915,
32.14275,
32.167275,
32.1794,
32.20285,
32.226025,
32.240475,
32.267675,
32.289225,
32.3237,
32.35185,
32.372175,
32.391675,
32.43755,
32.505425,
32.5429,
32.552225,
32.5644,
32.5759,
32.58655,
32.602425,
32.61625,
32.6345,
32.657675,
32.67235,
32.68475,
32.701675,
32.717475,
32.7278,
32.743525,
32.752925,
32.7656,
32.778,
32.79135,
32.80505,
32.81885,
32.82945,
32.840875,
32.8499,
32.8633,
32.874125,
32.8909,
32.909025,
32.924325,
32.941675,
32.960525,
32.981375,
32.9984,
33.009725,
33.02425,
33.0449,
33.075925,
33.097775,
33.13065,
33.157725,
33.1906,
33.222575,
33.253975,
33.280175,
33.321225,
33.3713,
33.398225,
33.41175,
33.44445,
33.48155,
33.511475,
33.53635,
33.55995,
33.597,
33.6167,
33.658625,
33.689125,
33.71755,
33.7572,
33.7835,
33.803175,
33.8476,
33.888975,
33.936325,
34.007275,
34.0377,
34.08855,
34.1098,
34.132025,
34.146075,
34.168225,
34.179725,
34.1889,
34.20735,
34.218875,
34.236825,
34.249975,
34.263175,
34.280675,
34.29035,
34.3029,
34.318925,
34.3334,
34.346325,
34.362575,
34.3881,
34.417275,
34.45135,
34.4842,
34.5103,
34.5333,
34.58085,
34.711175,
34.730925,
34.7487,
34.761125,
34.773825,
34.792275,
34.809525,
34.823825,
34.83465,
34.8533,
34.8689,
34.906375,
34.926725,
34.962675,
34.986425,
35.01495,
35.03365,
35.065275,
35.09345,
35.16295,
35.18845,
35.211425,
35.256175,
35.3138,
35.3423,
35.377325,
35.406925,
35.4317,
35.453825,
35.463125,
35.49465,
35.55155,
35.598225,
35.672025,
35.7894,
35.847075,
35.875775,
35.9022,
35.938325,
36.177775,
36.22915,
36.2667,
36.2911,
36.336925,
36.455475,
36.4889,
36.5274,
36.545175,
36.569625,
36.599475,
36.61695,
36.642,
36.671625,
36.694525,
36.746825,
36.82995,
36.882525,
36.913825,
36.959775,
37.197475,
37.222625,
37.24905,
37.27725,
37.319625,
37.354675,
37.3829,
37.409275,
37.434125,
37.46385,
37.488775,
37.500775,
37.5197,
37.554825,
37.57095,
37.589225,
37.605375,
37.63565,
37.654775,
37.689525,
37.718825,
37.734575,
37.745,
37.754125,
37.777925,
37.7965,
37.820625,
37.841775,
37.8596,
37.8804,
37.89595,
37.9174,
37.93875,
37.9745,
38.010225,
38.0613,
38.08735,
38.105675,
38.127725,
38.151325,
38.179575,
38.2005,
38.24015,
38.2713,
38.303575,
38.3331,
38.345775,
38.3733,
38.3979,
38.44285,
38.491675,
38.5249,
38.546875,
38.56425,
38.592,
38.6285,
38.650025,
38.72165,
38.7584,
38.813425,
38.848875,
38.87905,
38.8981,
38.9239,
38.939775,
38.979175,
39.0627,
39.0848,
39.10675,
39.117575,
39.134975,
39.1547,
39.178825,
39.2146,
39.24695,
39.2824,
39.3079,
39.330125,
39.346925,
39.368775,
39.3846,
39.40075,
39.42395,
39.4368,
39.46595,
39.4925,
39.5166,
39.55385,
39.6093,
39.653475,
39.70085,
39.7323,
39.7574,
39.775625,
39.78685,
39.80015,
39.812525,
39.833175,
39.8517,
39.865625,
39.88205,
39.90735,
39.924175,
39.9601,
39.97995,
40.0092,
40.04015,
40.0585,
40.086325,
40.114125,
40.131925,
40.149675,
40.192925,
40.230475,
