SPK_SPKC03a (excited),SPK_SPKC05a (no effect),SPK_SPKC05b (no effect),SPK_SPKC06b (no effect),SPK_SPKC08a (short inhibition),SPK_SPKC13a (no effect),SPK_SPKC14a (no effect)
18.9826,140.235625,4.301825,274.46945,4.296625,129.183925,35.722525
19.021375,140.692025,4.31105,274.835975,4.30875,129.42605,35.7284
19.0469,141.1958,4.329225,274.8729,4.3211,129.680575,35.812925
19.205225,141.471325,4.34975,275.0125,4.34775,130.184875,36.667825
19.2119,141.4732,4.3636,275.25545,4.357575,130.1904,36.769275
19.227125,141.64875,4.372125,275.678675,4.3646,130.1945,36.7745
19.2581,142.022425,4.3819,276.481875,4.401075,130.29975,36.786475
19.301625,142.239825,4.3869,276.497925,4.415175,130.4516,36.788775
19.4058,142.478,4.411925,279.3591,4.4256,131.449075,36.798425
19.4177,143.93675,4.4229,279.49665,4.43635,131.542675,36.8138
19.48535,144.00775,4.443925,279.605775,4.4687,131.577725,36.9292
19.497625,145.581725,4.46405,280.622275,4.478975,131.619375,37.109925
19.80985,147.832,4.48945,280.95605,4.49475,131.72705,37.14665
19.834625,148.1138,4.508475,281.9969,4.516225,131.752425,37.417725
19.87545,148.72115,4.531975,282.1092,4.524225,131.815975,37.4895
19.8932,148.743175,4.548475,283.044525,4.53695,131.9756,37.49445
19.905775,148.929125,4.575125,283.300275,4.5528,132.248725,37.509975
19.96625,149.2787,4.582,283.340775,4.57335,132.325,37.519575
19.988825,149.3905,4.6036,283.45385,4.588325,132.51565,37.57325
20.1262,150.2357,4.6144,284.7085,4.594625,132.845725,37.6818
20.1944,150.439275,4.64875,285.0899,4.606975,132.9973,37.701325
20.217925,150.46565,4.6742,285.122725,4.619825,133.08585,37.710475
20.23615,150.559075,4.704775,285.150675,4.63395,133.180625,37.8654
20.24615,150.7031,4.731525,285.3243,4.6464,133.916825,38.36435
20.2994,150.894525,4.765575,285.342425,4.666125,134.1976,38.528525
20.30935,150.9585,4.821225,285.38875,4.694575,134.841675,38.5464
20.314125,151.96485,4.8391,285.649725,4.7156,135.09825,38.669925
20.32115,152.038525,4.8413,286.304025,4.72935,135.3446,38.678125
20.35155,153.483275,4.862875,288.702725,4.739975,135.892275,38.774775
20.381775,153.491725,4.8916,289.12595,4.7433,136.116475,38.855675
20.458025,153.5634,4.89515,290.10565,4.75015,136.334475,38.912025
20.4989,153.920425,4.921075,290.734675,4.759075,136.438,38.980275
20.5416,155.8509,4.94915,290.9241,4.7893,137.017725,39.062825
20.606575,155.97285,4.9524,291.449275,4.81455,137.079625,39.10915
20.644925,156.1092,4.983375,291.696525,4.8245,137.195825,39.1812
20.66325,156.245,5.0172,291.756925,4.832825,137.347675,39.221875
20.715,156.2779,5.042975,291.85735,4.844275,137.6844,39.3566
20.8529,158.662675,5.074675,292.3282,4.853925,137.707675,39.386175
20.886575,158.787525,5.109775,292.75285,4.8626,137.826425,39.397975
20.9709,159.39885,5.124575,292.8114,4.873725,137.851675,39.495925
21.005725,160.911575,5.1446,293.047975,4.8855,137.90295,39.59475
21.028675,161.300375,5.1585,293.46315,4.895325,138.276725,39.642625
21.094275,161.532225,5.181,295.20685,4.93555,138.27925,39.70725
21.123075,161.5717,5.196725,295.867275,4.959225,138.4704,39.85755
21.397675,161.854225,5.21065,295.912175,4.971925,138.556625,39.868175
21.425575,162.047325,5.2239,296.263775,4.98195,138.720075,39.90375
21.52125,163.086025,5.2447,296.271525,4.996775,138.73905,39.93605
21.5846,163.1676,5.26285,297.081,5.01155,138.81075,40.0692
21.605225,163.337575,5.295575,297.588825,5.015475,138.9061,40.091825
21.6127,165.10565,5.299625,298.232,5.020375,138.955825,40.2868
21.701325,165.189925,5.309975,298.354725,5.03275,138.98845,40.323175
21.8009,165.402,5.3473,298.461175,5.0425,139.297125,40.4105
