SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC01c,SPK_SPKC05a,SPK_SPKC05c,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC16a
2.82465,5.721125,11.801175,17.904125,5.011825,4.3068,8.557125,13.09085,22.960775
2.8517,5.736225,11.92285,18.060775,5.06925,4.337225,8.6289,13.2288,23.5473
2.86565,5.8305,11.9769,18.0734,5.093625,4.348325,8.682275,13.325175,23.635325
2.882975,5.894575,12.0365,18.090125,5.1303,4.3641,8.728325,13.434775,23.762575
2.91445,5.962525,12.0626,18.17725,5.161375,4.3875,8.79605,13.51195,23.939025
2.948425,6.000575,12.080125,18.353775,5.189175,4.41995,8.85,13.63815,24.342
2.972175,6.0544,12.090925,18.391525,5.240675,4.4279,8.891825,13.907375,24.39305
2.983475,6.082125,12.1013,18.484525,5.278375,4.459425,8.898125,13.956225,25.09465
2.998675,6.106375,12.10515,18.5071,5.508825,4.47985,9.010925,14.010075,25.12715
3.008875,6.135925,12.128825,18.734,5.534425,4.5172,9.080075,14.031075,25.388025
3.0104,6.17035,12.1372,18.94045,5.5606,4.56045,9.240925,14.05475,25.661
3.0145,6.207725,12.17355,19.06285,5.56685,4.592,9.273375,14.147275,25.68555
3.0257,6.21735,12.1944,19.09805,5.58425,4.623825,9.3516,14.1696,25.943675
3.0474,6.25805,12.25175,19.116875,5.6044,4.66145,9.5173,14.225375,26.266825
3.05075,6.306925,12.6284,19.52645,5.61195,4.6877,9.605325,14.28615,26.3893
3.06385,6.3606,12.726725,19.688075,5.6577,4.71,9.694,14.32445,26.7984
3.075925,6.37275,12.73115,19.931025,5.685375,4.733125,9.757375,14.3797,26.821575
3.08315,6.405075,12.7615,20.084575,5.742875,4.756225,9.983325,14.417,26.851375
3.095975,6.422225,12.770775,20.091975,5.75595,4.800075,10.135525,14.518225,27.06785
3.120325,6.473325,12.94585,20.283925,5.79605,4.82015,10.157325,14.665725,27.071825
3.1221,6.495775,12.966025,20.424825,5.837875,4.84445,10.17825,14.81545,27.20635
3.145125,6.532775,13.139,20.4451,5.860325,4.86855,10.230625,14.83485,27.41575
3.154875,6.57025,13.253625,20.544225,5.912125,4.890475,10.360575,14.8717,27.602
3.1639,6.657125,13.36505,20.676525,5.9285,4.915075,10.4359,14.887375,27.671825
3.190925,6.70145,13.4374,20.716525,5.94585,4.92815,10.4865,14.927225,27.80925
