SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC04a,SPK_SPKC10a
317.460125,320.732025,310.27935,327.4523
317.47755,320.815925,310.306975,327.4995
317.50125,320.9114,310.3348,327.576225
317.610475,320.95145,310.35165,327.5906
317.66405,320.98455,310.38865,327.6676
317.70975,321.01555,310.41325,327.956825
317.812925,321.063825,310.567425,328.058175
317.90985,321.098875,310.602575,328.4231
317.9249,321.136025,310.688725,328.494225
317.954825,321.179675,310.71295,328.549625
317.9989,321.2023,310.7391,328.676625
318.048925,321.224425,310.760225,328.70045
318.156075,321.234775,310.76345,328.760675
318.20585,321.300625,310.784575,328.842375
318.23965,321.32995,310.803925,328.88565
318.26965,321.35935,310.808425,328.97815
318.34635,321.398025,310.8201,329.11595
318.3689,321.400675,310.838,329.166975
318.39735,321.51695,310.98745,329.325825
318.470575,321.626675,311.0062,329.379275
318.578625,321.7426,311.059375,329.481125
318.627425,321.7464,311.09205,329.5378
318.649825,321.789375,311.157675,329.7519
318.668325,321.821675,311.241325,329.768575
318.683825,321.8501,311.288075,329.865775
318.74835,321.864975,311.32925,330.20575
318.788325,321.90245,311.451075,330.226875
318.815425,321.956,311.497875,330.330025
318.8323,321.97215,311.577075,330.440775
318.855925,322.02175,311.6342,330.48105
318.922725,322.221775,311.661325,330.4835
319.139075,322.3101,311.69385,330.52575
319.163,322.433825,311.705025,330.541225
319.1807,322.509575,311.7142,330.63845
319.3601,322.552475,311.7542,330.6621
319.521625,322.6324,311.79145,331.1146
319.5971,322.742875,311.81765,331.200475
319.655575,322.859925,311.82005,331.299475
319.7234,322.9134,311.837875,331.362875
319.764525,322.9636,311.864575,331.443125
319.81215,322.99695,311.9599,331.4964
319.89655,323.151175,311.9754,331.584025
320.0337,323.157,311.994325,331.64495
320.16075,323.1717,312.020325,331.67495
320.2917,323.239125,312.045075,331.708725
320.320725,323.289675,312.06015,331.73265
320.342975,323.353875,312.10075,331.770525
320.354725,323.387125,312.14595,331.80915
320.4074,323.46525,312.167975,331.95715
320.4388,323.496775,312.1863,332.038275
320.450475,323.525,312.20645,332.075725
320.476425,323.560075,312.23095,332.119925
320.510125,323.5876,312.2597,332.27315
320.53725,323.607225,312.27065,332.4512
320.54705,323.639575,312.335525,332.705125
320.891075,323.658025,312.383475,332.7394
320.94315,323.68035,312.417075,332.8706
320.998975,323.7161,312.5493,333.131425
321.071025,323.7661,312.610675,333.15315
321.16885,323.828125,312.640375,333.273125
321.2531,323.9164,312.6736,333.310225
321.299025,323.933825,312.71295,333.48795
321.343575,323.93635,312.7926,333.589625
321.378225,323.9987,312.83595,333.65925
321.47025,324.26005,312.856275,333.79925
321.48525,324.3221,312.892275,333.8285
321.535975,324.34955,312.9378,334.084575
321.561775,324.37575,312.954775,334.149225
321.6117,324.403125,312.970525,334.19545
321.8394,324.490925,313.025275,334.231575
321.930475,324.5251,313.051625,334.240575
321.99505,324.550875,313.079725,334.249325
322.08245,324.594375,313.1199,334.33485
322.110025,324.69045,313.132375,334.35305
322.148825,324.74475,313.146275,334.49655
322.1665,324.846725,313.17275,334.717
322.204175,324.910275,313.17575,334.98445
322.244825,324.93945,313.202775,335.163775
322.343575,324.979875,313.2396,335.165925
322.389225,325.002425,313.258325,335.195875
322.44925,325.0491,313.2861,335.26955
322.530575,325.0628,313.309275,335.34985
322.54535,325.07495,313.3696,335.43775
322.5732,325.263425,313.415475,335.498975
322.646425,325.36215,313.458075,335.57685
322.68395,325.514,313.476225,335.752925
322.70505,325.52985,313.483825,335.95585
322.7234,325.5941,313.495425,336.072525
322.736625,325.62315,313.521875,336.15035
322.760975,325.659625,313.546525,336.260875
322.77605,325.72465,313.561075,336.409825
322.799425,325.848975,313.5686,336.413275
322.832375,325.8617,313.57985,336.583375
322.879,325.8645,313.65665,336.881175
323.069775,325.899525,313.676375,337.068175
323.096075,325.91655,313.712525,337.679575
323.273125,325.93295,313.736525,337.754
323.38045,325.956325,313.7675,338.027475
323.421525,325.978725,313.776175,338.140125
323.4771,326.01155,313.7975,338.23095
323.5319,326.05875,313.885975,338.2566
323.58575,326.061125,313.8919,338.26965
323.735225,326.0826,313.91965,338.44485
323.781375,326.240375,313.9594,338.464275
323.79585,326.3118,313.98505,338.496575
323.8392,326.354025,314.026275,338.66505
323.856725,326.4565,314.057925,338.9162
323.904775,326.72885,314.10455,338.9534
323.9556,326.769625,314.1514,339.0492
324.036675,326.803925,314.185725,339.11925
324.109175,326.837325,314.238325,339.166175
324.15855,326.8988,314.303875,339.2716
324.17765,326.922525,314.334975,339.396275
324.197775,326.9302,314.34135,339.53085
324.210425,326.948525,314.367325,339.587825
324.23305,326.97775,314.44565,339.612875
324.24435,327.05285,314.48735,339.627125
324.27485,327.08555,314.5079,339.629175
324.4627,327.111025,314.5306,339.744125
324.4849,327.37385,314.551325,339.775925
324.6382,327.4023,314.584225,339.8299
324.66165,327.41495,314.6203,339.86095
324.767025,327.4801,314.726325,339.876825
324.807,327.52515,314.73225,339.90735
324.89265,327.60655,314.745025,339.911975
324.96485,327.6479,314.750725,339.917075
325.1041,327.729875,314.7715,339.942625
325.119925,327.895475,314.7904,340.0023
325.14895,327.93095,314.8058,340.25345
