SPK_SPKC02a (exc),SPK_SPKC04a (no response),SPK_SPKC10b (no response)
47.902425,12.157825,43.764875
47.970275,12.177125,43.823875
48.060325,12.193525,43.8311
48.206125,12.201225,43.849625
48.3037,12.229,43.863725
48.65215,12.24245,43.9478
48.757725,12.259425,44.001125
48.87115,12.27405,44.6137
48.92795,12.290075,44.682425
48.955775,12.30285,44.688825
49.327075,12.3243,44.700625
49.384,12.39965,44.98145
49.5025,12.415725,44.989775
49.512125,12.426975,45.028525
49.5167,12.43605,45.0475
49.9959,12.4587,45.095325
50.16595,12.468925,45.252675
50.249375,12.480975,45.290925
50.3722,12.49375,45.34685
51.6448,12.50395,45.370225
51.671525,12.5186,45.385925
51.678775,12.528375,45.428775
51.68715,12.545225,45.49355
51.779675,12.556675,45.50455
51.7932,12.569125,45.59925
51.824675,12.579525,45.84695
51.87175,12.595675,45.862225
51.87985,12.621825,45.88155
52.15085,12.634975,46.140175
52.16505,12.66785,46.18
52.21405,12.6947,46.249675
52.265075,12.720125,46.25395
52.32655,12.732075,46.327575
52.334725,12.743325,46.339075
52.425325,12.7586,46.563575
52.45385,12.7712,47.007325
52.5128,12.78175,47.185
52.5438,12.79005,47.215
52.6528,12.8104,47.254325
52.980175,12.827625,47.25985
52.989525,12.83615,47.26375
53.0763,12.8785,47.307975
53.096825,12.896225,47.394625
53.17275,12.909475,47.5305
53.305525,12.922275,47.541925
53.5111,12.95125,47.602375
53.55715,12.981025,47.630875
53.59025,12.9937,47.635525
53.617125,13.00495,48.06665
53.649875,13.022125,48.206025
53.7394,13.036725,48.251775
53.754275,13.0502,48.303675
53.782675,13.06775,48.602
53.794575,13.10055,48.65205
53.801675,13.1192,49.0238
53.846575,13.1462,49.240475
53.8847,13.165975,49.3734
53.9555,13.18855,49.4771
54.085525,13.212325,49.7475
54.09595,13.258225,50.2493
54.105075,13.28525,50.29125
54.11915,13.316425,50.387075
54.141025,13.3338,50.575325
54.167075,13.360575,51.661575
54.183575,13.376625,51.7091
54.2514,13.4112,51.7796
54.27525,13.444825,51.793075
54.3922,13.463475,51.829925
54.442175,13.47685,51.838875
54.495225,13.4884,51.863025
54.56925,13.50085,51.871675
54.6231,13.52,51.879825
54.71375,13.5506,51.895275
54.976775,13.57245,51.988025
54.98875,13.612575,52.165
55.010075,13.6559,52.2398
55.085825,13.70055,52.300475
55.11165,13.738225,52.34485
55.1278,13.76805,52.349925
55.135575,13.7953,52.37295
55.175025,13.804425,52.420075
55.208425,13.8152,52.444125
55.29775,13.834975,52.4488
55.34455,13.856025,52.453775
55.394025,13.87135,52.48985
55.576475,13.902725,52.5057
55.641975,13.931325,52.607275
56.070675,13.9728,52.89895
56.0973,14.03795,52.97165
56.34175,14.0968,53.005475
56.374275,14.126425,53.096775
56.404125,14.17035,53.30545
56.4337,14.203075,53.49545
56.7554,14.25605,53.52035
56.77745,14.305775,53.532575
56.804975,14.3679,53.53895
56.876425,14.4189,53.617075
56.9369,14.4375,53.701325
56.973125,14.44495,53.7296
57.08375,14.451175,53.73935
57.113675,14.4601,53.7826
57.15715,14.508525,53.8465
57.207075,14.526975,53.88465
57.227425,14.538575,53.9921
57.48655,14.54935,54.004725
57.615725,14.5594,54.040275
57.655025,14.570625,54.052225
57.658425,14.608875,54.0732
57.68585,14.62725,54.085475
57.7664,14.662875,54.2364
57.778275,14.72065,54.25135
57.864975,14.76135,54.29785
57.88305,14.803325,54.323225
58.032975,14.8481,54.45625
58.041025,14.866175,54.495125
58.425325,14.8797,54.5536
58.4554,14.89985,54.609375
58.469225,14.9181,54.623025
58.4746,14.9411,54.68825
58.537925,14.9608,54.7366
58.5462,14.99525,54.94945
58.686125,15.02895,54.958575
58.811275,15.076475,54.985125
58.8264,15.12575,54.999125
58.833925,15.17095,55.010025
58.839575,15.209725,55.051125
58.850425,15.227275,55.077375
58.8602,15.2941,55.183975
58.871125,15.3296,55.20835
58.90415,15.396475,55.361975
58.9368,15.442825,55.516025
58.947575,15.4583,55.56385
59.04995,15.487675,55.57645
59.198375,15.498025,55.59895
59.20395,15.510225,55.622975
59.2202,15.5183,55.6419
59.23185,15.527875,56.0812
59.345925,15.54375,56.136725
59.351025,15.557625,56.149525
59.438525,15.567825,56.179
59.69345,15.581375,56.516375
59.712575,15.596575,56.75535
59.716975,15.610775,56.759125
59.7228,15.6301,56.8049
59.72855,15.658875,56.863375
59.738675,15.739575,56.889475
59.78295,15.780775,56.89425
59.788375,15.81565,56.95215
59.91985,15.825225,56.987875
