SPK_SPKC01a,SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07b,SPK_SPKC10a,SPK_SPKC10b
33.09995,7.375875,17.6752,80.214225,9.3911,9.1649,20.61685,3.066675
33.2741,7.3949,17.69575,80.975625,9.415125,9.2028,20.692175,3.1368
33.405275,7.52055,17.9344,81.490525,9.444,9.2451,20.72495,3.16285
33.50725,7.5225,18.322675,81.87745,9.597825,9.289425,21.02685,3.165675
33.55795,7.54215,18.42355,82.333675,9.932625,9.406525,21.167475,3.17635
33.608825,7.55785,18.54815,82.433575,10.306175,9.46955,21.3586,3.197275
33.678225,7.579575,18.5993,82.8309,10.39815,9.5126,21.4123,3.200225
34.10815,7.95465,18.836075,84.9045,10.5937,9.57035,21.535175,3.20425
34.2535,7.9776,18.910125,85.418825,10.6781,9.7036,21.565625,3.224775
34.4723,8.31135,19.021725,86.270175,10.7319,9.799825,21.679725,3.2356
35.0244,8.351775,19.17975,86.69315,10.7406,9.8915,21.737425,3.239775
35.131375,8.618225,19.249175,87.02895,10.764225,9.96205,21.854125,3.24885
35.209575,8.696,19.517725,87.917675,10.818975,10.064425,21.9003,3.2517
35.2243,8.76185,19.56795,90.0907,10.837375,10.151125,21.93335,3.270575
35.31005,8.985725,19.615725,91.2641,10.9159,10.2224,22.195325,3.27365
35.6504,8.993925,19.6515,92.557975,10.975125,10.2642,22.303425,3.278
35.75555,9.027225,20.158375,93.597875,10.97785,10.321925,22.3794,3.294125
36.299575,9.058125,20.2304,94.3704,10.981125,10.381175,22.413425,3.2953
36.72005,9.0689,20.2585,95.053925,11.072825,10.384875,22.485325,3.300075
36.871925,9.0721,20.31515,95.15435,11.100175,10.4072,22.4983,3.311275
36.895,9.08745,20.328175,96.475325,11.220875,10.4858,22.50835,3.32645
37.007075,9.1083,20.805725,99.107625,11.24695,10.487575,22.515,3.33905
37.5609,9.164075,20.883325,99.644225,11.292725,10.5563,22.594075,3.3414
37.57985,9.172975,20.9527,100.084525,11.326275,10.61495,22.6858,3.354225
37.9376,9.789625,21.019925,101.0528,11.3624,10.70115,22.8626,3.372975
38.003525,9.82325,21.095275,101.863175,11.381325,10.851625,22.914675,3.38425
39.27205,9.871875,21.201775,102.94315,11.527075,10.94485,23.566575,3.3947
39.308075,9.939875,21.3641,103.0541,11.5494,11.0278,23.7482,3.402175
39.38655,9.95525,21.44105,103.2501,11.61175,11.085575,24.394775,3.424225
39.435,10.466675,21.840025,103.337575,11.720075,11.137825,24.6403,3.440075
39.4906,10.607525,22.1286,104.6855,11.79755,11.277225,24.896575,3.447325
39.619525,10.6982,22.169125,106.444825,11.861525,11.3195,25.009675,3.462
40.062775,11.0086,22.231775,106.6008,11.923175,11.38545,25.052275,3.47285
