SPK_SPKC09a,SPK_SPKC09c,SPK_SPKC10a,SPK_SPKC12a
611.7223,623.4952,611.3426,621.84685
611.74,623.523075,611.450375,621.872375
611.76385,623.536825,611.483075,621.905175
611.76735,623.558475,611.514875,621.920725
611.7706,623.790875,611.534775,621.9428
611.9673,623.9685,611.5597,622.04695
612.04945,624.021525,611.575175,622.15945
612.0654,624.11175,611.592725,622.1929
612.0734,624.3041,611.6202,622.23935
612.077725,624.35185,611.6483,622.525225
612.0816,624.57005,611.66645,622.5928
612.105975,624.58935,611.679075,622.624325
612.124325,624.83765,611.7024,622.6478
612.44825,624.98125,611.7497,622.718075
612.47285,625.05355,611.77385,622.831775
612.492925,625.132725,611.83615,622.851725
612.626675,625.1568,611.868875,622.897275
612.688475,625.16415,611.92195,622.927425
612.70865,625.186875,611.9429,622.9348
612.8918,625.21475,611.947825,622.947175
612.955625,625.2247,612.2263,623.024275
612.97555,625.37495,612.263125,623.1734
613.006625,625.402325,612.4497,623.21725
613.03195,625.45525,612.47975,623.397875
613.052625,625.6334,612.49145,623.425475
613.0755,625.7563,612.574625,623.44415
613.08185,625.7812,612.59805,623.5537
613.09075,626.460275,612.702075,623.689175
613.09365,626.66615,612.727575,623.90885
613.103025,626.8556,612.73995,624.05905
613.1063,626.856625,613.016525,624.285075
613.1122,626.876725,613.028775,624.315625
613.118325,626.926225,613.15625,624.339725
613.130275,626.942425,613.173475,624.486575
613.1427,627.0472,613.217075,624.5985
613.147825,627.210525,613.2786,624.839825
613.15095,627.31315,613.289925,624.996025
613.186575,627.743925,613.36945,625.15245
613.459525,627.817,613.404825,625.205025
613.546775,627.838075,613.487825,625.2491
613.5613,627.86985,613.5094,625.2621
613.591025,627.903575,613.591625,625.4009
613.654225,627.976575,613.656125,625.428
613.699875,628.162375,613.670375,625.458025
613.760725,628.405075,613.743975,625.656875
613.79345,628.44795,613.7576,625.770675
613.89805,628.484275,613.816625,625.793125
613.9185,628.57845,613.825,625.84365
613.92785,628.5937,613.886875,625.856375
613.960575,628.6433,613.94795,625.903075
613.9641,628.779075,613.97375,626.14185
613.98495,628.83215,614.05525,626.286375
613.99565,628.892275,614.090175,626.534925
614.006425,628.971525,614.1002,626.65585
614.0235,629.100925,614.13165,626.704425
614.027125,629.161575,614.160525,626.76645
614.033725,629.367525,614.399425,626.789825
614.0368,629.52485,614.425925,627.067025
614.0405,629.5447,614.469025,627.087675
614.089425,629.583075,614.4884,627.099925
614.0961,629.682425,614.525075,627.1671
614.109375,629.8107,614.571775,627.199175
614.233275,630.056425,614.629225,627.331425
614.2582,630.2506,614.701675,627.538975
614.29415,630.460875,614.710475,627.54235
614.48995,630.523475,614.72175,627.56045
614.5433,630.52585,614.763875,627.5841
614.715575,630.541425,614.772775,627.661425
614.7637,630.573525,614.852275,627.708925
614.918825,630.713075,614.8599,627.830175
614.930375,630.8572,615.0197,627.86375
614.963075,630.9212,615.0354,627.9995
615.0148,631.2175,615.051025,628.323275
615.060975,631.6119,615.1192,628.69595
615.1138,631.681875,615.16065,628.75895
615.12315,631.693725,615.196475,628.85885
615.13565,631.700225,615.2782,628.900875
615.16315,631.724825,615.387175,629.1037
615.221025,631.739475,615.404125,629.1539
615.2322,631.75625,615.420875,629.202125
615.24645,631.85855,615.4344,629.27105
615.2716,632.08545,615.514825,629.300625
615.3111,632.0935,615.5514,629.3198
615.33145,632.15435,615.6297,629.4578
615.3564,632.27665,615.636775,629.478
615.403775,632.372675,615.67045,629.584425
615.410975,632.435175,615.732325,629.62105
615.4265,632.570925,615.753925,629.697125
615.4441,632.6526,615.79245,629.75265
615.4559,632.740475,616.167525,629.794525
615.4881,632.8549,616.18595,629.860175
615.50935,632.904025,616.19235,629.888075
615.51795,632.974225,616.2102,629.921775
615.52515,633.146575,616.226675,629.95805
615.557675,633.19,616.2438,629.984725
615.560575,633.276675,616.383575,630.0427
615.573075,633.35175,616.41715,630.0649
615.5825,633.4904,616.5053,630.231275
615.59525,633.606375,616.514425,630.2332
615.598525,633.922175,616.61165,630.3542
615.614475,633.9513,616.61445,630.51355
615.6327,633.968325,616.650125,630.56155
615.638525,634.0635,616.676525,630.598175
615.6618,634.0652,616.76,631.0558
615.684875,634.079425,616.7838,631.1027
615.7135,634.1226,616.8855,631.13325
615.726575,634.183075,616.928775,631.16485
615.749875,634.484925,616.947875,631.238925
615.76465,634.49355,617.03105,631.2721
615.77615,634.505525,617.04385,631.3107
615.9319,634.513975,617.147125,631.32905
615.9416,634.623175,617.18865,631.5239
615.96195,634.7137,617.19325,631.661675
615.99385,634.721825,617.3308,631.6926
616.0252,634.912225,617.360125,631.783475
616.092775,634.994875,617.405525,631.82185
616.22535,635.112925,617.4183,631.9253
616.267675,635.190175,617.495075,631.96405
616.3378,635.48415,617.500225,632.020025
616.45185,635.73865,617.513825,632.163725
616.469225,635.79695,617.534825,632.186375
616.4736,635.84585,617.59125,632.21575
616.481675,635.886175,617.70625,632.250575
616.488025,635.9794,617.740075,632.266675
616.510475,636.144425,617.757125,632.30955
616.51375,636.15365,617.821225,632.34785
616.532625,636.17035,617.847475,632.5246
616.5641,636.2986,617.8583,632.7741
616.567625,636.58395,617.891275,632.9148
616.57065,636.591525,617.90075,633.07105
616.58335,636.660325,617.9526,633.13125
616.591425,636.704775,617.987775,633.1767
616.598875,636.715325,618.000975,633.2154
616.621125,636.935175,618.0715,633.2591
616.70825,637.025325,618.0833,633.3259
616.743425,637.144925,618.1867,633.4409
616.7547,637.157425,618.2267,633.50075
616.75815,637.2793,618.2814,633.749
616.765675,637.541375,618.301425,633.849825
616.791675,637.5848,618.315775,633.9333
616.807975,637.693875,618.3323,633.978525
616.817075,637.78325,618.382025,634.174975
616.8613,637.799375,618.4625,634.20665
616.866225,637.9837,618.543775,634.401225
616.88065,638.0247,618.559275,634.439875
616.887475,638.05925,618.712975,634.524025
616.8976,638.0611,618.8008,634.59085
616.933075,638.244925,618.837125,634.68405
616.94805,638.39425,618.847325,634.7855
616.961875,638.63535,618.97195,634.905925
616.97115,639.31795,619.067925,635.096175
616.997075,639.38415,619.092075,635.141775
617.0011,639.41185,619.189975,635.301725
617.042025,639.478425,619.282225,635.379925
617.050725,639.534475,619.3205,635.497375
617.07285,639.707325,619.332375,635.526175
617.120525,639.847375,619.34235,635.64415
617.22105,639.880875,619.385175,635.735725
617.340925,640.112725,619.4255,635.835275
617.44585,640.138925,619.479575,635.9148
617.47955,640.177225,619.709125,636.126675
617.578825,640.18095,619.7303,636.220075
617.632625,640.191775,619.774025,636.3882
617.701275,640.291575,619.879,636.42455
617.7538,640.340375,619.880975,636.526775
617.7571,640.40455,619.889,636.6024
617.7605,640.505425,619.894625,636.658575
617.767875,640.51975,619.96875,636.70665
617.7808,640.640875,620.07695,636.742175
617.792075,640.6872,620.084575,637.12065
617.8176,640.754525,620.11985,637.257525
617.820825,640.95095,620.124425,637.41125
617.8329,640.962725,620.21775,637.45355
617.8644,640.97655,620.446775,637.470775
617.8769,641.003775,620.461925,637.690825
617.919525,641.21475,620.483825,637.8897
618.017125,641.337825,620.553375,637.936025
618.142325,641.393275,620.56405,637.968025
618.193275,641.399175,620.568125,638.134975
618.25235,641.581175,620.6083,638.155675
618.464475,641.763525,620.6318,638.174725
618.48375,641.847825,620.66355,638.263825
618.511925,641.9348,620.6705,638.340575
618.5493,642.076,620.673575,638.35575
618.572325,642.185925,620.686975,638.469425
618.5821,642.28155,620.729725,638.601625
618.642175,642.430425,620.7493,638.644275
618.727475,642.443525,620.753275,638.6731
618.7932,642.508725,620.80755,638.930525
618.814325,642.60715,620.997,639.02445
618.826175,643.237,621.1013,639.0502
618.8464,643.249575,621.124725,639.177375
618.86785,643.317025,621.147675,639.343575
619.023975,643.542875,621.162675,639.595625
619.053575,643.571475,621.197875,639.961825
619.06555,643.845025,621.206075,640.1138
619.072575,643.892125,621.2477,640.375975
619.07575,644.32935,621.2955,640.4113
619.0853,644.335525,621.313775,640.45215
619.11695,644.418975,621.40895,640.7821
619.1416,644.598475,621.411575,640.818
619.15835,644.643425,621.4433,640.858
619.256975,644.7724,621.5621,641.03205
619.519675,644.889375,621.569225,641.1572
619.535375,644.91015,621.596525,641.180125
619.613025,645.0162,621.62475,641.22335
619.6392,645.10695,621.7237,641.254525
619.6628,645.13735,621.747575,641.551025
619.7779,645.266325,621.841875,641.62215
619.847925,645.425925,621.8975,641.67355
619.86905,645.494225,621.95595,641.930375
619.877725,645.58885,622.018475,642.1608
619.892875,645.95975,622.077775,642.259925
620.145575,646.0053,622.169175,642.342025
620.2071,646.07685,622.245325,642.5104
620.235225,646.3997,622.261825,642.530325
620.325425,646.96345,622.307525,642.73125
620.387325,647.01125,622.425325,642.755375
620.39095,647.214925,622.5179,642.793525
620.56855,647.268025,622.61885,642.87205
620.619075,647.542625,622.656975,642.895675
620.835875,647.576925,622.750525,643.02485
620.88115,647.707675,622.761175,643.04415
620.948375,648.498625,622.78485,643.07835
620.96855,648.5852,622.81665,643.17205
621.10755,648.92745,622.84625,643.286325
621.127225,649.021275,622.871725,643.340725
621.263375,649.147075,622.938075,643.463925
621.303825,649.2923,623.05165,643.530825
621.315725,649.304975,623.105775,643.5536
621.335125,649.4033,623.20595,643.57275
621.413775,649.4361,623.231425,643.63805
621.497025,649.517525,623.36735,643.732
621.60305,649.62485,623.389125,643.756
621.611475,649.804625,623.3962,643.83475
621.63995,649.9322,623.402825,643.986225
621.7095,649.997575,623.42865,644.038925
621.7401,650.083775,623.4377,644.08735
621.95715,650.564125,623.542775,644.1265
621.9788,650.6118,623.57205,644.159475
621.9925,650.96175,623.582075,644.335875
622.014675,650.995525,623.662925,644.3971
622.147925,651.086875,623.66455,644.4442
622.18085,651.216,623.719425,644.5714
622.301225,651.439325,623.838375,644.633175
622.323175,651.537525,624.068425,644.793025
622.345525,651.56225,624.084125,644.89575
622.357825,651.618875,624.12355,644.925525
622.360875,651.6788,624.1719,645.122625
622.40745,651.685175,624.2242,645.172625
622.42675,651.7068,624.31155,645.243225
622.4338,651.933225,624.3597,645.47995
622.445375,652.027,624.4064,645.5134
622.454325,652.0597,624.4466,645.645975
622.46295,652.115275,624.46115,645.690975
622.487425,652.371025,624.54225,645.77555
622.4946,652.512725,624.569475,645.78655
622.5119,652.554625,624.599225,645.866025
622.70295,652.560425,624.64745,645.96005
622.744675,652.618575,624.67895,646.020975
622.830625,652.846075,624.689125,646.092825
622.9257,652.860025,624.778225,646.15715
623.049975,653.033225,624.785525,646.198325
623.061,653.05145,624.81305,646.267875
623.06405,653.0565,624.821425,646.3097
623.077625,653.18905,624.8627,646.378275
623.260475,653.243275,624.97035,646.41785
623.35635,653.3187,625.04205,646.449675
623.359725,653.65095,625.05695,646.54535
623.373,653.725275,625.111775,646.668125
623.38345,653.836575,625.1223,646.683925
623.403125,653.873625,625.2678,646.714775
623.581425,654.038125,625.315725,646.831025
623.727375,654.121925,625.37035,646.870225
623.736475,654.28725,625.44595,646.99285
623.90905,654.56975,625.4633,647.271525
624.112925,654.791325,625.492375,647.2835
624.14845,654.804675,625.5903,647.330725
624.191525,654.91245,625.629225,647.39945
624.258025,655.057475,625.6915,647.451125
624.31785,655.2772,625.7436,647.601325
624.464925,655.35535,625.802025,647.617425
624.48675,655.39935,625.944175,647.67405
624.497975,655.416725,625.9878,647.73665
624.5442,655.510025,626.1108,647.8185
624.62485,655.739125,626.2419,647.8396
624.638475,656.12735,626.279825,648.01575
624.6534,656.181975,626.31915,648.0774
624.666925,656.290725,626.3628,648.25175
624.6845,656.6849,626.422525,648.310275
624.687675,656.9298,626.448275,648.365525
624.7003,657.16865,626.525325,648.617075
624.70655,657.2533,626.547675,648.6699
624.732025,657.260325,626.59035,648.85
624.74195,657.30915,626.63835,649.304325
624.75335,657.7909,626.6553,649.566375
624.7792,657.9978,626.6737,649.6354
624.786725,658.758575,626.7218,649.686975
624.79395,658.882375,626.750275,649.76065
625.018875,658.91185,626.82925,649.826825
625.031525,659.1732,626.85965,650.014275
625.059425,659.330575,626.88325,650.122025
625.07255,659.344975,627.007,650.405725
625.107325,659.50675,627.0626,650.521375
625.27875,659.65565,627.068,650.5804
625.33555,659.750625,627.0909,650.786375
625.5423,659.8678,627.214975,650.817975
625.591825,659.89745,627.233225,650.822625
625.630175,660.765575,627.2522,650.97505
625.661425,660.801075,627.295975,651.0935
625.709475,660.9098,627.337725,651.231175
625.73035,660.94735,627.367675,651.3163
625.878775,660.988975,627.471425,651.3503
625.889875,661.07425,627.5091,651.402875
625.933525,661.163425,627.5376,651.6646
626.003375,661.238425,627.541225,651.77405
626.02715,661.6092,627.543675,651.91765
626.05255,661.62175,627.5601,651.949225
626.09095,661.644125,627.575975,651.99735
626.15505,662.147275,627.760425,652.017275
626.22555,662.296625,627.8085,652.113375
626.2728,662.339025,627.810825,652.287975
626.287,662.507275,627.816975,652.3257
626.411325,663.088925,627.829675,652.451475
626.42165,663.142975,627.8476,652.479775
626.432625,663.171475,627.856575,652.520125
626.436,663.177525,628.0716,652.7825
626.452275,663.346075,628.14205,652.84735
626.45905,663.37985,628.153375,652.915075
626.462225,663.410075,628.21035,653.0079
626.4662,663.4275,628.213725,653.0577
626.477675,663.79165,628.238425,653.24575
626.481675,664.0272,628.27385,653.28705
626.48515,664.155325,628.336075,653.34615
626.51855,664.223925,628.394125,653.3733
626.5408,664.36665,628.403775,653.421575
626.547375,664.41035,628.418175,653.476675
626.60315,664.4196,628.42495,653.711875
626.655425,664.724025,628.4708,653.7415
626.6764,664.736675,628.488475,653.783975
626.782425,664.92635,628.526825,653.8314
626.850275,665.111075,628.551075,653.8964
