SPK_SPKC02c,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC16a
122.1775,124.5781,121.08175,105.4368
122.21925,124.638875,121.119325,105.440675
122.237775,124.83635,121.12515,105.44765
122.2793,124.868175,121.137125,105.45185
122.3079,124.90165,121.15065,105.464125
122.5458,124.927625,121.1593,105.469525
122.6215,125.1379,121.164625,105.474125
122.652875,125.17755,121.181025,105.484
122.6724,125.212525,121.241175,105.71425
122.6968,125.303275,121.260025,105.7417
122.720025,125.321475,121.3172,105.765
122.735125,125.36485,121.58535,105.7768
122.7864,125.403325,121.594975,105.7839
122.806825,125.4295,121.6432,105.794025
122.855375,125.5054,121.651,105.801625
123.1452,125.5436,121.67915,105.805825
123.19375,125.674075,121.71205,105.813975
123.2271,125.69545,121.717075,105.82095
123.271825,125.800175,121.73125,105.825025
123.293325,125.854975,122.054325,105.832825
123.316575,125.935875,122.1752,105.8399
123.337275,125.96745,122.1984,105.84515
123.354875,126.050425,122.2273,105.854375
123.379275,126.0841,122.233775,105.860275
123.4105,126.16425,122.261875,105.87295
123.4317,126.20195,122.294275,105.884825
123.454225,126.248,122.330175,105.892325
123.48975,126.28475,122.724675,105.901475
123.7262,126.339275,122.73435,105.9112
123.75595,126.55865,122.743525,105.915625
123.775925,126.59615,122.75665,105.92565
123.8084,126.7917,122.797825,105.935625
123.99345,126.8234,122.8407,105.96545
124.0108,126.855175,122.8478,106.021675
124.1918,126.929225,122.851625,106.06495
124.2235,127.01085,122.859625,106.077575
124.259175,127.0462,122.9002,106.097775
124.2869,127.077575,122.9245,106.1084
124.305625,127.3239,122.951825,106.116225
124.3378,127.433875,123.36095,106.13005
124.3655,127.4676,123.369525,106.1367
124.403925,127.57745,123.396175,106.141475
124.409725,127.7159,123.44035,106.153525
124.451275,127.752675,123.4457,106.158075
124.483525,127.824625,123.4565,106.161525
124.510575,127.867325,123.46145,106.168075
124.578025,127.948075,123.4823,106.17255
124.63885,127.978725,123.491575,106.1782
124.8363,128.00765,123.4951,106.183725
124.868175,128.03475,123.506725,106.1911
124.901625,128.069675,123.531325,106.1965
124.927625,128.1441,123.573175,106.20395
124.94305,128.44415,123.60435,106.2089
124.97165,128.474675,123.751125,106.2169
125.137875,128.574025,123.765875,106.22385
125.1775,128.6073,123.805025,106.2274
125.2125,128.646775,124.02925,106.234475
125.2607,128.6996,124.043975,106.241225
125.30325,128.9708,124.0641,106.24635
125.32145,129.022675,124.397775,106.252375
125.36485,129.070275,124.445125,106.25575
125.4033,129.110225,124.48815,106.26175
125.42945,129.134175,124.55285,106.265775
125.505375,129.1626,124.570375,106.2682
125.54355,129.367975,124.58275,106.28115
125.67405,129.404675,124.588375,106.288525
125.695425,129.467425,124.595225,106.2984
125.80015,129.51385,124.615725,106.310825
125.854975,129.579375,124.625175,106.323825
125.93585,129.605425,124.646325,106.33615
125.9674,129.92685,124.8862,106.3649
126.0504,129.978125,124.896725,106.3789
126.084075,129.993925,124.917925,106.388775
126.164225,130.052775,124.932175,106.4222
126.201925,130.09165,124.990425,106.437225
126.247975,130.3152,125.0234,106.451625
126.284725,130.477175,125.046675,106.4677
126.33925,130.581675,125.35685,106.47985
126.558625,130.607075,125.36925,106.486025
126.596125,130.65115,125.3985,106.49855
126.791675,130.682075,125.41675,106.512275
126.823375,130.720975,125.49075,106.5222
126.855125,130.74435,125.506725,106.538425
126.9292,130.7701,125.535225,106.554675
127.01085,130.8005,125.54735,106.5707
127.0462,130.830925,126.226125,106.57775
127.07755,130.872175,126.24185,106.5865
127.323875,131.2266,126.254975,106.60335
127.43385,131.265775,126.26335,106.61265
127.46755,131.31015,126.2698,106.622475
127.505275,131.33045,126.288875,106.633675
127.556675,131.3656,126.310125,106.64175
127.577425,131.4004,126.321,106.648725
127.6782,131.45405,126.32845,106.6599
127.71585,131.626375,126.52435,106.671525
127.75265,131.673375,126.540625,106.6774
127.79935,131.7346,126.5911,106.682325
127.824575,131.79785,126.615925,106.686775
127.8673,131.847475,126.624975,106.6979
127.94805,131.89575,126.639775,106.70165
127.9787,131.91905,126.6671,106.709525
128.0076,131.983825,126.794125,106.71725
128.0347,132.13425,126.835725,106.72505
128.069675,132.202975,126.85115,106.7296
128.08845,132.416525,126.978275,106.73505
128.144075,132.46485,127.04095,106.740825
128.44415,132.7076,127.088075,106.74635
128.47465,132.767875,127.09725,106.7505
128.574,132.805275,127.103175,106.754425
128.60725,132.84255,127.998075,106.759825
128.646775,132.87235,128.009375,106.765025
128.699575,132.9556,128.048925,106.77135
128.970775,133.280525,128.068675,106.77475
129.022625,133.427975,128.12805,106.7783
129.07025,133.462075,128.14105,106.782525
129.110225,133.511725,128.16435,106.790325
129.13415,133.552275,128.17465,106.793075
129.16255,133.57225,128.1965,106.799275
129.36795,133.6311,128.235875,106.80345
129.404625,133.6494,128.273025,106.8114
129.467375,133.6946,128.437575,106.818275
129.513825,133.83125,128.46145,106.82335
129.544025,133.87985,128.56085,106.829425
129.579325,133.9377,128.610925,106.84195
129.605425,133.959075,128.628,106.85085
129.6486,133.99835,128.63955,106.8581
129.926825,134.035225,128.65345,106.890225
129.9781,134.086375,128.69775,106.905925
129.9939,134.1275,128.71825,106.923275
130.05275,134.18775,128.79265,106.93675
130.091625,134.535825,128.831925,106.947625
130.315175,134.6339,129.112875,106.960425
130.47715,134.71725,129.4109,106.97345
130.58165,134.81505,129.457525,106.98815
130.607075,134.94765,129.503,107.00465
130.651125,135.007575,129.516925,107.01165
130.68205,135.04605,129.535175,107.028325
130.720925,135.1737,129.558825,107.036275
130.744325,135.20755,129.569125,107.048225
130.77005,135.2301,129.586725,107.058375
130.8005,135.4745,129.598475,107.067925
130.8309,135.58225,129.62175,107.0793
130.87215,135.6171,129.6372,107.094575
130.907275,135.65155,129.65505,107.107775
130.932725,135.782225,129.679075,107.11645
131.226575,135.834625,129.698575,107.127425
131.26575,135.857625,129.70975,107.138625
131.310125,135.9356,129.727975,107.1478
131.33045,136.03365,129.959675,107.1561
131.365575,136.208875,129.9887,107.1684
131.400325,136.22515,130.008575,107.1794
131.454025,136.348,130.0652,107.1859
131.4908,136.392025,130.0817,107.199725
131.62635,136.439275,130.252525,107.214875
131.67335,136.49185,130.291625,107.236425
131.734575,136.54555,130.305175,107.259475
131.797825,136.7956,130.711475,107.266725
131.847475,137.030575,130.78035,107.2767
131.895725,137.3581,130.856775,107.2874
131.919025,137.5789,130.88625,107.300075
131.95915,137.695775,130.9,107.307325
131.9838,137.71945,130.92375,107.3198
132.100475,137.76715,130.9319,107.3304
132.134225,137.780775,130.955625,107.350475
132.2029,137.86775,130.96475,107.3646
132.4165,137.92135,131.371475,107.371475
132.4648,137.96865,131.40315,107.391225
132.707575,138.026325,131.414975,107.39835
132.767875,138.070225,131.451,107.40865
132.8052,138.3821,131.462325,107.423125
132.842525,138.42465,131.47995,107.43005
132.8723,138.48455,131.512975,107.4436
132.91385,138.512175,131.82585,107.453575
132.955575,138.5643,131.925375,107.462875
133.2805,139.006425,131.980775,107.469975
133.366975,139.036325,132.0031,107.480275
133.42795,139.106675,132.234125,107.490375
133.46205,139.38685,132.25045,107.496975
133.511675,139.4159,132.3303,107.5066
133.55225,139.46095,132.34775,107.51575
133.57225,139.48785,132.361375,107.5267
133.6311,139.522025,132.424825,107.672625
133.64935,139.551625,132.865275,107.689375
133.694575,139.634625,132.9612,107.70175
133.831225,139.679975,132.974,107.7092
133.8798,139.73405,132.987775,107.71955
133.937675,140.19825,133.0827,107.730225
133.95905,140.2221,133.61275,107.739075
133.998325,140.2505,133.6405,107.74495
134.035225,140.27535,133.6741,107.751925
134.08635,140.332775,133.69605,107.7559
134.127475,140.3653,134.0649,107.763475
134.18775,140.586675,134.126375,107.7737
134.5358,140.6325,134.1362,107.78005
134.633875,140.66675,134.146425,107.7864
134.71725,140.71225,134.1554,107.792025
134.815,140.9022,134.16295,107.796825
134.947625,141.161225,134.1966,107.80305
135.007525,141.34645,134.20395,107.8113
135.046,141.4943,134.2351,107.81675
135.173675,141.524575,134.244225,107.8216
135.2075,141.608675,134.27705,107.82605
135.230075,141.6398,134.296325,107.82915
135.474475,141.69845,134.3285,107.83535
135.58225,141.725,134.727575,107.8413
135.617075,141.7446,134.8658,107.84665
135.65155,141.77375,134.93955,107.855625
135.7822,141.84385,134.9604,107.8711
135.834575,141.873875,135.00555,107.876175
135.8576,142.0237,135.150725,107.881225
135.935575,142.163075,135.18005,107.8858
136.0336,142.1937,135.194525,107.893175
136.208825,142.227925,135.218875,107.899225
136.2251,142.2611,135.2392,107.907325
136.3043,142.2918,135.247375,107.915325
136.347975,142.3705,135.29635,107.920725
136.39195,142.43815,135.42125,107.936225
136.439225,142.74565,135.49735,108.668
136.491825,142.767675,135.622,108.681025
