SPK_SPKC02a,SPK_SPKC02b,SPK_SPKC03a,SPK_SPKC04a
227.3558,206.97775,204.779625,208.886
227.4281,207.050175,204.784725,208.9665
227.60675,207.128975,204.80185,208.972875
227.713025,207.16475,204.807875,209.017325
228.065675,207.202675,204.822025,209.113525
228.0799,207.226825,204.837825,209.12395
228.2403,207.372325,204.847125,209.17025
228.2434,207.397225,204.8623,209.17495
228.260725,207.420825,204.9005,209.3579
228.45985,207.4935,204.911875,209.3727
228.669575,207.51175,204.919575,209.392
228.7289,207.541325,204.9713,209.404575
228.76615,207.60405,204.9777,209.490025
229.19615,207.637175,204.993375,209.517575
229.22535,207.695825,205.001225,209.55365
229.257775,207.7149,205.011875,209.5922
229.743775,207.7548,205.018425,209.596675
229.93615,207.8039,205.05,209.70765
230.014175,207.8365,205.066075,209.752325
230.0792,207.86405,205.074425,209.808825
230.1299,207.8908,205.109975,209.8806
230.162025,207.94215,205.116875,210.023
230.197275,207.979725,205.14005,210.046625
230.200925,208.011925,205.158225,210.30735
230.21125,208.015925,205.17095,210.31475
230.219875,208.04615,205.190725,210.3512
230.30545,208.1115,205.201325,210.374475
230.327675,208.144375,205.2139,210.4306
230.37405,208.24215,205.225875,210.50205
230.441225,208.2844,205.231575,210.53335
230.446375,208.308375,205.244425,210.53955
230.630475,208.3483,205.2562,210.5617
230.807525,208.3857,205.28285,210.6169
230.84615,208.49175,205.31885,210.682375
230.85345,208.5337,205.341825,210.78335
230.90745,208.569475,205.351525,210.7897
231.39935,208.61735,205.359325,210.8232
232.01405,208.6554,205.391475,210.8285
232.133825,208.732225,205.432375,210.8826
232.1563,208.74885,205.45945,210.93195
232.174725,208.779075,205.470575,210.9665
232.182125,208.78555,205.49575,211.043675
232.26065,208.798425,205.503075,211.085925
232.320875,208.82775,205.512075,211.21315
232.374375,208.8974,205.57815,211.3183
232.962425,208.946325,205.586675,211.370475
232.996325,208.990725,205.58905,211.402425
233.0179,209.03475,205.601375,211.505625
233.04455,209.059125,205.609525,211.52665
233.0969,209.076925,205.618225,211.55535
233.235625,209.10055,205.639125,211.586875
233.3287,209.150625,205.6508,211.649925
233.354925,209.24075,205.65795,211.968525
233.4612,209.272675,205.674725,212.0848
233.5706,209.312125,205.69405,212.092425
233.572425,209.34445,205.704325,212.1321
233.6499,209.357725,205.719475,212.1477
233.772275,209.380975,205.7404,212.186
233.78165,209.400825,205.7587,212.2454
233.7876,209.438425,205.834475,212.25865
233.80415,209.4643,205.867875,212.3413
233.8592,209.516675,205.8836,212.39015
234.052225,209.5382,205.917425,212.50285
234.063725,209.576725,205.93045,212.65005
234.11595,209.600425,205.94765,212.65845
234.144975,209.647825,205.97675,212.71335
234.1907,209.707325,205.9913,212.861775
234.2925,209.761375,206.012675,212.86865
234.3451,209.811625,206.113125,212.89415
234.3599,209.883175,206.1641,212.92795
234.41025,209.93405,206.212875,212.941875
234.5842,209.9797,206.23895,212.99245
234.656625,210.011475,206.299125,213.0164
234.761975,210.072875,206.319,213.082475
234.78025,210.19645,206.3555,213.097475
235.048375,210.24965,206.3796,213.1067
235.073425,210.273675,206.386825,213.2611
235.0866,210.291725,206.40595,213.27165
235.134225,210.322975,206.44615,213.365575
235.187375,210.366,206.482175,213.3804
