SPK_SPKC06a (excited),SPK_SPKC07b (no effect),SPK_SPKC09a (excited)
40.578925,,33.59035
40.644575,,33.61415
40.712375,,33.6935
40.79455,,33.70335
40.87085,,33.770675
40.9286,,33.814225
40.992425,,33.82105
41.057125,,33.973675
41.0631,,33.998875
41.13265,,34.07155
41.187225,,34.428325
41.2318,,34.480625
41.329725,,34.771975
41.402075,,34.84545
41.446775,,34.948725
41.55505,,34.985325
41.6398,,34.993075
41.708925,,35.139425
41.76035,,35.3064
41.827225,,35.3577
41.910675,,35.527075
42.036025,,35.793975
42.134925,,35.896925
42.197075,,35.906875
42.224875,,36.0562
42.2558,,36.09765
42.31385,,36.15815
42.378925,,36.283675
42.4175,,36.398925
42.601475,,36.480225
42.656875,,36.507275
42.673625,,36.7673
42.731475,,36.77715
42.9334,,36.78235
43.097425,,36.8355
43.16505,,36.941375
43.223125,,36.981175
43.37105,,37.107575
43.422225,,37.20555
43.454325,,37.533775
43.540875,,37.658275
43.614825,,37.73045
43.79195,,37.742825
43.885225,,37.795175
43.91655,,37.825825
43.9722,,37.846125
44.0438,,37.856525
44.077825,,37.96235
44.149675,,37.9694
44.283175,,38.024325
44.306025,,38.1732
44.3489,,38.1814
44.3945,,38.4418
44.457075,,38.601875
44.519275,,38.654175
44.543225,,38.7959
44.573825,,38.8099
44.5853,,38.821375
44.652075,,38.882175
44.713325,,39.040575
44.772075,,39.08555
44.880925,,39.2124
44.934925,,39.22505
44.93985,,39.25605
44.98515,,39.305725
45.05725,,39.316675
45.1248,,39.342025
45.25705,,39.35075
45.31285,,39.38685
45.38055,,39.4283
45.53925,,39.56395
45.602225,,39.57845
45.73075,,39.5914
45.807875,,39.627525
45.945425,,39.6613
46.015225,,39.704675
46.0646,,39.95195
46.113225,,39.980425
46.15515,,40.039175
46.189875,,40.049125
46.2472,,40.14475
46.2841,,40.1685
46.317775,,40.196725
46.37925,,40.20815
46.403475,,40.25395
46.417975,,40.4949
46.4405,,40.760525
46.45585,,40.782725
46.53175,,40.8724
46.5631,,40.884
46.616425,,40.900825
46.6526,,40.938175
46.686525,,40.9972
46.759425,,41.014725
46.851675,,41.087725
47.0021,,41.141025
47.072875,,41.16505
47.134025,,41.182375
47.25395,,41.2805
47.342675,,41.446975
47.40305,,41.510675
47.47425,,41.5779
47.589725,,41.7023
47.804625,,41.726325
47.936525,,41.86345
48.0168,,41.8717
48.092675,,41.907025
48.168425,,42.03525
48.328475,,42.043775
48.412225,,42.058325
48.7516,,42.0758
48.955125,,42.174075
49.110725,,42.1863
49.179675,,42.29935
49.254775,,42.30515
49.400375,,42.396225
49.457175,,42.41715
49.54725,,42.612875
49.63895,,42.70955
49.6873,,42.727925
49.7445,,42.793025
49.9239,,42.8112
49.96175,,42.829525
49.995375,,42.847375
50.066825,,42.881425
50.233225,,42.9014
50.29375,,42.9959
50.365875,,43.17515
50.472225,,43.333075
50.525975,,43.5385
50.58935,,43.55045
50.632475,,43.83465
50.734675,,43.921825
50.855675,,44.01865
50.8955,,44.10555
50.906325,,44.5455
51.019025,,44.6544
51.074225,,44.692725
51.2119,,44.920425
51.277525,,45.180475
51.3618,,45.288675
51.482125,,45.395525
51.558725,,45.412
51.68685,,45.7692
51.7861,,45.810875
51.89315,,45.877375
51.95825,,45.931425
52.058675,,45.988
52.20485,,46.161175
52.43115,,46.190225
52.454125,,46.20585
52.502675,,46.2142
52.57845,,46.2535
52.668275,,46.30525
52.7552,,46.32745
52.81825,,46.371075
53.0169,,46.380225
53.2189,,46.521875
53.275975,,46.54375
53.355175,,46.66885
